name,position,age,value,team,season
Thomas Kraft,GK,26,"3,00 Mio. €",Hertha BSC,2014
Rune Jarstein,GK,30,750 Tsd. €,Hertha BSC,2014
Marius Gersbeck,GK,20,200 Tsd. €,Hertha BSC,2014
Sascha Burchert,GK,25,100 Tsd. €,Hertha BSC,2014
John Brooks,CB,22,"4,50 Mio. €",Hertha BSC,2014
Fabian Lustenberger,CB,27,"4,00 Mio. €",Hertha BSC,2014
Sebastian Langkamp,CB,27,"3,00 Mio. €",Hertha BSC,2014
Johnny Heitinga,CB,31,"2,00 Mio. €",Hertha BSC,2014
Nico Schulz,LB,22,"3,50 Mio. €",Hertha BSC,2014
Marvin Plattenhardt,LB,23,"2,50 Mio. €",Hertha BSC,2014
Johannes van den Bergh,LB,28,"1,00 Mio. €",Hertha BSC,2014
Maximilian Mittelstädt,LB,18,-,Hertha BSC,2014
Peter Pekarík,RB,28,"3,00 Mio. €",Hertha BSC,2014
Tolga Ciğerci,CDM,23,"3,00 Mio. €",Hertha BSC,2014
Hajime Hosogai,CDM,29,"2,00 Mio. €",Hertha BSC,2014
Peter Niemeyer,CDM,31,800 Tsd. €,Hertha BSC,2014
Per Ciljan Skjelbred,CM,28,"3,00 Mio. €",Hertha BSC,2014
Jens Hegeler,CM,27,"2,50 Mio. €",Hertha BSC,2014
Marcel Ndjeng,RM,33,500 Tsd. €,Hertha BSC,2014
Änis Ben-Hatira,CAM,26,"2,50 Mio. €",Hertha BSC,2014
Ronny,CAM,29,"2,00 Mio. €",Hertha BSC,2014
Hany Mukhtar,CAM,20,"1,50 Mio. €",Hertha BSC,2014
Genki Haraguchi,CAM,24,"1,30 Mio. €",Hertha BSC,2014
Alexander Baumjohann,CAM,28,"1,00 Mio. €",Hertha BSC,2014
Valentin Stocker,LW,26,"5,00 Mio. €",Hertha BSC,2014
Salomon Kalou,LW,29,"4,50 Mio. €",Hertha BSC,2014
Roy Beerens,RW,27,"3,00 Mio. €",Hertha BSC,2014
Julian Schieber,ST,26,"3,25 Mio. €",Hertha BSC,2014
Sami Allagui,ST,29,"1,80 Mio. €",Hertha BSC,2014
Sandro Wagner,ST,27,800 Tsd. €,Hertha BSC,2014
Rune Jarstein,GK,31,"2,00 Mio. €",Hertha BSC,2015
Thomas Kraft,GK,27,"1,50 Mio. €",Hertha BSC,2015
Marius Gersbeck,GK,21,200 Tsd. €,Hertha BSC,2015
Sascha Burchert,GK,26,200 Tsd. €,Hertha BSC,2015
Nils Körber,GK,19,150 Tsd. €,Hertha BSC,2015
John Brooks,CB,23,"7,00 Mio. €",Hertha BSC,2015
Fabian Lustenberger,CB,28,"4,50 Mio. €",Hertha BSC,2015
Niklas Stark,CB,21,"3,50 Mio. €",Hertha BSC,2015
Sebastian Langkamp,CB,28,"3,00 Mio. €",Hertha BSC,2015
Shawn Kauter,CB,20,125 Tsd. €,Hertha BSC,2015
Nico Beyer,CB,19,125 Tsd. €,Hertha BSC,2015
Nico Schulz,LB,23,"3,50 Mio. €",Hertha BSC,2015
Marvin Plattenhardt,LB,24,"3,50 Mio. €",Hertha BSC,2015
Johannes van den Bergh,LB,29,600 Tsd. €,Hertha BSC,2015
Maximilian Mittelstädt,LB,19,125 Tsd. €,Hertha BSC,2015
Mitchell Weiser,RB,22,"5,00 Mio. €",Hertha BSC,2015
Peter Pekarík,RB,29,"2,50 Mio. €",Hertha BSC,2015
Tolga Ciğerci,CDM,24,"2,50 Mio. €",Hertha BSC,2015
Yanni Regäsel,CDM,20,750 Tsd. €,Hertha BSC,2015
Vladimír Darida,CM,25,"10,00 Mio. €",Hertha BSC,2015
Per Ciljan Skjelbred,CM,29,"3,50 Mio. €",Hertha BSC,2015
Jens Hegeler,CM,28,"1,25 Mio. €",Hertha BSC,2015
Florian Kohls,CM,21,150 Tsd. €,Hertha BSC,2015
Genki Haraguchi,CAM,25,"3,00 Mio. €",Hertha BSC,2015
Änis Ben-Hatira,CAM,27,"1,25 Mio. €",Hertha BSC,2015
Alexander Baumjohann,CAM,29,"1,25 Mio. €",Hertha BSC,2015
Ronny,CAM,30,500 Tsd. €,Hertha BSC,2015
Salomon Kalou,LW,30,"4,50 Mio. €",Hertha BSC,2015
Valentin Stocker,LW,27,"4,00 Mio. €",Hertha BSC,2015
Sinan Kurt,LW,19,750 Tsd. €,Hertha BSC,2015
Roy Beerens,RW,28,"2,00 Mio. €",Hertha BSC,2015
Julian Schieber,ST,27,"2,75 Mio. €",Hertha BSC,2015
Vedad Ibisevic,ST,31,"2,50 Mio. €",Hertha BSC,2015
Sami Allagui,ST,30,750 Tsd. €,Hertha BSC,2015
Rune Jarstein,GK,32,"2,50 Mio. €",Hertha BSC,2016
Thomas Kraft,GK,28,"1,00 Mio. €",Hertha BSC,2016
Nils Körber,GK,20,150 Tsd. €,Hertha BSC,2016
John Brooks,CB,24,"14,00 Mio. €",Hertha BSC,2016
Niklas Stark,CB,22,"10,00 Mio. €",Hertha BSC,2016
Sebastian Langkamp,CB,29,"3,00 Mio. €",Hertha BSC,2016
Fabian Lustenberger,CB,29,"3,00 Mio. €",Hertha BSC,2016
Jordan Torunarigha,CB,19,"1,00 Mio. €",Hertha BSC,2016
Marcus Mlynikowski,CB,24,125 Tsd. €,Hertha BSC,2016
Florian Baak,CB,18,-,Hertha BSC,2016
Marvin Plattenhardt,LB,25,"8,00 Mio. €",Hertha BSC,2016
Maximilian Mittelstädt,LB,20,"1,00 Mio. €",Hertha BSC,2016
Mitchell Weiser,RB,23,"9,00 Mio. €",Hertha BSC,2016
Peter Pekarík,RB,30,"2,50 Mio. €",Hertha BSC,2016
Tolga Ciğerci,CDM,25,"3,00 Mio. €",Hertha BSC,2016
Allan,CDM,20,"1,50 Mio. €",Hertha BSC,2016
Vladimír Darida,CM,26,"10,00 Mio. €",Hertha BSC,2016
Per Ciljan Skjelbred,CM,30,"4,00 Mio. €",Hertha BSC,2016
Ondrej Duda,CM,22,"3,50 Mio. €",Hertha BSC,2016
Jens Hegeler,CM,29,"1,00 Mio. €",Hertha BSC,2016
Florian Kohls,CM,22,150 Tsd. €,Hertha BSC,2016
Arne Maier,CM,18,-,Hertha BSC,2016
Julius Kade,CM,18,-,Hertha BSC,2016
Genki Haraguchi,CAM,26,"2,50 Mio. €",Hertha BSC,2016
Alexander Baumjohann,CAM,30,400 Tsd. €,Hertha BSC,2016
Salomon Kalou,LW,31,"4,00 Mio. €",Hertha BSC,2016
Valentin Stocker,LW,28,"3,00 Mio. €",Hertha BSC,2016
