name,position,age,value,team,season
Kenneth Kronholm,GK,29,300 Tsd. €,Holstein Kiel,2014
Niklas Jakusch,GK,25,150 Tsd. €,Holstein Kiel,2014
Maximilian Riedmüller,GK,27,75 Tsd. €,Holstein Kiel,2014
Bernd Schipmann,GK,20,50 Tsd. €,Holstein Kiel,2014
Chris Kröhnert,GK,20,50 Tsd. €,Holstein Kiel,2014
Hauke Wahl,CB,21,450 Tsd. €,Holstein Kiel,2014
Denis Weidlich,CB,28,375 Tsd. €,Holstein Kiel,2014
Dominik Schmidt,CB,27,350 Tsd. €,Holstein Kiel,2014
Rafael Czichos,CB,25,350 Tsd. €,Holstein Kiel,2014
Marlon Krause,CB,24,250 Tsd. €,Holstein Kiel,2014
Manuel Hartmann,CB,31,225 Tsd. €,Holstein Kiel,2014
Marcel Gebers,CB,29,225 Tsd. €,Holstein Kiel,2014
Patrick Auracher,CB,25,175 Tsd. €,Holstein Kiel,2014
Marcel Kohn,CB,20,50 Tsd. €,Holstein Kiel,2014
Patrick Kohlmann,LB,32,250 Tsd. €,Holstein Kiel,2014
Fabian Wetter,LB,26,250 Tsd. €,Holstein Kiel,2014
Patrick Herrmann,RB,27,350 Tsd. €,Holstein Kiel,2014
Maik Kegel,CDM,25,300 Tsd. €,Holstein Kiel,2014
Finn Wirlmann,CDM,18,150 Tsd. €,Holstein Kiel,2014
Mikkel Vendelbo,CM,27,400 Tsd. €,Holstein Kiel,2014
Tim Danneberg,CM,29,250 Tsd. €,Holstein Kiel,2014
Fabian Schnellhardt,CM,21,200 Tsd. €,Holstein Kiel,2014
René Guder,RM,20,50 Tsd. €,Holstein Kiel,2014
Fabian Arndt,CAM,19,75 Tsd. €,Holstein Kiel,2014
Louis Mandel,CAM,19,-,Holstein Kiel,2014
Manuel Schwenk,LW,23,300 Tsd. €,Holstein Kiel,2014
Jaroslaw Lindner,LW,27,125 Tsd. €,Holstein Kiel,2014
Tim Siedschlag,RW,27,275 Tsd. €,Holstein Kiel,2014
Fiete Sykora,Second Striker,32,100 Tsd. €,Holstein Kiel,2014
Manuel Schäffler,ST,26,300 Tsd. €,Holstein Kiel,2014
Marc Heider,ST,29,300 Tsd. €,Holstein Kiel,2014
Saliou Sané,ST,22,250 Tsd. €,Holstein Kiel,2014
Patrick Breitkreuz,ST,23,225 Tsd. €,Holstein Kiel,2014
Rafael Kazior,ST,32,200 Tsd. €,Holstein Kiel,2014
Kenneth Kronholm,GK,30,300 Tsd. €,Holstein Kiel,2015
Robin Zentner,GK,21,225 Tsd. €,Holstein Kiel,2015
Niklas Jakusch,GK,26,175 Tsd. €,Holstein Kiel,2015
Bernd Schipmann,GK,21,50 Tsd. €,Holstein Kiel,2015
Tjark Grundmann,GK,18,-,Holstein Kiel,2015
Hauke Wahl,CB,22,800 Tsd. €,Holstein Kiel,2015
Rafael Czichos,CB,26,450 Tsd. €,Holstein Kiel,2015
Marlon Krause,CB,25,350 Tsd. €,Holstein Kiel,2015
Eidur Aron Sigurbjörnsson,CB,26,300 Tsd. €,Holstein Kiel,2015
Denis Weidlich,CB,29,275 Tsd. €,Holstein Kiel,2015
Dominik Schmidt,CB,28,250 Tsd. €,Holstein Kiel,2015
