name,position,age,value,team,season
Robin Udegbe,GK,24,150 Tsd. €,KFC Uerdingen 05,2014
Felix Schiffer,GK,21,25 Tsd. €,KFC Uerdingen 05,2014
Rico Weiler,CB,25,125 Tsd. €,KFC Uerdingen 05,2014
Ioannis Alexiou,CB,30,100 Tsd. €,KFC Uerdingen 05,2014
Burak Akarca,CB,23,50 Tsd. €,KFC Uerdingen 05,2014
Patrick Jöcks,CB,23,50 Tsd. €,KFC Uerdingen 05,2014
Tim Rubink,CB,27,-,KFC Uerdingen 05,2014
Assimiou Touré,CB,27,-,KFC Uerdingen 05,2014
Seyhmus Atug,CB,22,-,KFC Uerdingen 05,2014
Joshua Schneider,CB,19,-,KFC Uerdingen 05,2014
Nico Zitzen,CB,18,-,KFC Uerdingen 05,2014
Kofi Schulz,LB,25,75 Tsd. €,KFC Uerdingen 05,2014
Sebastian Hirsch,RB,25,100 Tsd. €,KFC Uerdingen 05,2014
Mesut Yanik,RB,20,-,KFC Uerdingen 05,2014
Patrick Ellguth,CDM,25,75 Tsd. €,KFC Uerdingen 05,2014
Fabio Fahrian,CDM,22,75 Tsd. €,KFC Uerdingen 05,2014
Armand Drevina,CDM,21,50 Tsd. €,KFC Uerdingen 05,2014
Leon Heine,CDM,20,50 Tsd. €,KFC Uerdingen 05,2014
Toshinori Uefune,CDM,22,25 Tsd. €,KFC Uerdingen 05,2014
Waldemar Schattner,CDM,26,-,KFC Uerdingen 05,2014
Marvin Matten,CDM,18,-,KFC Uerdingen 05,2014
Issa Issa,CM,31,-,KFC Uerdingen 05,2014
Athanasios Mentizis,RM,22,50 Tsd. €,KFC Uerdingen 05,2014
Abdelkader Maouel,CAM,27,100 Tsd. €,KFC Uerdingen 05,2014
Nico Buckmaier,CAM,22,100 Tsd. €,KFC Uerdingen 05,2014
Gökhan Aktas,CAM,24,25 Tsd. €,KFC Uerdingen 05,2014
Kerem Koray Sahin,CAM,19,-,KFC Uerdingen 05,2014
El Houcine Bougjdi,LW,29,50 Tsd. €,KFC Uerdingen 05,2014
Tim Knetsch,RW,22,75 Tsd. €,KFC Uerdingen 05,2014
Giacomo Serrone,RW,23,-,KFC Uerdingen 05,2014
Aliosman Aydin,ST,23,125 Tsd. €,KFC Uerdingen 05,2014
Emrah Uzun,ST,27,100 Tsd. €,KFC Uerdingen 05,2014
Moses Lamidi,ST,27,75 Tsd. €,KFC Uerdingen 05,2014
Omar El-Zein,ST,29,75 Tsd. €,KFC Uerdingen 05,2014
Dominik Oehlers,ST,20,50 Tsd. €,KFC Uerdingen 05,2014
Denis Jovanovic,ST,18,-,KFC Uerdingen 05,2014
Daniel Schwabke,GK,26,-,KFC Uerdingen 05,2015
Jonas Eiker,GK,18,-,KFC Uerdingen 05,2015
Ahmet Taner,GK,23,-,KFC Uerdingen 05,2015
Baris Gürpinar,CB,18,-,KFC Uerdingen 05,2015
Georgios Efthymiou,CB,23,-,KFC Uerdingen 05,2015
Kris Thackray,CB,28,-,KFC Uerdingen 05,2015
Ioannis Alexiou,CB,31,-,KFC Uerdingen 05,2015
Julian Gutkowski,CB,19,-,KFC Uerdingen 05,2015
Walid Sekkour,LB,22,-,KFC Uerdingen 05,2015
Timo Achenbach,LB,33,-,KFC Uerdingen 05,2015
Jerome Manca,LB,20,-,KFC Uerdingen 05,2015
Tobias Gerstmann,RB,21,-,KFC Uerdingen 05,2015
Sebastian Hirsch,RB,26,-,KFC Uerdingen 05,2015
Silvio Pagano,RB,30,-,KFC Uerdingen 05,2015
Yuto Nakamura,RB,24,-,KFC Uerdingen 05,2015
Patrick Ellguth,CDM,26,-,KFC Uerdingen 05,2015
Fabio Fahrian,CDM,23,-,KFC Uerdingen 05,2015
Armand Drevina,CDM,22,-,KFC Uerdingen 05,2015
Enes Düven,Midfielder,21,-,KFC Uerdingen 05,2015
Kokou Freddy Azanledji,Midfielder,19,-,KFC Uerdingen 05,2015
Marvin Matten,CDM,19,-,KFC Uerdingen 05,2015
Florian Abel,CM,26,50 Tsd. €,KFC Uerdingen 05,2015
Pascal Schmidt,CAM,24,-,KFC Uerdingen 05,2015
Tim Knetsch,RW,23,-,KFC Uerdingen 05,2015
Darko Anic,ST,23,-,KFC Uerdingen 05,2015
Mohamadou Idrissou,ST,36,-,KFC Uerdingen 05,2015
Kai Schmidt,ST,22,-,KFC Uerdingen 05,2015
Petar Popovic,ST,18,-,KFC Uerdingen 05,2015
Danny Rankl,ST,27,-,KFC Uerdingen 05,2015
Takehiro Kubo,ST,24,-,KFC Uerdingen 05,2015
Denis Jovanovic,ST,19,-,KFC Uerdingen 05,2015
Maurice Schumacher,GK,23,-,KFC Uerdingen 05,2016
Christian Ovelhey,GK,35,-,KFC Uerdingen 05,2016
Ahmet Taner,GK,24,-,KFC Uerdingen 05,2016
Tanju Öztürk,CB,27,-,KFC Uerdingen 05,2016
Vincent Wagner,CB,31,-,KFC Uerdingen 05,2016
Kris Thackray,CB,29,-,KFC Uerdingen 05,2016
Leon Binder,CB,30,-,KFC Uerdingen 05,2016
Julian Gutkowski,CB,20,-,KFC Uerdingen 05,2016
Maximilian Güll,LB,22,-,KFC Uerdingen 05,2016
Timo Achenbach,LB,34,-,KFC Uerdingen 05,2016
Sascha Tobor,RB,26,-,KFC Uerdingen 05,2016
Sebastian Hirsch,RB,27,-,KFC Uerdingen 05,2016
Johannes Dörfler,RB,20,-,KFC Uerdingen 05,2016
Patrick Ellguth,CDM,27,-,KFC Uerdingen 05,2016
Fabio Fahrian,CDM,24,-,KFC Uerdingen 05,2016
Kai Schwertfeger,CDM,28,-,KFC Uerdingen 05,2016
Marvin Matten,CDM,20,-,KFC Uerdingen 05,2016
Pascal Schmidt,CAM,25,-,KFC Uerdingen 05,2016
Pascale Talarski,CAM,23,-,KFC Uerdingen 05,2016
Charles Takyi,CAM,32,-,KFC Uerdingen 05,2016
Emre Sendag,CAM,18,-,KFC Uerdingen 05,2016
Oguzhan Kefkir,LW,25,-,KFC Uerdingen 05,2016
Aleksandar Pranjes,RW,26,-,KFC Uerdingen 05,2016
Denis Pozder,ST,27,-,KFC Uerdingen 05,2016
Danny Rankl,ST,28,-,KFC Uerdingen 05,2016
Philipp Goris,ST,22,-,KFC Uerdingen 05,2016
Denis Jovanovic,ST,20,-,KFC Uerdingen 05,2016
René Vollath,GK,28,300 Tsd. €,KFC Uerdingen 05,2017
Robin Benz,GK,22,75 Tsd. €,KFC Uerdingen 05,2017
Tim Schneider,GK,20,25 Tsd. €,KFC Uerdingen 05,2017
Mario Erb,CB,28,250 Tsd. €,KFC Uerdingen 05,2017
Alexander Bittroff,CB,29,200 Tsd. €,KFC Uerdingen 05,2017
Christopher Schorch,CB,29,175 Tsd. €,KFC Uerdingen 05,2017
Tanju Öztürk,CB,28,100 Tsd. €,KFC Uerdingen 05,2017
Leon Binder,CB,31,75 Tsd. €,KFC Uerdingen 05,2017
Christian Dorda,LB,29,200 Tsd. €,KFC Uerdingen 05,2017
Johannes Dörfler,RB,21,50 Tsd. €,KFC Uerdingen 05,2017
Kai Schwertfeger,CDM,29,150 Tsd. €,KFC Uerdingen 05,2017
Patrick Ellguth,CDM,28,100 Tsd. €,KFC Uerdingen 05,2017
Jan Holldack,CDM,22,100 Tsd. €,KFC Uerdingen 05,2017
Kevin Pino Tellez,CDM,23,75 Tsd. €,KFC Uerdingen 05,2017
Connor Krempicki,CM,23,150 Tsd. €,KFC Uerdingen 05,2017
Christian Müller,CAM,34,100 Tsd. €,KFC Uerdingen 05,2017
Pascale Talarski,CAM,24,50 Tsd. €,KFC Uerdingen 05,2017
Charles Takyi,CAM,33,25 Tsd. €,KFC Uerdingen 05,2017
Oguzhan Kefkir,LW,26,150 Tsd. €,KFC Uerdingen 05,2017
Joshua Endres,LW,21,50 Tsd. €,KFC Uerdingen 05,2017
Dennis Chessa,RW,25,200 Tsd. €,KFC Uerdingen 05,2017
Maximilian Beister,RW,27,150 Tsd. €,KFC Uerdingen 05,2017
Florian Rüter,RW,28,100 Tsd. €,KFC Uerdingen 05,2017
Marcel Reichwein,ST,32,150 Tsd. €,KFC Uerdingen 05,2017
Lucas Musculus,ST,27,125 Tsd. €,KFC Uerdingen 05,2017
Philipp Goris,ST,23,-,KFC Uerdingen 05,2017
René Vollath,GK,29,250 Tsd. €,KFC Uerdingen 05,2018
Robin Udegbe,GK,28,125 Tsd. €,KFC Uerdingen 05,2018
Robin Benz,GK,23,100 Tsd. €,KFC Uerdingen 05,2018
Tim Schneider,GK,21,50 Tsd. €,KFC Uerdingen 05,2018
Dominic Maroh,CB,32,325 Tsd. €,KFC Uerdingen 05,2018
Manuel Konrad,CB,31,300 Tsd. €,KFC Uerdingen 05,2018
Mario Erb,CB,29,275 Tsd. €,KFC Uerdingen 05,2018
Assani Lukimya,CB,33,250 Tsd. €,KFC Uerdingen 05,2018
Tanju Öztürk,CB,29,225 Tsd. €,KFC Uerdingen 05,2018
Christopher Schorch,CB,30,200 Tsd. €,KFC Uerdingen 05,2018
Alexander Bittroff,CB,30,200 Tsd. €,KFC Uerdingen 05,2018
Robert Müller,CB,32,175 Tsd. €,KFC Uerdingen 05,2018
Christian Dorda,LB,30,250 Tsd. €,KFC Uerdingen 05,2018
Kevin Großkreutz,RB,30,400 Tsd. €,KFC Uerdingen 05,2018
Johannes Dörfler,RB,22,250 Tsd. €,KFC Uerdingen 05,2018
Adam Matuszczyk,CDM,30,300 Tsd. €,KFC Uerdingen 05,2018
Kai Schwertfeger,CDM,30,125 Tsd. €,KFC Uerdingen 05,2018
Jan Holldack,CDM,23,125 Tsd. €,KFC Uerdingen 05,2018
Necirwan Khalil Mohammad,CDM,27,100 Tsd. €,KFC Uerdingen 05,2018
Lukas Schelenz,CDM,20,-,KFC Uerdingen 05,2018
Dennis Daube,CM,29,300 Tsd. €,KFC Uerdingen 05,2018
