name,position,age,value,team,season
Niklas Hartmann,GK,25,50 Tsd. €,KSV Baunatal,2014
Kim Sippel,GK,26,25 Tsd. €,KSV Baunatal,2014
Tobias Klöppner,GK,37,25 Tsd. €,KSV Baunatal,2014
Roger Thompson,CB,23,300 Tsd. €,KSV Baunatal,2014
Florian Heussner,CB,27,75 Tsd. €,KSV Baunatal,2014
Mario Wolf,CB,27,50 Tsd. €,KSV Baunatal,2014
Daniel Borgardt,CB,23,50 Tsd. €,KSV Baunatal,2014
Jan Niklas Hanske,CB,27,50 Tsd. €,KSV Baunatal,2014
Christian Hesse,CB,21,25 Tsd. €,KSV Baunatal,2014
Tristan Watson,CB,29,25 Tsd. €,KSV Baunatal,2014
Lars Frerking,CB,26,25 Tsd. €,KSV Baunatal,2014
Daniel Leipold,LB,27,50 Tsd. €,KSV Baunatal,2014
Marcel Löber,RB,26,25 Tsd. €,KSV Baunatal,2014
Tom Samson,RB,20,-,KSV Baunatal,2014
Martin Wengerek,CDM,31,50 Tsd. €,KSV Baunatal,2014
Tolga Ulusoy,CDM,22,25 Tsd. €,KSV Baunatal,2014
Andreas Pollasch,CDM,22,25 Tsd. €,KSV Baunatal,2014
Steffen Klitsch,CDM,24,25 Tsd. €,KSV Baunatal,2014
Felix Schäfer,CDM,19,-,KSV Baunatal,2014
Sung-woo Kim,Midfielder,21,-,KSV Baunatal,2014
Torben Grill,CM,25,25 Tsd. €,KSV Baunatal,2014
Sefa Cetinkaya,LM,22,25 Tsd. €,KSV Baunatal,2014
Manuel Pforr,CAM,26,50 Tsd. €,KSV Baunatal,2014
Tobias Nebe,CAM,33,50 Tsd. €,KSV Baunatal,2014
Christian Käthner,CAM,28,25 Tsd. €,KSV Baunatal,2014
Jan Kaufmann,CAM,24,-,KSV Baunatal,2014
Maximilian Norwig,LW,20,25 Tsd. €,KSV Baunatal,2014
Nigel Bier,RW,22,25 Tsd. €,KSV Baunatal,2014
Marvin Diehl,RW,20,25 Tsd. €,KSV Baunatal,2014
Nico Schrader,ST,25,75 Tsd. €,KSV Baunatal,2014
Mërgim Neziri,ST,22,50 Tsd. €,KSV Baunatal,2014
Adrian Boness,ST,20,25 Tsd. €,KSV Baunatal,2014
Serkan Aytemür,ST,18,-,KSV Baunatal,2014
Tobias Schlöffel,GK,23,-,KSV Baunatal,2015
Sebastian Finke,GK,33,-,KSV Baunatal,2015
Leri Natradze,GK,28,-,KSV Baunatal,2015
Sascha Eisenhuth,GK,27,-,KSV Baunatal,2015
Adin Fejzic,GK,22,-,KSV Baunatal,2015
Pascal Bielert,GK,20,-,KSV Baunatal,2015
In-guk Lee,CB,21,-,KSV Baunatal,2015
Mario Wolf,CB,28,-,KSV Baunatal,2015
Jan Niklas Hanske,CB,28,-,KSV Baunatal,2015
Lars Frerking,CB,27,-,KSV Baunatal,2015
Daniel Borgardt,CB,24,-,KSV Baunatal,2015
Jesús Suárez,CB,27,-,KSV Baunatal,2015
Sergiu Fondos,CB,32,-,KSV Baunatal,2015
Daniel Leipold,LB,28,-,KSV Baunatal,2015
Cristian Vidal,LB,30,-,KSV Baunatal,2015
Janik Szczygiel,LB,20,-,KSV Baunatal,2015
Marcel Löber,RB,27,-,KSV Baunatal,2015
Gökhan Topsakal,RB,19,-,KSV Baunatal,2015
Tom Samson,RB,21,-,KSV Baunatal,2015
Patrick Krengel,RB,20,-,KSV Baunatal,2015
Yunus Ulas,CDM,21,-,KSV Baunatal,2015
Tolga Ulusoy,CDM,23,-,KSV Baunatal,2015
Martin Wengerek,CDM,32,-,KSV Baunatal,2015
Malte Grashoff,CDM,24,-,KSV Baunatal,2015
Felix Schäfer,CDM,20,-,KSV Baunatal,2015
Onur Alkin,Midfielder,21,-,KSV Baunatal,2015
Nico Langhans,CDM,24,-,KSV Baunatal,2015
Melih Bingül,CM,20,-,KSV Baunatal,2015
Sefa Cetinkaya,LM,23,-,KSV Baunatal,2015
Robin Pollmer,LM,22,-,KSV Baunatal,2015
Antonio Bravo-Sanchez,CAM,26,-,KSV Baunatal,2015
Manuel Pforr,CAM,27,-,KSV Baunatal,2015
Tobias Nebe,CAM,34,-,KSV Baunatal,2015
Alexandru Cucu,CAM,28,-,KSV Baunatal,2015
Jonas Spengler,CAM,21,-,KSV Baunatal,2015
Patrick Herpe,ST,23,-,KSV Baunatal,2015
Nico Schrader,ST,26,-,KSV Baunatal,2015
Serkan Aytemür,ST,19,-,KSV Baunatal,2015
Kyung-ho Lee,ST,23,-,KSV Baunatal,2015
Jan Schulz,GK,19,-,KSV Baunatal,2016
Samuel Zapico,GK,20,-,KSV Baunatal,2016
Moumen Kam Naksh,GK,18,-,KSV Baunatal,2016
Sacir Nikocevic,GK,28,-,KSV Baunatal,2016
Pascal Bielert,GK,21,-,KSV Baunatal,2016
Immanuel Böker,CB,22,-,KSV Baunatal,2016
Maximilian Kraus,CB,19,-,KSV Baunatal,2016
Mario Wolf,CB,29,-,KSV Baunatal,2016
Daniel Borgardt,CB,25,-,KSV Baunatal,2016
Justin Schumann,CB,22,-,KSV Baunatal,2016
Janik Szczygiel,LB,21,-,KSV Baunatal,2016
Gökhan Topsakal,RB,20,-,KSV Baunatal,2016
Su-min Lee,RB,18,-,KSV Baunatal,2016
Tom Samson,RB,22,-,KSV Baunatal,2016
Patrick Krengel,RB,21,-,KSV Baunatal,2016
Yunus Ulas,CDM,22,-,KSV Baunatal,2016
Malte Grashoff,CDM,25,-,KSV Baunatal,2016
Felix Schäfer,CDM,21,-,KSV Baunatal,2016
Till Neumann,Midfielder,20,-,KSV Baunatal,2016
Fatih Üstün,CDM,21,-,KSV Baunatal,2016
Ingmar Merle,RM,27,-,KSV Baunatal,2016
Jonas Springer,RM,22,-,KSV Baunatal,2016
Antonio Bravo-Sanchez,CAM,27,-,KSV Baunatal,2016
Manuel Pforr,CAM,28,-,KSV Baunatal,2016
Tobias Nebe,CAM,35,-,KSV Baunatal,2016
Jonas Spengler,CAM,22,-,KSV Baunatal,2016
Hüseyin Çakmak,LW,18,-,KSV Baunatal,2016
Nico Schrader,ST,27,-,KSV Baunatal,2016
Maximilian Werner,ST,21,-,KSV Baunatal,2016
Kyung-ho Lee,ST,24,-,KSV Baunatal,2016
Sacir Nikocevic,GK,29,-,KSV Baunatal,2017
Jan Schulz,GK,19,-,KSV Baunatal,2017
Rick Christof,GK,20,-,KSV Baunatal,2017
Pascal Bielert,GK,22,-,KSV Baunatal,2017
Cihan Timocin,CB,30,-,KSV Baunatal,2017
Mario Wolf,CB,30,-,KSV Baunatal,2017
Daniel Borgardt,CB,26,-,KSV Baunatal,2017
Vyacheslav Petrukhin,CB,33,-,KSV Baunatal,2017
Luca Trump,CB,19,-,KSV Baunatal,2017
Jun-haeng Jo,LB,22,-,KSV Baunatal,2017
Su-min Lee,RB,19,-,KSV Baunatal,2017
Tom Samson,RB,23,-,KSV Baunatal,2017
Patrick Krengel,RB,22,-,KSV Baunatal,2017
Malte Grashoff,CDM,26,-,KSV Baunatal,2017
Felix Schäfer,CDM,22,-,KSV Baunatal,2017
Torben Ludwig,Midfielder,18,-,KSV Baunatal,2017
Fatih Üstün,CDM,22,-,KSV Baunatal,2017
Chang-dae Han,CDM,20,-,KSV Baunatal,2017
Nico Möller,CM,20,-,KSV Baunatal,2017
Jonas Springer,RM,23,-,KSV Baunatal,2017
Manuel Pforr,CAM,29,-,KSV Baunatal,2017
Egli Milloshaj,CAM,24,-,KSV Baunatal,2017
Mirko Tanjic,ST,30,-,KSV Baunatal,2017
Nico Schrader,ST,28,-,KSV Baunatal,2017
Hovik Jalilyan,ST,23,-,KSV Baunatal,2017
Maximilian Werner,ST,22,-,KSV Baunatal,2017
Tjarde Bandowski,ST,20,-,KSV Baunatal,2017
Zoran Zeljko,GK,50,-,KSV Baunatal,2018
Luca Graf,GK,19,-,KSV Baunatal,2018
Pascal Bielert,GK,23,-,KSV Baunatal,2018
Niklas Künzel,CB,22,-,KSV Baunatal,2018
Mario Wolf,CB,31,-,KSV Baunatal,2018
Florian Heussner,CB,31,-,KSV Baunatal,2018
Daniel Borgardt,CB,27,-,KSV Baunatal,2018
Vyacheslav Petrukhin,CB,34,-,KSV Baunatal,2018
Maximilian Sobocinski,CB,19,-,KSV Baunatal,2018
Maximilian Blahout,CB,23,-,KSV Baunatal,2018
Berke Durak,LB,19,-,KSV Baunatal,2018
Jun-haeng Jo,LB,23,-,KSV Baunatal,2018
Su-min Lee,RB,20,-,KSV Baunatal,2018
Patrick Krengel,RB,23,-,KSV Baunatal,2018
Felix Schäfer,CDM,23,-,KSV Baunatal,2018
Malte Grashoff,CDM,27,-,KSV Baunatal,2018
Steffen Kowalski,Midfielder,21,-,KSV Baunatal,2018
Fatih Üstün,CDM,23,-,KSV Baunatal,2018
Balcan Sari,CDM,26,-,KSV Baunatal,2018
Leon Geib,Midfielder,20,-,KSV Baunatal,2018
Torben Ludwig,Midfielder,19,-,KSV Baunatal,2018
Nico Möller,CM,21,-,KSV Baunatal,2018
Jonas Springer,RM,24,-,KSV Baunatal,2018
Manuel Pforr,CAM,30,-,KSV Baunatal,2018
Rolf Sattorov,ST,28,-,KSV Baunatal,2018
Nico Schrader,ST,29,-,KSV Baunatal,2018
Kevin Degenhardt,ST,20,-,KSV Baunatal,2018
Nico Brandt,ST,19,-,KSV Baunatal,2018
Thomas Müller,ST,28,-,KSV Baunatal,2018
Jamill Hartwig,ST,20,-,KSV Baunatal,2018
Zoran Zeljko,GK,51,-,KSV Baunatal,2019
Norman Stollberg,GK,37,-,KSV Baunatal,2019
Lewis Eguavoen,GK,-,-,KSV Baunatal,2019
Max Annemüller,GK,26,-,KSV Baunatal,2019
Pascal Bielert,GK,24,-,KSV Baunatal,2019
Niklas Künzel,CB,23,-,KSV Baunatal,2019
Mario Wolf,CB,32,-,KSV Baunatal,2019
Florian Heussner,CB,32,-,KSV Baunatal,2019
Daniel Borgardt,CB,28,-,KSV Baunatal,2019
Maximilian Blahout,CB,24,-,KSV Baunatal,2019
Janik Szczygiel,LB,24,-,KSV Baunatal,2019
Berke Durak,LB,20,-,KSV Baunatal,2019
Dino Kardovic,RB,23,-,KSV Baunatal,2019
Patrick Krengel,RB,24,-,KSV Baunatal,2019
Laurin Unzicker,CDM,22,-,KSV Baunatal,2019
Felix Schäfer,CDM,24,-,KSV Baunatal,2019
Fatih Üstün,CDM,24,-,KSV Baunatal,2019
Torben Ludwig,Midfielder,20,-,KSV Baunatal,2019
Nico Möller,CM,22,-,KSV Baunatal,2019
Jonas Springer,RM,25,-,KSV Baunatal,2019
Sinan Üstün,LM,24,-,KSV Baunatal,2019
Okan Gül,CAM,27,-,KSV Baunatal,2019
Manuel Pforr,CAM,31,-,KSV Baunatal,2019
Mun-kyu Seo,LW,20,-,KSV Baunatal,2019
Rolf Sattorov,ST,29,-,KSV Baunatal,2019
Nico Schrader,ST,30,-,KSV Baunatal,2019
Thomas Müller,ST,29,-,KSV Baunatal,2019
André Schmitt,ST,24,-,KSV Baunatal,2019
Kim Sippel,GK,32,-,KSV Baunatal,2020
Sascha Beetz,GK,39,-,KSV Baunatal,2020
Jannik Schramm,GK,19,-,KSV Baunatal,2020
Pascal Bielert,GK,25,-,KSV Baunatal,2020
Niklas Künzel,CB,24,-,KSV Baunatal,2020
Florian Heussner,CB,33,-,KSV Baunatal,2020
Daniel Borgardt,CB,29,-,KSV Baunatal,2020
Maximilian Blahout,CB,25,-,KSV Baunatal,2020
Dominik Schneider,LB,25,-,KSV Baunatal,2020
Berke Durak,LB,21,-,KSV Baunatal,2020
Dino Kardovic,RB,24,-,KSV Baunatal,2020
Patrick Krengel,RB,25,-,KSV Baunatal,2020
Felix Schäfer,CDM,25,-,KSV Baunatal,2020
Fatih Üstün,CDM,25,-,KSV Baunatal,2020
Max Wilhelm,Midfielder,19,-,KSV Baunatal,2020
Julian Berninger-Bosshammer,CDM,21,-,KSV Baunatal,2020
Nico Möller,CM,23,-,KSV Baunatal,2020
Jonas Springer,RM,26,-,KSV Baunatal,2020
Moritz Meuser,LM,27,-,KSV Baunatal,2020
Sinan Üstün,LM,25,-,KSV Baunatal,2020
Okan Gül,CAM,28,-,KSV Baunatal,2020
Manuel Pforr,CAM,32,-,KSV Baunatal,2020
Justin Wieczorek,CAM,19,-,KSV Baunatal,2020
Rolf Sattorov,ST,30,10 Tsd. €,KSV Baunatal,2020
Mounir Boukhoutta,ST,28,-,KSV Baunatal,2020
Nico Schrader,ST,31,-,KSV Baunatal,2020
Jonas Labonte,GK,20,-,KSV Baunatal,2021
Kim Sippel,GK,33,-,KSV Baunatal,2021
Jannik Schramm,GK,20,-,KSV Baunatal,2021
Jonas Flörke,GK,18,-,KSV Baunatal,2021
Max Stellbogen,GK,21,-,KSV Baunatal,2021
Niklas Künzel,CB,25,-,KSV Baunatal,2021
Daniel Borgardt,CB,30,-,KSV Baunatal,2021
Maximilian Blahout,CB,26,-,KSV Baunatal,2021
Malte Bandowski,CB,26,-,KSV Baunatal,2021
Dominik Schneider,LB,26,-,KSV Baunatal,2021
Berke Durak,LB,22,-,KSV Baunatal,2021
Patrick Krengel,RB,26,-,KSV Baunatal,2021
Nicolai Lorenzoni,CDM,30,-,KSV Baunatal,2021
Felix Schäfer,CDM,26,-,KSV Baunatal,2021
Fatih Üstün,CDM,26,-,KSV Baunatal,2021
Max Wilhelm,Midfielder,20,-,KSV Baunatal,2021
Julian Berninger-Bosshammer,CDM,22,-,KSV Baunatal,2021
Leon Recker,RM,19,-,KSV Baunatal,2021
Jonas Springer,RM,27,-,KSV Baunatal,2021
Moritz Meuser,LM,28,-,KSV Baunatal,2021
Okan Gül,CAM,29,-,KSV Baunatal,2021
Manuel Pforr,CAM,33,-,KSV Baunatal,2021
Justin Wieczorek,CAM,20,-,KSV Baunatal,2021
Hüseyin Çakmak,LW,23,-,KSV Baunatal,2021
Sebastian Schmeer,ST,35,-,KSV Baunatal,2021
Mounir Boukhoutta,ST,29,-,KSV Baunatal,2021
Emin Dag,ST,28,-,KSV Baunatal,2021
Jonas Flörke,GK,19,-,KSV Baunatal,2022
Yannick Wilke,GK,30,-,KSV Baunatal,2022
Felix Bachmann,GK,30,-,KSV Baunatal,2022
Hakan Üstün,CB,18,-,KSV Baunatal,2022
Niklas Künzel,CB,26,-,KSV Baunatal,2022
Daniel Borgardt,CB,31,-,KSV Baunatal,2022
Natnael Mokonnen,CB,19,-,KSV Baunatal,2022
