name,position,age,value,team,season
Kevin Rauhut,GK,25,150 Tsd. €,KSV Hessen Kassel,2014
Tobias Schlöffel,GK,22,50 Tsd. €,KSV Hessen Kassel,2014
Dario Arndt,GK,19,-,KSV Hessen Kassel,2014
Stefan Müller,CB,26,100 Tsd. €,KSV Hessen Kassel,2014
Nico Perrey,CB,21,100 Tsd. €,KSV Hessen Kassel,2014
Henrik Giese,CB,26,75 Tsd. €,KSV Hessen Kassel,2014
Steffen Friedrich,CB,21,50 Tsd. €,KSV Hessen Kassel,2014
Tino Schulze,LB,22,75 Tsd. €,KSV Hessen Kassel,2014
Tim-Philipp Brandner,LB,24,25 Tsd. €,KSV Hessen Kassel,2014
Oliver Scherer,LB,24,-,KSV Hessen Kassel,2014
Sergej Schmik,RB,25,100 Tsd. €,KSV Hessen Kassel,2014
Dennis Lemke,RB,26,75 Tsd. €,KSV Hessen Kassel,2014
Nael Najjar,RB,19,25 Tsd. €,KSV Hessen Kassel,2014
Tobias Becker,CDM,29,125 Tsd. €,KSV Hessen Kassel,2014
Enrico Gaede,CDM,33,125 Tsd. €,KSV Hessen Kassel,2014
Sergey Evlyushkin,CM,27,150 Tsd. €,KSV Hessen Kassel,2014
Marco Dawid,RM,20,50 Tsd. €,KSV Hessen Kassel,2014
Ingmar Merle,RM,25,25 Tsd. €,KSV Hessen Kassel,2014
Yeon-woong Jung,CAM,22,50 Tsd. €,KSV Hessen Kassel,2014
Jonas Marz,CAM,26,-,KSV Hessen Kassel,2014
Mike Feigenspan,RW,19,25 Tsd. €,KSV Hessen Kassel,2014
Tobias Damm,ST,31,125 Tsd. €,KSV Hessen Kassel,2014
Shqipon Bektasi,ST,24,100 Tsd. €,KSV Hessen Kassel,2014
Sebastian Schmeer,ST,28,75 Tsd. €,KSV Hessen Kassel,2014
Benjamin Girth,ST,23,75 Tsd. €,KSV Hessen Kassel,2014
Kevin Rauhut,GK,26,125 Tsd. €,KSV Hessen Kassel,2015
Niklas Hartmann,GK,26,50 Tsd. €,KSV Hessen Kassel,2015
Piotr Gorczyca,GK,18,25 Tsd. €,KSV Hessen Kassel,2015
Tim Welker,CB,22,100 Tsd. €,KSV Hessen Kassel,2015
Nico Perrey,CB,22,100 Tsd. €,KSV Hessen Kassel,2015
Steffen Friedrich,CB,22,75 Tsd. €,KSV Hessen Kassel,2015
Henrik Giese,CB,27,75 Tsd. €,KSV Hessen Kassel,2015
