name,position,age,value,team,season
Daniel Endres,GK,30,125 Tsd. €,Kickers Offenbach,2014
Lucas Menz,GK,24,50 Tsd. €,Kickers Offenbach,2014
Patrick Rühl,GK,19,-,Kickers Offenbach,2014
Giuliano Modica,CB,24,125 Tsd. €,Kickers Offenbach,2014
Stefano Maier,CB,22,100 Tsd. €,Kickers Offenbach,2014
Marcel Wilke,CB,26,100 Tsd. €,Kickers Offenbach,2014
Dennis Schulte,LB,24,150 Tsd. €,Kickers Offenbach,2014
Alexandros Theodosiadis,LB,26,125 Tsd. €,Kickers Offenbach,2014
Maik Vetter,RB,23,75 Tsd. €,Kickers Offenbach,2014
Jan-Hendrik Marx,RB,20,25 Tsd. €,Kickers Offenbach,2014
Klaus Gjasula,CDM,25,125 Tsd. €,Kickers Offenbach,2014
Sascha Korb,CDM,22,100 Tsd. €,Kickers Offenbach,2014
Kevin Wittke,CDM,30,75 Tsd. €,Kickers Offenbach,2014
Jan Biggel,CDM,24,75 Tsd. €,Kickers Offenbach,2014
Philipp Fleischer,CDM,21,-,Kickers Offenbach,2014
Matthias Schwarz,CM,27,150 Tsd. €,Kickers Offenbach,2014
Denis Mangafic,CM,25,125 Tsd. €,Kickers Offenbach,2014
Modjieb Jamali,CM,24,25 Tsd. €,Kickers Offenbach,2014
Robin Scheu,RM,20,25 Tsd. €,Kickers Offenbach,2014
Baris Yakut,LM,20,25 Tsd. €,Kickers Offenbach,2014
Martin Röser,CAM,24,175 Tsd. €,Kickers Offenbach,2014
Gabriel Gallus,CAM,26,75 Tsd. €,Kickers Offenbach,2014
Marcel Mosch,CAM,22,50 Tsd. €,Kickers Offenbach,2014
Cem Kara,CAM,20,-,Kickers Offenbach,2014
Fabian Bäcker,RW,25,100 Tsd. €,Kickers Offenbach,2014
Mohammed Tahiri,RW,20,25 Tsd. €,Kickers Offenbach,2014
Christian Cappek,ST,24,175 Tsd. €,Kickers Offenbach,2014
Markus Müller,ST,27,150 Tsd. €,Kickers Offenbach,2014
Benjamin Pintol,ST,25,125 Tsd. €,Kickers Offenbach,2014
Steven von der Burg,ST,20,75 Tsd. €,Kickers Offenbach,2014
Daniel Endres,GK,31,125 Tsd. €,Kickers Offenbach,2015
Alexander Sebald,GK,19,50 Tsd. €,Kickers Offenbach,2015
Patrick Rühl,GK,20,-,Kickers Offenbach,2015
Tolga Sahin,GK,19,-,Kickers Offenbach,2015
Marcel Gebers,CB,30,200 Tsd. €,Kickers Offenbach,2015
Thomas Franke,CB,28,125 Tsd. €,Kickers Offenbach,2015
Stefano Maier,CB,23,125 Tsd. €,Kickers Offenbach,2015
Julian Dudda,CB,23,50 Tsd. €,Kickers Offenbach,2015
Dennis Schulte,LB,25,150 Tsd. €,Kickers Offenbach,2015
Alexandros Theodosiadis,LB,27,100 Tsd. €,Kickers Offenbach,2015
Kay Michel,LB,20,-,Kickers Offenbach,2015
Maik Vetter,RB,24,75 Tsd. €,Kickers Offenbach,2015
Jan-Hendrik Marx,RB,21,25 Tsd. €,Kickers Offenbach,2015
Klaus Gjasula,CDM,26,225 Tsd. €,Kickers Offenbach,2015
Kristian Maslanka,CDM,24,100 Tsd. €,Kickers Offenbach,2015
Sascha Korb,CDM,23,100 Tsd. €,Kickers Offenbach,2015
Marco Rapp,CDM,25,75 Tsd. €,Kickers Offenbach,2015
Lukas Marvin Friedrich,CDM,20,25 Tsd. €,Kickers Offenbach,2015
Matthias Schwarz,CM,28,150 Tsd. €,Kickers Offenbach,2015
Dren Hodja,CM,22,50 Tsd. €,Kickers Offenbach,2015
Robin Scheu,RM,21,50 Tsd. €,Kickers Offenbach,2015
Niko Dobros,LM,23,125 Tsd. €,Kickers Offenbach,2015
Christos Stoilas,LM,20,-,Kickers Offenbach,2015
Martin Röser,CAM,25,175 Tsd. €,Kickers Offenbach,2015
Devann Yao,LW,26,75 Tsd. €,Kickers Offenbach,2015
Fabian Bäcker,RW,26,100 Tsd. €,Kickers Offenbach,2015
Markus Müller,ST,28,150 Tsd. €,Kickers Offenbach,2015
Benjamin Pintol,ST,26,125 Tsd. €,Kickers Offenbach,2015
Steven von der Burg,ST,21,75 Tsd. €,Kickers Offenbach,2015
Daniel Endres,GK,32,125 Tsd. €,Kickers Offenbach,2016
Alexander Sebald,GK,20,50 Tsd. €,Kickers Offenbach,2016
Levent Vanli,GK,25,25 Tsd. €,Kickers Offenbach,2016
Oliver Copik,GK,19,-,Kickers Offenbach,2016
Bilal Jomaa Zabadne,GK,18,-,Kickers Offenbach,2016
Stefano Maier,CB,24,125 Tsd. €,Kickers Offenbach,2016
Bryan Gaul,CB,27,100 Tsd. €,Kickers Offenbach,2016
Benjamin Kirchhoff,CB,22,100 Tsd. €,Kickers Offenbach,2016
Aaron Frey,CB,19,25 Tsd. €,Kickers Offenbach,2016
Semih Sentürk,CB,19,25 Tsd. €,Kickers Offenbach,2016
Dominik Crljenec,CB,17,-,Kickers Offenbach,2016
Alexandros Theodosiadis,LB,28,100 Tsd. €,Kickers Offenbach,2016
Dennis Schulte,LB,26,100 Tsd. €,Kickers Offenbach,2016
Maik Vetter,RB,25,100 Tsd. €,Kickers Offenbach,2016
