name,position,age,value,team,season
Torge Wiedenroth,GK,20,-,Leher TS Bremerhaven,2014
Marc Tietjen,GK,24,-,Leher TS Bremerhaven,2014
Christian Borzyszkowski,GK,33,-,Leher TS Bremerhaven,2014
Gero Wrobel,CB,20,-,Leher TS Bremerhaven,2014
Nico Drummer,CB,19,-,Leher TS Bremerhaven,2014
Malte Söntgerath,CB,24,-,Leher TS Bremerhaven,2014
Alexander Weinberger,CB,26,-,Leher TS Bremerhaven,2014
Dennis Benthe,CB,23,-,Leher TS Bremerhaven,2014
Arne Schimmelpfennig,CB,24,-,Leher TS Bremerhaven,2014
Jonathan Bruns,LB,20,-,Leher TS Bremerhaven,2014
Tobias Lenz,LB,29,-,Leher TS Bremerhaven,2014
Tim Schulte,RB,28,-,Leher TS Bremerhaven,2014
Daniel Gerhardt,RB,21,-,Leher TS Bremerhaven,2014
Niklas Gräfe,RB,21,-,Leher TS Bremerhaven,2014
Medin Rexhepaj,Midfielder,22,-,Leher TS Bremerhaven,2014
Pascal Marocke,Midfielder,18,-,Leher TS Bremerhaven,2014
Mahir Gürsoy,Midfielder,18,-,Leher TS Bremerhaven,2014
Christopher Brügmann,Midfielder,25,-,Leher TS Bremerhaven,2014
Stephen Zander,CDM,27,-,Leher TS Bremerhaven,2014
Julian Bünting,CDM,25,-,Leher TS Bremerhaven,2014
Max Schümann,CDM,27,-,Leher TS Bremerhaven,2014
Frederik Bruns,RM,24,-,Leher TS Bremerhaven,2014
Steffen Wolfram,LM,29,-,Leher TS Bremerhaven,2014
Ogulcan Ekinci,LM,22,-,Leher TS Bremerhaven,2014
Ennio Pezzolla,CAM,26,-,Leher TS Bremerhaven,2014
Michael Szczygiel,CAM,27,-,Leher TS Bremerhaven,2014
Arwin Hashemi,RW,18,-,Leher TS Bremerhaven,2014
Donny Bowe,ST,32,-,Leher TS Bremerhaven,2014
Yacine Zeguir,ST,19,-,Leher TS Bremerhaven,2014
Flemming Sager,ST,22,-,Leher TS Bremerhaven,2014
Marcel Wagner,ST,23,-,Leher TS Bremerhaven,2014
Marc Tietjen,GK,25,-,Leher TS Bremerhaven,2015
Christian Borzyszkowski,GK,34,-,Leher TS Bremerhaven,2015
Jutana Möhring,GK,-,-,Leher TS Bremerhaven,2015
Tobias Bausch,GK,26,-,Leher TS Bremerhaven,2015
Marco Theulieres,GK,25,-,Leher TS Bremerhaven,2015
Richard Fischer,GK,20,-,Leher TS Bremerhaven,2015
Sebastian Lenz,CB,34,-,Leher TS Bremerhaven,2015
Oleg Schmidt,CB,21,-,Leher TS Bremerhaven,2015
Benjamin Barna,CB,-,-,Leher TS Bremerhaven,2015
Imad Wasneh,CB,19,-,Leher TS Bremerhaven,2015
Malte Söntgerath,CB,25,-,Leher TS Bremerhaven,2015
Bennet Zander,CB,20,-,Leher TS Bremerhaven,2015
Alexander Weinberger,CB,27,-,Leher TS Bremerhaven,2015
Arne Schimmelpfennig,CB,25,-,Leher TS Bremerhaven,2015
Ole Aldag,CB,24,-,Leher TS Bremerhaven,2015
Tobias Lenz,LB,30,-,Leher TS Bremerhaven,2015
Jonathan Bruns,LB,21,-,Leher TS Bremerhaven,2015
Daniel Gerhardt,RB,22,-,Leher TS Bremerhaven,2015
Tim Schulte,RB,29,-,Leher TS Bremerhaven,2015
Niklas Gräfe,RB,22,-,Leher TS Bremerhaven,2015
Eugenio Pezzolla,CDM,26,-,Leher TS Bremerhaven,2015
Medin Rexhepaj,Midfielder,23,-,Leher TS Bremerhaven,2015
Coskun Yilmaz,Midfielder,21,-,Leher TS Bremerhaven,2015
Steffen Noack,Midfielder,30,-,Leher TS Bremerhaven,2015
Robin Steinke,Midfielder,21,-,Leher TS Bremerhaven,2015
Björn Edlich,Midfielder,32,-,Leher TS Bremerhaven,2015
David Touray,Midfielder,-,-,Leher TS Bremerhaven,2015
Phil Hasselbring,Midfielder,18,-,Leher TS Bremerhaven,2015
Stephen Zander,CDM,28,-,Leher TS Bremerhaven,2015
Julian Bünting,CDM,26,-,Leher TS Bremerhaven,2015
Max Schümann,CDM,28,-,Leher TS Bremerhaven,2015
Mahir Gürsoy,Midfielder,19,-,Leher TS Bremerhaven,2015
Ogulcan Ekinci,LM,23,-,Leher TS Bremerhaven,2015
Steffen Wolfram,LM,30,-,Leher TS Bremerhaven,2015
Marcel da Graca Lopes,CAM,24,-,Leher TS Bremerhaven,2015
Michael Szczygiel,CAM,28,-,Leher TS Bremerhaven,2015
Arwin Hashemi,RW,19,-,Leher TS Bremerhaven,2015
Jan-Niklas Kersten,RW,20,-,Leher TS Bremerhaven,2015
Rico Tötheider,RW,23,-,Leher TS Bremerhaven,2015
Donny Bowe,ST,33,-,Leher TS Bremerhaven,2015
Dominique-Francesco Schmiedel,ST,19,-,Leher TS Bremerhaven,2015
Veton Nebihi,ST,21,-,Leher TS Bremerhaven,2015
Serif Manuel Kriegler,ST,21,-,Leher TS Bremerhaven,2015
Janik Weber,ST,18,-,Leher TS Bremerhaven,2015
Bastian Malchow,ST,24,-,Leher TS Bremerhaven,2015
Marco Kiesner,ST,26,-,Leher TS Bremerhaven,2015
Marcel Wagner,ST,24,-,Leher TS Bremerhaven,2015
Alexander Eva,GK,-,-,Leher TS Bremerhaven,2016
Marco Theulieres,GK,26,-,Leher TS Bremerhaven,2016
Richard Fischer,GK,21,-,Leher TS Bremerhaven,2016
Malte Söntgerath,CB,26,-,Leher TS Bremerhaven,2016
Alexander Weinberger,CB,28,-,Leher TS Bremerhaven,2016
Arne Schimmelpfennig,CB,26,-,Leher TS Bremerhaven,2016
Sascha Richter,CB,27,-,Leher TS Bremerhaven,2016
Dominik Jagodzinski,LB,19,-,Leher TS Bremerhaven,2016
Jonathan Bruns,LB,22,-,Leher TS Bremerhaven,2016
Tim Schulte,RB,30,-,Leher TS Bremerhaven,2016
Daniel Gerhardt,RB,23,-,Leher TS Bremerhaven,2016
Niklas Gräfe,RB,23,-,Leher TS Bremerhaven,2016
Stephen Zander,CDM,29,-,Leher TS Bremerhaven,2016
Julian Bünting,CDM,27,-,Leher TS Bremerhaven,2016
Max Schümann,CDM,29,-,Leher TS Bremerhaven,2016
