name,position,age,value,team,season
Michael Ratajczak,GK,33,250 Tsd. €,MSV Duisburg,2014
Marcel Lenz,GK,24,100 Tsd. €,MSV Duisburg,2014
Maurice Schumacher,GK,21,50 Tsd. €,MSV Duisburg,2014
Adnan Laroshi,GK,19,-,MSV Duisburg,2014
Tom Gubini,GK,19,-,MSV Duisburg,2014
Thomas Meißner,CB,24,325 Tsd. €,MSV Duisburg,2014
Christopher Schorch,CB,26,200 Tsd. €,MSV Duisburg,2014
Enis Hajri,CB,32,100 Tsd. €,MSV Duisburg,2014
Branimir Bajic,CB,35,100 Tsd. €,MSV Duisburg,2014
Burak Akarca,CB,23,50 Tsd. €,MSV Duisburg,2014
Babacar M'Bengue,CB,23,50 Tsd. €,MSV Duisburg,2014
Kevin Wolze,LB,25,375 Tsd. €,MSV Duisburg,2014
Barkin Cömert,LB,21,50 Tsd. €,MSV Duisburg,2014
Niklas Heidemann,LB,20,-,MSV Duisburg,2014
Rolf Feltscher,RB,24,300 Tsd. €,MSV Duisburg,2014
Nico Klotz,RB,28,250 Tsd. €,MSV Duisburg,2014
Matthias Kühne,RB,27,175 Tsd. €,MSV Duisburg,2014
Erik Wille,RB,22,100 Tsd. €,MSV Duisburg,2014
Steffen Böhm,RB,19,-,MSV Duisburg,2014
Dennis Grote,CDM,28,400 Tsd. €,MSV Duisburg,2014
Tim Albutat,CDM,22,350 Tsd. €,MSV Duisburg,2014
Steffen Bohl,CDM,31,300 Tsd. €,MSV Duisburg,2014
Metin Kücükarslan,CDM,18,50 Tsd. €,MSV Duisburg,2014
Tim Kallenbach,CDM,20,-,MSV Duisburg,2014
Pierre De Wit,CM,27,350 Tsd. €,MSV Duisburg,2014
Fabian Schnellhardt,CM,21,200 Tsd. €,MSV Duisburg,2014
Nils Pagojus,CM,20,-,MSV Duisburg,2014
Georg Mikhaylov,CM,20,-,MSV Duisburg,2014
Martin Dausch,LM,29,400 Tsd. €,MSV Duisburg,2014
Sascha Dum,LM,28,275 Tsd. €,MSV Duisburg,2014
Michael Gardawski,LM,24,275 Tsd. €,MSV Duisburg,2014
Deniz Aycicek,CAM,25,100 Tsd. €,MSV Duisburg,2014
Marcel Stenzel,CAM,23,-,MSV Duisburg,2014
Ahmet Engin,RW,18,-,MSV Duisburg,2014
Kevin Scheidhauer,Second Striker,23,200 Tsd. €,MSV Duisburg,2014
Zlatko Janjic,ST,29,450 Tsd. €,MSV Duisburg,2014
Kingsley Onuegbu,ST,29,400 Tsd. €,MSV Duisburg,2014
Gökan Lekesiz,ST,24,50 Tsd. €,MSV Duisburg,2014
Ismail Öztürk,ST,22,-,MSV Duisburg,2014
Michael Ratajczak,GK,34,250 Tsd. €,MSV Duisburg,2015
Marcel Lenz,GK,25,150 Tsd. €,MSV Duisburg,2015
Maurice Schumacher,GK,22,100 Tsd. €,MSV Duisburg,2015
Seny Dieng,GK,21,100 Tsd. €,MSV Duisburg,2015
Lasha Dvali,CB,21,500 Tsd. €,MSV Duisburg,2015
Thomas Meißner,CB,25,500 Tsd. €,MSV Duisburg,2015
Dustin Bomheuer,CB,25,400 Tsd. €,MSV Duisburg,2015
Enis Hajri,CB,33,125 Tsd. €,MSV Duisburg,2015
Nurettin Kayaoğlu,CB,24,125 Tsd. €,MSV Duisburg,2015
Branimir Bajic,CB,36,100 Tsd. €,MSV Duisburg,2015
Kevin Wolze,LB,26,550 Tsd. €,MSV Duisburg,2015
Dan-Patrick Poggenberg,LB,24,250 Tsd. €,MSV Duisburg,2015
Rolf Feltscher,RB,25,400 Tsd. €,MSV Duisburg,2015
Andreas Wiegel,RB,24,350 Tsd. €,MSV Duisburg,2015
Nico Klotz,RB,29,300 Tsd. €,MSV Duisburg,2015
Matthias Kühne,RB,28,150 Tsd. €,MSV Duisburg,2015
Gianluca Hossmann,RB,25,150 Tsd. €,MSV Duisburg,2015
James Holland,CDM,27,600 Tsd. €,MSV Duisburg,2015
Tim Albutat,CDM,23,550 Tsd. €,MSV Duisburg,2015
Dennis Grote,CDM,29,450 Tsd. €,MSV Duisburg,2015
Steffen Bohl,CDM,32,300 Tsd. €,MSV Duisburg,2015
Pierre De Wit,CM,28,200 Tsd. €,MSV Duisburg,2015
Dominik Behr,CM,20,100 Tsd. €,MSV Duisburg,2015
Barış Özbek,CM,29,100 Tsd. €,MSV Duisburg,2015
Martin Dausch,LM,30,400 Tsd. €,MSV Duisburg,2015
Giorgi Chanturia,RW,23,600 Tsd. €,MSV Duisburg,2015
Ahmet Engin,RW,19,125 Tsd. €,MSV Duisburg,2015
Victor Obinna,Second Striker,29,500 Tsd. €,MSV Duisburg,2015
Kevin Scheidhauer,Second Striker,24,300 Tsd. €,MSV Duisburg,2015
Tomané,ST,23,700 Tsd. €,MSV Duisburg,2015
Kingsley Onuegbu,ST,30,500 Tsd. €,MSV Duisburg,2015
Zlatko Janjic,ST,30,500 Tsd. €,MSV Duisburg,2015
Thomas Bröker,ST,31,400 Tsd. €,MSV Duisburg,2015
Stanislav Ilyuchenko,ST,25,350 Tsd. €,MSV Duisburg,2015
Simon Brandstetter,ST,26,300 Tsd. €,MSV Duisburg,2015
Mark Flekken,GK,24,450 Tsd. €,MSV Duisburg,2016
Daniel Zeaiter,GK,22,150 Tsd. €,MSV Duisburg,2016
Marcel Lenz,GK,26,100 Tsd. €,MSV Duisburg,2016
Dustin Bomheuer,CB,26,500 Tsd. €,MSV Duisburg,2016
