name,position,age,value,team,season
Oliver Leise,GK,36,-,MTV Eintracht Celle,2014
Christof Rienass,GK,22,-,MTV Eintracht Celle,2014
Lennart Schmidt,GK,26,-,MTV Eintracht Celle,2014
Marc Neubert,CB,29,-,MTV Eintracht Celle,2014
Torge Schmidt,CB,30,-,MTV Eintracht Celle,2014
Marcel Brunngräber,CB,20,-,MTV Eintracht Celle,2014
Marc Kohls,CB,34,-,MTV Eintracht Celle,2014
Julian Pröve,CB,29,-,MTV Eintracht Celle,2014
Lars Borchert,CB,25,-,MTV Eintracht Celle,2014
Malte Marquardt,CB,28,-,MTV Eintracht Celle,2014
Torben Vogel,CB,22,-,MTV Eintracht Celle,2014
Sven Perrei,LB,24,-,MTV Eintracht Celle,2014
Marcel Korte,LB,23,-,MTV Eintracht Celle,2014
Tim Struwe,RB,21,-,MTV Eintracht Celle,2014
Nico Mühter,RB,30,-,MTV Eintracht Celle,2014
Christoph Nöhring,Midfielder,25,-,MTV Eintracht Celle,2014
Jan Bennefeld,Midfielder,28,-,MTV Eintracht Celle,2014
Marec Thurmann,Midfielder,23,-,MTV Eintracht Celle,2014
Björn Lohmann,CDM,26,-,MTV Eintracht Celle,2014
Kai Meyer,CDM,34,-,MTV Eintracht Celle,2014
Jan Brodde,Midfielder,28,-,MTV Eintracht Celle,2014
Jonas Kühn,CM,-,-,MTV Eintracht Celle,2014
Marcel Mundiens,CAM,25,-,MTV Eintracht Celle,2014
Birko Schläpfer,ST,38,-,MTV Eintracht Celle,2014
Benjamin Zeising,ST,31,-,MTV Eintracht Celle,2014
Fadil Yavsan,ST,29,-,MTV Eintracht Celle,2014
Manuel Brunne,ST,34,-,MTV Eintracht Celle,2014
Sven Sosnowski,GK,30,-,MTV Eintracht Celle,2015
Dennis Weich,GK,27,-,MTV Eintracht Celle,2015
Christof Rienass,GK,23,-,MTV Eintracht Celle,2015
Lennart Schmidt,GK,27,-,MTV Eintracht Celle,2015
Tjark Klindworth,GK,23,-,MTV Eintracht Celle,2015
Ole Domrich,Sweeper,22,-,MTV Eintracht Celle,2015
Malte Marquardt,CB,29,-,MTV Eintracht Celle,2015
Tino Grossmann,CB,29,-,MTV Eintracht Celle,2015
Lars Borchert,CB,26,-,MTV Eintracht Celle,2015
Yannik Ehlers,LB,20,-,MTV Eintracht Celle,2015
Marcel Korte,LB,24,-,MTV Eintracht Celle,2015
Nico Mühter,RB,31,-,MTV Eintracht Celle,2015
Agit Kaplan,RB,24,-,MTV Eintracht Celle,2015
Daniel Ruchatz,RB,20,-,MTV Eintracht Celle,2015
Tim Struwe,RB,22,-,MTV Eintracht Celle,2015
Frank Weber,Midfielder,47,-,MTV Eintracht Celle,2015
Björn Lohmann,CDM,27,-,MTV Eintracht Celle,2015
Hilger von Elmendorff,CDM,19,-,MTV Eintracht Celle,2015
Kirill Weber,Midfielder,27,-,MTV Eintracht Celle,2015
Jonas Kühn,CM,-,-,MTV Eintracht Celle,2015
Engin Cavildak,CM,23,-,MTV Eintracht Celle,2015
Henry Struwe,CM,18,-,MTV Eintracht Celle,2015
Vincent Marnig,LM,-,-,MTV Eintracht Celle,2015
Marc Matthesius,CAM,24,-,MTV Eintracht Celle,2015
Marcel Mundiens,CAM,26,-,MTV Eintracht Celle,2015
Benedikt Weidner,LW,26,-,MTV Eintracht Celle,2015
Manuel Brunne,ST,35,-,MTV Eintracht Celle,2015
Christof Rienass,GK,24,-,MTV Eintracht Celle,2016
Lennart Schmidt,GK,28,-,MTV Eintracht Celle,2016
Tjark Klindworth,GK,24,-,MTV Eintracht Celle,2016
Marc Kohls,CB,36,-,MTV Eintracht Celle,2016
Ole Domrich,Sweeper,23,-,MTV Eintracht Celle,2016
Torben Vogel,CB,24,-,MTV Eintracht Celle,2016
Malte Marquardt,CB,30,-,MTV Eintracht Celle,2016
Lars Borchert,CB,27,-,MTV Eintracht Celle,2016
Tino Grossmann,CB,30,-,MTV Eintracht Celle,2016
Yannik Ehlers,LB,21,-,MTV Eintracht Celle,2016
Marcel Korte,LB,25,-,MTV Eintracht Celle,2016
Nico Mühter,RB,32,-,MTV Eintracht Celle,2016
Daniel Ruchatz,RB,21,-,MTV Eintracht Celle,2016
Pascal Jarzyna,RB,20,-,MTV Eintracht Celle,2016
Tim Struwe,RB,23,-,MTV Eintracht Celle,2016
Frank Weber,Midfielder,48,-,MTV Eintracht Celle,2016
Nico Feldmann,Midfielder,25,-,MTV Eintracht Celle,2016
Pascal Leihbacher,Midfielder,19,-,MTV Eintracht Celle,2016
Arnas Saulys,Midfielder,19,-,MTV Eintracht Celle,2016
Björn Lohmann,CDM,28,-,MTV Eintracht Celle,2016
Hilger von Elmendorff,CDM,20,-,MTV Eintracht Celle,2016
Christoph Gaete von Wersebe,Midfielder,23,-,MTV Eintracht Celle,2016
Vincent Ziemke,Midfielder,-,-,MTV Eintracht Celle,2016
Timo Premper,Midfielder,24,-,MTV Eintracht Celle,2016
Valentin von Behr,CM,20,-,MTV Eintracht Celle,2016
Henry Struwe,CM,19,-,MTV Eintracht Celle,2016
Adrian Zöfelt,CAM,24,-,MTV Eintracht Celle,2016
Rune Lübbers,ST,20,-,MTV Eintracht Celle,2016
Felix Krüger,ST,24,-,MTV Eintracht Celle,2016
Andreas Mikroulis,GK,21,-,MTV Eintracht Celle,2017
Tjark Klindworth,GK,25,-,MTV Eintracht Celle,2017
Christof Rienass,GK,25,-,MTV Eintracht Celle,2017
Lennart Schmidt,GK,29,-,MTV Eintracht Celle,2017
Malte Marquardt,CB,31,-,MTV Eintracht Celle,2017
Nils Rogge,CB,29,-,MTV Eintracht Celle,2017
Lars Borchert,CB,28,-,MTV Eintracht Celle,2017
Bastian Stech,CB,21,-,MTV Eintracht Celle,2017
Yannik Ehlers,LB,22,-,MTV Eintracht Celle,2017
Julian Rapp,RB,22,-,MTV Eintracht Celle,2017
Daniel Ruchatz,RB,22,-,MTV Eintracht Celle,2017
Tim Struwe,RB,24,-,MTV Eintracht Celle,2017
Maximilian Köps,CDM,20,-,MTV Eintracht Celle,2017
Christoph Gaete von Wersebe,Midfielder,24,-,MTV Eintracht Celle,2017
Christopher Nachtwey,Midfielder,31,-,MTV Eintracht Celle,2017
Björn Lohmann,CDM,29,-,MTV Eintracht Celle,2017
Hilger von Elmendorff,CDM,21,-,MTV Eintracht Celle,2017
Serhat Akyol,CDM,21,-,MTV Eintracht Celle,2017
Ole Eckhart,Midfielder,26,-,MTV Eintracht Celle,2017
Pascal Kubiak,Midfielder,23,-,MTV Eintracht Celle,2017
Tim Runge,CM,25,-,MTV Eintracht Celle,2017
Valentin von Behr,CM,21,-,MTV Eintracht Celle,2017
Henry Struwe,CM,20,-,MTV Eintracht Celle,2017
Adrian Zöfelt,CAM,25,-,MTV Eintracht Celle,2017
Bastian Hattendorf,CAM,25,-,MTV Eintracht Celle,2017
Rune Lübbers,ST,21,-,MTV Eintracht Celle,2017
Moussa Doumbouya,ST,20,-,MTV Eintracht Celle,2017
Marvin Janke,ST,20,-,MTV Eintracht Celle,2017
Lennart Schmidt,GK,30,-,MTV Eintracht Celle,2018
Christof Rienass,GK,26,-,MTV Eintracht Celle,2018
Tjark Klindworth,GK,26,-,MTV Eintracht Celle,2018
Sven Sosnowski,GK,33,-,MTV Eintracht Celle,2018
Marc Kohls,CB,38,-,MTV Eintracht Celle,2018
Waldemar Wart,CB,22,-,MTV Eintracht Celle,2018
Malte Marquardt,CB,32,-,MTV Eintracht Celle,2018
Lars Borchert,CB,29,-,MTV Eintracht Celle,2018
Sven Bothfeld,LB,37,-,MTV Eintracht Celle,2018
Yannik Ehlers,LB,23,-,MTV Eintracht Celle,2018
Alpha Jallow,RB,20,-,MTV Eintracht Celle,2018
Daniel Ruchatz,RB,23,-,MTV Eintracht Celle,2018
Tim Struwe,RB,25,-,MTV Eintracht Celle,2018
Jan Brodde,Midfielder,32,-,MTV Eintracht Celle,2018
Pascal Leihbacher,Midfielder,21,-,MTV Eintracht Celle,2018
Björn Lohmann,CDM,30,-,MTV Eintracht Celle,2018
Hilger von Elmendorff,CDM,22,-,MTV Eintracht Celle,2018
Pascal Kubiak,Midfielder,24,-,MTV Eintracht Celle,2018
Valentin von Behr,CM,22,-,MTV Eintracht Celle,2018
Henry Struwe,CM,21,-,MTV Eintracht Celle,2018
Onur Ekinci,LM,31,-,MTV Eintracht Celle,2018
Adrian Zöfelt,CAM,26,-,MTV Eintracht Celle,2018
Stephane Sylla,LW,27,-,MTV Eintracht Celle,2018
Dennis Runge,RW,22,-,MTV Eintracht Celle,2018
Nemanja Blagojevic,ST,-,-,MTV Eintracht Celle,2018
Moussa Doumbouya,ST,21,-,MTV Eintracht Celle,2018
Marvin Janke,ST,21,-,MTV Eintracht Celle,2018
Sven Sosnowski,GK,34,-,MTV Eintracht Celle,2019
Tjark Klindworth,GK,27,-,MTV Eintracht Celle,2019
Christof Rienass,GK,27,-,MTV Eintracht Celle,2019
Marco Dubberke,GK,27,-,MTV Eintracht Celle,2019
Malte Marquardt,CB,33,-,MTV Eintracht Celle,2019
Lars Borchert,CB,30,-,MTV Eintracht Celle,2019
Michael Trautmann,CB,20,-,MTV Eintracht Celle,2019
Philip Köhler,LB,25,-,MTV Eintracht Celle,2019
Merchas Doski,LB,20,-,MTV Eintracht Celle,2019
Yannik Ehlers,LB,24,-,MTV Eintracht Celle,2019
Calvin Smith,RB,20,-,MTV Eintracht Celle,2019
Alpha Jallow,RB,21,-,MTV Eintracht Celle,2019
Daniel Ruchatz,RB,24,-,MTV Eintracht Celle,2019
Tim Struwe,RB,26,-,MTV Eintracht Celle,2019
Björn Lohmann,CDM,31,-,MTV Eintracht Celle,2019
Serhat Yazgan,CDM,20,-,MTV Eintracht Celle,2019
Hilger von Elmendorff,CDM,23,-,MTV Eintracht Celle,2019
Yusuf Akdas,CDM,22,-,MTV Eintracht Celle,2019
Henry Struwe,CM,22,-,MTV Eintracht Celle,2019
Onur Ekinci,LM,32,-,MTV Eintracht Celle,2019
Alexander Laube,LM,24,-,MTV Eintracht Celle,2019
Adrian Zöfelt,CAM,27,-,MTV Eintracht Celle,2019
Gerbi Kaplan,CAM,29,-,MTV Eintracht Celle,2019
Tom Schaper,CAM,20,-,MTV Eintracht Celle,2019
Rodi Hezo,LW,21,25 Tsd. €,MTV Eintracht Celle,2019
Ioannis Gkegkprifti,LW,19,25 Tsd. €,MTV Eintracht Celle,2019
Dennis Runge,RW,23,-,MTV Eintracht Celle,2019
Faisal Soma,RW,21,-,MTV Eintracht Celle,2019
Felix Krüger,ST,27,-,MTV Eintracht Celle,2019
Marlon Roß,ST,19,-,MTV Eintracht Celle,2019
Jean-Luca van Eupen,ST,20,-,MTV Eintracht Celle,2019
Tjark Klindworth,GK,28,-,MTV Eintracht Celle,2020
Christof Rienass,GK,28,-,MTV Eintracht Celle,2020
Justin Griep,GK,19,-,MTV Eintracht Celle,2020
Marco Dubberke,GK,28,-,MTV Eintracht Celle,2020
Robert Busch,CB,-,-,MTV Eintracht Celle,2020
Malte Marquardt,CB,34,-,MTV Eintracht Celle,2020
Julius Moraitis,CB,-,-,MTV Eintracht Celle,2020
Artur Saiz,CB,19,-,MTV Eintracht Celle,2020
Lars Borchert,CB,31,-,MTV Eintracht Celle,2020
Michael Trautmann,CB,21,-,MTV Eintracht Celle,2020
Philip Köhler,LB,26,-,MTV Eintracht Celle,2020
Yannik Ehlers,LB,25,-,MTV Eintracht Celle,2020
Daniel Ruchatz,RB,25,-,MTV Eintracht Celle,2020
Laurin Bonk,RB,20,-,MTV Eintracht Celle,2020
Tim Struwe,RB,27,-,MTV Eintracht Celle,2020
Serhat Yazgan,CDM,21,-,MTV Eintracht Celle,2020
Hilger von Elmendorff,CDM,24,-,MTV Eintracht Celle,2020
Alexander Laube,LM,25,-,MTV Eintracht Celle,2020
Adrian Zöfelt,CAM,28,-,MTV Eintracht Celle,2020
Gerbi Kaplan,CAM,30,-,MTV Eintracht Celle,2020
Tom Schaper,CAM,21,-,MTV Eintracht Celle,2020
Ioannis Gkegkprifti,LW,20,-,MTV Eintracht Celle,2020
Rodi Hezo,LW,22,-,MTV Eintracht Celle,2020
Faisal Soma,RW,22,-,MTV Eintracht Celle,2020
Felix Krüger,ST,28,-,MTV Eintracht Celle,2020
Marlon Roß,ST,20,-,MTV Eintracht Celle,2020
Jean-Luca van Eupen,ST,21,-,MTV Eintracht Celle,2020
Marc Perrei,GK,30,-,MTV Eintracht Celle,2021
Tjark Klindworth,GK,29,-,MTV Eintracht Celle,2021
Philipp Reiche,GK,25,-,MTV Eintracht Celle,2021
Christof Rienass,GK,29,-,MTV Eintracht Celle,2021
Justin Griep,GK,20,-,MTV Eintracht Celle,2021
Yacine Benbiri,CB,21,-,MTV Eintracht Celle,2021
Fabian Weigel,CB,24,-,MTV Eintracht Celle,2021
Lars Borchert,CB,32,-,MTV Eintracht Celle,2021
Michael Trautmann,CB,22,-,MTV Eintracht Celle,2021
Talal Selo,LB,-,-,MTV Eintracht Celle,2021
Philip Köhler,LB,27,-,MTV Eintracht Celle,2021
Yannik Ehlers,LB,26,-,MTV Eintracht Celle,2021
Nico Mühter,RB,37,-,MTV Eintracht Celle,2021
Gero Busatis,RB,19,-,MTV Eintracht Celle,2021
Daniel Ruchatz,RB,26,-,MTV Eintracht Celle,2021
Laurin Bonk,RB,21,-,MTV Eintracht Celle,2021
Tim Struwe,RB,28,-,MTV Eintracht Celle,2021
Yusuf Akdas,CDM,24,10 Tsd. €,MTV Eintracht Celle,2021
Björn Lohmann,CDM,33,-,MTV Eintracht Celle,2021
Maher Haqi Ismail,Midfielder,20,-,MTV Eintracht Celle,2021
Toufik Cheriet,CDM,19,-,MTV Eintracht Celle,2021
Hilger von Elmendorff,CDM,25,-,MTV Eintracht Celle,2021
Amadou Sesay,CDM,20,-,MTV Eintracht Celle,2021
Fatih Yavsan,Midfielder,30,-,MTV Eintracht Celle,2021
Denis Janu,CM,27,-,MTV Eintracht Celle,2021
Oury Diallo Keita,RM,19,-,MTV Eintracht Celle,2021
Alexander Laube,LM,26,-,MTV Eintracht Celle,2021
Tom Schaper,CAM,22,-,MTV Eintracht Celle,2021
Marc Matthesius,CAM,30,-,MTV Eintracht Celle,2021
Adrian Zöfelt,CAM,29,-,MTV Eintracht Celle,2021
Gerbi Kaplan,CAM,31,-,MTV Eintracht Celle,2021
Ioannis Gkegkprifti,LW,21,-,MTV Eintracht Celle,2021
Rodi Hezo,LW,23,-,MTV Eintracht Celle,2021
Faisal Soma,RW,23,-,MTV Eintracht Celle,2021
Felix Krüger,ST,29,-,MTV Eintracht Celle,2021
Marcos Pappas,ST,21,-,MTV Eintracht Celle,2021
Jean-Luca van Eupen,ST,22,-,MTV Eintracht Celle,2021
Marc Perrei,GK,31,-,MTV Eintracht Celle,2022
Christof Rienass,GK,30,-,MTV Eintracht Celle,2022
Justin Griep,GK,21,-,MTV Eintracht Celle,2022
Tim Freund,GK,22,-,MTV Eintracht Celle,2022
Maximilian Wede,CB,22,-,MTV Eintracht Celle,2022
Michael Trautmann,CB,23,-,MTV Eintracht Celle,2022
Ilhan Kizilhan,CB,21,-,MTV Eintracht Celle,2022
Collin Sarnowski,LB,23,-,MTV Eintracht Celle,2022
Talal Selo,LB,-,-,MTV Eintracht Celle,2022
Philip Köhler,LB,28,-,MTV Eintracht Celle,2022
Yannik Ehlers,LB,27,-,MTV Eintracht Celle,2022
Gero Busatis,RB,20,-,MTV Eintracht Celle,2022
Laurin Bonk,RB,22,-,MTV Eintracht Celle,2022
Aziz Kiy,CDM,21,-,MTV Eintracht Celle,2022
Toufik Cheriet,CDM,20,-,MTV Eintracht Celle,2022
Hilger von Elmendorff,CDM,26,-,MTV Eintracht Celle,2022
Amadou Sesay,CDM,21,-,MTV Eintracht Celle,2022
Oury Diallo Keita,RM,20,-,MTV Eintracht Celle,2022
Alexander Laube,LM,27,-,MTV Eintracht Celle,2022
Yalcin Agackiran,CAM,32,-,MTV Eintracht Celle,2022
Adrian Zöfelt,CAM,30,-,MTV Eintracht Celle,2022
Senga Mpumuliza,CAM,19,-,MTV Eintracht Celle,2022
Tom Schaper,CAM,23,-,MTV Eintracht Celle,2022
Ioannis Gkegkprifti,LW,22,-,MTV Eintracht Celle,2022
Rodi Hezo,LW,24,-,MTV Eintracht Celle,2022
Faisal Soma,RW,24,-,MTV Eintracht Celle,2022
Felix Krüger,ST,30,-,MTV Eintracht Celle,2022
Jean-Luca van Eupen,ST,23,-,MTV Eintracht Celle,2022
Tom Bünting,GK,24,-,MTV Eintracht Celle,2023
Jonas Leise,GK,20,-,MTV Eintracht Celle,2023
Tim Freund,GK,23,-,MTV Eintracht Celle,2023
Nico Lindner,GK,22,-,MTV Eintracht Celle,2023
Robin Benecke,CB,24,-,MTV Eintracht Celle,2023
Maximilian Wede,CB,23,-,MTV Eintracht Celle,2023
Ilhan Kizilhan,CB,22,-,MTV Eintracht Celle,2023
Karim Jellali,CB,24,-,MTV Eintracht Celle,2023
Michael Trautmann,CB,24,-,MTV Eintracht Celle,2023
Talal Selo,LB,-,-,MTV Eintracht Celle,2023
Philip Köhler,LB,29,-,MTV Eintracht Celle,2023
Yannik Ehlers,LB,28,-,MTV Eintracht Celle,2023
Gero Busatis,RB,21,-,MTV Eintracht Celle,2023
Tom Becker,RB,24,-,MTV Eintracht Celle,2023
Laurin Bonk,RB,23,-,MTV Eintracht Celle,2023
Aziz Kiy,CDM,22,-,MTV Eintracht Celle,2023
Hilger von Elmendorff,CDM,27,-,MTV Eintracht Celle,2023
Toufik Cheriet,CDM,21,-,MTV Eintracht Celle,2023
Amadou Sesay,CDM,22,-,MTV Eintracht Celle,2023
Valentin von Behr,CM,27,-,MTV Eintracht Celle,2023
Henry Struwe,CM,26,-,MTV Eintracht Celle,2023
Kevin Gerecke,RM,22,-,MTV Eintracht Celle,2023
Oury Diallo Keita,RM,21,-,MTV Eintracht Celle,2023
Alexander Laube,LM,28,-,MTV Eintracht Celle,2023
Adrian Zöfelt,CAM,31,-,MTV Eintracht Celle,2023
Senga Mpumuliza,CAM,20,-,MTV Eintracht Celle,2023
Tom Schaper,CAM,24,-,MTV Eintracht Celle,2023
Ioannis Gkegkprifti,LW,23,-,MTV Eintracht Celle,2023
Rodi Hezo,LW,25,-,MTV Eintracht Celle,2023
Faisal Soma,RW,25,-,MTV Eintracht Celle,2023
Felix Krüger,ST,31,-,MTV Eintracht Celle,2023
Jean-Luca van Eupen,ST,24,-,MTV Eintracht Celle,2023
