name,position,age,value,team,season
Maximilian Schulze Niehues,GK,26,175 Tsd. €,Preußen Münster,2014
Daniel Masuch,GK,38,100 Tsd. €,Preußen Münster,2014
Marco Aulbach,GK,21,50 Tsd. €,Preußen Münster,2014
Simon Scherder,CB,22,350 Tsd. €,Preußen Münster,2014
Dominik Schmidt,CB,27,350 Tsd. €,Preußen Münster,2014
Aaron Berzel,CB,23,250 Tsd. €,Preußen Münster,2014
Marc Heitmeier,CB,30,250 Tsd. €,Preußen Münster,2014
Julian Riedel,CB,23,225 Tsd. €,Preußen Münster,2014
Marco Pischorn,CB,29,175 Tsd. €,Preußen Münster,2014
Patrick Kirsch,CB,34,100 Tsd. €,Preußen Münster,2014
Thorsten Schulz,LB,30,250 Tsd. €,Preußen Münster,2014
Fabian Hergesell,LB,29,225 Tsd. €,Preußen Münster,2014
Philip Röhe,RB,21,50 Tsd. €,Preußen Münster,2014
Erik Zenga,CDM,22,300 Tsd. €,Preußen Münster,2014
Kevin Schöneberg,CDM,29,250 Tsd. €,Preußen Münster,2014
Jens Truckenbrod,CDM,35,100 Tsd. €,Preußen Münster,2014
Stefan Kaldewey,CDM,22,-,Preußen Münster,2014
Amaury Bischoff,CM,28,425 Tsd. €,Preußen Münster,2014
Philipp Hoffmann,RM,23,275 Tsd. €,Preußen Münster,2014
Benjamin Siegert,RM,33,200 Tsd. €,Preußen Münster,2014
Marcus Piossek,CAM,25,375 Tsd. €,Preußen Münster,2014
Michael Holt,CAM,29,100 Tsd. €,Preußen Münster,2014
Mehmet Kara,LW,31,250 Tsd. €,Preußen Münster,2014
Abdenour Amachaibou,Second Striker,28,300 Tsd. €,Preußen Münster,2014
Marcel Reichwein,ST,29,350 Tsd. €,Preußen Münster,2014
Rogier Krohne,ST,28,275 Tsd. €,Preußen Münster,2014
Emil Atlason,ST,21,150 Tsd. €,Preußen Münster,2014
Niklas Lomb,GK,22,350 Tsd. €,Preußen Münster,2015
Maximilian Schulze Niehues,GK,27,200 Tsd. €,Preußen Münster,2015
Marco Aulbach,GK,22,50 Tsd. €,Preußen Münster,2015
Simon Scherder,CB,23,300 Tsd. €,Preußen Münster,2015
Marc Heitmeier,CB,31,275 Tsd. €,Preußen Münster,2015
Marco Pischorn,CB,30,275 Tsd. €,Preußen Münster,2015
Lion Schweers,CB,20,150 Tsd. €,Preußen Münster,2015
Benjamin Schwarz,LB,29,300 Tsd. €,Preußen Münster,2015
Björn Kopplin,RB,27,300 Tsd. €,Preußen Münster,2015
Stéphane Tritz,RB,29,225 Tsd. €,Preußen Münster,2015
Lennart Stoll,RB,20,75 Tsd. €,Preußen Münster,2015
Bennet Eickhoff,RB,20,-,Preußen Münster,2015
Chris Philipps,CDM,22,325 Tsd. €,Preußen Münster,2015
Charles-Élie Laprevotte,CDM,23,250 Tsd. €,Preußen Münster,2015
Kevin Schöneberg,CDM,30,175 Tsd. €,Preußen Münster,2015
Danilo Wiebe,CDM,22,150 Tsd. €,Preußen Münster,2015
Amaury Bischoff,CM,29,400 Tsd. €,Preußen Münster,2015
Philipp Hoffmann,RM,24,350 Tsd. €,Preußen Münster,2015
Marcus Piossek,CAM,26,500 Tsd. €,Preußen Münster,2015
Felix Müller,LW,23,275 Tsd. €,Preußen Münster,2015
Mehmet Kara,LW,32,250 Tsd. €,Preußen Münster,2015
Abdenour Amachaibou,Second Striker,29,200 Tsd. €,Preußen Münster,2015
Marcel Reichwein,ST,30,300 Tsd. €,Preußen Münster,2015
Adriano Grimaldi,ST,25,300 Tsd. €,Preußen Münster,2015
Cihan Özkara,ST,24,275 Tsd. €,Preußen Münster,2015
Rogier Krohne,ST,29,275 Tsd. €,Preußen Münster,2015
Jesse Weißenfels,ST,24,200 Tsd. €,Preußen Münster,2015
Maximilian Schulze Niehues,GK,28,250 Tsd. €,Preußen Münster,2016
Patrick Drewes,GK,24,150 Tsd. €,Preußen Münster,2016
Stephan Tantow,GK,27,-,Preußen Münster,2016
Lion Schweers,CB,21,350 Tsd. €,Preußen Münster,2016
Sandrino Braun-Schumacher,CB,28,275 Tsd. €,Preußen Münster,2016
Sebastian Mai,CB,23,250 Tsd. €,Preußen Münster,2016
Ole Kittner,CB,29,200 Tsd. €,Preußen Münster,2016
Simon Scherder,CB,24,100 Tsd. €,Preußen Münster,2016
Jannik Borgmann,CB,19,-,Preußen Münster,2016
Jeron Al-Hazaimeh,LB,25,250 Tsd. €,Preußen Münster,2016
Benjamin Schwarz,LB,30,200 Tsd. €,Preußen Münster,2016
Stéphane Tritz,RB,30,225 Tsd. €,Preußen Münster,2016
Edisson Jordanov,RB,24,200 Tsd. €,Preußen Münster,2016
Lennart Stoll,RB,21,150 Tsd. €,Preußen Münster,2016
Bennet Eickhoff,RB,21,50 Tsd. €,Preußen Münster,2016
Michele Rizzi,CDM,29,300 Tsd. €,Preußen Münster,2016
Danilo Wiebe,CDM,23,200 Tsd. €,Preußen Münster,2016
Amaury Bischoff,CM,30,325 Tsd. €,Preußen Münster,2016
Denis Mangafic,CM,27,50 Tsd. €,Preußen Münster,2016
Philipp Hoffmann,RM,25,275 Tsd. €,Preußen Münster,2016
Martin Kobylanski,CAM,23,200 Tsd. €,Preußen Münster,2016
Christian Müller,CAM,33,150 Tsd. €,Preußen Münster,2016
Mehmet Kara,LW,33,100 Tsd. €,Preußen Münster,2016
Sinan Tekerci,RW,23,300 Tsd. €,Preußen Münster,2016
Adriano Grimaldi,ST,26,375 Tsd. €,Preußen Münster,2016
Tobias Rühle,ST,26,300 Tsd. €,Preußen Münster,2016
Tobias Warschewski,ST,19,300 Tsd. €,Preußen Münster,2016
Mirkan Aydin,ST,29,275 Tsd. €,Preußen Münster,2016
Jesse Weißenfels,ST,25,150 Tsd. €,Preußen Münster,2016
Cihan Özkara,ST,25,100 Tsd. €,Preußen Münster,2016
Nils Körber,GK,21,225 Tsd. €,Preußen Münster,2017
Maximilian Schulze Niehues,GK,29,175 Tsd. €,Preußen Münster,2017
Luis Klante,GK,19,50 Tsd. €,Preußen Münster,2017
Stephan Tantow,GK,28,-,Preußen Münster,2017
Lion Schweers,CB,22,350 Tsd. €,Preußen Münster,2017
Fabian Menig,CB,24,300 Tsd. €,Preußen Münster,2017
Simon Scherder,CB,25,275 Tsd. €,Preußen Münster,2017
Sandrino Braun-Schumacher,CB,29,250 Tsd. €,Preußen Münster,2017
Sebastian Mai,CB,24,250 Tsd. €,Preußen Münster,2017
Ole Kittner,CB,30,200 Tsd. €,Preußen Münster,2017
Jannik Borgmann,CB,20,-,Preußen Münster,2017
Jeron Al-Hazaimeh,LB,26,200 Tsd. €,Preußen Münster,2017
Benjamin Schwarz,LB,31,125 Tsd. €,Preußen Münster,2017
Julian Conze,LB,18,50 Tsd. €,Preußen Münster,2017
Stéphane Tritz,RB,31,175 Tsd. €,Preußen Münster,2017
Lennart Stoll,RB,22,100 Tsd. €,Preußen Münster,2017
Michele Rizzi,CDM,30,250 Tsd. €,Preußen Münster,2017
Danilo Wiebe,CDM,24,175 Tsd. €,Preußen Münster,2017
Nico Rinderknecht,CDM,20,150 Tsd. €,Preußen Münster,2017
Adrian Knüver,CM,19,50 Tsd. €,Preußen Münster,2017
Philipp Hoffmann,RM,26,250 Tsd. €,Preußen Münster,2017
Moritz Heinrich,RM,20,150 Tsd. €,Preußen Münster,2017
Martin Kobylanski,CAM,24,350 Tsd. €,Preußen Münster,2017
Lucas Cueto,LW,22,125 Tsd. €,Preußen Münster,2017
Adriano Grimaldi,ST,27,400 Tsd. €,Preußen Münster,2017
Tobias Rühle,ST,27,275 Tsd. €,Preußen Münster,2017
Tobias Warschewski,ST,20,200 Tsd. €,Preußen Münster,2017
Cyrill Akono,ST,18,125 Tsd. €,Preußen Münster,2017
Luca Steinfeldt,ST,21,-,Preußen Münster,2017
Justin Steinkötter,ST,18,-,Preußen Münster,2017
Maximilian Schulze Niehues,GK,30,200 Tsd. €,Preußen Münster,2018
Oliver Schnitzler,GK,23,150 Tsd. €,Preußen Münster,2018
Marian Prinz,GK,19,75 Tsd. €,Preußen Münster,2018
Marko Dedovic,GK,21,-,Preußen Münster,2018
Lion Schweers,CB,23,350 Tsd. €,Preußen Münster,2018
Fabian Menig,CB,25,300 Tsd. €,Preußen Münster,2018
Simon Scherder,CB,26,250 Tsd. €,Preußen Münster,2018
Jannik Borgmann,CB,21,200 Tsd. €,Preußen Münster,2018
Ole Kittner,CB,31,200 Tsd. €,Preußen Münster,2018
Sandrino Braun-Schumacher,CB,30,175 Tsd. €,Preußen Münster,2018
Dominik Lanius,CB,22,150 Tsd. €,Preußen Münster,2018
Niklas Heidemann,LB,24,225 Tsd. €,Preußen Münster,2018
