name,position,age,value,team,season
Benjamin Bellot,GK,24,350 Tsd. €,RB Leipzig,2014
Fabio Coltorti,GK,34,300 Tsd. €,RB Leipzig,2014
Thomas Dähne,GK,21,200 Tsd. €,RB Leipzig,2014
Marvin Compper,CB,30,"1,30 Mio. €",RB Leipzig,2014
Rodnei,CB,29,750 Tsd. €,RB Leipzig,2014
Anthony Jung,CB,23,700 Tsd. €,RB Leipzig,2014
Niklas Hoheneder,CB,28,600 Tsd. €,RB Leipzig,2014
Lukas Klostermann,CB,19,500 Tsd. €,RB Leipzig,2014
Tim Sebastian,CB,31,450 Tsd. €,RB Leipzig,2014
Tobias Willers,CB,28,300 Tsd. €,RB Leipzig,2014
Fabian Franke,CB,26,300 Tsd. €,RB Leipzig,2014
Henrik Ernst,CB,28,150 Tsd. €,RB Leipzig,2014
Mikko Sumusalo,LB,25,250 Tsd. €,RB Leipzig,2014
John-Patrick Strauß,LB,19,150 Tsd. €,RB Leipzig,2014
Georg Teigl,RB,24,900 Tsd. €,RB Leipzig,2014
Joshua Kimmich,CDM,20,"5,00 Mio. €",RB Leipzig,2014
Rani Khedira,CDM,21,"1,30 Mio. €",RB Leipzig,2014
Diego Demme,CDM,23,800 Tsd. €,RB Leipzig,2014
Dominik Kaiser,CM,26,900 Tsd. €,RB Leipzig,2014
Zsolt Kalmár,CM,20,800 Tsd. €,RB Leipzig,2014
Clemens Fandrich,CM,24,300 Tsd. €,RB Leipzig,2014
Stefan Hierländer,RM,24,600 Tsd. €,RB Leipzig,2014
Sebastian Heidinger,RM,29,350 Tsd. €,RB Leipzig,2014
Denis Thomalla,CAM,22,750 Tsd. €,RB Leipzig,2014
Federico Palacios,CAM,20,350 Tsd. €,RB Leipzig,2014
Ante Rebić,LW,21,"2,50 Mio. €",RB Leipzig,2014
Emil Forsberg,LW,23,"2,00 Mio. €",RB Leipzig,2014
Omer Damari,ST,26,"3,50 Mio. €",RB Leipzig,2014
Yussuf Poulsen,ST,21,"2,50 Mio. €",RB Leipzig,2014
Terrence Boyd,ST,24,"1,50 Mio. €",RB Leipzig,2014
Yordy Reyna,ST,21,"1,25 Mio. €",RB Leipzig,2014
Daniel Frahn,ST,28,500 Tsd. €,RB Leipzig,2014
Smail Prevljak,ST,20,350 Tsd. €,RB Leipzig,2014
Matthias Morys,ST,28,200 Tsd. €,RB Leipzig,2014
Tom Nattermann,ST,22,-,RB Leipzig,2014
Péter Gulácsi,GK,26,700 Tsd. €,RB Leipzig,2015
Fabio Coltorti,GK,35,300 Tsd. €,RB Leipzig,2015
Benjamin Bellot,GK,25,250 Tsd. €,RB Leipzig,2015
Willi Orbán,CB,23,"2,50 Mio. €",RB Leipzig,2015
Atınç Nukan,CB,22,"2,50 Mio. €",RB Leipzig,2015
Marcel Halstenberg,CB,24,"2,50 Mio. €",RB Leipzig,2015
Lukas Klostermann,CB,20,"2,00 Mio. €",RB Leipzig,2015
Anthony Jung,CB,24,800 Tsd. €,RB Leipzig,2015
Marvin Compper,CB,31,600 Tsd. €,RB Leipzig,2015
Tim Sebastian,CB,32,350 Tsd. €,RB Leipzig,2015
Alexander Sorge,CB,23,100 Tsd. €,RB Leipzig,2015
John-Patrick Strauß,LB,20,150 Tsd. €,RB Leipzig,2015
Georg Teigl,RB,25,750 Tsd. €,RB Leipzig,2015
Stefan Ilsanker,CDM,27,"2,00 Mio. €",RB Leipzig,2015
Rani Khedira,CDM,22,900 Tsd. €,RB Leipzig,2015
Diego Demme,CDM,24,900 Tsd. €,RB Leipzig,2015
Gino Fechner,CDM,18,100 Tsd. €,RB Leipzig,2015
Marcel Sabitzer,CM,22,"4,00 Mio. €",RB Leipzig,2015
Dominik Kaiser,CM,27,"1,50 Mio. €",RB Leipzig,2015
Zsolt Kalmár,CM,21,400 Tsd. €,RB Leipzig,2015
Idrissa Touré,CM,18,200 Tsd. €,RB Leipzig,2015
