name,position,age,value,team,season
Jonas Ermes,GK,26,-,RSV Meinerzhagen,2017
Dominik Hollmann,GK,25,-,RSV Meinerzhagen,2017
John-Steven Foth,GK,21,-,RSV Meinerzhagen,2017
Martin Mucha,CB,-,-,RSV Meinerzhagen,2017
Apostolos Aslanidis,CB,23,-,RSV Meinerzhagen,2017
Sven Wurm,CB,23,-,RSV Meinerzhagen,2017
Leonard Mai,CB,-,-,RSV Meinerzhagen,2017
Nils Buchwalder,CB,21,-,RSV Meinerzhagen,2017
Ali Özdemir,CB,23,-,RSV Meinerzhagen,2017
Musa Sesay,LB,22,-,RSV Meinerzhagen,2017
Serkan Dalman,RB,31,-,RSV Meinerzhagen,2017
Julian Jakobs,Midfielder,28,-,RSV Meinerzhagen,2017
Hakan Demir,CDM,26,-,RSV Meinerzhagen,2017
Marc Linneboden,Midfielder,19,-,RSV Meinerzhagen,2017
Timo Eick,Midfielder,-,-,RSV Meinerzhagen,2017
Alexander Horst,Midfielder,29,-,RSV Meinerzhagen,2017
Dominik Franz,Midfielder,28,-,RSV Meinerzhagen,2017
Ewald Platt,LM,24,-,RSV Meinerzhagen,2017
Fisnik Zejnullahu,CAM,31,-,RSV Meinerzhagen,2017
David Kerefidis,CAM,31,-,RSV Meinerzhagen,2017
Andreas Spais,ST,24,-,RSV Meinerzhagen,2017
Artur Krämer,ST,29,-,RSV Meinerzhagen,2017
Jonas Ermes,GK,27,-,RSV Meinerzhagen,2018
Johannes Focher,GK,29,-,RSV Meinerzhagen,2018
Nils Langwald,GK,29,-,RSV Meinerzhagen,2018
Yasin Aktas,CB,30,-,RSV Meinerzhagen,2018
Sven Wurm,CB,24,-,RSV Meinerzhagen,2018
Til Bauman,CB,24,-,RSV Meinerzhagen,2018
Ali Özdemir,CB,24,-,RSV Meinerzhagen,2018
Nils Buchwalder,CB,22,-,RSV Meinerzhagen,2018
Robin Menard,CB,20,-,RSV Meinerzhagen,2018
Musa Sesay,LB,23,-,RSV Meinerzhagen,2018
Julian Jakobs,Midfielder,29,-,RSV Meinerzhagen,2018
Dominik Franz,Midfielder,29,-,RSV Meinerzhagen,2018
Alexander Horst,Midfielder,30,-,RSV Meinerzhagen,2018
Hakan Demir,CDM,27,-,RSV Meinerzhagen,2018
Tim Treude,CM,29,-,RSV Meinerzhagen,2018
Matthieu Bengsch,RM,30,-,RSV Meinerzhagen,2018
Raphael Gräßer,RM,28,-,RSV Meinerzhagen,2018
Marcel Kandziora,LM,29,-,RSV Meinerzhagen,2018
Ewald Platt,LM,25,-,RSV Meinerzhagen,2018
Nik Kunkel,CAM,27,-,RSV Meinerzhagen,2018
Fisnik Zejnullahu,CAM,32,-,RSV Meinerzhagen,2018
