name,position,age,value,team,season
Jan Kistenmacher,GK,41,-,Rostocker FC 1895,2014
Patrik Brencic,GK,21,-,Rostocker FC 1895,2014
Jens Göttert,GK,31,-,Rostocker FC 1895,2014
Thomas Schmidt,GK,27,-,Rostocker FC 1895,2014
Björn Henning,CB,31,-,Rostocker FC 1895,2014
Lennart Schleese,CB,25,-,Rostocker FC 1895,2014
Karim Ben Cadi,CB,21,-,Rostocker FC 1895,2014
Jan-Christoph Israel,CB,25,-,Rostocker FC 1895,2014
Christian Rosenkranz,CB,23,-,Rostocker FC 1895,2014
Christian Schindel,CB,24,-,Rostocker FC 1895,2014
Tobias Kirschnick,LB,29,-,Rostocker FC 1895,2014
Stefan Haase,RB,30,-,Rostocker FC 1895,2014
Holger Wilken,Midfielder,51,-,Rostocker FC 1895,2014
Andy Komorovski,Midfielder,22,-,Rostocker FC 1895,2014
Tom Bockholt,CDM,25,-,Rostocker FC 1895,2014
Florian Karsch,Midfielder,19,-,Rostocker FC 1895,2014
Thomas Ehlert,CDM,27,-,Rostocker FC 1895,2014
Erik Meschter,CM,24,-,Rostocker FC 1895,2014
Erik Fuhrmann,CAM,19,-,Rostocker FC 1895,2014
Daniel Muniz dos Santos,CAM,23,-,Rostocker FC 1895,2014
Robert Wullwage,CAM,24,-,Rostocker FC 1895,2014
Jasper Niebuhr,CAM,19,-,Rostocker FC 1895,2014
Denny Kambs,Second Striker,28,-,Rostocker FC 1895,2014
Tony-Glen Siegmund,Second Striker,21,-,Rostocker FC 1895,2014
Scott-Martin Dohse,ST,23,-,Rostocker FC 1895,2014
Christian Gätjen,ST,-,-,Rostocker FC 1895,2014
Maik Wießmann,ST,22,-,Rostocker FC 1895,2014
Christoph Lüth,ST,27,-,Rostocker FC 1895,2014
Michael Nerius,ST,26,-,Rostocker FC 1895,2014
Hannes Uecker,ST,22,-,Rostocker FC 1895,2014
Jan Kistenmacher,GK,42,-,Rostocker FC 1895,2015
Jan Moritz Westkämper,GK,27,-,Rostocker FC 1895,2015
Patrik Brencic,GK,22,-,Rostocker FC 1895,2015
Jens Göttert,GK,32,-,Rostocker FC 1895,2015
Thomas Schmidt,GK,28,-,Rostocker FC 1895,2015
Björn Henning,CB,32,-,Rostocker FC 1895,2015
Jesse Ben Bochert,CB,27,-,Rostocker FC 1895,2015
Lennart Schleese,CB,26,-,Rostocker FC 1895,2015
Karim Ben Cadi,CB,22,-,Rostocker FC 1895,2015
Lucian Botici,CB,29,-,Rostocker FC 1895,2015
Christian Rosenkranz,CB,24,-,Rostocker FC 1895,2015
Christian Schindel,CB,25,-,Rostocker FC 1895,2015
André Rokita,LB,20,-,Rostocker FC 1895,2015
Tobias Kirschnick,LB,30,-,Rostocker FC 1895,2015
Stefan Haase,RB,31,-,Rostocker FC 1895,2015
Oliver Riechert,RB,23,-,Rostocker FC 1895,2015
Eduards Ovsijenko,CDM,18,-,Rostocker FC 1895,2015
Martin Pett,CDM,29,-,Rostocker FC 1895,2015
Tuan Tu Duong,Midfielder,20,-,Rostocker FC 1895,2015
Yama Afghanyar,CDM,24,-,Rostocker FC 1895,2015
Tom Bockholt,CDM,26,-,Rostocker FC 1895,2015
Can Kalkavan,RM,30,-,Rostocker FC 1895,2015
Steffen Mosch,RM,19,-,Rostocker FC 1895,2015
Felix Dojahn,LM,30,-,Rostocker FC 1895,2015
Dominik Großmann,LM,20,-,Rostocker FC 1895,2015
Robert Wullwage,CAM,25,-,Rostocker FC 1895,2015
Daniel Muniz dos Santos,CAM,24,-,Rostocker FC 1895,2015
Jasper Niebuhr,CAM,20,-,Rostocker FC 1895,2015
Tony-Glen Siegmund,Second Striker,22,-,Rostocker FC 1895,2015
Jan Habenreich,ST,20,-,Rostocker FC 1895,2015
Michael Stammer,ST,24,-,Rostocker FC 1895,2015
Paul Maletzke,ST,24,-,Rostocker FC 1895,2015
Christoph Lüth,ST,28,-,Rostocker FC 1895,2015
Michael Nerius,ST,27,-,Rostocker FC 1895,2015
Hannes Uecker,ST,23,-,Rostocker FC 1895,2015
Benjamin Heskamp,GK,32,-,Rostocker FC 1895,2016
Jan Kistenmacher,GK,43,-,Rostocker FC 1895,2016
Eike Döscher,GK,26,-,Rostocker FC 1895,2016
Maurice Manthey,GK,28,-,Rostocker FC 1895,2016
Ahmad Alizzo,CB,-,-,Rostocker FC 1895,2016
Norman Tzschoppe,CB,31,-,Rostocker FC 1895,2016
Tom Schmidt,CB,21,-,Rostocker FC 1895,2016
Lennart Schleese,CB,27,-,Rostocker FC 1895,2016
Karim Ben Cadi,CB,23,-,Rostocker FC 1895,2016
Lucian Botici,CB,30,-,Rostocker FC 1895,2016
Christian Rosenkranz,CB,25,-,Rostocker FC 1895,2016
Christian Schindel,CB,26,-,Rostocker FC 1895,2016
Tobias Kirschnick,LB,31,-,Rostocker FC 1895,2016
André Rokita,LB,21,-,Rostocker FC 1895,2016
William Brandes,RB,22,-,Rostocker FC 1895,2016
Martin Pett,CDM,30,-,Rostocker FC 1895,2016
Holger Wilken,Midfielder,53,-,Rostocker FC 1895,2016
Fiete Reich,Midfielder,19,-,Rostocker FC 1895,2016
Felix Wöhrle,Midfielder,-,-,Rostocker FC 1895,2016
Tom Bockholt,CDM,27,-,Rostocker FC 1895,2016
Felix Patzenhauer,CM,27,-,Rostocker FC 1895,2016
Johannes Richter,CM,23,-,Rostocker FC 1895,2016
Steffen Mosch,RM,20,-,Rostocker FC 1895,2016
Can Kalkavan,RM,31,-,Rostocker FC 1895,2016
Felix Dojahn,LM,31,-,Rostocker FC 1895,2016
Dominik Großmann,LM,21,-,Rostocker FC 1895,2016
Alexander Rahmig,CAM,28,-,Rostocker FC 1895,2016
Daniel Muniz dos Santos,CAM,25,-,Rostocker FC 1895,2016
Patrick Jankowski,RW,29,-,Rostocker FC 1895,2016
Denny Kambs,Second Striker,30,-,Rostocker FC 1895,2016
Tony-Glen Siegmund,Second Striker,23,-,Rostocker FC 1895,2016
Qutaiba Al-Sharabi,ST,21,-,Rostocker FC 1895,2016
Enrico Karg,ST,24,-,Rostocker FC 1895,2016
Paul Maletzke,ST,25,-,Rostocker FC 1895,2016
Tobias Werk,GK,30,-,Rostocker FC 1895,2017
Jörg Hahnel,GK,36,-,Rostocker FC 1895,2017
Norman Tzschoppe,CB,32,-,Rostocker FC 1895,2017
Stefan Person,CB,29,-,Rostocker FC 1895,2017
Tim Bischof,CB,25,-,Rostocker FC 1895,2017
Lucian Botici,CB,31,-,Rostocker FC 1895,2017
Karim Ben Cadi,CB,24,-,Rostocker FC 1895,2017
Christian Rosenkranz,CB,26,-,Rostocker FC 1895,2017
Tobias Kirschnick,LB,32,-,Rostocker FC 1895,2017
André Rokita,LB,22,-,Rostocker FC 1895,2017
Niklas Tille,RB,23,-,Rostocker FC 1895,2017
William Brandes,RB,23,-,Rostocker FC 1895,2017
Maximilian Rausch,CDM,28,-,Rostocker FC 1895,2017
Martin Pett,CDM,31,-,Rostocker FC 1895,2017
Holger Wilken,Midfielder,54,-,Rostocker FC 1895,2017
Kilian Dittkrist,Midfielder,19,-,Rostocker FC 1895,2017
Jan Bellgardt,Midfielder,-,-,Rostocker FC 1895,2017
Benedict Bohm,Midfielder,-,-,Rostocker FC 1895,2017
Anton Müller,CM,34,-,Rostocker FC 1895,2017
Felix Patzenhauer,CM,28,-,Rostocker FC 1895,2017
Johannes Richter,CM,24,-,Rostocker FC 1895,2017
Steffen Mosch,RM,21,-,Rostocker FC 1895,2017
Dominik Großmann,LM,22,-,Rostocker FC 1895,2017
Alexander Rahmig,CAM,29,-,Rostocker FC 1895,2017
Erik Fuhrmann,CAM,22,-,Rostocker FC 1895,2017
Albert Krause,RW,18,-,Rostocker FC 1895,2017
Tony-Glen Siegmund,Second Striker,24,-,Rostocker FC 1895,2017
Paul Maletzke,ST,26,-,Rostocker FC 1895,2017
Julian Hahnel,ST,20,-,Rostocker FC 1895,2017
Patrick Nehls,ST,19,-,Rostocker FC 1895,2017
Tobias Werk,GK,31,-,Rostocker FC 1895,2018
Torben Görke,GK,22,-,Rostocker FC 1895,2018
Thomas Schmidt,GK,31,-,Rostocker FC 1895,2018
Norman Tzschoppe,CB,33,-,Rostocker FC 1895,2018
Stefan Person,CB,30,-,Rostocker FC 1895,2018
Karim Ben Cadi,CB,25,-,Rostocker FC 1895,2018
Christian Rosenkranz,CB,27,-,Rostocker FC 1895,2018
Aram Khachatryan,LB,22,-,Rostocker FC 1895,2018
Lucas Schewe,LB,18,-,Rostocker FC 1895,2018
Mohammad Al-Shtiwi,Midfielder,24,-,Rostocker FC 1895,2018
Martin Pett,CDM,32,-,Rostocker FC 1895,2018
Felix Greger,CDM,25,-,Rostocker FC 1895,2018
Holger Wilken,Midfielder,55,-,Rostocker FC 1895,2018
Benedict Bohm,Midfielder,-,-,Rostocker FC 1895,2018
Raik Oberländer,Midfielder,22,-,Rostocker FC 1895,2018
Tom-Eric Otto,Midfielder,-,-,Rostocker FC 1895,2018
Anton Müller,CM,35,-,Rostocker FC 1895,2018
Felix Patzenhauer,CM,29,-,Rostocker FC 1895,2018
Dennis Roßol,CM,20,-,Rostocker FC 1895,2018
Johannes Richter,CM,25,-,Rostocker FC 1895,2018
Steffen Mosch,RM,22,-,Rostocker FC 1895,2018
Felix Dojahn,LM,33,-,Rostocker FC 1895,2018
Dominik Großmann,LM,23,-,Rostocker FC 1895,2018
Alexander Rahmig,CAM,30,-,Rostocker FC 1895,2018
Erik Fuhrmann,CAM,23,-,Rostocker FC 1895,2018
Albert Krause,RW,19,-,Rostocker FC 1895,2018
Tony-Glen Siegmund,Second Striker,25,-,Rostocker FC 1895,2018
Marcus Freitas,ST,29,-,Rostocker FC 1895,2018
Patrick Nehls,ST,20,-,Rostocker FC 1895,2018
Paul Maletzke,ST,27,-,Rostocker FC 1895,2018
Robert Grube,ST,24,-,Rostocker FC 1895,2018
Tobias Werk,GK,32,-,Rostocker FC 1895,2019
