name,position,age,value,team,season
Philipp Klewin,GK,21,450 Tsd. €,Rot-Weiß Erfurt,2014
Jean-François Kornetzky,GK,32,50 Tsd. €,Rot-Weiß Erfurt,2014
Paul Büchel,GK,21,50 Tsd. €,Rot-Weiß Erfurt,2014
André Laurito,CB,31,350 Tsd. €,Rot-Weiß Erfurt,2014
Rafael Czichos,CB,25,350 Tsd. €,Rot-Weiß Erfurt,2014
Stefan Kleineheismann,CB,27,300 Tsd. €,Rot-Weiß Erfurt,2014
Christoph Menz,CB,26,300 Tsd. €,Rot-Weiß Erfurt,2014
Jens Möckel,CB,27,250 Tsd. €,Rot-Weiß Erfurt,2014
Steve Gohouri,CB,34,250 Tsd. €,Rot-Weiß Erfurt,2014
Eric Stelzer,CB,20,-,Rot-Weiß Erfurt,2014
Sascha Eichmeier,LB,25,200 Tsd. €,Rot-Weiß Erfurt,2014
Andreas Wiegel,RB,23,300 Tsd. €,Rot-Weiß Erfurt,2014
Luka Odak,RB,25,275 Tsd. €,Rot-Weiß Erfurt,2014
Patrick Göbel,RB,21,150 Tsd. €,Rot-Weiß Erfurt,2014
Florian Bichler,RB,23,150 Tsd. €,Rot-Weiß Erfurt,2014
Leon Packheiser,RB,20,50 Tsd. €,Rot-Weiß Erfurt,2014
Julian Löschner,RB,18,-,Rot-Weiß Erfurt,2014
Juri Judt,CDM,28,225 Tsd. €,Rot-Weiß Erfurt,2014
Kevin Möhwald,CM,21,500 Tsd. €,Rot-Weiß Erfurt,2014
Sebastian Tyrala,CM,27,250 Tsd. €,Rot-Weiß Erfurt,2014
Maik Baumgarten,CM,22,125 Tsd. €,Rot-Weiß Erfurt,2014
Carsten Weis,CM,29,-,Rot-Weiß Erfurt,2014
Haris Bukva,LM,27,350 Tsd. €,Rot-Weiß Erfurt,2014
Federico Palacios,CAM,20,350 Tsd. €,Rot-Weiß Erfurt,2014
Okan Aydin,CAM,21,300 Tsd. €,Rot-Weiß Erfurt,2014
Amer Kadric,CAM,20,100 Tsd. €,Rot-Weiß Erfurt,2014
Otis Breustedt,LW,20,50 Tsd. €,Rot-Weiß Erfurt,2014
Carsten Kammlott,ST,25,350 Tsd. €,Rot-Weiß Erfurt,2014
Simon Brandstetter,ST,25,250 Tsd. €,Rot-Weiß Erfurt,2014
Christian Falk,ST,28,225 Tsd. €,Rot-Weiß Erfurt,2014
Jonas Nietfeld,ST,21,75 Tsd. €,Rot-Weiß Erfurt,2014
Philipp Klewin,GK,22,300 Tsd. €,Rot-Weiß Erfurt,2015
Erik Domaschke,GK,30,150 Tsd. €,Rot-Weiß Erfurt,2015
Paul Büchel,GK,22,75 Tsd. €,Rot-Weiß Erfurt,2015
Christoph Menz,CB,27,300 Tsd. €,Rot-Weiß Erfurt,2015
Mario Erb,CB,26,300 Tsd. €,Rot-Weiß Erfurt,2015
Jannis Nikolaou,CB,22,250 Tsd. €,Rot-Weiß Erfurt,2015
André Laurito,CB,32,200 Tsd. €,Rot-Weiß Erfurt,2015
Jens Möckel,CB,28,150 Tsd. €,Rot-Weiß Erfurt,2015
Fabian Hergesell,LB,30,225 Tsd. €,Rot-Weiß Erfurt,2015
Samir Benamar,LB,23,200 Tsd. €,Rot-Weiß Erfurt,2015
Daniel Brückner,LB,35,200 Tsd. €,Rot-Weiß Erfurt,2015
Sascha Eichmeier,LB,26,175 Tsd. €,Rot-Weiß Erfurt,2015
Luka Odak,RB,26,350 Tsd. €,Rot-Weiß Erfurt,2015
Florian Bichler,RB,24,150 Tsd. €,Rot-Weiß Erfurt,2015
Julian Löschner,RB,19,75 Tsd. €,Rot-Weiß Erfurt,2015
Juri Judt,CDM,29,275 Tsd. €,Rot-Weiß Erfurt,2015
Robert Lischke,CDM,21,-,Rot-Weiß Erfurt,2015
Sebastian Tyrala,CM,28,350 Tsd. €,Rot-Weiß Erfurt,2015
Fabian Burdenski,CM,24,100 Tsd. €,Rot-Weiß Erfurt,2015
Theodor Bergmann,CM,19,75 Tsd. €,Rot-Weiß Erfurt,2015
Patrik Twardzik,CM,23,50 Tsd. €,Rot-Weiß Erfurt,2015
Okan Aydin,CAM,22,300 Tsd. €,Rot-Weiß Erfurt,2015
Amer Kadric,CAM,21,75 Tsd. €,Rot-Weiß Erfurt,2015
Tugay Uzan,LW,22,200 Tsd. €,Rot-Weiß Erfurt,2015
Patrick Schikowski,LW,24,150 Tsd. €,Rot-Weiß Erfurt,2015
Marc Höcher,RW,31,250 Tsd. €,Rot-Weiß Erfurt,2015
Pablo Pigl,Second Striker,24,175 Tsd. €,Rot-Weiß Erfurt,2015
Carsten Kammlott,ST,26,375 Tsd. €,Rot-Weiß Erfurt,2015
Sebastian Szimayer,ST,26,200 Tsd. €,Rot-Weiß Erfurt,2015
Philipp Klewin,GK,23,350 Tsd. €,Rot-Weiß Erfurt,2016
Erik Domaschke,GK,31,150 Tsd. €,Rot-Weiß Erfurt,2016
Jannis Nikolaou,CB,23,350 Tsd. €,Rot-Weiß Erfurt,2016
Christoph Menz,CB,28,300 Tsd. €,Rot-Weiß Erfurt,2016
Mario Erb,CB,27,275 Tsd. €,Rot-Weiß Erfurt,2016
Jens Möckel,CB,29,200 Tsd. €,Rot-Weiß Erfurt,2016
André Laurito,CB,33,150 Tsd. €,Rot-Weiß Erfurt,2016
Jonas Struß,CB,19,50 Tsd. €,Rot-Weiß Erfurt,2016
Tobias Kraulich,CB,18,50 Tsd. €,Rot-Weiß Erfurt,2016
Samir Benamar,LB,24,175 Tsd. €,Rot-Weiß Erfurt,2016
Mikko Sumusalo,LB,27,150 Tsd. €,Rot-Weiß Erfurt,2016
Fabian Hergesell,LB,31,100 Tsd. €,Rot-Weiß Erfurt,2016
Daniel Brückner,LB,36,100 Tsd. €,Rot-Weiß Erfurt,2016
Luka Odak,RB,27,325 Tsd. €,Rot-Weiß Erfurt,2016
Julian Löschner,RB,20,75 Tsd. €,Rot-Weiß Erfurt,2016
Liridon Vocaj,CDM,23,300 Tsd. €,Rot-Weiß Erfurt,2016
Maximilian Pommer,CDM,19,50 Tsd. €,Rot-Weiß Erfurt,2016
Theodor Bergmann,CM,20,325 Tsd. €,Rot-Weiß Erfurt,2016
Sebastian Tyrala,CM,29,325 Tsd. €,Rot-Weiß Erfurt,2016
Maik Baumgarten,CM,24,100 Tsd. €,Rot-Weiß Erfurt,2016
Okan Aydin,CAM,23,325 Tsd. €,Rot-Weiß Erfurt,2016
Amer Kadric,CAM,22,50 Tsd. €,Rot-Weiß Erfurt,2016
Tugay Uzan,LW,23,175 Tsd. €,Rot-Weiß Erfurt,2016
Aloy Ihenacho,LW,21,50 Tsd. €,Rot-Weiß Erfurt,2016
Pablo Pigl,Second Striker,25,175 Tsd. €,Rot-Weiß Erfurt,2016
Carsten Kammlott,ST,27,375 Tsd. €,Rot-Weiß Erfurt,2016
Christopher Bieber,ST,27,200 Tsd. €,Rot-Weiß Erfurt,2016
Lion Lauberbach,ST,19,-,Rot-Weiß Erfurt,2016
Philipp Klewin,GK,24,350 Tsd. €,Rot-Weiß Erfurt,2017
