name,position,age,value,team,season
Philipp Kühn,GK,22,200 Tsd. €,Rot-Weiß Oberhausen,2014
Patrick Nettekoven,GK,28,50 Tsd. €,Rot-Weiß Oberhausen,2014
Thorben Krol,GK,22,25 Tsd. €,Rot-Weiß Oberhausen,2014
Felix Haas,CB,27,150 Tsd. €,Rot-Weiß Oberhausen,2014
Jörn Nowak,CB,29,75 Tsd. €,Rot-Weiß Oberhausen,2014
Tobias Hötte,CB,22,50 Tsd. €,Rot-Weiß Oberhausen,2014
Paul Voß,CB,21,50 Tsd. €,Rot-Weiß Oberhausen,2014
Charbel Chougourou,CB,20,25 Tsd. €,Rot-Weiß Oberhausen,2014
Felix Herzenbruch,LB,22,150 Tsd. €,Rot-Weiß Oberhausen,2014
Benjamin Weigelt,LB,32,125 Tsd. €,Rot-Weiß Oberhausen,2014
Christoph Caspari,RB,26,125 Tsd. €,Rot-Weiß Oberhausen,2014
Rhys Tyler,RB,23,50 Tsd. €,Rot-Weiß Oberhausen,2014
Justin Mingo,RB,19,25 Tsd. €,Rot-Weiß Oberhausen,2014
Robert Fleßers,CDM,28,150 Tsd. €,Rot-Weiß Oberhausen,2014
Ralf Schneider,Midfielder,28,100 Tsd. €,Rot-Weiß Oberhausen,2014
Gökhan Gümüssu,CDM,26,75 Tsd. €,Rot-Weiß Oberhausen,2014
Kevin Krystofiak,CDM,23,50 Tsd. €,Rot-Weiß Oberhausen,2014
Alexander Scheelen,CM,28,125 Tsd. €,Rot-Weiß Oberhausen,2014
Manuel Schiebener,CM,20,50 Tsd. €,Rot-Weiß Oberhausen,2014
Dominik Reinert,RM,23,100 Tsd. €,Rot-Weiß Oberhausen,2014
Justin Walker,LM,22,-,Rot-Weiß Oberhausen,2014
Patrick Bauder,CAM,25,175 Tsd. €,Rot-Weiß Oberhausen,2014
Nick Brisevac,CAM,22,75 Tsd. €,Rot-Weiß Oberhausen,2014
Philipp Kreuels,CAM,30,75 Tsd. €,Rot-Weiß Oberhausen,2014
Patrick Schikowski,LW,23,150 Tsd. €,Rot-Weiß Oberhausen,2014
David Jansen,ST,27,200 Tsd. €,Rot-Weiß Oberhausen,2014
Raphael Steinmetz,ST,20,100 Tsd. €,Rot-Weiß Oberhausen,2014
Michael Smykacz,ST,22,25 Tsd. €,Rot-Weiß Oberhausen,2014
Philipp Goris,ST,20,-,Rot-Weiß Oberhausen,2014
Robin Udegbe,GK,25,150 Tsd. €,Rot-Weiß Oberhausen,2015
Thorben Krol,GK,23,25 Tsd. €,Rot-Weiß Oberhausen,2015
Nurullah Can,GK,28,-,Rot-Weiß Oberhausen,2015
Felix Haas,CB,28,150 Tsd. €,Rot-Weiß Oberhausen,2015
Jörn Nowak,CB,30,75 Tsd. €,Rot-Weiß Oberhausen,2015
Kai Nakowitsch,CB,21,75 Tsd. €,Rot-Weiß Oberhausen,2015
Oliver Steurer,CB,21,50 Tsd. €,Rot-Weiß Oberhausen,2015
Paul Voß,CB,22,25 Tsd. €,Rot-Weiß Oberhausen,2015
Sinan Özkara,CB,20,25 Tsd. €,Rot-Weiß Oberhausen,2015
Felix Herzenbruch,LB,23,150 Tsd. €,Rot-Weiß Oberhausen,2015
Benjamin Weigelt,LB,33,125 Tsd. €,Rot-Weiß Oberhausen,2015
Tim Hermes,LB,25,125 Tsd. €,Rot-Weiß Oberhausen,2015
Christoph Caspari,RB,27,125 Tsd. €,Rot-Weiß Oberhausen,2015
Justin Mingo,RB,20,25 Tsd. €,Rot-Weiß Oberhausen,2015
Robert Fleßers,CDM,29,150 Tsd. €,Rot-Weiß Oberhausen,2015
Kevin Krystofiak,CDM,24,25 Tsd. €,Rot-Weiß Oberhausen,2015
Lukas Hansen,CDM,20,-,Rot-Weiß Oberhausen,2015
Sinan Kurt,CM,21,125 Tsd. €,Rot-Weiß Oberhausen,2015
Alexander Scheelen,CM,29,125 Tsd. €,Rot-Weiß Oberhausen,2015
Manuel Schiebener,CM,21,25 Tsd. €,Rot-Weiß Oberhausen,2015
Dominik Reinert,RM,24,125 Tsd. €,Rot-Weiß Oberhausen,2015
Justin Walker,LM,23,25 Tsd. €,Rot-Weiß Oberhausen,2015
Bertul Kocabaş,CAM,24,200 Tsd. €,Rot-Weiß Oberhausen,2015
Patrick Bauder,CAM,26,175 Tsd. €,Rot-Weiß Oberhausen,2015
Marcel Stenzel,CAM,24,-,Rot-Weiß Oberhausen,2015
Ferdi Acar,CAM,19,-,Rot-Weiß Oberhausen,2015
Davud Tuma,LW,20,50 Tsd. €,Rot-Weiß Oberhausen,2015
Arnold Budimbu,RW,21,100 Tsd. €,Rot-Weiß Oberhausen,2015
David Jansen,ST,28,175 Tsd. €,Rot-Weiß Oberhausen,2015
Simon Engelmann,ST,27,175 Tsd. €,Rot-Weiß Oberhausen,2015
Raphael Steinmetz,ST,21,150 Tsd. €,Rot-Weiß Oberhausen,2015
Boran Sezen,ST,21,-,Rot-Weiß Oberhausen,2015
Robin Udegbe,GK,26,125 Tsd. €,Rot-Weiß Oberhausen,2016
Krystian Wozniak,GK,19,25 Tsd. €,Rot-Weiß Oberhausen,2016
Nurullah Can,GK,29,-,Rot-Weiß Oberhausen,2016
Niklas Schumacher,GK,19,-,Rot-Weiß Oberhausen,2016
Daniel Heber,CB,22,100 Tsd. €,Rot-Weiß Oberhausen,2016
Oliver Steurer,CB,22,100 Tsd. €,Rot-Weiß Oberhausen,2016
Kai Nakowitsch,CB,22,100 Tsd. €,Rot-Weiß Oberhausen,2016
Felix Haas,CB,29,75 Tsd. €,Rot-Weiß Oberhausen,2016
Sinan Özkara,CB,21,25 Tsd. €,Rot-Weiß Oberhausen,2016
Tim Hermes,LB,26,100 Tsd. €,Rot-Weiß Oberhausen,2016
