name,position,age,value,team,season
Roman Bürki,GK,24,"4,50 Mio. €",SC Freiburg,2014
Sebastian Mielitz,GK,25,750 Tsd. €,SC Freiburg,2014
Daniel Batz,GK,24,250 Tsd. €,SC Freiburg,2014
Marc Oliver Kempf,CB,20,"3,00 Mio. €",SC Freiburg,2014
Marc Torrejón,CB,29,"1,75 Mio. €",SC Freiburg,2014
Stefan Mitrovic,CB,25,"1,75 Mio. €",SC Freiburg,2014
Immanuel Höhn,CB,23,"1,00 Mio. €",SC Freiburg,2014
Christopher Jullien,CB,22,500 Tsd. €,SC Freiburg,2014
Pavel Krmas,CB,35,400 Tsd. €,SC Freiburg,2014
Christian Günter,LB,22,"3,00 Mio. €",SC Freiburg,2014
Oliver Sorg,RB,25,"3,00 Mio. €",SC Freiburg,2014
Sascha Riether,RB,32,"1,75 Mio. €",SC Freiburg,2014
Mensur Mujdza,RB,31,"1,75 Mio. €",SC Freiburg,2014
Julian Schuster,CDM,30,"2,50 Mio. €",SC Freiburg,2014
Mike Frantz,CDM,28,"1,75 Mio. €",SC Freiburg,2014
Nicolas Höfler,CDM,25,"1,00 Mio. €",SC Freiburg,2014
Caleb Stanko,CDM,21,100 Tsd. €,SC Freiburg,2014
Vladimír Darida,CM,24,"7,00 Mio. €",SC Freiburg,2014
Mats Møller Dæhli,CM,20,"1,50 Mio. €",SC Freiburg,2014
Jonathan Schmid,RM,25,"4,50 Mio. €",SC Freiburg,2014
Felix Klaus,RM,22,"2,50 Mio. €",SC Freiburg,2014
Sebastian Kerk,CAM,21,"1,00 Mio. €",SC Freiburg,2014
Florian Kath,LW,20,50 Tsd. €,SC Freiburg,2014
Admir Mehmedi,Second Striker,24,"6,00 Mio. €",SC Freiburg,2014
Maximilian Philipp,Second Striker,21,"1,50 Mio. €",SC Freiburg,2014
Nils Petersen,ST,26,"1,75 Mio. €",SC Freiburg,2014
Philipp Zulechner,ST,25,800 Tsd. €,SC Freiburg,2014
Karim Guédé,ST,30,750 Tsd. €,SC Freiburg,2014
Dani Schahin,ST,25,700 Tsd. €,SC Freiburg,2014
Sebastian Freis,ST,30,600 Tsd. €,SC Freiburg,2014
Alexander Schwolow,GK,24,"1,00 Mio. €",SC Freiburg,2015
Patric Klandt,GK,32,400 Tsd. €,SC Freiburg,2015
Konstantin Fuhry,GK,21,100 Tsd. €,SC Freiburg,2015
Marc Oliver Kempf,CB,21,"2,75 Mio. €",SC Freiburg,2015
Immanuel Höhn,CB,24,"1,30 Mio. €",SC Freiburg,2015
Marc Torrejón,CB,30,"1,20 Mio. €",SC Freiburg,2015
Lukas Bohro,CB,19,50 Tsd. €,SC Freiburg,2015
Christian Günter,LB,23,"2,00 Mio. €",SC Freiburg,2015
Jonas Föhrenbach,LB,20,500 Tsd. €,SC Freiburg,2015
Mensur Mujdza,RB,32,800 Tsd. €,SC Freiburg,2015
Vegar Hedenstad,RB,25,650 Tsd. €,SC Freiburg,2015
Lukas Kübler,RB,23,600 Tsd. €,SC Freiburg,2015
Pascal Stenzel,RB,20,500 Tsd. €,SC Freiburg,2015
Amir Abrashi,CDM,26,"2,50 Mio. €",SC Freiburg,2015
Mike Frantz,CDM,29,"1,50 Mio. €",SC Freiburg,2015
Nicolas Höfler,CDM,26,"1,20 Mio. €",SC Freiburg,2015
Julian Schuster,CDM,31,700 Tsd. €,SC Freiburg,2015
Caleb Stanko,CDM,22,175 Tsd. €,SC Freiburg,2015
Mats Møller Dæhli,CM,21,"1,00 Mio. €",SC Freiburg,2015
Lucas Hufnagel,CM,22,500 Tsd. €,SC Freiburg,2015
Marco Hingerl,CM,20,150 Tsd. €,SC Freiburg,2015
Pius Dorn,RM,19,75 Tsd. €,SC Freiburg,2015
Vincenzo Grifo,LW,23,"2,75 Mio. €",SC Freiburg,2015
Joshua Mees,LW,20,200 Tsd. €,SC Freiburg,2015
Florian Kath,LW,21,150 Tsd. €,SC Freiburg,2015
Maximilian Philipp,Second Striker,22,"2,25 Mio. €",SC Freiburg,2015
Nils Petersen,ST,27,"3,50 Mio. €",SC Freiburg,2015
Florian Niederlechner,ST,25,"1,50 Mio. €",SC Freiburg,2015
Havard Nielsen,ST,22,"1,50 Mio. €",SC Freiburg,2015
Tim Kleindienst,ST,20,500 Tsd. €,SC Freiburg,2015
Karim Guédé,ST,31,500 Tsd. €,SC Freiburg,2015
Amir Falahen,ST,23,125 Tsd. €,SC Freiburg,2015
Fabian Schleusener,ST,24,100 Tsd. €,SC Freiburg,2015
Kosuke Kinoshita,ST,21,75 Tsd. €,SC Freiburg,2015
Alexander Schwolow,GK,25,"4,00 Mio. €",SC Freiburg,2016
Rafal Gikiewicz,GK,29,750 Tsd. €,SC Freiburg,2016
Patric Klandt,GK,33,200 Tsd. €,SC Freiburg,2016
Çağlar Söyüncü,CB,21,"7,00 Mio. €",SC Freiburg,2016
Marc Oliver Kempf,CB,22,"4,00 Mio. €",SC Freiburg,2016
Manuel Gulde,CB,26,"2,50 Mio. €",SC Freiburg,2016
Marc Torrejón,CB,31,"1,00 Mio. €",SC Freiburg,2016
Georg Niedermeier,CB,31,600 Tsd. €,SC Freiburg,2016
Fabian Menig,CB,23,300 Tsd. €,SC Freiburg,2016
Christian Günter,LB,24,"3,50 Mio. €",SC Freiburg,2016
Jonas Föhrenbach,LB,21,300 Tsd. €,SC Freiburg,2016
Pascal Stenzel,RB,21,"3,00 Mio. €",SC Freiburg,2016
Onur Bulut,RB,23,"1,50 Mio. €",SC Freiburg,2016
Lukas Kübler,RB,24,"1,25 Mio. €",SC Freiburg,2016
Nicolas Höfler,CDM,27,"3,50 Mio. €",SC Freiburg,2016
Amir Abrashi,CDM,27,"2,50 Mio. €",SC Freiburg,2016
Mike Frantz,CDM,30,"2,50 Mio. €",SC Freiburg,2016
Aleksandar Ignjovski,CDM,26,"1,50 Mio. €",SC Freiburg,2016
Jonas Meffert,CDM,22,800 Tsd. €,SC Freiburg,2016
Julian Schuster,CDM,32,500 Tsd. €,SC Freiburg,2016
Caleb Stanko,CDM,23,400 Tsd. €,SC Freiburg,2016
Janik Haberer,CM,23,"4,50 Mio. €",SC Freiburg,2016
Vincent Sierro,CM,21,"1,00 Mio. €",SC Freiburg,2016
Mats Møller Dæhli,CM,22,900 Tsd. €,SC Freiburg,2016
Lucas Hufnagel,CM,23,350 Tsd. €,SC Freiburg,2016
