name,position,age,value,team,season
Bakary Sanyang,GK,21,-,SC Hauenstein,2014
Sebastian Grub,GK,27,-,SC Hauenstein,2014
Kevin Jung,GK,19,-,SC Hauenstein,2014
Frederic Keller,CB,23,-,SC Hauenstein,2014
Sandro Rösner,CB,29,-,SC Hauenstein,2014
Benedikt Brück,CB,19,-,SC Hauenstein,2014
Daniel Klück,CB,26,-,SC Hauenstein,2014
Simon Bundenthal,CB,19,-,SC Hauenstein,2014
Tim Bauer,LB,30,-,SC Hauenstein,2014
Robin Vogtland,RB,25,-,SC Hauenstein,2014
Daniel Geiger,CDM,25,-,SC Hauenstein,2014
Kevin Schwehm,CDM,22,-,SC Hauenstein,2014
Jesper Brechtel,CDM,21,-,SC Hauenstein,2014
Jonas Pfau,Midfielder,21,-,SC Hauenstein,2014
Christof Seibel,CDM,19,-,SC Hauenstein,2014
Marco Krucker,CDM,27,-,SC Hauenstein,2014
Patrick Brechtel,RM,32,-,SC Hauenstein,2014
Andelo Srzentic,RM,25,-,SC Hauenstein,2014
Max Knorn,LM,26,-,SC Hauenstein,2014
Kevin Selzer,LM,21,-,SC Hauenstein,2014
Sven Sellentin,CAM,22,-,SC Hauenstein,2014
Michael Bittner,RW,21,-,SC Hauenstein,2014
Lukas Ehlert,Second Striker,22,-,SC Hauenstein,2014
Alexander Zimmermann,ST,28,-,SC Hauenstein,2014
Dennis Krob,ST,22,-,SC Hauenstein,2014
Bakary Sanyang,GK,22,-,SC Hauenstein,2015
Sebastian Grub,GK,28,-,SC Hauenstein,2015
Kevin Jung,GK,20,-,SC Hauenstein,2015
Dennis Neb,CB,18,-,SC Hauenstein,2015
Maximilian Decker,CB,19,-,SC Hauenstein,2015
Robin Schwehm,CB,19,-,SC Hauenstein,2015
Sandro Rösner,CB,30,-,SC Hauenstein,2015
Daniel Klück,CB,27,-,SC Hauenstein,2015
Kai Schacker,CB,20,-,SC Hauenstein,2015
Julian Kern,LB,22,-,SC Hauenstein,2015
Tim Bauer,LB,31,-,SC Hauenstein,2015
Nico Hillenbrand,CDM,29,100 Tsd. €,SC Hauenstein,2015
Daniel Geiger,CDM,26,-,SC Hauenstein,2015
Kevin Schwehm,CDM,23,-,SC Hauenstein,2015
Jesper Brechtel,CDM,22,-,SC Hauenstein,2015
Mario Schädler,Midfielder,18,-,SC Hauenstein,2015
Jan Henrich,CDM,20,-,SC Hauenstein,2015
Luca Brödel,Midfielder,19,-,SC Hauenstein,2015
Christof Seibel,CDM,20,-,SC Hauenstein,2015
Marcell Öhler,CM,21,-,SC Hauenstein,2015
Emre Kaya,CM,22,-,SC Hauenstein,2015
Patrick Brechtel,RM,33,-,SC Hauenstein,2015
Andelo Srzentic,RM,26,-,SC Hauenstein,2015
Steffen Straub,LM,22,100 Tsd. €,SC Hauenstein,2015
Niklas Kupper,LM,24,-,SC Hauenstein,2015
Riccardo Di Piazza,CAM,27,-,SC Hauenstein,2015
Kristof Scherpf,LW,19,-,SC Hauenstein,2015
Armin Jusufi,RW,20,-,SC Hauenstein,2015
Alexander Zimmermann,ST,29,-,SC Hauenstein,2015
Florian Weber,ST,23,-,SC Hauenstein,2015
Lucas Oppermann,ST,29,-,SC Hauenstein,2015
Dennis Krob,ST,23,-,SC Hauenstein,2015
Thorsten Riggers,ST,25,-,SC Hauenstein,2015
Dominic Altmeier,ST,27,-,SC Hauenstein,2015
Ronny Fahr,GK,35,-,SC Hauenstein,2016
Kevin Urban,GK,20,-,SC Hauenstein,2016
Malcolm Little,GK,22,-,SC Hauenstein,2016
Patrick Rößel,GK,19,-,SC Hauenstein,2016
Maurice Fiolka,CB,25,-,SC Hauenstein,2016
Julian Herrmann,CB,19,-,SC Hauenstein,2016
Christian Ochs,CB,22,-,SC Hauenstein,2016
Lukas Hartlieb,CB,21,-,SC Hauenstein,2016
Sandro Rösner,CB,31,-,SC Hauenstein,2016
Kai Schacker,CB,21,-,SC Hauenstein,2016
Daniel Klück,CB,28,-,SC Hauenstein,2016
Kevin Dauenhauer,CB,21,-,SC Hauenstein,2016
Nino Lacagnina,RB,24,-,SC Hauenstein,2016
Sebastian Brenner,CDM,20,-,SC Hauenstein,2016
Kevin Schwehm,CDM,24,-,SC Hauenstein,2016
Jesper Brechtel,CDM,23,-,SC Hauenstein,2016
Marcel Abele,CDM,29,-,SC Hauenstein,2016
Christopher Fried,CDM,23,-,SC Hauenstein,2016
Tobias Cartharius,Midfielder,19,-,SC Hauenstein,2016
Marius Lehner,CDM,20,-,SC Hauenstein,2016
Christof Seibel,CDM,21,-,SC Hauenstein,2016
Marcell Öhler,CM,22,-,SC Hauenstein,2016
Andelo Srzentic,RM,27,-,SC Hauenstein,2016
Niklas Kupper,LM,25,-,SC Hauenstein,2016
Kazuaki Nishinaka,CAM,24,-,SC Hauenstein,2016
David Horn,CAM,21,-,SC Hauenstein,2016
Marcel Bormeth,CAM,21,-,SC Hauenstein,2016
Kristof Scherpf,LW,20,-,SC Hauenstein,2016
Yanick Haag,RW,22,-,SC Hauenstein,2016
Jakub Merlan-Jarecki,ST,21,-,SC Hauenstein,2016
Maximilian Albrecht,ST,26,-,SC Hauenstein,2016
Daisuke Ando,ST,25,-,SC Hauenstein,2016
Thorsten Riggers,ST,26,-,SC Hauenstein,2016
Aleksandar Biedermann,ST,22,-,SC Hauenstein,2016
Til Scherthan,GK,-,-,SC Hauenstein,2017
Kevin Jung,GK,22,-,SC Hauenstein,2017
Julian Lenske,GK,19,-,SC Hauenstein,2017
David Jung,CB,19,-,SC Hauenstein,2017
Frederic Keller,CB,26,-,SC Hauenstein,2017
Philipp Weishaar,CB,25,-,SC Hauenstein,2017
Julian Herrmann,CB,20,-,SC Hauenstein,2017
Christian Ochs,CB,23,-,SC Hauenstein,2017
Luca Wick,CB,19,-,SC Hauenstein,2017
Kai Schacker,CB,22,-,SC Hauenstein,2017
Kevin Dauenhauer,CB,22,-,SC Hauenstein,2017
Yannick Roth,RB,19,-,SC Hauenstein,2017
Marko Eiermann,Midfielder,36,-,SC Hauenstein,2017
Matthias Riggenbach,Midfielder,30,-,SC Hauenstein,2017
Alexander Port,Midfielder,19,-,SC Hauenstein,2017
Kevin Burkhard,Midfielder,18,-,SC Hauenstein,2017
Tobias Cartharius,Midfielder,20,-,SC Hauenstein,2017
Christof Seibel,CDM,22,-,SC Hauenstein,2017
Maximilian Riehmer,CDM,23,-,SC Hauenstein,2017
Dennis Leininger,Midfielder,20,-,SC Hauenstein,2017
Quincy Henderson,RM,25,-,SC Hauenstein,2017
Niklas Kupper,LM,26,-,SC Hauenstein,2017
Sebastian Stanjek,CAM,28,-,SC Hauenstein,2017
Thorsten Riggers,ST,27,-,SC Hauenstein,2017
Yussuf Özkaya,ST,20,-,SC Hauenstein,2017
Tim Scherer,ST,18,-,SC Hauenstein,2017
Maximilian Wilhelm,ST,24,-,SC Hauenstein,2017
Janik Hunsicker,ST,19,-,SC Hauenstein,2017
Sener Serif Oglou,ST,26,-,SC Hauenstein,2017
Kevin Jung,GK,23,-,SC Hauenstein,2018
Nicola Schillings,GK,-,-,SC Hauenstein,2018
Sebastian Mohrbach,GK,36,-,SC Hauenstein,2018
Fabian Titz,GK,-,-,SC Hauenstein,2018
Timo Lauth,CB,-,-,SC Hauenstein,2018
Frederic Keller,CB,27,-,SC Hauenstein,2018
David Jung,CB,20,-,SC Hauenstein,2018
Philipp Weishaar,CB,26,-,SC Hauenstein,2018
Christian Ochs,CB,24,-,SC Hauenstein,2018
Dennis Micek,CB,18,-,SC Hauenstein,2018
Jacob Weiler,CB,24,-,SC Hauenstein,2018
Austin Peterson,CB,-,-,SC Hauenstein,2018
Luca Wick,CB,20,-,SC Hauenstein,2018
Kai Schacker,CB,23,-,SC Hauenstein,2018
Gino Padberg,LB,-,-,SC Hauenstein,2018
Justin Veith,LB,19,-,SC Hauenstein,2018
Yannick Roth,RB,20,-,SC Hauenstein,2018
Oliver Sander,Midfielder,-,-,SC Hauenstein,2018
David Schäfer,Midfielder,-,-,SC Hauenstein,2018
Luca Marcel Lieblang,Midfielder,18,-,SC Hauenstein,2018
Noel-Niklas Kästner,Midfielder,19,-,SC Hauenstein,2018
