name,position,age,value,team,season
Lukas Kruse,GK,31,"1,00 Mio. €",SC Paderborn 07,2014
Daniel Lück,GK,24,300 Tsd. €,SC Paderborn 07,2014
Alexander Nübel,GK,18,100 Tsd. €,SC Paderborn 07,2014
Nico Burchert,GK,28,100 Tsd. €,SC Paderborn 07,2014
Uwe Hünemeier,CB,29,"1,50 Mio. €",SC Paderborn 07,2014
Rafa López,CB,30,"1,50 Mio. €",SC Paderborn 07,2014
Christian Strohdiek,CB,27,"1,20 Mio. €",SC Paderborn 07,2014
Patrick Ziegler,CB,25,"1,00 Mio. €",SC Paderborn 07,2014
Tim Welker,CB,21,150 Tsd. €,SC Paderborn 07,2014
Thomas Bertels,LB,28,600 Tsd. €,SC Paderborn 07,2014
Florian Hartherz,LB,22,500 Tsd. €,SC Paderborn 07,2014
Daniel Brückner,LB,34,400 Tsd. €,SC Paderborn 07,2014
Jens Wemmer,RB,29,"1,00 Mio. €",SC Paderborn 07,2014
Michael Heinloth,RB,23,800 Tsd. €,SC Paderborn 07,2014
Marvin Bakalorz,CDM,25,"1,50 Mio. €",SC Paderborn 07,2014
Lukas Rupp,CM,24,"2,00 Mio. €",SC Paderborn 07,2014
Mario Vrancic,CM,26,"2,00 Mio. €",SC Paderborn 07,2014
Mirnes Pepic,CM,19,100 Tsd. €,SC Paderborn 07,2014
Moritz Stoppelkamp,CAM,28,"2,50 Mio. €",SC Paderborn 07,2014
Alban Meha,CAM,29,"1,50 Mio. €",SC Paderborn 07,2014
Idir Ouali,LW,27,800 Tsd. €,SC Paderborn 07,2014
Süleyman Koç,RW,26,"2,00 Mio. €",SC Paderborn 07,2014
Elias Kachunga,ST,23,"2,30 Mio. €",SC Paderborn 07,2014
Marvin Ducksch,ST,21,"1,00 Mio. €",SC Paderborn 07,2014
Stefan Kutschke,ST,26,800 Tsd. €,SC Paderborn 07,2014
Srdjan Lakic,ST,31,800 Tsd. €,SC Paderborn 07,2014
Mahir Saglik,ST,32,600 Tsd. €,SC Paderborn 07,2014
Marc Vucinovic,ST,26,450 Tsd. €,SC Paderborn 07,2014
Lukas Kruse,GK,32,500 Tsd. €,SC Paderborn 07,2015
Daniel Heuer Fernandes,GK,23,400 Tsd. €,SC Paderborn 07,2015
Alexander Nübel,GK,19,200 Tsd. €,SC Paderborn 07,2015
Jonas Brammen,GK,18,100 Tsd. €,SC Paderborn 07,2015
Uwe Hünemeier,CB,30,"2,00 Mio. €",SC Paderborn 07,2015
Hauke Wahl,CB,22,800 Tsd. €,SC Paderborn 07,2015
Rafa López,CB,31,500 Tsd. €,SC Paderborn 07,2015
Niklas Hoheneder,CB,29,400 Tsd. €,SC Paderborn 07,2015
Tim Sebastian,CB,32,350 Tsd. €,SC Paderborn 07,2015
Sebastian Schonlau,CB,21,200 Tsd. €,SC Paderborn 07,2015
Florian Ruck,CB,24,200 Tsd. €,SC Paderborn 07,2015
Florian Hartherz,LB,23,450 Tsd. €,SC Paderborn 07,2015
Thomas Bertels,LB,29,400 Tsd. €,SC Paderborn 07,2015
Daniel Brückner,LB,35,200 Tsd. €,SC Paderborn 07,2015
Michael Heinloth,RB,24,800 Tsd. €,SC Paderborn 07,2015
Marvin Bakalorz,CDM,26,"1,00 Mio. €",SC Paderborn 07,2015
Dominik Wydra,CDM,22,650 Tsd. €,SC Paderborn 07,2015
Oliver Kirch,CDM,33,500 Tsd. €,SC Paderborn 07,2015
Robin Krauße,CDM,22,300 Tsd. €,SC Paderborn 07,2015
Mirnes Pepic,CM,20,200 Tsd. €,SC Paderborn 07,2015
Marcel Ndjeng,RM,34,300 Tsd. €,SC Paderborn 07,2015
Kevin Stöger,CAM,22,900 Tsd. €,SC Paderborn 07,2015
Moritz Stoppelkamp,CAM,29,800 Tsd. €,SC Paderborn 07,2015
Christian Bickel,CAM,25,400 Tsd. €,SC Paderborn 07,2015
Idir Ouali,LW,28,500 Tsd. €,SC Paderborn 07,2015
Süleyman Koç,RW,27,"1,30 Mio. €",SC Paderborn 07,2015
Khaled Narey,RW,21,300 Tsd. €,SC Paderborn 07,2015
Nicklas Helenius,ST,25,800 Tsd. €,SC Paderborn 07,2015
Jakub Sylvestr,ST,27,700 Tsd. €,SC Paderborn 07,2015
Nick Proschwitz,ST,29,500 Tsd. €,SC Paderborn 07,2015
Marc Vucinovic,ST,27,400 Tsd. €,SC Paderborn 07,2015
Srdjan Lakic,ST,32,350 Tsd. €,SC Paderborn 07,2015
Mahir Saglik,ST,33,300 Tsd. €,SC Paderborn 07,2015
Marc Brasnic,ST,19,250 Tsd. €,SC Paderborn 07,2015
Lukas Kruse,GK,33,200 Tsd. €,SC Paderborn 07,2016
Michael Ratajczak,GK,35,100 Tsd. €,SC Paderborn 07,2016
Jonas Brammen,GK,19,75 Tsd. €,SC Paderborn 07,2016
Till Brinkmann,GK,21,50 Tsd. €,SC Paderborn 07,2016
Nico Burchert,GK,30,-,SC Paderborn 07,2016
Christian Strohdiek,CB,29,275 Tsd. €,SC Paderborn 07,2016
Sebastian Schonlau,CB,22,225 Tsd. €,SC Paderborn 07,2016
Tim Sebastian,CB,33,200 Tsd. €,SC Paderborn 07,2016
Lukas Boeder,CB,20,175 Tsd. €,SC Paderborn 07,2016
Florian Ruck,CB,25,125 Tsd. €,SC Paderborn 07,2016
Jan-Steven Erisa,CB,19,50 Tsd. €,SC Paderborn 07,2016
Thomas Bertels,LB,30,225 Tsd. €,SC Paderborn 07,2016
Felix Herzenbruch,LB,24,150 Tsd. €,SC Paderborn 07,2016
Nils Köhler,LB,23,-,SC Paderborn 07,2016
Pascal Itter,RB,22,150 Tsd. €,SC Paderborn 07,2016
Robin Krauße,CDM,23,250 Tsd. €,SC Paderborn 07,2016
Ron Schallenberg,CDM,18,-,SC Paderborn 07,2016
Marc-André Kruska,CM,30,250 Tsd. €,SC Paderborn 07,2016
Sebastian Heidinger,RM,31,250 Tsd. €,SC Paderborn 07,2016
Niko Dobros,LM,24,150 Tsd. €,SC Paderborn 07,2016
Dino Medjedovic,CAM,28,300 Tsd. €,SC Paderborn 07,2016
Christian Bickel,CAM,26,275 Tsd. €,SC Paderborn 07,2016
Marcus Piossek,CAM,27,275 Tsd. €,SC Paderborn 07,2016
Aykut Soyak,CAM,22,150 Tsd. €,SC Paderborn 07,2016
Semir Saric,CAM,19,50 Tsd. €,SC Paderborn 07,2016
Dardan Karimani,CAM,18,-,SC Paderborn 07,2016
Sven Michel,LW,26,275 Tsd. €,SC Paderborn 07,2016
Sergio Gucciardo,LW,18,-,SC Paderborn 07,2016
Ben Zolinski,RW,25,250 Tsd. €,SC Paderborn 07,2016
Roope Riski,ST,25,350 Tsd. €,SC Paderborn 07,2016
Zlatko Dedic,ST,32,275 Tsd. €,SC Paderborn 07,2016
Marc Vucinovic,ST,28,200 Tsd. €,SC Paderborn 07,2016
Koen van der Biezen,ST,31,175 Tsd. €,SC Paderborn 07,2016
Tim Mannek,ST,20,75 Tsd. €,SC Paderborn 07,2016
Leopold Zingerle,GK,24,350 Tsd. €,SC Paderborn 07,2017
Michael Ratajczak,GK,36,100 Tsd. €,SC Paderborn 07,2017
Till Brinkmann,GK,22,50 Tsd. €,SC Paderborn 07,2017
Sebastian Schonlau,CB,23,450 Tsd. €,SC Paderborn 07,2017
Christian Strohdiek,CB,30,400 Tsd. €,SC Paderborn 07,2017
Lukas Boeder,CB,21,400 Tsd. €,SC Paderborn 07,2017
Leon Fesser,CB,23,150 Tsd. €,SC Paderborn 07,2017
Felix Herzenbruch,LB,25,300 Tsd. €,SC Paderborn 07,2017
Jamilu Collins,LB,23,300 Tsd. €,SC Paderborn 07,2017
Thomas Bertels,LB,31,200 Tsd. €,SC Paderborn 07,2017
Pascal Itter,RB,23,100 Tsd. €,SC Paderborn 07,2017
Fatih Ufuk,RB,20,100 Tsd. €,SC Paderborn 07,2017
Matthias Stingl,RB,20,100 Tsd. €,SC Paderborn 07,2017
Robin Krauße,CDM,24,400 Tsd. €,SC Paderborn 07,2017
Sebastian Wimmer,CDM,24,175 Tsd. €,SC Paderborn 07,2017
Ron Schallenberg,CDM,19,50 Tsd. €,SC Paderborn 07,2017
Marc-André Kruska,CM,31,175 Tsd. €,SC Paderborn 07,2017
Marlon Ritter,CAM,23,500 Tsd. €,SC Paderborn 07,2017
Philipp Klement,CAM,25,400 Tsd. €,SC Paderborn 07,2017
Massih Wassey,CAM,30,300 Tsd. €,SC Paderborn 07,2017
Marcus Piossek,CAM,28,250 Tsd. €,SC Paderborn 07,2017
Aykut Soyak,CAM,23,125 Tsd. €,SC Paderborn 07,2017
Semir Saric,CAM,20,50 Tsd. €,SC Paderborn 07,2017
Dardan Karimani,CAM,19,50 Tsd. €,SC Paderborn 07,2017
Sven Michel,LW,27,550 Tsd. €,SC Paderborn 07,2017
Christopher Antwi-Adjei,LW,24,500 Tsd. €,SC Paderborn 07,2017
Kwame Yeboah,LW,24,175 Tsd. €,SC Paderborn 07,2017
Darryl Geurts,LW,23,100 Tsd. €,SC Paderborn 07,2017
Sergio Gucciardo,LW,19,-,SC Paderborn 07,2017
Filippos Selkos,LW,18,-,SC Paderborn 07,2017
Ben Zolinski,RW,26,350 Tsd. €,SC Paderborn 07,2017
Dennis Srbeny,ST,24,"1,50 Mio. €",SC Paderborn 07,2017
Phillip Tietz,ST,20,350 Tsd. €,SC Paderborn 07,2017
Marc Vucinovic,ST,29,150 Tsd. €,SC Paderborn 07,2017
Koen van der Biezen,ST,32,100 Tsd. €,SC Paderborn 07,2017
Tim Mannek,ST,21,50 Tsd. €,SC Paderborn 07,2017
Leopold Zingerle,GK,25,"1,00 Mio. €",SC Paderborn 07,2018
Michael Ratajczak,GK,37,100 Tsd. €,SC Paderborn 07,2018
Leon Brüggemeier,GK,21,100 Tsd. €,SC Paderborn 07,2018
Sebastian Schonlau,CB,24,"1,50 Mio. €",SC Paderborn 07,2018
Christian Strohdiek,CB,31,600 Tsd. €,SC Paderborn 07,2018
Uwe Hünemeier,CB,33,400 Tsd. €,SC Paderborn 07,2018
Lukas Boeder,CB,22,350 Tsd. €,SC Paderborn 07,2018
Sascha Heil,CB,20,100 Tsd. €,SC Paderborn 07,2018
Leon Fesser,CB,24,100 Tsd. €,SC Paderborn 07,2018
Jamilu Collins,LB,24,"1,50 Mio. €",SC Paderborn 07,2018
Tobias Schwede,LB,25,450 Tsd. €,SC Paderborn 07,2018
Felix Herzenbruch,LB,26,150 Tsd. €,SC Paderborn 07,2018
Philimon Tawiah,LB,20,100 Tsd. €,SC Paderborn 07,2018
Mohamed Dräger,RB,23,"2,00 Mio. €",SC Paderborn 07,2018
Klaus Gjasula,CDM,29,750 Tsd. €,SC Paderborn 07,2018
Robin Krauße,CDM,25,400 Tsd. €,SC Paderborn 07,2018
Sebastian Vasiliadis,CM,21,"3,50 Mio. €",SC Paderborn 07,2018
Olivér Schindler,CM,19,100 Tsd. €,SC Paderborn 07,2018
Philipp Klement,CAM,26,"2,50 Mio. €",SC Paderborn 07,2018
Marlon Ritter,CAM,24,500 Tsd. €,SC Paderborn 07,2018
Julius Düker,CAM,23,250 Tsd. €,SC Paderborn 07,2018
Massih Wassey,CAM,31,200 Tsd. €,SC Paderborn 07,2018
Christopher Antwi-Adjei,LW,25,"1,50 Mio. €",SC Paderborn 07,2018
Sven Michel,LW,28,"1,25 Mio. €",SC Paderborn 07,2018
Filippos Selkos,LW,19,100 Tsd. €,SC Paderborn 07,2018
Sergio Gucciardo,LW,20,100 Tsd. €,SC Paderborn 07,2018
Mohammed Kamara,LW,21,100 Tsd. €,SC Paderborn 07,2018
Bernard Tekpetey,RW,21,"2,50 Mio. €",SC Paderborn 07,2018
Kai Pröger,RW,27,800 Tsd. €,SC Paderborn 07,2018
Ben Zolinski,RW,27,750 Tsd. €,SC Paderborn 07,2018
Felix Drinkuth,RW,24,200 Tsd. €,SC Paderborn 07,2018
Babacar Gueye,ST,24,750 Tsd. €,SC Paderborn 07,2018
Khiry Shelton,ST,26,500 Tsd. €,SC Paderborn 07,2018
Phillip Tietz,ST,21,350 Tsd. €,SC Paderborn 07,2018
Luca Pfeiffer,ST,22,200 Tsd. €,SC Paderborn 07,2018
Leopold Zingerle,GK,26,"1,20 Mio. €",SC Paderborn 07,2019
Jannik Huth,GK,26,600 Tsd. €,SC Paderborn 07,2019
Michael Ratajczak,GK,38,100 Tsd. €,SC Paderborn 07,2019
Leon Brüggemeier,GK,22,100 Tsd. €,SC Paderborn 07,2019
Sebastian Schonlau,CB,25,"1,60 Mio. €",SC Paderborn 07,2019
Luca Kilian,CB,20,"1,30 Mio. €",SC Paderborn 07,2019
Christian Strohdiek,CB,32,475 Tsd. €,SC Paderborn 07,2019
Uwe Hünemeier,CB,34,325 Tsd. €,SC Paderborn 07,2019
Jan-Luca Rumpf,CB,20,150 Tsd. €,SC Paderborn 07,2019
Jamilu Collins,LB,25,"2,40 Mio. €",SC Paderborn 07,2019
Mohamed Dräger,RB,24,"1,60 Mio. €",SC Paderborn 07,2019
Laurent Jans,RB,27,550 Tsd. €,SC Paderborn 07,2019
Klaus Gjasula,CDM,30,725 Tsd. €,SC Paderborn 07,2019
Adrian Oeynhausen,CDM,18,150 Tsd. €,SC Paderborn 07,2019
Dominik Bilogrevic,CDM,21,50 Tsd. €,SC Paderborn 07,2019
Sebastian Vasiliadis,CM,22,"3,20 Mio. €",SC Paderborn 07,2019
Samúel Fridjónsson,CM,24,400 Tsd. €,SC Paderborn 07,2019
Abdelhamid Sabiri,CAM,23,"1,70 Mio. €",SC Paderborn 07,2019
Cauly,CAM,24,"1,40 Mio. €",SC Paderborn 07,2019
Rifet Kapic,CAM,24,475 Tsd. €,SC Paderborn 07,2019
Marlon Ritter,CAM,25,400 Tsd. €,SC Paderborn 07,2019
Antony Evans,CAM,21,350 Tsd. €,SC Paderborn 07,2019
Christopher Antwi-Adjei,LW,26,"1,60 Mio. €",SC Paderborn 07,2019
Gerrit Holtmann,LW,25,"1,20 Mio. €",SC Paderborn 07,2019
Sven Michel,LW,29,"1,00 Mio. €",SC Paderborn 07,2019
Dennis Jastrzembski,LW,20,450 Tsd. €,SC Paderborn 07,2019
Kai Pröger,RW,28,"1,40 Mio. €",SC Paderborn 07,2019
Ben Zolinski,RW,28,725 Tsd. €,SC Paderborn 07,2019
Streli Mamba,ST,26,"1,60 Mio. €",SC Paderborn 07,2019
Dennis Srbeny,ST,26,800 Tsd. €,SC Paderborn 07,2019
Babacar Gueye,ST,25,475 Tsd. €,SC Paderborn 07,2019
Khiry Shelton,ST,27,400 Tsd. €,SC Paderborn 07,2019
Leopold Zingerle,GK,27,700 Tsd. €,SC Paderborn 07,2020
Jannik Huth,GK,27,300 Tsd. €,SC Paderborn 07,2020
Moritz Schulze,GK,20,100 Tsd. €,SC Paderborn 07,2020
Michele Cordi,GK,21,-,SC Paderborn 07,2020
Sebastian Schonlau,CB,26,"1,70 Mio. €",SC Paderborn 07,2020
Nicolas Bürgy,CB,25,400 Tsd. €,SC Paderborn 07,2020
Marcel Correia,CB,32,350 Tsd. €,SC Paderborn 07,2020
Uwe Hünemeier,CB,35,300 Tsd. €,SC Paderborn 07,2020
Christian Strohdiek,CB,33,250 Tsd. €,SC Paderborn 07,2020
Jamilu Collins,LB,26,"1,30 Mio. €",SC Paderborn 07,2020
Chima Okoroji,LB,24,700 Tsd. €,SC Paderborn 07,2020
Johannes Dörfler,RB,24,550 Tsd. €,SC Paderborn 07,2020
Frederic Ananou,RB,23,400 Tsd. €,SC Paderborn 07,2020
Ron Schallenberg,CDM,22,"1,00 Mio. €",SC Paderborn 07,2020
Maximilian Thalhammer,CDM,23,600 Tsd. €,SC Paderborn 07,2020
Aristote Nkaka,CDM,25,400 Tsd. €,SC Paderborn 07,2020
Sebastian Vasiliadis,CM,23,"2,00 Mio. €",SC Paderborn 07,2020
Marcel Heller,RM,35,225 Tsd. €,SC Paderborn 07,2020
Julian Justvan,CAM,23,700 Tsd. €,SC Paderborn 07,2020
Svante Ingelsson,CAM,23,600 Tsd. €,SC Paderborn 07,2020
Antony Evans,CAM,22,300 Tsd. €,SC Paderborn 07,2020
Jesse Tugbenyo,CAM,19,100 Tsd. €,SC Paderborn 07,2020
Soufiane El-Faouzi,CAM,18,-,SC Paderborn 07,2020
Chris Führich,LW,23,"2,50 Mio. €",SC Paderborn 07,2020
Christopher Antwi-Adjei,LW,27,"1,00 Mio. €",SC Paderborn 07,2020
Sven Michel,LW,30,800 Tsd. €,SC Paderborn 07,2020
Dennis Jastrzembski,LW,21,450 Tsd. €,SC Paderborn 07,2020
Jayden Bennetts,LW,20,50 Tsd. €,SC Paderborn 07,2020
Chadrac Akolo,RW,26,800 Tsd. €,SC Paderborn 07,2020
Kai Pröger,RW,29,800 Tsd. €,SC Paderborn 07,2020
Pascal Steinwender,RW,24,200 Tsd. €,SC Paderborn 07,2020
Marco Terrazzino,Second Striker,30,550 Tsd. €,SC Paderborn 07,2020
Dennis Srbeny,ST,27,"1,50 Mio. €",SC Paderborn 07,2020
Streli Mamba,ST,27,800 Tsd. €,SC Paderborn 07,2020
Prince Owusu,ST,24,250 Tsd. €,SC Paderborn 07,2020
Jannik Huth,GK,28,600 Tsd. €,SC Paderborn 07,2021
Leopold Zingerle,GK,28,500 Tsd. €,SC Paderborn 07,2021
Moritz Schulze,GK,21,100 Tsd. €,SC Paderborn 07,2021
Jasper van der Werff,CB,23,900 Tsd. €,SC Paderborn 07,2021
Robin Yalçın,CB,28,800 Tsd. €,SC Paderborn 07,2021
Jannis Heuer,CB,22,400 Tsd. €,SC Paderborn 07,2021
Uwe Hünemeier,CB,36,300 Tsd. €,SC Paderborn 07,2021
Marcel Correia,CB,33,275 Tsd. €,SC Paderborn 07,2021
Justus Henke,CB,21,50 Tsd. €,SC Paderborn 07,2021
Jamilu Collins,LB,27,"1,30 Mio. €",SC Paderborn 07,2021
Jonas Carls,LB,25,300 Tsd. €,SC Paderborn 07,2021
Frederic Ananou,RB,24,350 Tsd. €,SC Paderborn 07,2021
