name,position,age,value,team,season
Sebastian Lange,GK,27,150 Tsd. €,SC Verl,2014
Jonathan Mellwig,GK,26,25 Tsd. €,SC Verl,2014
Robin Brüseke,GK,21,25 Tsd. €,SC Verl,2014
Daniel Mikic,CB,22,125 Tsd. €,SC Verl,2014
Julian Schmidt,CB,29,125 Tsd. €,SC Verl,2014
Julian Stöckner,CB,26,100 Tsd. €,SC Verl,2014
Patrick Plucinski,CB,27,75 Tsd. €,SC Verl,2014
Sebastian Schonlau,CB,20,75 Tsd. €,SC Verl,2014
Mario Bertram,CB,25,25 Tsd. €,SC Verl,2014
Guerino Capretti,CB,33,-,SC Verl,2014
Marco Kaminski,LB,31,125 Tsd. €,SC Verl,2014
Hervenogi Unzola,LB,23,50 Tsd. €,SC Verl,2014
Anton Safonov,RB,21,50 Tsd. €,SC Verl,2014
Jannik Schröder,CDM,25,125 Tsd. €,SC Verl,2014
Friedrich Bömer-Schulte,CDM,27,75 Tsd. €,SC Verl,2014
Enis Cömert,Midfielder,21,25 Tsd. €,SC Verl,2014
Dustin Gräwe,CM,19,-,SC Verl,2014
Fabian Großeschallau,LM,27,125 Tsd. €,SC Verl,2014
Robert Mainka,CAM,32,75 Tsd. €,SC Verl,2014
Manuel Rasp,LW,28,75 Tsd. €,SC Verl,2014
Nico Hecker,RW,23,75 Tsd. €,SC Verl,2014
Simon Engelmann,ST,26,175 Tsd. €,SC Verl,2014
Matthias Haeder,ST,26,150 Tsd. €,SC Verl,2014
Hamadi Al-Ghaddioui,ST,24,150 Tsd. €,SC Verl,2014
Marcel Kunstmann,ST,27,50 Tsd. €,SC Verl,2014
Sebastian Lange,GK,28,150 Tsd. €,SC Verl,2015
Jonathan Mellwig,GK,27,25 Tsd. €,SC Verl,2015
Robin Brüseke,GK,22,25 Tsd. €,SC Verl,2015
Berkay Yilmaz,GK,19,-,SC Verl,2015
Tim Bukowski,GK,-,-,SC Verl,2015
Daniel Mikic,CB,23,125 Tsd. €,SC Verl,2015
Julian Schmidt,CB,30,125 Tsd. €,SC Verl,2015
Julian Stöckner,CB,27,100 Tsd. €,SC Verl,2015
Kevin Kalinowski,CB,22,75 Tsd. €,SC Verl,2015
Mario Bertram,CB,26,25 Tsd. €,SC Verl,2015
Hervenogi Unzola,LB,24,100 Tsd. €,SC Verl,2015
Marco Kaminski,LB,32,75 Tsd. €,SC Verl,2015
Patrick Choroba,RB,20,25 Tsd. €,SC Verl,2015
Jannik Schröder,CDM,26,125 Tsd. €,SC Verl,2015
Yannick Geisler,CDM,21,75 Tsd. €,SC Verl,2015
Friedrich Bömer-Schulte,CDM,28,75 Tsd. €,SC Verl,2015
Dustin Gräwe,CM,20,-,SC Verl,2015
Jan-Lukas Liehr,CM,18,-,SC Verl,2015
Fabian Großeschallau,LM,28,125 Tsd. €,SC Verl,2015
Robert Mainka,CAM,33,75 Tsd. €,SC Verl,2015
Manuel Rasp,LW,29,75 Tsd. €,SC Verl,2015
Jan-Patrick Kadiata,LW,26,50 Tsd. €,SC Verl,2015
Charalambos Makridis,LW,19,25 Tsd. €,SC Verl,2015
Jonas Erwig-Drüppel,RW,24,125 Tsd. €,SC Verl,2015
Nico Hecker,RW,24,100 Tsd. €,SC Verl,2015
Hamadi Al-Ghaddioui,ST,25,175 Tsd. €,SC Verl,2015
Matthias Haeder,ST,27,150 Tsd. €,SC Verl,2015
Aliosman Aydin,ST,24,100 Tsd. €,SC Verl,2015
Robin Brüseke,GK,23,100 Tsd. €,SC Verl,2016
Sebastian Lange,GK,29,50 Tsd. €,SC Verl,2016
Jarno Peters,GK,24,50 Tsd. €,SC Verl,2016
Marius Rahmann,GK,19,-,SC Verl,2016
Max Ilskens,CB,21,-,SC Verl,2016
Daniel Mikic,CB,24,125 Tsd. €,SC Verl,2016
Julian Stöckner,CB,28,100 Tsd. €,SC Verl,2016
Julian Schmidt,CB,31,100 Tsd. €,SC Verl,2016
Kevin Kalinowski,CB,23,50 Tsd. €,SC Verl,2016
Maximilian Kaspar,CB,23,25 Tsd. €,SC Verl,2016
Aram Aluc,CB,20,25 Tsd. €,SC Verl,2016
Hervenogi Unzola,LB,25,100 Tsd. €,SC Verl,2016
Marco Kaminski,LB,33,75 Tsd. €,SC Verl,2016
Jonas Strifler,RB,27,100 Tsd. €,SC Verl,2016
Patrick Choroba,RB,21,75 Tsd. €,SC Verl,2016
Yannick Geisler,CDM,22,100 Tsd. €,SC Verl,2016
Jannik Schröder,CDM,27,100 Tsd. €,SC Verl,2016
Hasan Dere,CDM,20,-,SC Verl,2016
Jan-Lukas Liehr,CM,19,75 Tsd. €,SC Verl,2016
Fabian Großeschallau,LM,29,75 Tsd. €,SC Verl,2016
Daniel Schaal,LM,23,50 Tsd. €,SC Verl,2016
Connor Wlotzka,CAM,20,25 Tsd. €,SC Verl,2016
Charalambos Makridis,LW,20,75 Tsd. €,SC Verl,2016
Manuel Rasp,LW,30,50 Tsd. €,SC Verl,2016
Nico Hecker,RW,25,100 Tsd. €,SC Verl,2016
Philip Semlits,RW,26,25 Tsd. €,SC Verl,2016
Niklas Szeleschus,RW,20,-,SC Verl,2016
Viktor Maier,ST,27,125 Tsd. €,SC Verl,2016
Sinisa Veselinovic,ST,26,100 Tsd. €,SC Verl,2016
Matthias Haeder,ST,28,100 Tsd. €,SC Verl,2016
Gianluca Marzullo,ST,26,100 Tsd. €,SC Verl,2016
Robin Brüseke,GK,24,125 Tsd. €,SC Verl,2017
Sebastian Lange,GK,30,50 Tsd. €,SC Verl,2017
Marius Rahmann,GK,20,-,SC Verl,2017
Fabian Pekruhl,GK,19,-,SC Verl,2017
Julian Stöckner,CB,29,100 Tsd. €,SC Verl,2017
Julian Schmidt,CB,32,100 Tsd. €,SC Verl,2017
Daniel Mikic,CB,25,75 Tsd. €,SC Verl,2017
Jan Klauke,CB,24,75 Tsd. €,SC Verl,2017
Markus Baum,CB,19,25 Tsd. €,SC Verl,2017
Cinar Sansar,LB,23,100 Tsd. €,SC Verl,2017
Benjamin Kolodzig,LB,27,50 Tsd. €,SC Verl,2017
Fabian Brosowski,LB,18,25 Tsd. €,SC Verl,2017
Patrick Choroba,RB,22,125 Tsd. €,SC Verl,2017
Bastian Müller,CDM,26,125 Tsd. €,SC Verl,2017
Jannik Schröder,CDM,28,100 Tsd. €,SC Verl,2017
Mehmet Kurt,CDM,22,75 Tsd. €,SC Verl,2017
Alexander Gockel,CDM,22,25 Tsd. €,SC Verl,2017
Jan-Lukas Liehr,CM,20,125 Tsd. €,SC Verl,2017
Jan Schöppner,CM,19,-,SC Verl,2017
Fabian Großeschallau,LM,30,50 Tsd. €,SC Verl,2017
Daniel Schaal,LM,24,50 Tsd. €,SC Verl,2017
Zlatko Muhovic,CAM,27,100 Tsd. €,SC Verl,2017
Patrick Kurzen,RW,21,75 Tsd. €,SC Verl,2017
Nico Hecker,RW,26,75 Tsd. €,SC Verl,2017
Cellou Diallo,RW,22,25 Tsd. €,SC Verl,2017
Anton Heinz,RW,20,-,SC Verl,2017
Viktor Maier,ST,28,125 Tsd. €,SC Verl,2017
Cihan Özkara,ST,26,100 Tsd. €,SC Verl,2017
Gianluca Marzullo,ST,27,75 Tsd. €,SC Verl,2017
Matthias Haeder,ST,29,50 Tsd. €,SC Verl,2017
Robin Brüseke,GK,25,100 Tsd. €,SC Verl,2018
Luis Klante,GK,20,50 Tsd. €,SC Verl,2018
Sebastian Lange,GK,31,25 Tsd. €,SC Verl,2018
Jonas Acquistapace,CB,30,150 Tsd. €,SC Verl,2018
Julian Stöckner,CB,30,100 Tsd. €,SC Verl,2018
Daniel Mikic,CB,26,75 Tsd. €,SC Verl,2018
Julian Schmidt,CB,33,75 Tsd. €,SC Verl,2018
Janik Steringer,CB,21,50 Tsd. €,SC Verl,2018
Cinar Sansar,LB,24,100 Tsd. €,SC Verl,2018
Fabian Brosowski,LB,19,50 Tsd. €,SC Verl,2018
Sergej Schmik,RB,29,100 Tsd. €,SC Verl,2018
Arthur Ekallé,RB,22,50 Tsd. €,SC Verl,2018
Ron Schallenberg,CDM,20,100 Tsd. €,SC Verl,2018
Bastian Müller,CDM,27,100 Tsd. €,SC Verl,2018
Jannik Schröder,CDM,29,75 Tsd. €,SC Verl,2018
Niklas Sewing,CDM,21,25 Tsd. €,SC Verl,2018
Jan-Lukas Liehr,CM,21,75 Tsd. €,SC Verl,2018
Jan Schöppner,CM,20,25 Tsd. €,SC Verl,2018
Marko Stojanovic,LM,25,100 Tsd. €,SC Verl,2018
Dardan Karimani,CAM,20,50 Tsd. €,SC Verl,2018
Aygün Yildirim,LW,24,150 Tsd. €,SC Verl,2018
Patrick Kurzen,RW,22,100 Tsd. €,SC Verl,2018
Nico Hecker,RW,27,50 Tsd. €,SC Verl,2018
Anton Heinz,RW,21,50 Tsd. €,SC Verl,2018
Viktor Maier,ST,29,100 Tsd. €,SC Verl,2018
Matthias Haeder,ST,30,100 Tsd. €,SC Verl,2018
Daniel Hammel,ST,26,75 Tsd. €,SC Verl,2018
Stefan Langemann,ST,28,-,SC Verl,2018
Fabio Kristkowitz,ST,19,-,SC Verl,2018
Robin Brüseke,GK,26,150 Tsd. €,SC Verl,2019
Luis Klante,GK,21,50 Tsd. €,SC Verl,2019
Sebastian Lange,GK,32,25 Tsd. €,SC Verl,2019
Frederik Lach,CB,23,150 Tsd. €,SC Verl,2019
Yannick Langesberg,CB,26,100 Tsd. €,SC Verl,2019
Julian Stöckner,CB,31,100 Tsd. €,SC Verl,2019
Daniel Mikic,CB,27,75 Tsd. €,SC Verl,2019
Alessandro Otte,CB,22,50 Tsd. €,SC Verl,2019
Lars Ritzka,LB,22,175 Tsd. €,SC Verl,2019
Fabian Brosowski,LB,20,50 Tsd. €,SC Verl,2019
Cinar Sansar,LB,25,50 Tsd. €,SC Verl,2019
Patrick Choroba,RB,24,150 Tsd. €,SC Verl,2019
Sergej Schmik,RB,30,75 Tsd. €,SC Verl,2019
Ron Schallenberg,CDM,21,200 Tsd. €,SC Verl,2019
Mehmet Kurt,CDM,24,150 Tsd. €,SC Verl,2019
Jannik Schröder,CDM,30,-,SC Verl,2019
Jan Schöppner,CM,21,175 Tsd. €,SC Verl,2019
Exaucé Andzouana,CM,26,75 Tsd. €,SC Verl,2019
Hendrik Lohmar,CAM,24,75 Tsd. €,SC Verl,2019
Dardan Karimani,CAM,21,50 Tsd. €,SC Verl,2019
Aygün Yildirim,LW,25,200 Tsd. €,SC Verl,2019
Patrick Schikowski,LW,28,150 Tsd. €,SC Verl,2019
