name,position,age,value,team,season
Florian Kirschke,GK,23,75 Tsd. €,SC Weiche Flensburg 08,2014
André Hagge,GK,30,25 Tsd. €,SC Weiche Flensburg 08,2014
Dennis Emken,GK,23,25 Tsd. €,SC Weiche Flensburg 08,2014
Sascha Braun,GK,30,-,SC Weiche Flensburg 08,2014
Matthias Hummel,CB,30,100 Tsd. €,SC Weiche Flensburg 08,2014
Christian Jürgensen,CB,30,100 Tsd. €,SC Weiche Flensburg 08,2014
Torge Paetow,CB,19,75 Tsd. €,SC Weiche Flensburg 08,2014
Hendrik Ostermann,CB,26,75 Tsd. €,SC Weiche Flensburg 08,2014
Patrick Thomsen,CB,24,75 Tsd. €,SC Weiche Flensburg 08,2014
Christoph Dammann,CB,23,50 Tsd. €,SC Weiche Flensburg 08,2014
Marc Böhnke,LB,31,75 Tsd. €,SC Weiche Flensburg 08,2014
Ilídio,LB,23,75 Tsd. €,SC Weiche Flensburg 08,2014
Tanju Hassanoglou,LB,27,-,SC Weiche Flensburg 08,2014
Florian Meyer,CDM,27,175 Tsd. €,SC Weiche Flensburg 08,2014
Jonas Walter,CDM,24,75 Tsd. €,SC Weiche Flensburg 08,2014
Nedim Hasanbegovic,CDM,27,75 Tsd. €,SC Weiche Flensburg 08,2014
Jannick Ostermann,CDM,26,50 Tsd. €,SC Weiche Flensburg 08,2014
Karl-Christian Melfsen,CDM,24,50 Tsd. €,SC Weiche Flensburg 08,2014
Dawid Kroll,CDM,28,25 Tsd. €,SC Weiche Flensburg 08,2014
Kevin Schulz,CAM,26,100 Tsd. €,SC Weiche Flensburg 08,2014
Elmedin Kasumovic,CAM,28,50 Tsd. €,SC Weiche Flensburg 08,2014
Len Aike Strömer,CAM,24,50 Tsd. €,SC Weiche Flensburg 08,2014
Ömer Akyörük,LW,22,50 Tsd. €,SC Weiche Flensburg 08,2014
Marcel Cornils,LW,22,50 Tsd. €,SC Weiche Flensburg 08,2014
Ken Dikun,LW,22,-,SC Weiche Flensburg 08,2014
Timo Carstensen,RW,24,50 Tsd. €,SC Weiche Flensburg 08,2014
Lukas Linhardt,RW,20,50 Tsd. €,SC Weiche Flensburg 08,2014
Tim Wulff,ST,28,100 Tsd. €,SC Weiche Flensburg 08,2014
Florian Kirschke,GK,24,100 Tsd. €,SC Weiche Flensburg 08,2015
Ole Rathmann,GK,20,25 Tsd. €,SC Weiche Flensburg 08,2015
Raphael Straub,GK,21,25 Tsd. €,SC Weiche Flensburg 08,2015
Christian Jürgensen,CB,31,125 Tsd. €,SC Weiche Flensburg 08,2015
Torge Paetow,CB,20,100 Tsd. €,SC Weiche Flensburg 08,2015
Patrick Thomsen,CB,25,100 Tsd. €,SC Weiche Flensburg 08,2015
Matthias Hummel,CB,31,75 Tsd. €,SC Weiche Flensburg 08,2015
Hendrik Ostermann,CB,27,75 Tsd. €,SC Weiche Flensburg 08,2015
Leon Kroiß,CB,19,50 Tsd. €,SC Weiche Flensburg 08,2015
Christoph Dammann,CB,24,50 Tsd. €,SC Weiche Flensburg 08,2015
Benjamin Safo-Mensah,CB,20,50 Tsd. €,SC Weiche Flensburg 08,2015
Tarek Hammi,CB,19,-,SC Weiche Flensburg 08,2015
Marc Böhnke,LB,32,100 Tsd. €,SC Weiche Flensburg 08,2015
Ilídio,LB,24,75 Tsd. €,SC Weiche Flensburg 08,2015
Florian Meyer,CDM,28,175 Tsd. €,SC Weiche Flensburg 08,2015
Jonas Walter,CDM,25,100 Tsd. €,SC Weiche Flensburg 08,2015
Jannick Ostermann,CDM,27,75 Tsd. €,SC Weiche Flensburg 08,2015
Nedim Hasanbegovic,CDM,28,75 Tsd. €,SC Weiche Flensburg 08,2015
Karl-Christian Melfsen,CDM,25,50 Tsd. €,SC Weiche Flensburg 08,2015
Kevin Schulz,CAM,27,75 Tsd. €,SC Weiche Flensburg 08,2015
Jannik Drews,CAM,21,25 Tsd. €,SC Weiche Flensburg 08,2015
Josef Shirdel,RW,23,100 Tsd. €,SC Weiche Flensburg 08,2015
Timo Carstensen,RW,25,50 Tsd. €,SC Weiche Flensburg 08,2015
Fiete Sykora,Second Striker,33,100 Tsd. €,SC Weiche Flensburg 08,2015
Tim Wulff,ST,29,125 Tsd. €,SC Weiche Flensburg 08,2015
Florian Kirschke,GK,25,100 Tsd. €,SC Weiche Flensburg 08,2016
Ole Rathmann,GK,21,25 Tsd. €,SC Weiche Flensburg 08,2016
Raphael Straub,GK,22,25 Tsd. €,SC Weiche Flensburg 08,2016
Christian Jürgensen,CB,32,125 Tsd. €,SC Weiche Flensburg 08,2016
Angelos Argyris,CB,23,100 Tsd. €,SC Weiche Flensburg 08,2016
Hendrik Ostermann,CB,28,75 Tsd. €,SC Weiche Flensburg 08,2016
Benjamin Safo-Mensah,CB,21,50 Tsd. €,SC Weiche Flensburg 08,2016
Patrick Thomsen,CB,26,50 Tsd. €,SC Weiche Flensburg 08,2016
Leon Kroiß,CB,20,25 Tsd. €,SC Weiche Flensburg 08,2016
Marc Böhnke,LB,33,75 Tsd. €,SC Weiche Flensburg 08,2016
Ilídio,LB,25,50 Tsd. €,SC Weiche Flensburg 08,2016
Jannis Pläschke,RB,24,100 Tsd. €,SC Weiche Flensburg 08,2016
Florian Meyer,CDM,29,125 Tsd. €,SC Weiche Flensburg 08,2016
Finn Wirlmann,CDM,20,100 Tsd. €,SC Weiche Flensburg 08,2016
Jonas Walter,CDM,26,100 Tsd. €,SC Weiche Flensburg 08,2016
Nedim Hasanbegovic,CDM,29,100 Tsd. €,SC Weiche Flensburg 08,2016
Jannick Ostermann,CDM,28,50 Tsd. €,SC Weiche Flensburg 08,2016
René Guder,RM,22,150 Tsd. €,SC Weiche Flensburg 08,2016
Kevin Schulz,CAM,28,50 Tsd. €,SC Weiche Flensburg 08,2016
Fabian Arndt,CAM,21,50 Tsd. €,SC Weiche Flensburg 08,2016
Thiago Freitas,CAM,30,50 Tsd. €,SC Weiche Flensburg 08,2016
Jannik Drews,CAM,22,25 Tsd. €,SC Weiche Flensburg 08,2016
Tayfun Can,CAM,20,25 Tsd. €,SC Weiche Flensburg 08,2016
Fiete Sykora,Second Striker,34,75 Tsd. €,SC Weiche Flensburg 08,2016
Tim Wulff,ST,30,75 Tsd. €,SC Weiche Flensburg 08,2016
Florian Kirschke,GK,26,100 Tsd. €,SC Weiche Flensburg 08,2017
Raphael Straub,GK,23,25 Tsd. €,SC Weiche Flensburg 08,2017
Christian Jürgensen,CB,33,125 Tsd. €,SC Weiche Flensburg 08,2017
Torge Paetow,CB,22,100 Tsd. €,SC Weiche Flensburg 08,2017
Patrick Thomsen,CB,27,100 Tsd. €,SC Weiche Flensburg 08,2017
Hendrik Ostermann,CB,29,75 Tsd. €,SC Weiche Flensburg 08,2017
Benjamin Safo-Mensah,CB,22,50 Tsd. €,SC Weiche Flensburg 08,2017
Ilídio,LB,26,75 Tsd. €,SC Weiche Flensburg 08,2017
Junior Ebot-Etchi,RB,22,100 Tsd. €,SC Weiche Flensburg 08,2017
Jannis Pläschke,RB,25,75 Tsd. €,SC Weiche Flensburg 08,2017
Florian Meyer,CDM,30,100 Tsd. €,SC Weiche Flensburg 08,2017
Jonas Walter,CDM,27,100 Tsd. €,SC Weiche Flensburg 08,2017
Nedim Hasanbegovic,CDM,30,100 Tsd. €,SC Weiche Flensburg 08,2017
Finn Wirlmann,CDM,21,75 Tsd. €,SC Weiche Flensburg 08,2017
Jannick Ostermann,CDM,29,50 Tsd. €,SC Weiche Flensburg 08,2017
Marvin Kleihs,CM,24,125 Tsd. €,SC Weiche Flensburg 08,2017
René Guder,RM,23,200 Tsd. €,SC Weiche Flensburg 08,2017
Dominic Hartmann,CAM,25,100 Tsd. €,SC Weiche Flensburg 08,2017
Kevin Schulz,CAM,29,75 Tsd. €,SC Weiche Flensburg 08,2017
Fabian Arndt,CAM,22,50 Tsd. €,SC Weiche Flensburg 08,2017
Tayfun Can,CAM,21,50 Tsd. €,SC Weiche Flensburg 08,2017
Jannik Drews,CAM,23,25 Tsd. €,SC Weiche Flensburg 08,2017
Marcel Cornils,LW,25,-,SC Weiche Flensburg 08,2017
Fiete Sykora,Second Striker,35,75 Tsd. €,SC Weiche Flensburg 08,2017
Nico Empen,ST,22,100 Tsd. €,SC Weiche Flensburg 08,2017
Tim Wulff,ST,31,75 Tsd. €,SC Weiche Flensburg 08,2017
Sebastian Kiesbye,ST,27,-,SC Weiche Flensburg 08,2017
Florian Kirschke,GK,27,100 Tsd. €,SC Weiche Flensburg 08,2018
Raphael Straub,GK,24,25 Tsd. €,SC Weiche Flensburg 08,2018
Ole Rathmann,GK,23,-,SC Weiche Flensburg 08,2018
Nicolai Steensbeck-Vest,GK,19,-,SC Weiche Flensburg 08,2018
Brian Jungjohann,CB,21,-,SC Weiche Flensburg 08,2018
Torge Paetow,CB,23,125 Tsd. €,SC Weiche Flensburg 08,2018
Christian Jürgensen,CB,34,100 Tsd. €,SC Weiche Flensburg 08,2018
Patrick Thomsen,CB,28,100 Tsd. €,SC Weiche Flensburg 08,2018
Hendrik Ostermann,CB,30,75 Tsd. €,SC Weiche Flensburg 08,2018
Kevin Njie,CB,23,75 Tsd. €,SC Weiche Flensburg 08,2018
Leon Kroiß,CB,22,25 Tsd. €,SC Weiche Flensburg 08,2018
Benjamin Safo-Mensah,CB,23,-,SC Weiche Flensburg 08,2018
Joël Keller,LB,24,75 Tsd. €,SC Weiche Flensburg 08,2018
Ilídio,LB,27,75 Tsd. €,SC Weiche Flensburg 08,2018
Jannis Pläschke,RB,26,75 Tsd. €,SC Weiche Flensburg 08,2018
Jonas Walter,CDM,28,100 Tsd. €,SC Weiche Flensburg 08,2018
Finn Wirlmann,CDM,22,75 Tsd. €,SC Weiche Flensburg 08,2018
Florian Meyer,CDM,31,75 Tsd. €,SC Weiche Flensburg 08,2018
Nedim Hasanbegovic,CDM,31,75 Tsd. €,SC Weiche Flensburg 08,2018
Jannick Ostermann,CDM,30,50 Tsd. €,SC Weiche Flensburg 08,2018
Dominic Hartmann,CAM,26,125 Tsd. €,SC Weiche Flensburg 08,2018
Kevin Schulz,CAM,30,75 Tsd. €,SC Weiche Flensburg 08,2018
Gökay Isitan,CAM,27,75 Tsd. €,SC Weiche Flensburg 08,2018
Jannik Drews,CAM,24,25 Tsd. €,SC Weiche Flensburg 08,2018
Gary Noël,ST,29,100 Tsd. €,SC Weiche Flensburg 08,2018
Nico Empen,ST,23,100 Tsd. €,SC Weiche Flensburg 08,2018
Tim Wulff,ST,32,75 Tsd. €,SC Weiche Flensburg 08,2018
Marvin Ibekwe,ST,27,75 Tsd. €,SC Weiche Flensburg 08,2018
Florian Kirschke,GK,28,100 Tsd. €,SC Weiche Flensburg 08,2019
Raphael Straub,GK,25,50 Tsd. €,SC Weiche Flensburg 08,2019
Ingmar Struck,GK,19,-,SC Weiche Flensburg 08,2019
Torge Paetow,CB,24,150 Tsd. €,SC Weiche Flensburg 08,2019
Jovan Vidovic,CB,31,150 Tsd. €,SC Weiche Flensburg 08,2019
Christian Jürgensen,CB,35,100 Tsd. €,SC Weiche Flensburg 08,2019
Kevin Njie,CB,24,100 Tsd. €,SC Weiche Flensburg 08,2019
Angelos Argyris,CB,26,100 Tsd. €,SC Weiche Flensburg 08,2019
Patrick Thomsen,CB,29,50 Tsd. €,SC Weiche Flensburg 08,2019
Ture Blaue,CB,20,25 Tsd. €,SC Weiche Flensburg 08,2019
Ilídio,LB,28,75 Tsd. €,SC Weiche Flensburg 08,2019
Julian Stöhr,LB,22,50 Tsd. €,SC Weiche Flensburg 08,2019
Jonas Walter,CDM,29,100 Tsd. €,SC Weiche Flensburg 08,2019
Finn Wirlmann,CDM,23,75 Tsd. €,SC Weiche Flensburg 08,2019
Nedim Hasanbegovic,CDM,32,75 Tsd. €,SC Weiche Flensburg 08,2019
Florian Meyer,CDM,32,50 Tsd. €,SC Weiche Flensburg 08,2019
Dominic Hartmann,CAM,27,125 Tsd. €,SC Weiche Flensburg 08,2019
Fabian Graudenz,CAM,28,100 Tsd. €,SC Weiche Flensburg 08,2019
Kevin Schulz,CAM,31,75 Tsd. €,SC Weiche Flensburg 08,2019
Gökay Isitan,CAM,28,75 Tsd. €,SC Weiche Flensburg 08,2019
Tayfun Can,CAM,23,25 Tsd. €,SC Weiche Flensburg 08,2019
Casper Olesen,LW,24,100 Tsd. €,SC Weiche Flensburg 08,2019
Nico Empen,ST,24,100 Tsd. €,SC Weiche Flensburg 08,2019
Marvin Ibekwe,ST,28,75 Tsd. €,SC Weiche Flensburg 08,2019
Tim Wulff,ST,33,75 Tsd. €,SC Weiche Flensburg 08,2019
Jonas Andersen,ST,20,-,SC Weiche Flensburg 08,2019
Florian Kirschke,GK,29,100 Tsd. €,SC Weiche Flensburg 08,2020
Raphael Straub,GK,26,50 Tsd. €,SC Weiche Flensburg 08,2020
Jonas Wolz,GK,20,-,SC Weiche Flensburg 08,2020
Torge Paetow,CB,25,150 Tsd. €,SC Weiche Flensburg 08,2020
Kevin Njie,CB,25,100 Tsd. €,SC Weiche Flensburg 08,2020
Patrick Thomsen,CB,30,75 Tsd. €,SC Weiche Flensburg 08,2020
Ture Blaue,CB,21,25 Tsd. €,SC Weiche Flensburg 08,2020
Malte Petersen,CB,20,25 Tsd. €,SC Weiche Flensburg 08,2020
Ilídio,LB,29,75 Tsd. €,SC Weiche Flensburg 08,2020
Julian Stöhr,LB,23,25 Tsd. €,SC Weiche Flensburg 08,2020
Johannes Siregar,RB,20,25 Tsd. €,SC Weiche Flensburg 08,2020
Jonas Walter,CDM,30,100 Tsd. €,SC Weiche Flensburg 08,2020
Finn Wirlmann,CDM,24,75 Tsd. €,SC Weiche Flensburg 08,2020
Florian Meyer,CDM,33,50 Tsd. €,SC Weiche Flensburg 08,2020
Bjarne Schleemann,CDM,21,25 Tsd. €,SC Weiche Flensburg 08,2020
Dominic Hartmann,CAM,28,125 Tsd. €,SC Weiche Flensburg 08,2020
Kevin Schulz,CAM,32,75 Tsd. €,SC Weiche Flensburg 08,2020
Mathias Andersen,CAM,23,25 Tsd. €,SC Weiche Flensburg 08,2020
Martin Pitter,CAM,22,25 Tsd. €,SC Weiche Flensburg 08,2020
Tayfun Can,CAM,24,-,SC Weiche Flensburg 08,2020
Casper Olesen,LW,25,75 Tsd. €,SC Weiche Flensburg 08,2020
Marcel Cornils,LW,28,50 Tsd. €,SC Weiche Flensburg 08,2020
Noel Kurzbach,RW,20,25 Tsd. €,SC Weiche Flensburg 08,2020
Christopher Kramer,ST,31,150 Tsd. €,SC Weiche Flensburg 08,2020
Jonah Gieseler,ST,23,75 Tsd. €,SC Weiche Flensburg 08,2020
Nico Empen,ST,25,75 Tsd. €,SC Weiche Flensburg 08,2020
Jacob Andersen,ST,27,50 Tsd. €,SC Weiche Flensburg 08,2020
Florian Kirschke,GK,30,100 Tsd. €,SC Weiche Flensburg 08,2021
Raphael Straub,GK,27,50 Tsd. €,SC Weiche Flensburg 08,2021
Casper Mols,GK,20,25 Tsd. €,SC Weiche Flensburg 08,2021
Jonas Wolz,GK,21,-,SC Weiche Flensburg 08,2021
Lenny Rolfs,GK,21,-,SC Weiche Flensburg 08,2021
Brian Jungjohann,CB,24,25 Tsd. €,SC Weiche Flensburg 08,2021
Torge Paetow,CB,26,175 Tsd. €,SC Weiche Flensburg 08,2021
Torben Rehfeldt,CB,28,125 Tsd. €,SC Weiche Flensburg 08,2021
Kevin Njie,CB,26,75 Tsd. €,SC Weiche Flensburg 08,2021
Patrick Thomsen,CB,31,50 Tsd. €,SC Weiche Flensburg 08,2021
Malte Petersen,CB,21,50 Tsd. €,SC Weiche Flensburg 08,2021
Nahne Paulsen,CB,21,-,SC Weiche Flensburg 08,2021
Ilídio,LB,30,25 Tsd. €,SC Weiche Flensburg 08,2021
Cosmo Nitsch,LB,21,-,SC Weiche Flensburg 08,2021
Patrick Herrmann,RB,34,125 Tsd. €,SC Weiche Flensburg 08,2021
Johannes Siregar,RB,21,-,SC Weiche Flensburg 08,2021
Thomas Erichsen,RB,30,-,SC Weiche Flensburg 08,2021
Finn Wirlmann,CDM,25,75 Tsd. €,SC Weiche Flensburg 08,2021
Florian Meyer,CDM,34,50 Tsd. €,SC Weiche Flensburg 08,2021
Bjarne Schleemann,CDM,22,25 Tsd. €,SC Weiche Flensburg 08,2021
Jonas Walter,CDM,31,-,SC Weiche Flensburg 08,2021
Nathanael Elsler,CM,19,-,SC Weiche Flensburg 08,2021
Dominic Hartmann,CAM,29,125 Tsd. €,SC Weiche Flensburg 08,2021
Kevin Schulz,CAM,33,50 Tsd. €,SC Weiche Flensburg 08,2021
Marcel Cornils,LW,29,125 Tsd. €,SC Weiche Flensburg 08,2021
Noel Kurzbach,RW,21,25 Tsd. €,SC Weiche Flensburg 08,2021
Christopher Kramer,ST,32,125 Tsd. €,SC Weiche Flensburg 08,2021
Jonah Gieseler,ST,24,75 Tsd. €,SC Weiche Flensburg 08,2021
Nico Empen,ST,26,50 Tsd. €,SC Weiche Flensburg 08,2021
Nils Jungehülsing,ST,21,25 Tsd. €,SC Weiche Flensburg 08,2021
Yves Mfumu,ST,24,10 Tsd. €,SC Weiche Flensburg 08,2021
Tim Wulff,ST,35,-,SC Weiche Flensburg 08,2021
John Dethlefs,ST,20,-,SC Weiche Flensburg 08,2021
Jesper Heim,GK,23,75 Tsd. €,SC Weiche Flensburg 08,2022
Philip Österbaek,GK,20,25 Tsd. €,SC Weiche Flensburg 08,2022
Raphael Straub,GK,28,25 Tsd. €,SC Weiche Flensburg 08,2022
Andreas Petersen,GK,23,-,SC Weiche Flensburg 08,2022
Jonas Wolz,GK,22,-,SC Weiche Flensburg 08,2022
Zacharias Killemose,GK,19,-,SC Weiche Flensburg 08,2022
Brian Jungjohann,CB,25,10 Tsd. €,SC Weiche Flensburg 08,2022
Torben Rehfeldt,CB,29,100 Tsd. €,SC Weiche Flensburg 08,2022
Tobias Fölster,CB,29,75 Tsd. €,SC Weiche Flensburg 08,2022
Patrick Thomsen,CB,32,50 Tsd. €,SC Weiche Flensburg 08,2022
Torben Marten,CB,20,25 Tsd. €,SC Weiche Flensburg 08,2022
Dan Neicu,CB,20,25 Tsd. €,SC Weiche Flensburg 08,2022
Kevin Njie,CB,27,25 Tsd. €,SC Weiche Flensburg 08,2022
Malte Petersen,CB,22,-,SC Weiche Flensburg 08,2022
Alton Zymeraj,CB,20,-,SC Weiche Flensburg 08,2022
Ilídio,LB,31,10 Tsd. €,SC Weiche Flensburg 08,2022
Patrick Herrmann,RB,35,75 Tsd. €,SC Weiche Flensburg 08,2022
Calvin Ogara,RB,20,10 Tsd. €,SC Weiche Flensburg 08,2022
Finn Wirlmann,CDM,26,75 Tsd. €,SC Weiche Flensburg 08,2022
Florian Meyer,CDM,35,50 Tsd. €,SC Weiche Flensburg 08,2022
Bjarne Schleemann,CDM,23,25 Tsd. €,SC Weiche Flensburg 08,2022
Julian von Haacke,CM,29,125 Tsd. €,SC Weiche Flensburg 08,2022
René Guder,RM,28,125 Tsd. €,SC Weiche Flensburg 08,2022
Thies Richter,LM,19,25 Tsd. €,SC Weiche Flensburg 08,2022
Niclas Nadj,CAM,22,300 Tsd. €,SC Weiche Flensburg 08,2022
Dominic Hartmann,CAM,30,100 Tsd. €,SC Weiche Flensburg 08,2022
Kevin Schulz,CAM,34,25 Tsd. €,SC Weiche Flensburg 08,2022
Marcel Cornils,LW,30,100 Tsd. €,SC Weiche Flensburg 08,2022
Henri Fritze,LW,20,-,SC Weiche Flensburg 08,2022
Noel Kurzbach,RW,22,25 Tsd. €,SC Weiche Flensburg 08,2022
Jonah Gieseler,ST,25,75 Tsd. €,SC Weiche Flensburg 08,2022
Christopher Kramer,ST,33,75 Tsd. €,SC Weiche Flensburg 08,2022
Tobias Ryborg,ST,20,25 Tsd. €,SC Weiche Flensburg 08,2022
Nico Empen,ST,27,25 Tsd. €,SC Weiche Flensburg 08,2022
John Dethlefs,ST,21,25 Tsd. €,SC Weiche Flensburg 08,2022
Jesper Heim,GK,24,75 Tsd. €,SC Weiche Flensburg 08,2023
Philip Österbaek,GK,21,25 Tsd. €,SC Weiche Flensburg 08,2023
Tevin Freudenberg,GK,21,-,SC Weiche Flensburg 08,2023
Jonas Wolz,GK,23,-,SC Weiche Flensburg 08,2023
Nils Bock,GK,20,-,SC Weiche Flensburg 08,2023
Torben Rehfeldt,CB,30,75 Tsd. €,SC Weiche Flensburg 08,2023
Tobias Fölster,CB,30,50 Tsd. €,SC Weiche Flensburg 08,2023
Torben Marten,CB,21,10 Tsd. €,SC Weiche Flensburg 08,2023
Dan Neicu,CB,21,-,SC Weiche Flensburg 08,2023
Patrick Thomsen,CB,33,-,SC Weiche Flensburg 08,2023
David Pfeil,LB,23,75 Tsd. €,SC Weiche Flensburg 08,2023
Ilídio,LB,32,10 Tsd. €,SC Weiche Flensburg 08,2023
Theo Behrmann,RB,22,25 Tsd. €,SC Weiche Flensburg 08,2023
Calvin Ogara,RB,21,10 Tsd. €,SC Weiche Flensburg 08,2023
Tobias Ravn,RB,19,-,SC Weiche Flensburg 08,2023
Mohamed Cherif,CDM,24,50 Tsd. €,SC Weiche Flensburg 08,2023
Finn Wirlmann,CDM,27,50 Tsd. €,SC Weiche Flensburg 08,2023
Bjarne Schleemann,CDM,24,25 Tsd. €,SC Weiche Flensburg 08,2023
Maxim Jurk,CDM,20,-,SC Weiche Flensburg 08,2023
Marten Schmidt,CM,28,50 Tsd. €,SC Weiche Flensburg 08,2023
René Guder,RM,29,75 Tsd. €,SC Weiche Flensburg 08,2023
Thies Richter,LM,20,25 Tsd. €,SC Weiche Flensburg 08,2023
Pelle Hoppe,CAM,25,100 Tsd. €,SC Weiche Flensburg 08,2023
Dominic Hartmann,CAM,31,50 Tsd. €,SC Weiche Flensburg 08,2023
Marcel Cornils,LW,31,75 Tsd. €,SC Weiche Flensburg 08,2023
Yusri El Kandoussi,LW,24,25 Tsd. €,SC Weiche Flensburg 08,2023
Jannic Ehlers,RW,21,100 Tsd. €,SC Weiche Flensburg 08,2023
Noel Kurzbach,RW,23,25 Tsd. €,SC Weiche Flensburg 08,2023
Felix Brügmann,ST,31,50 Tsd. €,SC Weiche Flensburg 08,2023
Mika Kieselbach,ST,23,25 Tsd. €,SC Weiche Flensburg 08,2023
John Dethlefs,ST,22,25 Tsd. €,SC Weiche Flensburg 08,2023
Tim Wulff,ST,37,-,SC Weiche Flensburg 08,2023
Jonah Gieseler,ST,26,-,SC Weiche Flensburg 08,2023
Christian Rust,GK,20,75 Tsd. €,SC Weiche Flensburg 08,2024
Jovan Jovic,GK,22,25 Tsd. €,SC Weiche Flensburg 08,2024
Nils Bock,GK,21,10 Tsd. €,SC Weiche Flensburg 08,2024
Marshall Faleu,CB,22,100 Tsd. €,SC Weiche Flensburg 08,2024
Marian Sarr,CB,30,100 Tsd. €,SC Weiche Flensburg 08,2024
Torben Marten,CB,21,75 Tsd. €,SC Weiche Flensburg 08,2024
