name,position,age,value,team,season
Marcel Hölscher,GK,24,150 Tsd. €,SC Wiedenbrück,2014
Alexander Hahnemann,GK,23,25 Tsd. €,SC Wiedenbrück,2014
Mario Grevelhörster,GK,19,25 Tsd. €,SC Wiedenbrück,2014
Bernd Sumelka,CB,26,100 Tsd. €,SC Wiedenbrück,2014
Markus Bollmann,CB,34,100 Tsd. €,SC Wiedenbrück,2014
Jure Colak,CB,25,100 Tsd. €,SC Wiedenbrück,2014
Julian Stiens,CB,20,25 Tsd. €,SC Wiedenbrück,2014
Mariusz Rogowski,LB,35,75 Tsd. €,SC Wiedenbrück,2014
Mitja Schierbaum,LB,21,25 Tsd. €,SC Wiedenbrück,2014
Jeffery Volkmer,RB,23,100 Tsd. €,SC Wiedenbrück,2014
Marcel Deelen,RB,21,50 Tsd. €,SC Wiedenbrück,2014
Daniel Barton,RB,27,50 Tsd. €,SC Wiedenbrück,2014
Orkun Tosun,RB,21,25 Tsd. €,SC Wiedenbrück,2014
Oliver Zech,CDM,28,75 Tsd. €,SC Wiedenbrück,2014
David Lauretta,CDM,31,75 Tsd. €,SC Wiedenbrück,2014
Samy Benmbarek,CDM,20,25 Tsd. €,SC Wiedenbrück,2014
Wojciech Pollok,Midfielder,33,25 Tsd. €,SC Wiedenbrück,2014
Carsten Strickmann,CM,31,75 Tsd. €,SC Wiedenbrück,2014
Cihad Kücükyagci,CM,22,25 Tsd. €,SC Wiedenbrück,2014
Serdar Erdogmus,RM,28,50 Tsd. €,SC Wiedenbrück,2014
Massih Wassey,CAM,27,125 Tsd. €,SC Wiedenbrück,2014
Saban Kaptan,CAM,22,50 Tsd. €,SC Wiedenbrück,2014
Kamil Bednarski,LW,29,150 Tsd. €,SC Wiedenbrück,2014
Julian Loose,RW,30,100 Tsd. €,SC Wiedenbrück,2014
Timmy Thiele,ST,23,125 Tsd. €,SC Wiedenbrück,2014
Aleksandar Kotuljac,ST,33,50 Tsd. €,SC Wiedenbrück,2014
Tobias Puhl,ST,24,50 Tsd. €,SC Wiedenbrück,2014
Max Wilschrey,ST,19,50 Tsd. €,SC Wiedenbrück,2014
Marcel Todte,ST,23,-,SC Wiedenbrück,2014
Marcel Hölscher,GK,25,150 Tsd. €,SC Wiedenbrück,2015
Marius Weeke,GK,21,75 Tsd. €,SC Wiedenbrück,2015
Mario Grevelhörster,GK,20,25 Tsd. €,SC Wiedenbrück,2015
Sebastian Spinrath,CB,24,100 Tsd. €,SC Wiedenbrück,2015
Robin Twyrdy,CB,25,100 Tsd. €,SC Wiedenbrück,2015
Babacar M'Bengue,CB,24,75 Tsd. €,SC Wiedenbrück,2015
Julian Stiens,CB,21,25 Tsd. €,SC Wiedenbrück,2015
Markus Bollmann,CB,35,-,SC Wiedenbrück,2015
Mariusz Rogowski,LB,36,75 Tsd. €,SC Wiedenbrück,2015
Jeffery Volkmer,RB,24,100 Tsd. €,SC Wiedenbrück,2015
Herbert Bockhorn,RB,21,75 Tsd. €,SC Wiedenbrück,2015
Marcel Deelen,RB,22,25 Tsd. €,SC Wiedenbrück,2015
David Hüsing,RB,20,25 Tsd. €,SC Wiedenbrück,2015
Oliver Zech,CDM,29,75 Tsd. €,SC Wiedenbrück,2015
David Lauretta,CDM,32,75 Tsd. €,SC Wiedenbrück,2015
Paterson Chato,CDM,19,75 Tsd. €,SC Wiedenbrück,2015
Carsten Strickmann,CM,32,75 Tsd. €,SC Wiedenbrück,2015
Marko Stojanovic,LM,22,50 Tsd. €,SC Wiedenbrück,2015
Massih Wassey,CAM,28,150 Tsd. €,SC Wiedenbrück,2015
Kamil Bednarski,LW,30,150 Tsd. €,SC Wiedenbrück,2015
Stipe Batarilo,LW,22,100 Tsd. €,SC Wiedenbrück,2015
Julian Loose,RW,31,75 Tsd. €,SC Wiedenbrück,2015
Tobias Puhl,ST,25,100 Tsd. €,SC Wiedenbrück,2015
Max Wilschrey,ST,20,50 Tsd. €,SC Wiedenbrück,2015
Aleksandar Kotuljac,ST,34,50 Tsd. €,SC Wiedenbrück,2015
Marcel Hölscher,GK,26,125 Tsd. €,SC Wiedenbrück,2016
Marius Weeke,GK,22,50 Tsd. €,SC Wiedenbrück,2016
Michael Wiemann,CB,30,150 Tsd. €,SC Wiedenbrück,2016
Sebastian Spinrath,CB,25,150 Tsd. €,SC Wiedenbrück,2016
Robin Twyrdy,CB,26,100 Tsd. €,SC Wiedenbrück,2016
Julian Wolff,CB,25,75 Tsd. €,SC Wiedenbrück,2016
Daniel Latkowski,LB,25,100 Tsd. €,SC Wiedenbrück,2016
Mariusz Rogowski,LB,37,50 Tsd. €,SC Wiedenbrück,2016
Marvin Büyüksakarya,RB,22,100 Tsd. €,SC Wiedenbrück,2016
Jeffery Volkmer,RB,25,75 Tsd. €,SC Wiedenbrück,2016
David Hüsing,RB,21,25 Tsd. €,SC Wiedenbrück,2016
