name,position,age,value,team,season
Benjamin Kirsten,GK,28,275 Tsd. €,SG Dynamo Dresden,2014
Patrick Wiegers,GK,25,225 Tsd. €,SG Dynamo Dresden,2014
Markus Scholz,GK,27,100 Tsd. €,SG Dynamo Dresden,2014
Marco Hartmann,CB,27,300 Tsd. €,SG Dynamo Dresden,2014
Dennis Erdmann,CB,24,250 Tsd. €,SG Dynamo Dresden,2014
Michael Hefele,CB,24,250 Tsd. €,SG Dynamo Dresden,2014
Jannik Müller,CB,21,200 Tsd. €,SG Dynamo Dresden,2014
Alban Sabah,CB,23,100 Tsd. €,SG Dynamo Dresden,2014
Franz Pfanne,CB,20,75 Tsd. €,SG Dynamo Dresden,2014
Tobias Heppner,CB,21,50 Tsd. €,SG Dynamo Dresden,2014
David Vrzogic,LB,25,200 Tsd. €,SG Dynamo Dresden,2014
Niklas Landgraf,LB,19,-,SG Dynamo Dresden,2014
Niklas Kreuzer,RB,22,200 Tsd. €,SG Dynamo Dresden,2014
Paul Milde,RB,20,100 Tsd. €,SG Dynamo Dresden,2014
Nils Teixeira,CDM,24,400 Tsd. €,SG Dynamo Dresden,2014
Quirin Moll,CDM,24,375 Tsd. €,SG Dynamo Dresden,2014
Robert Andrich,CDM,20,150 Tsd. €,SG Dynamo Dresden,2014
Robin Fluß,CDM,19,75 Tsd. €,SG Dynamo Dresden,2014
Luca Dürholtz,CM,21,275 Tsd. €,SG Dynamo Dresden,2014
Tobias Müller,CM,22,200 Tsd. €,SG Dynamo Dresden,2014
Cristian Fiél,CM,35,150 Tsd. €,SG Dynamo Dresden,2014
Jim-Patrick Müller,CAM,25,250 Tsd. €,SG Dynamo Dresden,2014
Marvin Stefaniak,LW,20,325 Tsd. €,SG Dynamo Dresden,2014
Furhgill Zeldenrust,LW,25,150 Tsd. €,SG Dynamo Dresden,2014
Sinan Tekerci,RW,21,200 Tsd. €,SG Dynamo Dresden,2014
Justin Eilers,ST,27,350 Tsd. €,SG Dynamo Dresden,2014
Mathias Fetsch,ST,26,250 Tsd. €,SG Dynamo Dresden,2014
Sylvano Comvalius,ST,27,200 Tsd. €,SG Dynamo Dresden,2014
Dominic Baumann,ST,20,125 Tsd. €,SG Dynamo Dresden,2014
Janis Blaswich,GK,25,300 Tsd. €,SG Dynamo Dresden,2015
Patrick Wiegers,GK,26,175 Tsd. €,SG Dynamo Dresden,2015
Markus Schubert,GK,18,150 Tsd. €,SG Dynamo Dresden,2015
Jean-François Kornetzky,GK,33,50 Tsd. €,SG Dynamo Dresden,2015
Michael Hefele,CB,25,450 Tsd. €,SG Dynamo Dresden,2015
Giuliano Modica,CB,25,350 Tsd. €,SG Dynamo Dresden,2015
Marco Hartmann,CB,28,300 Tsd. €,SG Dynamo Dresden,2015
Jannik Müller,CB,22,250 Tsd. €,SG Dynamo Dresden,2015
Johann Weiß,CB,19,50 Tsd. €,SG Dynamo Dresden,2015
Fabian Müller,LB,29,400 Tsd. €,SG Dynamo Dresden,2015
Niklas Landgraf,LB,20,75 Tsd. €,SG Dynamo Dresden,2015
Niklas Kreuzer,RB,23,250 Tsd. €,SG Dynamo Dresden,2015
Nils Teixeira,CDM,25,400 Tsd. €,SG Dynamo Dresden,2015
Quirin Moll,CDM,25,375 Tsd. €,SG Dynamo Dresden,2015
Fabian Holthaus,CDM,21,300 Tsd. €,SG Dynamo Dresden,2015
Marc Wachs,CDM,20,275 Tsd. €,SG Dynamo Dresden,2015
