name,position,age,value,team,season
Tim Boss,GK,22,100 Tsd. €,SG Wattenscheid 09,2014
Bruno Donnici,GK,22,25 Tsd. €,SG Wattenscheid 09,2014
Benjamin Carpentier,GK,24,-,SG Wattenscheid 09,2014
Mario Klinger,CB,28,100 Tsd. €,SG Wattenscheid 09,2014
Adrian Schneider,CB,23,75 Tsd. €,SG Wattenscheid 09,2014
Felix Clever,CB,22,75 Tsd. €,SG Wattenscheid 09,2014
Christ Kasela Mbona,CB,23,50 Tsd. €,SG Wattenscheid 09,2014
Maurice Rene Haar,CB,19,25 Tsd. €,SG Wattenscheid 09,2014
Colin Schmitt,CB,20,25 Tsd. €,SG Wattenscheid 09,2014
Koray Kacinoglu,LB,20,100 Tsd. €,SG Wattenscheid 09,2014
Benjamin Jacobs,LB,20,50 Tsd. €,SG Wattenscheid 09,2014
Sascha Tobor,RB,24,100 Tsd. €,SG Wattenscheid 09,2014
Nino Saka,RB,22,50 Tsd. €,SG Wattenscheid 09,2014
Necirwan Khalil Mohammad,CDM,23,75 Tsd. €,SG Wattenscheid 09,2014
Felix Stahmer,CDM,23,50 Tsd. €,SG Wattenscheid 09,2014
Stefan Grummel,CM,25,75 Tsd. €,SG Wattenscheid 09,2014
Fatlum Zaskoku,CM,27,-,SG Wattenscheid 09,2014
Okan Solak,LM,20,25 Tsd. €,SG Wattenscheid 09,2014
Jules Schwadorf,CAM,22,125 Tsd. €,SG Wattenscheid 09,2014
Burak Kaplan,CAM,25,125 Tsd. €,SG Wattenscheid 09,2014
Eren Taskin,CAM,22,100 Tsd. €,SG Wattenscheid 09,2014
Demir Tumbul,CAM,23,25 Tsd. €,SG Wattenscheid 09,2014
Fatmir Ferati,CAM,24,-,SG Wattenscheid 09,2014
Eren Elbüstü,CAM,19,-,SG Wattenscheid 09,2014
Güngör Kaya,ST,25,75 Tsd. €,SG Wattenscheid 09,2014
Lucas Oppermann,ST,28,75 Tsd. €,SG Wattenscheid 09,2014
Ridvan Avci,ST,23,50 Tsd. €,SG Wattenscheid 09,2014
Anel Hodzic,ST,23,25 Tsd. €,SG Wattenscheid 09,2014
Jan Gendreizig,ST,21,25 Tsd. €,SG Wattenscheid 09,2014
Ivan Benkovic,ST,19,-,SG Wattenscheid 09,2014
Edin Pepic,GK,24,125 Tsd. €,SG Wattenscheid 09,2015
Bruno Donnici,GK,23,25 Tsd. €,SG Wattenscheid 09,2015
Tolunay Isik,GK,19,25 Tsd. €,SG Wattenscheid 09,2015
Adrian Schneider,CB,24,150 Tsd. €,SG Wattenscheid 09,2015
Mario Klinger,CB,29,100 Tsd. €,SG Wattenscheid 09,2015
Felix Clever,CB,23,75 Tsd. €,SG Wattenscheid 09,2015
Christ Kasela Mbona,CB,24,50 Tsd. €,SG Wattenscheid 09,2015
Denis Bajalica,CB,25,25 Tsd. €,SG Wattenscheid 09,2015
Maurice Rene Haar,CB,20,25 Tsd. €,SG Wattenscheid 09,2015
Koray Kacinoglu,LB,21,100 Tsd. €,SG Wattenscheid 09,2015
Christopher Braun,RB,24,150 Tsd. €,SG Wattenscheid 09,2015
Sascha Tobor,RB,25,75 Tsd. €,SG Wattenscheid 09,2015
Nino Saka,RB,23,50 Tsd. €,SG Wattenscheid 09,2015
Jan-Steffen Meier,CDM,24,125 Tsd. €,SG Wattenscheid 09,2015
