name,position,age,value,team,season
Richard Strebinger,GK,22,200 Tsd. €,SSV Jahn Regensburg,2014
Dominik Bergdorf,GK,22,150 Tsd. €,SSV Jahn Regensburg,2014
Alexander Heep,GK,22,50 Tsd. €,SSV Jahn Regensburg,2014
Stephan Loboué,GK,33,-,SSV Jahn Regensburg,2014
Grégory Lorenzi,CB,31,300 Tsd. €,SSV Jahn Regensburg,2014
Adli Lachheb,CB,28,250 Tsd. €,SSV Jahn Regensburg,2014
Sebastian Nachreiner,CB,26,250 Tsd. €,SSV Jahn Regensburg,2014
Gino Windmüller,CB,26,200 Tsd. €,SSV Jahn Regensburg,2014
Markus Palionis,CB,28,200 Tsd. €,SSV Jahn Regensburg,2014
Azur Velagic,CB,23,175 Tsd. €,SSV Jahn Regensburg,2014
Marvin Knoll,CB,24,150 Tsd. €,SSV Jahn Regensburg,2014
Christoph Rech,CB,22,100 Tsd. €,SSV Jahn Regensburg,2014
Sven Kopp,CB,20,50 Tsd. €,SSV Jahn Regensburg,2014
Marcel Hofrath,LB,22,200 Tsd. €,SSV Jahn Regensburg,2014
Stanislav Herzel,LB,24,150 Tsd. €,SSV Jahn Regensburg,2014
Matthias Dürmeyer,LB,25,150 Tsd. €,SSV Jahn Regensburg,2014
Fabian Trettenbach,RB,23,300 Tsd. €,SSV Jahn Regensburg,2014
Oliver Hein,RB,25,300 Tsd. €,SSV Jahn Regensburg,2014
Lukas Sinkiewicz,CDM,29,300 Tsd. €,SSV Jahn Regensburg,2014
Andreas Güntner,CDM,26,200 Tsd. €,SSV Jahn Regensburg,2014
Andreas Geipl,CDM,23,150 Tsd. €,SSV Jahn Regensburg,2014
Thomas Kurz,CDM,27,125 Tsd. €,SSV Jahn Regensburg,2014
Markus Smarzoch,CM,25,100 Tsd. €,SSV Jahn Regensburg,2014
Uwe Hesse,RM,27,150 Tsd. €,SSV Jahn Regensburg,2014
Aias Aosman,CAM,20,450 Tsd. €,SSV Jahn Regensburg,2014
Zlatko Muhovic,CAM,24,150 Tsd. €,SSV Jahn Regensburg,2014
Patrick Lienhard,CAM,23,150 Tsd. €,SSV Jahn Regensburg,2014
Kolja Pusch,CAM,22,150 Tsd. €,SSV Jahn Regensburg,2014
Jonas Erwig-Drüppel,RW,23,150 Tsd. €,SSV Jahn Regensburg,2014
Aykut Öztürk,ST,27,250 Tsd. €,SSV Jahn Regensburg,2014
Daniel Steininger,ST,20,200 Tsd. €,SSV Jahn Regensburg,2014
Marco Königs,ST,25,200 Tsd. €,SSV Jahn Regensburg,2014
Hannes Sigurdsson,ST,32,150 Tsd. €,SSV Jahn Regensburg,2014
Romas Dressler,ST,27,125 Tsd. €,SSV Jahn Regensburg,2014
