name,position,age,value,team,season
Dennis Evers,GK,36,-,SSV Jeddeloh II,2014
Marcel Jacobs,GK,34,-,SSV Jeddeloh II,2014
Axel Köster,GK,-,-,SSV Jeddeloh II,2014
Marco Maaß,GK,21,-,SSV Jeddeloh II,2014
Christoph Blancke,CB,-,-,SSV Jeddeloh II,2014
Mark Kwarteng,CB,20,-,SSV Jeddeloh II,2014
Fabian Zaps,CB,28,-,SSV Jeddeloh II,2014
Key Riebau,CB,25,-,SSV Jeddeloh II,2014
Gerrit Kersting,CB,23,-,SSV Jeddeloh II,2014
Julian Harings,LB,24,-,SSV Jeddeloh II,2014
Jan-Dirk Riedesel,RB,28,-,SSV Jeddeloh II,2014
Dennis Matthiesen,RB,22,-,SSV Jeddeloh II,2014
Alexander Baal,CDM,26,-,SSV Jeddeloh II,2014
Ansgar Schnabel,Midfielder,30,-,SSV Jeddeloh II,2014
Bastian Schaffer,CDM,20,-,SSV Jeddeloh II,2014
Aaron Thalmann,CDM,29,-,SSV Jeddeloh II,2014
Leo Baal,LM,26,-,SSV Jeddeloh II,2014
Kevin Kasper,LM,23,-,SSV Jeddeloh II,2014
Jakob Bertram,CAM,34,-,SSV Jeddeloh II,2014
Malte Müller,RW,29,-,SSV Jeddeloh II,2014
Keven Oltmer,RW,23,-,SSV Jeddeloh II,2014
Julian Bennert,ST,23,-,SSV Jeddeloh II,2014
Leo Delaney,ST,20,-,SSV Jeddeloh II,2014
Lucas Dettenbach,ST,18,-,SSV Jeddeloh II,2014
Mario Fredehorst,ST,22,-,SSV Jeddeloh II,2014
Dennis Behrens,ST,31,-,SSV Jeddeloh II,2014
Kito Danylo,ST,20,-,SSV Jeddeloh II,2014
Dennis Evers,GK,37,-,SSV Jeddeloh II,2015
Dennis Bruns,GK,27,-,SSV Jeddeloh II,2015
Marco Maaß,GK,22,-,SSV Jeddeloh II,2015
Marcel Jacobs,GK,35,-,SSV Jeddeloh II,2015
Patrick Tjaden,CB,25,-,SSV Jeddeloh II,2015
Mark Kwarteng,CB,21,-,SSV Jeddeloh II,2015
Jelani Smith,CB,25,-,SSV Jeddeloh II,2015
Peer-Bent Wegener,CB,27,-,SSV Jeddeloh II,2015
Nicolas Hofmann,CB,28,-,SSV Jeddeloh II,2015
Julian Harings,LB,25,-,SSV Jeddeloh II,2015
Shaun Minns,RB,27,-,SSV Jeddeloh II,2015
Dennis Matthiesen,RB,23,-,SSV Jeddeloh II,2015
Dennis Janßen,CDM,25,-,SSV Jeddeloh II,2015
Ansgar Schnabel,Midfielder,31,-,SSV Jeddeloh II,2015
Almir Ziga,CDM,20,-,SSV Jeddeloh II,2015
Bastian Schaffer,CDM,21,-,SSV Jeddeloh II,2015
Aaron Thalmann,CDM,30,-,SSV Jeddeloh II,2015
Kevin Samide,CAM,27,75 Tsd. €,SSV Jeddeloh II,2015
Malte Müller,RW,30,-,SSV Jeddeloh II,2015
Keven Oltmer,RW,24,-,SSV Jeddeloh II,2015
Thomas Celik,ST,21,-,SSV Jeddeloh II,2015
Julian Bennert,ST,24,-,SSV Jeddeloh II,2015
