name,position,age,value,team,season
Michael Gurski,GK,36,50 Tsd. €,SSV Reutlingen 05,2014
Denis Grgic,GK,23,-,SSV Reutlingen 05,2014
Enes Durmaz,GK,20,-,SSV Reutlingen 05,2014
Patrick Fuchs,GK,22,-,SSV Reutlingen 05,2014
Tobias Fürste,GK,18,-,SSV Reutlingen 05,2014
Armin Orman,GK,22,-,SSV Reutlingen 05,2014
Korbinian Matteis,CB,20,-,SSV Reutlingen 05,2014
Maurice Heim,CB,18,-,SSV Reutlingen 05,2014
Ivan Cosic,CB,25,-,SSV Reutlingen 05,2014
Lukas Hartmann,CB,22,-,SSV Reutlingen 05,2014
Rouven Wiesner,CB,27,-,SSV Reutlingen 05,2014
Tom Schiffel,RB,19,-,SSV Reutlingen 05,2014
Colin Bitzer,RB,19,-,SSV Reutlingen 05,2014
Andreas Frick,RB,24,-,SSV Reutlingen 05,2014
Denis Lübke,RB,22,-,SSV Reutlingen 05,2014
Pierre Eiberger,CDM,23,-,SSV Reutlingen 05,2014
Giuseppe Ricciardi,CDM,31,-,SSV Reutlingen 05,2014
Raphael Schaschko,CDM,30,-,SSV Reutlingen 05,2014
Talha Kavak,CDM,20,-,SSV Reutlingen 05,2014
Heiko Schall,CM,21,-,SSV Reutlingen 05,2014
Andreas Maier,CM,23,-,SSV Reutlingen 05,2014
Florian Feigl,CM,19,-,SSV Reutlingen 05,2014
Sven Schimmel,RM,25,-,SSV Reutlingen 05,2014
Max Hölzli,LM,19,-,SSV Reutlingen 05,2014
Mehmet Levet,LM,22,-,SSV Reutlingen 05,2014
Daniel Seemann,LM,23,-,SSV Reutlingen 05,2014
Marc Golinski,CAM,25,-,SSV Reutlingen 05,2014
Martin Purtschert,CAM,28,-,SSV Reutlingen 05,2014
Michael Renner,RW,23,-,SSV Reutlingen 05,2014
Marcel Brandstetter,ST,27,-,SSV Reutlingen 05,2014
Bastian Bischoff,ST,30,-,SSV Reutlingen 05,2014
Dominik Grauer,ST,25,-,SSV Reutlingen 05,2014
Denis Grgic,GK,24,-,SSV Reutlingen 05,2015
Max Wohlfahrt,GK,20,-,SSV Reutlingen 05,2015
Matthias Hamrol,GK,22,-,SSV Reutlingen 05,2015
Enes Durmaz,GK,21,-,SSV Reutlingen 05,2015
Armin Orman,GK,23,-,SSV Reutlingen 05,2015
Timo Heißel,GK,35,-,SSV Reutlingen 05,2015
Maurice Heim,CB,19,-,SSV Reutlingen 05,2015
Rouven Wiesner,CB,28,-,SSV Reutlingen 05,2015
Valentin Gjokaj,CB,22,-,SSV Reutlingen 05,2015
Lukas Hartmann,CB,23,-,SSV Reutlingen 05,2015
Sergio Uyi,CB,23,-,SSV Reutlingen 05,2015
Maximilian Frölich,CB,22,-,SSV Reutlingen 05,2015
Ivans Gomis,CB,25,-,SSV Reutlingen 05,2015
Magnus Haas,CB,23,-,SSV Reutlingen 05,2015
Christos Chatzimalousis,LB,18,-,SSV Reutlingen 05,2015
Tom Schiffel,RB,20,-,SSV Reutlingen 05,2015
Marvin Büyüksakarya,RB,21,-,SSV Reutlingen 05,2015
Denis Lübke,RB,23,-,SSV Reutlingen 05,2015
Pierre Eiberger,CDM,24,-,SSV Reutlingen 05,2015
Valentin Vochatzer,Midfielder,21,-,SSV Reutlingen 05,2015
Giuseppe Ricciardi,CDM,32,-,SSV Reutlingen 05,2015
Nedim Pepic,CDM,18,-,SSV Reutlingen 05,2015
Heiko Schall,CM,22,-,SSV Reutlingen 05,2015
Sebastian Gleissner,CM,21,-,SSV Reutlingen 05,2015
Andreas Maier,CM,24,-,SSV Reutlingen 05,2015
Karlo Pudic,CM,19,-,SSV Reutlingen 05,2015
David Fridrich,RM,19,-,SSV Reutlingen 05,2015
Daniel Seemann,LM,24,-,SSV Reutlingen 05,2015
Marc Golinski,CAM,26,-,SSV Reutlingen 05,2015
Alessio Bennardo,CAM,22,-,SSV Reutlingen 05,2015
Tomislav Cilic,LW,20,-,SSV Reutlingen 05,2015
Francis Ubabuike,LW,21,-,SSV Reutlingen 05,2015
Zvonimir Kovac,RW,22,-,SSV Reutlingen 05,2015
Anthony Jarvis Coppola,RW,23,-,SSV Reutlingen 05,2015
Haitham Oubeyapwa,RW,20,-,SSV Reutlingen 05,2015
Gabriel Alleoni,ST,23,-,SSV Reutlingen 05,2015
Eric Yahkem,ST,24,-,SSV Reutlingen 05,2015
Daniel Schachtschneider,ST,27,-,SSV Reutlingen 05,2015
Ante Galic,ST,21,-,SSV Reutlingen 05,2015
Marcel Knauß,GK,20,-,SSV Reutlingen 05,2016
Armin Orman,GK,24,-,SSV Reutlingen 05,2016
Leon Beuter,GK,18,-,SSV Reutlingen 05,2016
Özgür Ögüt,GK,24,-,SSV Reutlingen 05,2016
Marvin Methner,CB,19,-,SSV Reutlingen 05,2016
Fabian Springer,CB,22,-,SSV Reutlingen 05,2016
Rouven Wiesner,CB,29,-,SSV Reutlingen 05,2016
Lukas Hartmann,CB,24,-,SSV Reutlingen 05,2016
Markus Wagner,CB,18,-,SSV Reutlingen 05,2016
Magnus Haas,CB,24,-,SSV Reutlingen 05,2016
Maximilian Rohr,CB,22,-,SSV Reutlingen 05,2016
David Bröer,LB,19,-,SSV Reutlingen 05,2016
Christos Chatzimalousis,LB,19,-,SSV Reutlingen 05,2016
Tom Schiffel,RB,21,-,SSV Reutlingen 05,2016
Denis Lübke,RB,24,-,SSV Reutlingen 05,2016
Pierre Eiberger,CDM,25,-,SSV Reutlingen 05,2016
Andreas Mayer,Midfielder,36,-,SSV Reutlingen 05,2016
Timo Krauß,CDM,20,-,SSV Reutlingen 05,2016
Timo Bäuerle,Midfielder,27,-,SSV Reutlingen 05,2016
Andreas Maier,CM,25,-,SSV Reutlingen 05,2016
Ivo Colic,CM,18,-,SSV Reutlingen 05,2016
Jeffrey Kyei,LM,27,-,SSV Reutlingen 05,2016
Daniel Seemann,LM,25,-,SSV Reutlingen 05,2016
Marc Golinski,CAM,27,-,SSV Reutlingen 05,2016
Carlo Liotti,CAM,32,-,SSV Reutlingen 05,2016
Tarik Serour,LW,25,-,SSV Reutlingen 05,2016
Francis Ubabuike,LW,22,-,SSV Reutlingen 05,2016
Onesi Kuengienda,ST,24,-,SSV Reutlingen 05,2016
Eric Yahkem,ST,25,-,SSV Reutlingen 05,2016
Daniel Schachtschneider,ST,28,-,SSV Reutlingen 05,2016
Lars Lack,ST,21,-,SSV Reutlingen 05,2016
Marcel Knauß,GK,21,-,SSV Reutlingen 05,2017
Dominik Traub,GK,20,-,SSV Reutlingen 05,2017
Milan Jurkovic,GK,35,-,SSV Reutlingen 05,2017
Enrico Piu,GK,18,-,SSV Reutlingen 05,2017
Rafael Wuttig,GK,19,-,SSV Reutlingen 05,2017
Marco di Biccari,CB,35,-,SSV Reutlingen 05,2017
Marvin Methner,CB,20,-,SSV Reutlingen 05,2017
Fabian Springer,CB,23,-,SSV Reutlingen 05,2017
Rouven Wiesner,CB,30,-,SSV Reutlingen 05,2017
Lukas Hartmann,CB,25,-,SSV Reutlingen 05,2017
Magnus Haas,CB,25,-,SSV Reutlingen 05,2017
Jonas Vogler,CB,21,-,SSV Reutlingen 05,2017
Filip Milisic,CB,24,-,SSV Reutlingen 05,2017
Maximilian Rohr,CB,23,-,SSV Reutlingen 05,2017
Christos Chatzimalousis,LB,20,-,SSV Reutlingen 05,2017
Tom Schiffel,RB,22,-,SSV Reutlingen 05,2017
Denis Lübke,RB,25,-,SSV Reutlingen 05,2017
Luca Plattenhardt,RB,20,-,SSV Reutlingen 05,2017
Janick Schramm,RB,25,-,SSV Reutlingen 05,2017
Pierre Eiberger,CDM,26,-,SSV Reutlingen 05,2017
Andreas Maier,CM,26,-,SSV Reutlingen 05,2017
Ivo Colic,CM,19,-,SSV Reutlingen 05,2017
Thomas Kunz,CAM,20,-,SSV Reutlingen 05,2017
Dirk Prediger,CAM,31,-,SSV Reutlingen 05,2017
Marcel Avdic,CAM,27,-,SSV Reutlingen 05,2017
Carlo Liotti,CAM,33,-,SSV Reutlingen 05,2017
Yannik Kynast,CAM,20,-,SSV Reutlingen 05,2017
Raphael Schneider,Second Striker,22,-,SSV Reutlingen 05,2017
Manuel Fischer,ST,28,-,SSV Reutlingen 05,2017
Sidy Niang,ST,24,-,SSV Reutlingen 05,2017
Onesi Kuengienda,ST,25,-,SSV Reutlingen 05,2017
Marvin Pieringer,ST,18,-,SSV Reutlingen 05,2017
Gasper Bozic,GK,23,-,SSV Reutlingen 05,2018
Milan Jurkovic,GK,36,-,SSV Reutlingen 05,2018
Enrico Piu,GK,19,-,SSV Reutlingen 05,2018
Marco di Biccari,CB,36,-,SSV Reutlingen 05,2018
Jonas Vogler,CB,22,-,SSV Reutlingen 05,2018
Filip Milisic,CB,25,-,SSV Reutlingen 05,2018
Cedric Schmid,LB,20,-,SSV Reutlingen 05,2018
Tim Schwaiger,LB,22,-,SSV Reutlingen 05,2018
Tom Schiffel,RB,23,-,SSV Reutlingen 05,2018
Denis Lübke,RB,26,-,SSV Reutlingen 05,2018
