name,position,age,value,team,season
Kevin Fend,GK,25,350 Tsd. €,SV 07 Elversberg,2014
Morten Jensen,GK,27,100 Tsd. €,SV 07 Elversberg,2014
Daniel Kläs,GK,23,50 Tsd. €,SV 07 Elversberg,2014
Maximilian Nicu,CB,32,300 Tsd. €,SV 07 Elversberg,2014
Tobias Feisthammel,CB,27,200 Tsd. €,SV 07 Elversberg,2014
Michael Blum,CB,26,150 Tsd. €,SV 07 Elversberg,2014
Timo Wenzel,CB,37,100 Tsd. €,SV 07 Elversberg,2014
Kevin Maek,CB,26,100 Tsd. €,SV 07 Elversberg,2014
Jeremy Karikari,CB,27,100 Tsd. €,SV 07 Elversberg,2014
Moritz Zimmer,CB,21,25 Tsd. €,SV 07 Elversberg,2014
Thomas Birk,LB,26,150 Tsd. €,SV 07 Elversberg,2014
Marc Gross,RB,27,175 Tsd. €,SV 07 Elversberg,2014
Chris Wolf,RB,24,125 Tsd. €,SV 07 Elversberg,2014
Jan Nagel,RB,24,125 Tsd. €,SV 07 Elversberg,2014
Lukas Kohler,RB,28,-,SV 07 Elversberg,2014
Oliver Hinkelmann,RB,21,-,SV 07 Elversberg,2014
Christian Eggert,CDM,29,175 Tsd. €,SV 07 Elversberg,2014
Ricky Pinheiro,Midfielder,26,150 Tsd. €,SV 07 Elversberg,2014
Florian Pflügler,CDM,23,100 Tsd. €,SV 07 Elversberg,2014
Sebastian Mannström,CM,26,300 Tsd. €,SV 07 Elversberg,2014
Matthias Cuntz,CM,25,200 Tsd. €,SV 07 Elversberg,2014
Salif Cissé,CM,21,100 Tsd. €,SV 07 Elversberg,2014
Dominik Rohracker,RM,26,200 Tsd. €,SV 07 Elversberg,2014
Niklas Holzweißig,RM,22,-,SV 07 Elversberg,2014
André Luge,LM,24,125 Tsd. €,SV 07 Elversberg,2014
Antonyos Celik,LM,20,50 Tsd. €,SV 07 Elversberg,2014
Nico Zimmermann,CAM,29,125 Tsd. €,SV 07 Elversberg,2014
Matthew Silva,CAM,23,100 Tsd. €,SV 07 Elversberg,2014
Alexander Schmieden,CAM,21,50 Tsd. €,SV 07 Elversberg,2014
Frederick Kyereh,RW,21,100 Tsd. €,SV 07 Elversberg,2014
Mijo Tunjic,ST,27,200 Tsd. €,SV 07 Elversberg,2014
Benjamin Förster,ST,25,175 Tsd. €,SV 07 Elversberg,2014
Patrick Dulleck,ST,25,125 Tsd. €,SV 07 Elversberg,2014
Samed Karatas,ST,20,-,SV 07 Elversberg,2014
Daniel Batz,GK,25,150 Tsd. €,SV 07 Elversberg,2015
Morten Jensen,GK,28,100 Tsd. €,SV 07 Elversberg,2015
Fabrice Vollborn,GK,23,75 Tsd. €,SV 07 Elversberg,2015
Aaron Berzel,CB,24,200 Tsd. €,SV 07 Elversberg,2015
Pim Balkestein,CB,29,200 Tsd. €,SV 07 Elversberg,2015
Kevin Maek,CB,27,150 Tsd. €,SV 07 Elversberg,2015
Maximilian Nicu,CB,33,150 Tsd. €,SV 07 Elversberg,2015
Leandro Grech,CB,35,150 Tsd. €,SV 07 Elversberg,2015
Tobias Feisthammel,CB,28,100 Tsd. €,SV 07 Elversberg,2015
Moritz Zimmer,CB,22,25 Tsd. €,SV 07 Elversberg,2015
Sascha Eichmeier,LB,26,175 Tsd. €,SV 07 Elversberg,2015
Thomas Birk,LB,27,150 Tsd. €,SV 07 Elversberg,2015
Florian Bichler,RB,24,150 Tsd. €,SV 07 Elversberg,2015
Marc Gross,RB,28,100 Tsd. €,SV 07 Elversberg,2015
Jan Nagel,RB,25,100 Tsd. €,SV 07 Elversberg,2015
Lukas Kohler,RB,29,75 Tsd. €,SV 07 Elversberg,2015
Oliver Hinkelmann,RB,22,25 Tsd. €,SV 07 Elversberg,2015
Jan Washausen,CDM,27,150 Tsd. €,SV 07 Elversberg,2015
Marco Kehl-Gómez,CDM,24,150 Tsd. €,SV 07 Elversberg,2015
Christian Eggert,CDM,30,100 Tsd. €,SV 07 Elversberg,2015
Florian Pflügler,CDM,24,50 Tsd. €,SV 07 Elversberg,2015
Matthias Cuntz,CM,26,75 Tsd. €,SV 07 Elversberg,2015
Maximilian Oesterhelweg,CAM,25,150 Tsd. €,SV 07 Elversberg,2015
Markus Obernosterer,CAM,26,150 Tsd. €,SV 07 Elversberg,2015
David Schloffer,CAM,24,150 Tsd. €,SV 07 Elversberg,2015
Sven Sellentin,CAM,23,50 Tsd. €,SV 07 Elversberg,2015
Merveille Biankadi,LW,21,50 Tsd. €,SV 07 Elversberg,2015
Mijo Tunjic,ST,28,175 Tsd. €,SV 07 Elversberg,2015
Pierre Merkel,ST,27,125 Tsd. €,SV 07 Elversberg,2015
Moritz Göttel,ST,23,100 Tsd. €,SV 07 Elversberg,2015
Patrick Dulleck,ST,26,75 Tsd. €,SV 07 Elversberg,2015
Janik Michel,ST,23,25 Tsd. €,SV 07 Elversberg,2015
Samed Karatas,ST,21,25 Tsd. €,SV 07 Elversberg,2015
Daniel Batz,GK,26,150 Tsd. €,SV 07 Elversberg,2016
Konstantin Fuhry,GK,22,75 Tsd. €,SV 07 Elversberg,2016
Merlin Schäfer,GK,19,-,SV 07 Elversberg,2016
Marco Kofler,CB,28,175 Tsd. €,SV 07 Elversberg,2016
Kevin Maek,CB,28,150 Tsd. €,SV 07 Elversberg,2016
Aaron Berzel,CB,25,150 Tsd. €,SV 07 Elversberg,2016
Leandro Grech,CB,36,100 Tsd. €,SV 07 Elversberg,2016
Tim Hall,CB,20,25 Tsd. €,SV 07 Elversberg,2016
