name,position,age,value,team,season
Pascal Rück,GK,32,-,SV Alemannia Waldalgesheim,2014
Kay Schotte,GK,24,-,SV Alemannia Waldalgesheim,2014
Georg Borschnek,GK,27,-,SV Alemannia Waldalgesheim,2014
Christian Klöckner,CB,29,-,SV Alemannia Waldalgesheim,2014
Marcel Fennel,CB,29,-,SV Alemannia Waldalgesheim,2014
David Stipp,CB,23,-,SV Alemannia Waldalgesheim,2014
Philipp Frank,LB,22,-,SV Alemannia Waldalgesheim,2014
Dominik Lang,LB,26,-,SV Alemannia Waldalgesheim,2014
Sascha Kraft,RB,24,-,SV Alemannia Waldalgesheim,2014
Jan Förstel,RB,20,-,SV Alemannia Waldalgesheim,2014
Felix Pauer,RB,24,-,SV Alemannia Waldalgesheim,2014
Deniz Darcan,CDM,21,-,SV Alemannia Waldalgesheim,2014
Dominik Schindel,Midfielder,26,-,SV Alemannia Waldalgesheim,2014
Sebastian Baumann,CDM,21,-,SV Alemannia Waldalgesheim,2014
Axel Neumann,CM,22,-,SV Alemannia Waldalgesheim,2014
Patrick Walther,CM,27,-,SV Alemannia Waldalgesheim,2014
Eric Wischang,CM,31,-,SV Alemannia Waldalgesheim,2014
Lars Weingärtner,CM,28,-,SV Alemannia Waldalgesheim,2014
Konstantin Ludwig,CM,18,-,SV Alemannia Waldalgesheim,2014
Oliver Hoch,RM,27,-,SV Alemannia Waldalgesheim,2014
Arlind Mulaj,ST,25,-,SV Alemannia Waldalgesheim,2014
Jonas Erbach,ST,32,-,SV Alemannia Waldalgesheim,2014
Beytullah Kurtoglu,ST,27,-,SV Alemannia Waldalgesheim,2014
Philipp Skiba,ST,19,-,SV Alemannia Waldalgesheim,2014
Niklas Schneider,ST,22,-,SV Alemannia Waldalgesheim,2014
Pascal Rück,GK,33,-,SV Alemannia Waldalgesheim,2015
Rainer Adolf,GK,31,-,SV Alemannia Waldalgesheim,2015
Pasquale Patria,GK,28,-,SV Alemannia Waldalgesheim,2015
Tobias Schneider,GK,19,-,SV Alemannia Waldalgesheim,2015
Joshua Naumann,CB,20,-,SV Alemannia Waldalgesheim,2015
Christian Klöckner,CB,30,-,SV Alemannia Waldalgesheim,2015
Marcel Fennel,CB,30,-,SV Alemannia Waldalgesheim,2015
Christoph Schunck,CB,32,-,SV Alemannia Waldalgesheim,2015
David Stipp,CB,24,-,SV Alemannia Waldalgesheim,2015
Daniel Braun,CB,20,-,SV Alemannia Waldalgesheim,2015
Marius Breier,RB,19,-,SV Alemannia Waldalgesheim,2015
Jan Förstel,RB,21,-,SV Alemannia Waldalgesheim,2015
Felix Pauer,RB,25,-,SV Alemannia Waldalgesheim,2015
Deniz Darcan,CDM,22,-,SV Alemannia Waldalgesheim,2015
Adrian Lieber,Midfielder,18,-,SV Alemannia Waldalgesheim,2015
Patrick Walther,CM,28,-,SV Alemannia Waldalgesheim,2015
Eric Wischang,CM,32,-,SV Alemannia Waldalgesheim,2015
Lars Weingärtner,CM,29,-,SV Alemannia Waldalgesheim,2015
Konstantin Ludwig,CM,19,-,SV Alemannia Waldalgesheim,2015
Baris Yakut,LM,21,-,SV Alemannia Waldalgesheim,2015
Konstantin Sawin,CAM,23,-,SV Alemannia Waldalgesheim,2015
Arlind Mulaj,ST,26,-,SV Alemannia Waldalgesheim,2015
Philipp Skiba,ST,20,-,SV Alemannia Waldalgesheim,2015
M. Balibey,ST,-,-,SV Alemannia Waldalgesheim,2015
Michael Schmuck,ST,21,-,SV Alemannia Waldalgesheim,2015
Berk Demirci,ST,21,-,SV Alemannia Waldalgesheim,2015
Pascal Rück,GK,34,-,SV Alemannia Waldalgesheim,2016
Rainer Adolf,GK,32,-,SV Alemannia Waldalgesheim,2016
Pasquale Patria,GK,29,-,SV Alemannia Waldalgesheim,2016
Tobias Schneider,GK,20,-,SV Alemannia Waldalgesheim,2016
Marcel Fennel,CB,31,-,SV Alemannia Waldalgesheim,2016
Christoph Schunck,CB,33,-,SV Alemannia Waldalgesheim,2016
Konstantin Gänz,CB,22,-,SV Alemannia Waldalgesheim,2016
David Stipp,CB,25,-,SV Alemannia Waldalgesheim,2016
Daniel Braun,CB,21,-,SV Alemannia Waldalgesheim,2016
Fabian Steinmetz,CB,19,-,SV Alemannia Waldalgesheim,2016
Marius Breier,RB,20,-,SV Alemannia Waldalgesheim,2016
Luca Redschlag,RB,20,-,SV Alemannia Waldalgesheim,2016
Jan Förstel,RB,22,-,SV Alemannia Waldalgesheim,2016
Felix Pauer,RB,26,-,SV Alemannia Waldalgesheim,2016
Paul Kirdorf,CDM,19,-,SV Alemannia Waldalgesheim,2016
Vincenzo Bilotta,CDM,21,-,SV Alemannia Waldalgesheim,2016
Paul Schmidt,CDM,21,-,SV Alemannia Waldalgesheim,2016
Patrick Walther,CM,29,-,SV Alemannia Waldalgesheim,2016
Lars Weingärtner,CM,30,-,SV Alemannia Waldalgesheim,2016
Konstantin Ludwig,CM,20,-,SV Alemannia Waldalgesheim,2016
Konstantin Sawin,CAM,24,-,SV Alemannia Waldalgesheim,2016
Marcel Heeg,RW,25,-,SV Alemannia Waldalgesheim,2016
Michael Schmuck,ST,22,-,SV Alemannia Waldalgesheim,2016
Timo Riemer,ST,29,-,SV Alemannia Waldalgesheim,2016
Nils Balder,ST,21,-,SV Alemannia Waldalgesheim,2016
Arlind Mulaj,ST,27,-,SV Alemannia Waldalgesheim,2016
Jonas Becker,ST,22,-,SV Alemannia Waldalgesheim,2016
Francesco Teodonno,ST,19,-,SV Alemannia Waldalgesheim,2016
Pasquale Patria,GK,30,-,SV Alemannia Waldalgesheim,2017
Björn Trinks,GK,-,-,SV Alemannia Waldalgesheim,2017
Ivan Tadic,GK,25,-,SV Alemannia Waldalgesheim,2017
Philipp Graffe,CB,24,-,SV Alemannia Waldalgesheim,2017
Marcel Fennel,CB,32,-,SV Alemannia Waldalgesheim,2017
Konstantin Gänz,CB,23,-,SV Alemannia Waldalgesheim,2017
David Stipp,CB,26,-,SV Alemannia Waldalgesheim,2017
Jannik Czerwionka,CB,18,-,SV Alemannia Waldalgesheim,2017
