name,position,age,value,team,season
Edgar Kary,GK,26,-,SV Atlas Delmenhorst,2014
Steffen Küpker,GK,24,-,SV Atlas Delmenhorst,2014
David Lohmann,GK,26,-,SV Atlas Delmenhorst,2014
Patrick Finke,CB,32,-,SV Atlas Delmenhorst,2014
Hanno Hartmann,CB,28,-,SV Atlas Delmenhorst,2014
David Demir,CB,20,-,SV Atlas Delmenhorst,2014
Florian Knipping,CB,27,-,SV Atlas Delmenhorst,2014
Fabian Borrmann,CB,23,-,SV Atlas Delmenhorst,2014
Philip Stephan,CB,26,-,SV Atlas Delmenhorst,2014
Niclas Baumeister,LB,24,-,SV Atlas Delmenhorst,2014
Kevin Radke,RB,24,-,SV Atlas Delmenhorst,2014
Daniel von Seggern,CDM,29,-,SV Atlas Delmenhorst,2014
Drancy Muadi-Ngonge,Midfielder,20,-,SV Atlas Delmenhorst,2014
Thomas Mutlu,CDM,24,-,SV Atlas Delmenhorst,2014
Stefan Bruns,CDM,24,-,SV Atlas Delmenhorst,2014
Alexander Ruf,Midfielder,28,-,SV Atlas Delmenhorst,2014
Kevin Kalinowski,Midfielder,22,-,SV Atlas Delmenhorst,2014
Dennis Metzing,LM,21,-,SV Atlas Delmenhorst,2014
Musa Karli,CAM,25,-,SV Atlas Delmenhorst,2014
Liridon Stublla,CAM,22,-,SV Atlas Delmenhorst,2014
Stefan Kulikow,RW,29,-,SV Atlas Delmenhorst,2014
Dominik Entelmann,ST,32,-,SV Atlas Delmenhorst,2014
Marco Gruel,ST,-,-,SV Atlas Delmenhorst,2014
Andre Brun-Tatje,ST,26,-,SV Atlas Delmenhorst,2014
Marc Pawletta,ST,23,-,SV Atlas Delmenhorst,2014
Florian Urbainski,GK,26,-,SV Atlas Delmenhorst,2015
Steffen Küpker,GK,25,-,SV Atlas Delmenhorst,2015
Edgar Kary,GK,27,-,SV Atlas Delmenhorst,2015
David Lohmann,GK,27,-,SV Atlas Delmenhorst,2015
Hanno Hartmann,CB,29,-,SV Atlas Delmenhorst,2015
Florian Knipping,CB,28,-,SV Atlas Delmenhorst,2015
Tom Witte,CB,23,-,SV Atlas Delmenhorst,2015
Philip Stephan,CB,27,-,SV Atlas Delmenhorst,2015
Vico Mandlhate,LB,23,-,SV Atlas Delmenhorst,2015
Niclas Baumeister,LB,25,-,SV Atlas Delmenhorst,2015
Kevin Radke,RB,25,-,SV Atlas Delmenhorst,2015
Daniel Isailovic,CDM,31,-,SV Atlas Delmenhorst,2015
Daniel von Seggern,CDM,30,-,SV Atlas Delmenhorst,2015
Thomas Mutlu,CDM,25,-,SV Atlas Delmenhorst,2015
Stefan Bruns,CDM,25,-,SV Atlas Delmenhorst,2015
Simon Matta,RM,20,-,SV Atlas Delmenhorst,2015
Dennis Metzing,LM,22,-,SV Atlas Delmenhorst,2015
Musa Karli,CAM,26,-,SV Atlas Delmenhorst,2015
Lars Scholz,CAM,20,-,SV Atlas Delmenhorst,2015
Maximilian Klatte,CAM,28,-,SV Atlas Delmenhorst,2015
Steven Müller-Rautenberg,RW,23,-,SV Atlas Delmenhorst,2015
Iman Bi-Ria,ST,32,-,SV Atlas Delmenhorst,2015
Dominik Entelmann,ST,33,-,SV Atlas Delmenhorst,2015
Marc Pawletta,ST,24,-,SV Atlas Delmenhorst,2015
Florian Urbainski,GK,27,-,SV Atlas Delmenhorst,2016
Edgar Kary,GK,28,-,SV Atlas Delmenhorst,2016
David Lohmann,GK,28,-,SV Atlas Delmenhorst,2016
Hanno Hartmann,CB,30,-,SV Atlas Delmenhorst,2016
Daniel Karli,CB,29,-,SV Atlas Delmenhorst,2016
Tom Witte,CB,24,-,SV Atlas Delmenhorst,2016
Florian Knipping,CB,29,-,SV Atlas Delmenhorst,2016
Philip Stephan,CB,28,-,SV Atlas Delmenhorst,2016
Kevin Radke,RB,26,-,SV Atlas Delmenhorst,2016
Dennis Janßen,CDM,26,-,SV Atlas Delmenhorst,2016
Daniel von Seggern,CDM,31,-,SV Atlas Delmenhorst,2016
Thomas Mutlu,CDM,26,-,SV Atlas Delmenhorst,2016
Stefan Bruns,CDM,26,-,SV Atlas Delmenhorst,2016
Simon Matta,RM,21,-,SV Atlas Delmenhorst,2016
Dennis Metzing,LM,23,-,SV Atlas Delmenhorst,2016
Musa Karli,CAM,27,-,SV Atlas Delmenhorst,2016
Lars Scholz,CAM,21,-,SV Atlas Delmenhorst,2016
Maximilian Klatte,CAM,29,-,SV Atlas Delmenhorst,2016
Patrick Degen,CAM,28,-,SV Atlas Delmenhorst,2016
Can Blümel,CAM,25,-,SV Atlas Delmenhorst,2016
Lukas Matta,LW,20,-,SV Atlas Delmenhorst,2016
Steven Müller-Rautenberg,RW,24,-,SV Atlas Delmenhorst,2016
Iman Bi-Ria,ST,33,-,SV Atlas Delmenhorst,2016
Dominik Entelmann,ST,34,-,SV Atlas Delmenhorst,2016
Marco Prießner,ST,25,-,SV Atlas Delmenhorst,2016
Thore Sikken,ST,21,-,SV Atlas Delmenhorst,2016
Florian Urbainski,GK,28,-,SV Atlas Delmenhorst,2017
Edgar Kary,GK,29,-,SV Atlas Delmenhorst,2017
David Lohmann,GK,29,-,SV Atlas Delmenhorst,2017
Marlo Siech,CB,20,-,SV Atlas Delmenhorst,2017
Hanno Hartmann,CB,31,-,SV Atlas Delmenhorst,2017
Mark Spohler,CB,26,-,SV Atlas Delmenhorst,2017
Tom Witte,CB,25,-,SV Atlas Delmenhorst,2017
Oliver Rauh,RB,25,-,SV Atlas Delmenhorst,2017
Kevin Radke,RB,27,-,SV Atlas Delmenhorst,2017
Dennis Janßen,CDM,27,-,SV Atlas Delmenhorst,2017
Nick Köster,CDM,26,-,SV Atlas Delmenhorst,2017
Daniel von Seggern,CDM,32,-,SV Atlas Delmenhorst,2017
Thomas Mutlu,CDM,27,-,SV Atlas Delmenhorst,2017
Stefan Bruns,CDM,27,-,SV Atlas Delmenhorst,2017
Philip Immerthal,CDM,25,-,SV Atlas Delmenhorst,2017
Dennis Thüroff,CM,28,-,SV Atlas Delmenhorst,2017
Sebastian Koltonowski,CM,33,-,SV Atlas Delmenhorst,2017
Thade Hein,CM,19,-,SV Atlas Delmenhorst,2017
Patrick Klenke,RM,29,-,SV Atlas Delmenhorst,2017
Simon Matta,RM,22,-,SV Atlas Delmenhorst,2017
