name,position,age,value,team,season
Marvin Gladrow,GK,25,100 Tsd. €,SV Babelsberg 03,2014
Dominic Feber,GK,20,50 Tsd. €,SV Babelsberg 03,2014
Matthias Boron,GK,23,-,SV Babelsberg 03,2014
Florian Petermann,GK,19,-,SV Babelsberg 03,2014
Marco Flügel,GK,20,-,SV Babelsberg 03,2014
Christian Schönwälder,CB,28,100 Tsd. €,SV Babelsberg 03,2014
Lucas Albrecht,CB,24,100 Tsd. €,SV Babelsberg 03,2014
Julian Prochnow,CB,28,100 Tsd. €,SV Babelsberg 03,2014
Laurin von Piechowski,CB,21,50 Tsd. €,SV Babelsberg 03,2014
Henrik Müller,CB,19,25 Tsd. €,SV Babelsberg 03,2014
Jean-Marc Soine,CB,20,25 Tsd. €,SV Babelsberg 03,2014
Jonas Schmidt,CB,22,25 Tsd. €,SV Babelsberg 03,2014
Uğurtan Çepni,LB,31,75 Tsd. €,SV Babelsberg 03,2014
Miroslav Hecko,LB,24,50 Tsd. €,SV Babelsberg 03,2014
Patrick Tietz,LB,18,-,SV Babelsberg 03,2014
Severin Mihm,RB,24,75 Tsd. €,SV Babelsberg 03,2014
Leon Hellwig,CDM,24,75 Tsd. €,SV Babelsberg 03,2014
Oliver Traeder,CDM,18,25 Tsd. €,SV Babelsberg 03,2014
Torsten Sellmann,Midfielder,24,-,SV Babelsberg 03,2014
Lovro Sindik,CM,23,125 Tsd. €,SV Babelsberg 03,2014
Christopher Blazynski,CM,28,100 Tsd. €,SV Babelsberg 03,2014
Bilal Cubukcu,CAM,28,100 Tsd. €,SV Babelsberg 03,2014
Maximilian Zimmer,CAM,22,75 Tsd. €,SV Babelsberg 03,2014
Enes Uzun,CAM,23,50 Tsd. €,SV Babelsberg 03,2014
Antonin Hennig,CAM,18,-,SV Babelsberg 03,2014
Tobias Grundler,LW,27,50 Tsd. €,SV Babelsberg 03,2014
Joaquím Makangu,ST,24,25 Tsd. €,SV Babelsberg 03,2014
Jakub Petrik,ST,23,-,SV Babelsberg 03,2014
