name,position,age,value,team,season
Dennis Schäfer,GK,26,-,SV Drochtersen/Assel,2014
Hendrik Lemke,GK,30,-,SV Drochtersen/Assel,2014
Christoffer Schellin,GK,30,-,SV Drochtersen/Assel,2014
Henry Sung,CB,26,-,SV Drochtersen/Assel,2014
Thomas Johrden,CB,28,-,SV Drochtersen/Assel,2014
Thilo Gooßen,CB,22,-,SV Drochtersen/Assel,2014
Nico von der Reith,CB,22,-,SV Drochtersen/Assel,2014
Sören Behrmann,CB,25,-,SV Drochtersen/Assel,2014
Jannes Elfers,LB,19,-,SV Drochtersen/Assel,2014
Meikel Klee,RB,27,-,SV Drochtersen/Assel,2014
Jan Koch,CDM,31,-,SV Drochtersen/Assel,2014
Michel Junge,Midfielder,22,-,SV Drochtersen/Assel,2014
Benjamin Zielke,CDM,28,-,SV Drochtersen/Assel,2014
Daniel Jankowski,Midfielder,24,-,SV Drochtersen/Assel,2014
Sven Zöpfgen,CDM,25,-,SV Drochtersen/Assel,2014
René Kracke,CAM,28,-,SV Drochtersen/Assel,2014
Daniel von Dollen (Gröne),CAM,28,-,SV Drochtersen/Assel,2014
Florian Nagel,RW,23,-,SV Drochtersen/Assel,2014
Finn Gierke,ST,26,-,SV Drochtersen/Assel,2014
Alexander Neumann,ST,25,-,SV Drochtersen/Assel,2014
Felix Anders,ST,25,-,SV Drochtersen/Assel,2014
Süleyman Yaman,ST,19,-,SV Drochtersen/Assel,2014
Danny-Torben Kühn,ST,29,-,SV Drochtersen/Assel,2014
Jasper Gooßen,ST,19,-,SV Drochtersen/Assel,2014
Patrick Siefkes,GK,26,100 Tsd. €,SV Drochtersen/Assel,2015
Christoffer Schellin,GK,31,50 Tsd. €,SV Drochtersen/Assel,2015
Hendrik Lemke,GK,31,25 Tsd. €,SV Drochtersen/Assel,2015
Henry Sung,CB,27,50 Tsd. €,SV Drochtersen/Assel,2015
Sören Behrmann,CB,26,100 Tsd. €,SV Drochtersen/Assel,2015
Stefan Wolk,CB,26,75 Tsd. €,SV Drochtersen/Assel,2015
Thomas Johrden,CB,29,75 Tsd. €,SV Drochtersen/Assel,2015
Nico von der Reith,CB,23,50 Tsd. €,SV Drochtersen/Assel,2015
Nikola Serra,CB,21,25 Tsd. €,SV Drochtersen/Assel,2015
Thilo Gooßen,CB,23,25 Tsd. €,SV Drochtersen/Assel,2015
Jannes Elfers,LB,20,50 Tsd. €,SV Drochtersen/Assel,2015
