name,position,age,value,team,season
Fynn Berndt,GK,26,-,SV Eichede,2014
Fabian Lucassen,GK,28,-,SV Eichede,2014
Julian Barkmann,GK,22,-,SV Eichede,2014
Markus Venz,GK,33,-,SV Eichede,2014
Cedric Scheele,GK,19,-,SV Eichede,2014
Peter Grischke,GK,20,-,SV Eichede,2014
Dennis Wagner,CB,26,-,SV Eichede,2014
Petrik Krajinovic,CB,22,-,SV Eichede,2014
Malte Buchholz,CB,31,-,SV Eichede,2014
Flodyn Baloki,CB,24,-,SV Eichede,2014
Jan-Ole Rienhoff,CB,28,-,SV Eichede,2014
Gerrit Schubring,CB,22,-,SV Eichede,2014
Leo Seiler,CB,21,-,SV Eichede,2014
Jakub Heidenreich,LB,26,-,SV Eichede,2014
Simon Leu,LB,21,-,SV Eichede,2014
Nico Fischer,LB,26,-,SV Eichede,2014
Simon Krämer,LB,20,-,SV Eichede,2014
Eudel Monteiro,LB,20,-,SV Eichede,2014
Simeon Jovanov,LB,26,-,SV Eichede,2014
Jan Plate,RB,21,-,SV Eichede,2014
Simon Koops,RB,24,-,SV Eichede,2014
René Gradert,CDM,28,-,SV Eichede,2014
Jonathan Marschner,CDM,20,-,SV Eichede,2014
Torge Maltzahn,CDM,28,-,SV Eichede,2014
Nikita Bojarinow,CDM,21,-,SV Eichede,2014
Sammy Güzel,CM,24,-,SV Eichede,2014
Marcel Anton,LM,24,-,SV Eichede,2014
Hamed Mokhlis,CAM,21,-,SV Eichede,2014
Marco Schubring,CAM,19,-,SV Eichede,2014
Marc Oldag,CAM,23,-,SV Eichede,2014
André Kossowski,LW,25,-,SV Eichede,2014
Daniel Müggenburg,RW,20,-,SV Eichede,2014
Arnold Lechler,ST,24,-,SV Eichede,2014
Fabian Kolodzick,ST,26,-,SV Eichede,2014
Dominic Ulaga,ST,23,-,SV Eichede,2014
Ian Prescott Claus,ST,22,-,SV Eichede,2014
Vincent Janelt,ST,22,-,SV Eichede,2014
Fynn Berndt,GK,27,-,SV Eichede,2015
Julian Barkmann,GK,23,-,SV Eichede,2015
Alvaro Magel,GK,19,-,SV Eichede,2015
Michél Thomä,GK,27,-,SV Eichede,2015
Petrik Krajinovic,CB,23,-,SV Eichede,2015
Gerrit Schubring,CB,23,-,SV Eichede,2015
