name,position,age,value,team,season
Chris Keilmann,GK,23,100 Tsd. €,SV Eintracht Trier 05,2014
Jérôme Reisacher,GK,24,50 Tsd. €,SV Eintracht Trier 05,2014
Dominik Thömmes,GK,18,50 Tsd. €,SV Eintracht Trier 05,2014
Michael Weirich,GK,32,-,SV Eintracht Trier 05,2014
Torge Hollmann,CB,33,100 Tsd. €,SV Eintracht Trier 05,2014
Christoph Buchner,CB,25,100 Tsd. €,SV Eintracht Trier 05,2014
Michael Dingels,CB,29,100 Tsd. €,SV Eintracht Trier 05,2014
Robin Koch,CB,18,75 Tsd. €,SV Eintracht Trier 05,2014
Matti Fiedler,CB,19,25 Tsd. €,SV Eintracht Trier 05,2014
Jannik Stevens,LB,22,75 Tsd. €,SV Eintracht Trier 05,2014
Uğur Dündar,LB,22,50 Tsd. €,SV Eintracht Trier 05,2014
Gianluca Bohr,LB,20,25 Tsd. €,SV Eintracht Trier 05,2014
Fabian Zittlau,LB,25,-,SV Eintracht Trier 05,2014
Stefan Thelen,RB,23,100 Tsd. €,SV Eintracht Trier 05,2014
Carsten Cordier,RB,22,25 Tsd. €,SV Eintracht Trier 05,2014
Milorad Pekovic,CDM,37,150 Tsd. €,SV Eintracht Trier 05,2014
Christopher Spang,CDM,22,75 Tsd. €,SV Eintracht Trier 05,2014
Ajdin Zeric,CDM,27,75 Tsd. €,SV Eintracht Trier 05,2014
Sebastian Schmitt,Midfielder,20,25 Tsd. €,SV Eintracht Trier 05,2014
Till Hermandung,CDM,17,25 Tsd. €,SV Eintracht Trier 05,2014
Robin Garnier,CM,21,75 Tsd. €,SV Eintracht Trier 05,2014
Benedikt Masselter,CM,18,-,SV Eintracht Trier 05,2014
Boris Becker,RM,24,-,SV Eintracht Trier 05,2014
Bruno Gomis,LM,24,100 Tsd. €,SV Eintracht Trier 05,2014
Erich Sautner,CAM,23,-,SV Eintracht Trier 05,2014
Christoph Anton,LW,23,100 Tsd. €,SV Eintracht Trier 05,2014
Holger Lemke,RW,27,75 Tsd. €,SV Eintracht Trier 05,2014
Romas Dressler,ST,27,125 Tsd. €,SV Eintracht Trier 05,2014
Rudy Carlier,ST,29,100 Tsd. €,SV Eintracht Trier 05,2014
Uğur Albayrak,ST,27,100 Tsd. €,SV Eintracht Trier 05,2014
Luca Sasso-Sant,ST,17,25 Tsd. €,SV Eintracht Trier 05,2014
Besart Aliu,ST,22,25 Tsd. €,SV Eintracht Trier 05,2014
Denis Pozder,ST,25,-,SV Eintracht Trier 05,2014
Lukas Püttmann,ST,23,-,SV Eintracht Trier 05,2014
Chris Keilmann,GK,24,150 Tsd. €,SV Eintracht Trier 05,2015
Andrei Popescu,GK,31,75 Tsd. €,SV Eintracht Trier 05,2015
Dominik Thömmes,GK,19,25 Tsd. €,SV Eintracht Trier 05,2015
Mirko Bitzer,GK,42,-,SV Eintracht Trier 05,2015
Christoph Buchner,CB,26,125 Tsd. €,SV Eintracht Trier 05,2015
Torge Hollmann,CB,34,100 Tsd. €,SV Eintracht Trier 05,2015
Oliver Laux,CB,26,100 Tsd. €,SV Eintracht Trier 05,2015
Michael Dingels,CB,30,100 Tsd. €,SV Eintracht Trier 05,2015
Matti Fiedler,CB,20,100 Tsd. €,SV Eintracht Trier 05,2015
Mario Müller,LB,24,100 Tsd. €,SV Eintracht Trier 05,2015
Muhammet Karpuz,RB,22,100 Tsd. €,SV Eintracht Trier 05,2015
Christian Telch,CDM,28,100 Tsd. €,SV Eintracht Trier 05,2015
Silvano Varnhagen,CDM,23,100 Tsd. €,SV Eintracht Trier 05,2015
Christopher Spang,CDM,23,75 Tsd. €,SV Eintracht Trier 05,2015
Moritz Jost,CDM,20,25 Tsd. €,SV Eintracht Trier 05,2015
Robin Garnier,CM,22,75 Tsd. €,SV Eintracht Trier 05,2015
Benedikt Masselter,CM,19,25 Tsd. €,SV Eintracht Trier 05,2015
Florian Riedel,RM,26,125 Tsd. €,SV Eintracht Trier 05,2015
Daniel Kurz,LM,19,-,SV Eintracht Trier 05,2015
Patrick Lienhard,CAM,24,150 Tsd. €,SV Eintracht Trier 05,2015
Dominik Kinscher,CAM,19,25 Tsd. €,SV Eintracht Trier 05,2015
Christoph Anton,LW,24,100 Tsd. €,SV Eintracht Trier 05,2015
Dennis Gerlinger,RW,25,100 Tsd. €,SV Eintracht Trier 05,2015
Holger Lemke,RW,28,50 Tsd. €,SV Eintracht Trier 05,2015
Daniel Hammel,ST,23,125 Tsd. €,SV Eintracht Trier 05,2015
Benedikt Koep,ST,28,100 Tsd. €,SV Eintracht Trier 05,2015
Charlie Rugg,ST,25,75 Tsd. €,SV Eintracht Trier 05,2015
Julian Bidon,ST,25,50 Tsd. €,SV Eintracht Trier 05,2015
Vincent Boesen,ST,17,-,SV Eintracht Trier 05,2015
Chris Keilmann,GK,25,150 Tsd. €,SV Eintracht Trier 05,2016
Till Brinkmann,GK,21,50 Tsd. €,SV Eintracht Trier 05,2016
Andrei Popescu,GK,32,50 Tsd. €,SV Eintracht Trier 05,2016
Matheo Raab,GK,18,25 Tsd. €,SV Eintracht Trier 05,2016
Lukas Billick,CB,29,150 Tsd. €,SV Eintracht Trier 05,2016
Adrian Schneider,CB,25,125 Tsd. €,SV Eintracht Trier 05,2016
Michael Dingels,CB,31,100 Tsd. €,SV Eintracht Trier 05,2016
Tobias Henneböle,CB,25,100 Tsd. €,SV Eintracht Trier 05,2016
Simon Maurer,CB,27,75 Tsd. €,SV Eintracht Trier 05,2016
Josef Cinar,CB,33,50 Tsd. €,SV Eintracht Trier 05,2016
Michael Blum,CB,28,50 Tsd. €,SV Eintracht Trier 05,2016
Stephan Schuwerack,CB,19,25 Tsd. €,SV Eintracht Trier 05,2016
Lukas Achterberg,CB,19,25 Tsd. €,SV Eintracht Trier 05,2016
Kevin Heinz,LB,22,75 Tsd. €,SV Eintracht Trier 05,2016
Christos Papadimitriou,LB,23,50 Tsd. €,SV Eintracht Trier 05,2016
Christian Telch,CDM,29,100 Tsd. €,SV Eintracht Trier 05,2016
Danilo Dittrich,CDM,22,75 Tsd. €,SV Eintracht Trier 05,2016
Lucas Jakob,CDM,19,25 Tsd. €,SV Eintracht Trier 05,2016
Petros Kaminiotis,CM,28,125 Tsd. €,SV Eintracht Trier 05,2016
Johnathan Zinram-Kisch,CM,25,100 Tsd. €,SV Eintracht Trier 05,2016
Rico Gladrow,CM,26,100 Tsd. €,SV Eintracht Trier 05,2016
Robin Garnier,CM,23,75 Tsd. €,SV Eintracht Trier 05,2016
Niclas Kupka,CM,23,25 Tsd. €,SV Eintracht Trier 05,2016
Benedikt Masselter,CM,20,25 Tsd. €,SV Eintracht Trier 05,2016
Florian Riedel,RM,27,100 Tsd. €,SV Eintracht Trier 05,2016
Daniel Kurz,LM,20,25 Tsd. €,SV Eintracht Trier 05,2016
Antonyos Celik,LM,22,25 Tsd. €,SV Eintracht Trier 05,2016
Patrick Lienhard,CAM,25,150 Tsd. €,SV Eintracht Trier 05,2016
