name,position,age,value,team,season
Michael Werner,GK,23,-,SV Linx,2014
Julien Guthleber,GK,27,-,SV Linx,2014
Sebastian Servouid,GK,30,-,SV Linx,2014
Harold Ball,GK,20,-,SV Linx,2014
Kevin Mury,GK,20,-,SV Linx,2014
Sebastian Bell,GK,22,-,SV Linx,2014
Inan Bulut,CB,29,-,SV Linx,2014
Pascal Kientz,CB,29,-,SV Linx,2014
Gabriel Eyebe,CB,-,-,SV Linx,2014
Dominic Truisi,CB,26,-,SV Linx,2014
Moussa Savane,CB,-,-,SV Linx,2014
Thomas Dürrenbach,CB,27,-,SV Linx,2014
Denis Kolasinac,CB,29,-,SV Linx,2014
Marcel Stern,LB,28,-,SV Linx,2014
Jonathan Clauss,RB,22,-,SV Linx,2014
Geoffrey Feist,RB,25,-,SV Linx,2014
Mohamed Savane,Midfielder,30,-,SV Linx,2014
Michael Gass,Midfielder,26,-,SV Linx,2014
Luigi Filareti,Midfielder,27,-,SV Linx,2014
David Göser,Midfielder,23,-,SV Linx,2014
Jean Stutz,Midfielder,-,-,SV Linx,2014
Pierre Venturini,Midfielder,22,-,SV Linx,2014
Geoffrey Joly,Midfielder,26,-,SV Linx,2014
Nicolas Schmitt,Midfielder,24,-,SV Linx,2014
Cedric Kastner,Midfielder,26,-,SV Linx,2014
Fabian Heinz,Midfielder,29,-,SV Linx,2014
Stephane Labou Saah,Midfielder,-,-,SV Linx,2014
Benjamin Hilberer,Midfielder,-,-,SV Linx,2014
Nicolas Loison,CM,34,-,SV Linx,2014
Faruk Karadogan,CAM,29,-,SV Linx,2014
Dejan Svjetlanovic,LW,35,-,SV Linx,2014
Nico Westermann,ST,-,-,SV Linx,2014
Eimen Kelbi,ST,27,-,SV Linx,2014
Marc Rubio,ST,27,-,SV Linx,2014
Tom Schneider,ST,-,-,SV Linx,2014
Louis Pahama,ST,21,-,SV Linx,2014
Oktay Türk,ST,23,-,SV Linx,2014
Yasin Ilhan,ST,23,-,SV Linx,2014
Nicolas Mätz,ST,29,-,SV Linx,2014
Emmanuel Bekoe,ST,-,-,SV Linx,2014
Marc Schuhmacher,GK,27,-,SV Linx,2015
Maximilian Moser,GK,21,-,SV Linx,2015
Julien Guthleber,GK,28,-,SV Linx,2015
Harold Ball,GK,21,-,SV Linx,2015
Aristide Ouwe Ossah,CB,-,-,SV Linx,2015
Julien Frech,CB,-,-,SV Linx,2015
Gabriel Eyebe,CB,-,-,SV Linx,2015
Yunus Beyaz,CB,24,-,SV Linx,2015
Lyndon Cadny,CB,27,-,SV Linx,2015
Vincent Angelino,CB,-,-,SV Linx,2015
Benjamin Fuchs,CB,-,-,SV Linx,2015
Nicolas Delion,CB,21,-,SV Linx,2015
Geoffrey Feist,RB,26,-,SV Linx,2015
Mohamed Savane,Midfielder,31,-,SV Linx,2015
Pasquale Maisano,Midfielder,18,-,SV Linx,2015
Bilal Saci,Midfielder,-,-,SV Linx,2015
Loïc Schneider,Midfielder,-,-,SV Linx,2015
Marius Britz,Midfielder,24,-,SV Linx,2015
Jean Stutz,Midfielder,-,-,SV Linx,2015
David Göser,Midfielder,24,-,SV Linx,2015
Narek Sermanoukian,Midfielder,26,-,SV Linx,2015
Felix Almansa,Midfielder,-,-,SV Linx,2015
Alex Djilali,Midfielder,-,-,SV Linx,2015
Pierre Venturini,Midfielder,23,-,SV Linx,2015
Valentin Froeliger,Midfielder,-,-,SV Linx,2015
Yacine Ovroutski,ST,-,-,SV Linx,2015
Yannick Lang,ST,-,-,SV Linx,2015
Eimen Kelbi,ST,28,-,SV Linx,2015
Marc Rubio,ST,28,-,SV Linx,2015
Thorben Rapp,ST,-,-,SV Linx,2015
Tom Schneider,ST,-,-,SV Linx,2015
Piakai Henkel,ST,21,-,SV Linx,2015
Norman Riedinger,GK,29,-,SV Linx,2016
Marc Schuhmacher,GK,28,-,SV Linx,2016
Maximilian Moser,GK,22,-,SV Linx,2016
Fabian Härrer,GK,20,-,SV Linx,2016
Daniel Künstle,GK,26,-,SV Linx,2016
Cedric Krebs,CB,26,-,SV Linx,2016
Dominic Truisi,CB,28,-,SV Linx,2016
Robert Hartfiel,CB,22,-,SV Linx,2016
Dennis Kopf,CB,27,-,SV Linx,2016
Baptiste Berna,CB,-,-,SV Linx,2016
Benjamin Fuchs,CB,-,-,SV Linx,2016
Nico Hilger,CB,-,-,SV Linx,2016
Geoffrey Feist,RB,27,-,SV Linx,2016
Mohamed Savane,Midfielder,32,-,SV Linx,2016
Rico Schmider,CDM,26,-,SV Linx,2016
Bastian Kropp,Midfielder,19,-,SV Linx,2016
Emrecan Semen,Midfielder,-,-,SV Linx,2016
David Göser,Midfielder,25,-,SV Linx,2016
Narek Sermanoukian,Midfielder,27,-,SV Linx,2016
Felix Almansa,Midfielder,-,-,SV Linx,2016
Pasquale Maisano,Midfielder,19,-,SV Linx,2016
Alexander Merkel,CDM,27,-,SV Linx,2016
Valentin Froeliger,Midfielder,-,-,SV Linx,2016
Nicolas Marbach,Midfielder,20,-,SV Linx,2016
Pierre Venturini,Midfielder,24,-,SV Linx,2016
Daniel Schaffelke,LM,20,-,SV Linx,2016
Stefan Wendling,ST,32,-,SV Linx,2016
Yves Braun,ST,24,-,SV Linx,2016
Christian Seger,ST,32,-,SV Linx,2016
Marc Rubio,ST,29,-,SV Linx,2016
Thorben Rapp,ST,-,-,SV Linx,2016
Jean-Gabriel Dussot,ST,28,-,SV Linx,2016
Tonio Bayer,ST,27,-,SV Linx,2016
Norman Riedinger,GK,30,-,SV Linx,2017
Marc Schuhmacher,GK,29,-,SV Linx,2017
Maximilian Moser,GK,23,-,SV Linx,2017
Kevin Mury,GK,23,-,SV Linx,2017
Nicolas Marbach,CB,27,-,SV Linx,2017
Sebastian Braun,CB,30,-,SV Linx,2017
Dennis Kopf,CB,28,-,SV Linx,2017
Geoffrey Feist,RB,28,-,SV Linx,2017
Rico Schmider,CDM,27,-,SV Linx,2017
Bastian Kropp,Midfielder,20,-,SV Linx,2017
David Göser,Midfielder,26,-,SV Linx,2017
Nathan Recht,Midfielder,21,-,SV Linx,2017
Pasquale Maisano,Midfielder,20,-,SV Linx,2017
Alexander Merkel,CDM,28,-,SV Linx,2017
Pierre Venturini,Midfielder,25,-,SV Linx,2017
Emrecan Semen,Midfielder,-,-,SV Linx,2017
Adrian Vollmer,CM,28,-,SV Linx,2017
Daniel Schaffelke,LM,21,-,SV Linx,2017
Marc Rubio,ST,30,-,SV Linx,2017
Jean-Gabriel Dussot,ST,29,-,SV Linx,2017
Manuel Vollmer,ST,35,-,SV Linx,2017
Dennis Klemm,ST,24,-,SV Linx,2017
Luca Löbsack,ST,20,-,SV Linx,2017
Piakai Henkel,ST,23,-,SV Linx,2017
Norman Riedinger,GK,31,-,SV Linx,2018
Timo Gartner,GK,31,-,SV Linx,2018
Kevin Mury,GK,24,-,SV Linx,2018
Joshua Hülsmann,GK,23,-,SV Linx,2018
Sebastian Braun,CB,31,-,SV Linx,2018
Joel Joseph,CB,19,-,SV Linx,2018
Dennis Kopf,CB,29,-,SV Linx,2018
Lukas Raabe,CB,21,-,SV Linx,2018
Dominik Kaiser,CB,24,-,SV Linx,2018
Geoffrey Feist,RB,29,-,SV Linx,2018
Rico Schmider,CDM,28,-,SV Linx,2018
Sergej Barzewitsch,Midfielder,31,-,SV Linx,2018
Sinan Gülsoy,Midfielder,29,-,SV Linx,2018
Nathan Recht,Midfielder,22,-,SV Linx,2018
Alexander Merkel,CDM,29,-,SV Linx,2018
Michael Schindler,Midfielder,26,-,SV Linx,2018
Pierre Venturini,Midfielder,26,-,SV Linx,2018
Adrian Vollmer,CM,29,-,SV Linx,2018
Harry Föll,CAM,21,-,SV Linx,2018
Wacim Tine,CAM,27,-,SV Linx,2018
Kévin Traoré,LW,24,-,SV Linx,2018
Marc Rubio,ST,31,-,SV Linx,2018
Piakai Henkel,ST,24,-,SV Linx,2018
Julian Köhler,ST,21,-,SV Linx,2018
Jean-Gabriel Dussot,ST,30,-,SV Linx,2018
Jannik Schwörer,ST,20,-,SV Linx,2018
Manuel Vollmer,ST,36,-,SV Linx,2018
Norman Riedinger,GK,32,-,SV Linx,2019
Ianis Lacker,GK,30,-,SV Linx,2019
Kevin Mury,GK,25,-,SV Linx,2019
Adel Khedir,CB,31,-,SV Linx,2019
Joel Joseph,CB,20,-,SV Linx,2019
Dennis Kopf,CB,30,-,SV Linx,2019
Lukas Raabe,CB,22,-,SV Linx,2019
Nico Schlieter,CB,30,-,SV Linx,2019
Timo Schwenk,CB,26,-,SV Linx,2019
Valentin Helfer-Lebert,LB,21,-,SV Linx,2019
Geoffrey Feist,RB,30,-,SV Linx,2019
Rico Schmider,CDM,29,-,SV Linx,2019
Mathieu Krebs,Midfielder,34,-,SV Linx,2019
Meller Aziz,Midfielder,32,-,SV Linx,2019
Sinan Gülsoy,Midfielder,30,-,SV Linx,2019
Nathan Recht,Midfielder,23,-,SV Linx,2019
Alexander Merkel,CDM,30,-,SV Linx,2019
Pierre Venturini,Midfielder,27,-,SV Linx,2019
Adrian Vollmer,CM,30,-,SV Linx,2019
Samy Madihi,CM,22,-,SV Linx,2019
Harry Föll,CAM,22,-,SV Linx,2019
Wacim Tine,CAM,28,-,SV Linx,2019
Alharbi El Jadeyaoui,LW,33,-,SV Linx,2019
Timo Wehrle,LW,24,-,SV Linx,2019
Kévin Traoré,LW,25,-,SV Linx,2019
Arda Giragos,ST,28,-,SV Linx,2019
Lukas Martin,ST,24,-,SV Linx,2019
Marc Rubio,ST,32,-,SV Linx,2019
Piakai Henkel,ST,25,-,SV Linx,2019
Luca Erhardt,ST,22,-,SV Linx,2019
Manuel Vollmer,ST,37,-,SV Linx,2019
David Bergmann,GK,23,-,SV Linx,2020
Daniel Künstle,GK,30,-,SV Linx,2020
Cedric Meichel,GK,25,-,SV Linx,2020
Sinan Süme,GK,25,-,SV Linx,2020
Noah Felthaus,CB,22,-,SV Linx,2020
Lukas Raabe,CB,23,-,SV Linx,2020
Adel Khedir,CB,32,-,SV Linx,2020
Kévin Meyer,CB,24,-,SV Linx,2020
Joel Joseph,CB,21,-,SV Linx,2020
Nikita Shestakov,CB,19,25 Tsd. €,SV Linx,2020
Leo Eschbach,CB,20,-,SV Linx,2020
Timo Schwenk,CB,27,-,SV Linx,2020
Geoffrey Feist,RB,31,-,SV Linx,2020
Meller Aziz,Midfielder,33,-,SV Linx,2020
Sinan Gülsoy,Midfielder,31,-,SV Linx,2020
Nathan Recht,Midfielder,24,-,SV Linx,2020
Mathieu Krebs,Midfielder,35,-,SV Linx,2020
Nicolás Ríos,Midfielder,23,-,SV Linx,2020
Maximilian Sepp,CDM,28,-,SV Linx,2020
Guillaume Ruiz,Midfielder,24,-,SV Linx,2020
Kemal Sert,Midfielder,28,-,SV Linx,2020
Adrian Vollmer,CM,31,-,SV Linx,2020
Martial Riff,CM,31,-,SV Linx,2020
Samy Madihi,CM,23,-,SV Linx,2020
Marius Hauser,CAM,24,-,SV Linx,2020
Timo Wehrle,LW,25,-,SV Linx,2020
Alharbi El Jadeyaoui,LW,34,-,SV Linx,2020
