name,position,age,value,team,season
Josha Dinger,GK,20,-,SV Oberachern,2014
Mike Baudendistel,GK,22,-,SV Oberachern,2014
Christoph Köninger,GK,17,-,SV Oberachern,2014
Joachim Schnurr,GK,20,-,SV Oberachern,2014
Logan Kleffer,GK,22,-,SV Oberachern,2014
Patrick Schoch,CB,28,-,SV Oberachern,2014
Marc Hertwig,CB,27,-,SV Oberachern,2014
Mario Sapia,CB,-,-,SV Oberachern,2014
Cedric Krebs,CB,24,-,SV Oberachern,2014
David Halsinger,CB,27,-,SV Oberachern,2014
Mohyeddine Nezli,CB,24,-,SV Oberachern,2014
Markus Lurz,CB,27,-,SV Oberachern,2014
Timo Schwenk,CB,21,-,SV Oberachern,2014
Nicola Leberer,CB,19,-,SV Oberachern,2014
Lionel Labad,RB,19,-,SV Oberachern,2014
Philip Giesler,Midfielder,20,-,SV Oberachern,2014
Philipp Shahin-Reza,Midfielder,-,-,SV Oberachern,2014
Domagoj Petric,Midfielder,27,-,SV Oberachern,2014
Hannes Maier,Midfielder,27,-,SV Oberachern,2014
Alen Muhamedagic,Midfielder,19,-,SV Oberachern,2014
Mathieu Krebs,Midfielder,29,-,SV Oberachern,2014
Andre Lamm,Midfielder,20,-,SV Oberachern,2014
Hakki Tasli,Midfielder,22,-,SV Oberachern,2014
Peter Zimmer,Midfielder,-,-,SV Oberachern,2014
Sinan Gülsoy,Midfielder,25,-,SV Oberachern,2014
Alexandru Ghiță,CDM,24,-,SV Oberachern,2014
Andreas Weisgerber,Midfielder,22,-,SV Oberachern,2014
Issiaka Savane,Midfielder,28,-,SV Oberachern,2014
Marco Borelli,Midfielder,-,-,SV Oberachern,2014
Andreas Böhm,Midfielder,23,-,SV Oberachern,2014
Mikail Süme,CDM,22,-,SV Oberachern,2014
Matthias Armbruster,CM,29,-,SV Oberachern,2014
Mohamed Cherief,CM,26,-,SV Oberachern,2014
Jean-Gabriel Dussot,ST,26,-,SV Oberachern,2014
Janosch Bologna,ST,27,-,SV Oberachern,2014
Gregor Dörflinger,ST,19,-,SV Oberachern,2014
Andreas Müller,ST,20,-,SV Oberachern,2014
Fabian Schoch,ST,24,-,SV Oberachern,2014
