name,position,age,value,team,season
Manuel Riemann,GK,26,800 Tsd. €,SV Sandhausen,2014
Marco Knaller,GK,28,300 Tsd. €,SV Sandhausen,2014
Michael Hiegl,GK,22,100 Tsd. €,SV Sandhausen,2014
Dominik Machmeier,GK,19,100 Tsd. €,SV Sandhausen,2014
Florian Hübner,CB,24,500 Tsd. €,SV Sandhausen,2014
Manuel Stiefler,CB,26,500 Tsd. €,SV Sandhausen,2014
Daniel Schulz,CB,29,400 Tsd. €,SV Sandhausen,2014
Tim Kister,CB,28,300 Tsd. €,SV Sandhausen,2014
Seyi Olajengbesi,CB,34,300 Tsd. €,SV Sandhausen,2014
Marvin Knoll,CB,24,150 Tsd. €,SV Sandhausen,2014
Steven Zellner,CB,24,150 Tsd. €,SV Sandhausen,2014
Max Müller,CB,21,100 Tsd. €,SV Sandhausen,2014
Timo Achenbach,LB,32,400 Tsd. €,SV Sandhausen,2014
Leart Paçarada,LB,20,350 Tsd. €,SV Sandhausen,2014
Marco Thiede,RB,23,500 Tsd. €,SV Sandhausen,2014
Lukas Kübler,RB,22,400 Tsd. €,SV Sandhausen,2014
Moritz Kuhn,RB,23,250 Tsd. €,SV Sandhausen,2014
Marc Pfertzel,RB,34,250 Tsd. €,SV Sandhausen,2014
Denis Linsmayer,CDM,23,700 Tsd. €,SV Sandhausen,2014
Nono,CDM,22,600 Tsd. €,SV Sandhausen,2014
Stefan Kulovits,CDM,32,350 Tsd. €,SV Sandhausen,2014
Kevin Kratz,CM,28,650 Tsd. €,SV Sandhausen,2014
Simon Tüting,CM,28,400 Tsd. €,SV Sandhausen,2014
Robert Zillner,CM,29,400 Tsd. €,SV Sandhausen,2014
Alexander Mühling,CM,22,350 Tsd. €,SV Sandhausen,2014
Jim-Patrick Müller,CAM,25,250 Tsd. €,SV Sandhausen,2014
Eric Schaaf,CAM,25,100 Tsd. €,SV Sandhausen,2014
René Gartler,ST,29,700 Tsd. €,SV Sandhausen,2014
Andrew Wooten,ST,25,600 Tsd. €,SV Sandhausen,2014
Nicky Adler,ST,30,550 Tsd. €,SV Sandhausen,2014
Aziz Bouhaddouz,ST,28,350 Tsd. €,SV Sandhausen,2014
Solomon Okoronkwo,ST,28,300 Tsd. €,SV Sandhausen,2014
Ranisav Jovanovic,ST,34,250 Tsd. €,SV Sandhausen,2014
Marco Knaller,GK,29,600 Tsd. €,SV Sandhausen,2015
Philipp Kühn,GK,23,200 Tsd. €,SV Sandhausen,2015
Rick Wulle,GK,22,100 Tsd. €,SV Sandhausen,2015
Florian Hübner,CB,25,800 Tsd. €,SV Sandhausen,2015
Tim Kister,CB,29,500 Tsd. €,SV Sandhausen,2015
Manuel Stiefler,CB,27,400 Tsd. €,SV Sandhausen,2015
Damian Roßbach,CB,23,350 Tsd. €,SV Sandhausen,2015
Daniel Schulz,CB,30,300 Tsd. €,SV Sandhausen,2015
Seyi Olajengbesi,CB,35,200 Tsd. €,SV Sandhausen,2015
Steven Zellner,CB,25,150 Tsd. €,SV Sandhausen,2015
Leart Paçarada,LB,21,700 Tsd. €,SV Sandhausen,2015
Philipp Klingmann,RB,28,650 Tsd. €,SV Sandhausen,2015
Marco Thiede,RB,24,450 Tsd. €,SV Sandhausen,2015
Moritz Kuhn,RB,24,300 Tsd. €,SV Sandhausen,2015
Denis Linsmayer,CDM,24,900 Tsd. €,SV Sandhausen,2015
Stefan Kulovits,CDM,33,350 Tsd. €,SV Sandhausen,2015
Nico Hammann,CDM,28,300 Tsd. €,SV Sandhausen,2015
Erik Zenga,CDM,23,250 Tsd. €,SV Sandhausen,2015
Kevin Kratz,CM,29,600 Tsd. €,SV Sandhausen,2015
Robert Zillner,CM,30,350 Tsd. €,SV Sandhausen,2015
Alexander Mühling,CM,23,300 Tsd. €,SV Sandhausen,2015
Thomas Pledl,CAM,22,500 Tsd. €,SV Sandhausen,2015
Korbinian Vollmann,CAM,22,400 Tsd. €,SV Sandhausen,2015
Dominik Stolz,CAM,26,150 Tsd. €,SV Sandhausen,2015
Eric Schaaf,CAM,26,100 Tsd. €,SV Sandhausen,2015
José-Pierre Vunguidica,LW,26,450 Tsd. €,SV Sandhausen,2015
Jakub Kosecki,RW,25,800 Tsd. €,SV Sandhausen,2015
Andrew Wooten,ST,26,800 Tsd. €,SV Sandhausen,2015
Aziz Bouhaddouz,ST,29,750 Tsd. €,SV Sandhausen,2015
Ranisav Jovanovic,ST,35,200 Tsd. €,SV Sandhausen,2015
Marco Knaller,GK,30,600 Tsd. €,SV Sandhausen,2016
Rick Wulle,GK,23,200 Tsd. €,SV Sandhausen,2016
Michael Hiegl,GK,24,100 Tsd. €,SV Sandhausen,2016
Damian Roßbach,CB,24,600 Tsd. €,SV Sandhausen,2016
Tim Kister,CB,30,600 Tsd. €,SV Sandhausen,2016
Tim Knipping,CB,24,450 Tsd. €,SV Sandhausen,2016
Daniel Gordon,CB,32,300 Tsd. €,SV Sandhausen,2016
Manuel Stiefler,CB,28,300 Tsd. €,SV Sandhausen,2016
Benedikt Gimber,CB,20,200 Tsd. €,SV Sandhausen,2016
Steven Zellner,CB,26,150 Tsd. €,SV Sandhausen,2016
Leart Paçarada,LB,22,600 Tsd. €,SV Sandhausen,2016
Philipp Klingmann,RB,29,650 Tsd. €,SV Sandhausen,2016
Marco Thiede,RB,25,300 Tsd. €,SV Sandhausen,2016
Moritz Kuhn,RB,25,275 Tsd. €,SV Sandhausen,2016
Denis Linsmayer,CDM,25,"1,00 Mio. €",SV Sandhausen,2016
Daniel Lukasik,CDM,26,400 Tsd. €,SV Sandhausen,2016
Markus Karl,CDM,31,400 Tsd. €,SV Sandhausen,2016
Stefan Kulovits,CDM,34,250 Tsd. €,SV Sandhausen,2016
Maximilian Jansen,CDM,24,150 Tsd. €,SV Sandhausen,2016
Erik Zenga,CDM,24,100 Tsd. €,SV Sandhausen,2016
Taner Yalçın,CDM,27,100 Tsd. €,SV Sandhausen,2016
Thomas Pledl,CAM,23,800 Tsd. €,SV Sandhausen,2016
Korbinian Vollmann,CAM,23,500 Tsd. €,SV Sandhausen,2016
José-Pierre Vunguidica,LW,27,300 Tsd. €,SV Sandhausen,2016
Julian-Maurice Derstroff,LW,25,300 Tsd. €,SV Sandhausen,2016
Jakub Kosecki,RW,26,600 Tsd. €,SV Sandhausen,2016
Andrew Wooten,ST,27,800 Tsd. €,SV Sandhausen,2016
Lucas Höler,ST,22,650 Tsd. €,SV Sandhausen,2016
Richard Sukuta-Pasu,ST,27,350 Tsd. €,SV Sandhausen,2016
Marcel Schuhen,GK,25,900 Tsd. €,SV Sandhausen,2017
Marco Knaller,GK,31,400 Tsd. €,SV Sandhausen,2017
Goran Karacic,GK,21,250 Tsd. €,SV Sandhausen,2017
Rick Wulle,GK,24,150 Tsd. €,SV Sandhausen,2017
Valentino Jovic,GK,20,100 Tsd. €,SV Sandhausen,2017
Dominik Machmeier,GK,22,-,SV Sandhausen,2017
Tim Knipping,CB,25,"1,00 Mio. €",SV Sandhausen,2017
Tim Kister,CB,31,500 Tsd. €,SV Sandhausen,2017
Damian Roßbach,CB,25,350 Tsd. €,SV Sandhausen,2017
Manuel Stiefler,CB,29,350 Tsd. €,SV Sandhausen,2017
Marcel Seegert,CB,24,300 Tsd. €,SV Sandhausen,2017
Leart Paçarada,LB,23,900 Tsd. €,SV Sandhausen,2017
Philipp Klingmann,RB,30,700 Tsd. €,SV Sandhausen,2017
Denis Linsmayer,CDM,26,"1,25 Mio. €",SV Sandhausen,2017
Maximilian Jansen,CDM,25,450 Tsd. €,SV Sandhausen,2017
Nejmeddin Daghfous,Midfielder,31,400 Tsd. €,SV Sandhausen,2017
Markus Karl,CDM,32,350 Tsd. €,SV Sandhausen,2017
Erik Zenga,CDM,25,300 Tsd. €,SV Sandhausen,2017
Stefan Kulovits,CDM,35,200 Tsd. €,SV Sandhausen,2017
Rúrik Gíslason,RM,30,650 Tsd. €,SV Sandhausen,2017
Ken Gipson,RM,22,200 Tsd. €,SV Sandhausen,2017
Mirco Born,LM,24,250 Tsd. €,SV Sandhausen,2017
Robert Herrmann,LM,24,150 Tsd. €,SV Sandhausen,2017
Philipp Förster,CAM,23,700 Tsd. €,SV Sandhausen,2017
Eroll Zejnullahu,CAM,23,400 Tsd. €,SV Sandhausen,2017
Korbinian Vollmann,CAM,24,400 Tsd. €,SV Sandhausen,2017
Ali Ibrahimaj,CAM,26,200 Tsd. €,SV Sandhausen,2017
Julian-Maurice Derstroff,LW,26,300 Tsd. €,SV Sandhausen,2017
José-Pierre Vunguidica,LW,28,200 Tsd. €,SV Sandhausen,2017
Şahin Aygüneş,LW,27,200 Tsd. €,SV Sandhausen,2017
Lucas Höler,ST,23,"2,00 Mio. €",SV Sandhausen,2017
Andrew Wooten,ST,28,650 Tsd. €,SV Sandhausen,2017
Richard Sukuta-Pasu,ST,28,550 Tsd. €,SV Sandhausen,2017
Haji Wright,ST,20,300 Tsd. €,SV Sandhausen,2017
Marcel Schuhen,GK,26,700 Tsd. €,SV Sandhausen,2018
Niklas Lomb,GK,25,250 Tsd. €,SV Sandhausen,2018
Rick Wulle,GK,25,100 Tsd. €,SV Sandhausen,2018
Jesper Verlaat,CB,23,750 Tsd. €,SV Sandhausen,2018
Tim Knipping,CB,26,750 Tsd. €,SV Sandhausen,2018
Aleksandr Zhirov,CB,28,650 Tsd. €,SV Sandhausen,2018
Tim Kister,CB,32,350 Tsd. €,SV Sandhausen,2018
Marcel Seegert,CB,25,250 Tsd. €,SV Sandhausen,2018
Alexander Rossipal,CB,23,200 Tsd. €,SV Sandhausen,2018
Roman Hauk,CB,20,-,SV Sandhausen,2018
Leart Paçarada,LB,24,900 Tsd. €,SV Sandhausen,2018
Sören Dieckmann,LB,23,250 Tsd. €,SV Sandhausen,2018
Dennis Diekmeier,RB,29,"1,00 Mio. €",SV Sandhausen,2018
Philipp Klingmann,RB,31,400 Tsd. €,SV Sandhausen,2018
Denis Linsmayer,CDM,27,"1,00 Mio. €",SV Sandhausen,2018
Erik Zenga,CDM,26,350 Tsd. €,SV Sandhausen,2018
Maximilian Jansen,CDM,26,350 Tsd. €,SV Sandhausen,2018
Nejmeddin Daghfous,Midfielder,32,250 Tsd. €,SV Sandhausen,2018
Markus Karl,CDM,33,250 Tsd. €,SV Sandhausen,2018
