name,position,age,value,team,season
Marian Gbur,GK,30,-,SV Straelen,2014
Robin Schmidt,GK,24,-,SV Straelen,2014
Marcel Siepmann,GK,39,-,SV Straelen,2014
Joshua Holtschoppen,CB,18,-,SV Straelen,2014
Kamil Kuzniarz,CB,29,-,SV Straelen,2014
Lukas Sankowski,CB,21,-,SV Straelen,2014
Daniel Lukaschek,CB,22,-,SV Straelen,2014
Dennis Lüfkens,CB,32,-,SV Straelen,2014
Alexander Rasch,RB,20,-,SV Straelen,2014
Sebastian Clarke,CDM,30,50 Tsd. €,SV Straelen,2014
Baris Akbay,Midfielder,29,-,SV Straelen,2014
Daniel Hansen,Midfielder,-,-,SV Straelen,2014
Andreas Schulz,CDM,31,-,SV Straelen,2014
Dominik Idel,Midfielder,23,-,SV Straelen,2014
Sebastian Leurs,CDM,20,-,SV Straelen,2014
Andre Laarmanns,Midfielder,21,-,SV Straelen,2014
Lukas Nabbefeld,CDM,23,-,SV Straelen,2014
Timo Hoffstadt,CM,24,-,SV Straelen,2014
Patrick Znak,CM,-,-,SV Straelen,2014
Fabian Hermens,CM,21,-,SV Straelen,2014
Philipp Brouwers,RM,24,-,SV Straelen,2014
Anil Gülner,Second Striker,24,-,SV Straelen,2014
Sebastian Kaczmarek,Second Striker,23,-,SV Straelen,2014
Lukas Rix,Second Striker,19,-,SV Straelen,2014
Marcel Peters,ST,33,-,SV Straelen,2014
Cem Eren Kücükelci,ST,19,-,SV Straelen,2014
Hendrik Evers,ST,18,-,SV Straelen,2014
David Kalokoh,ST,26,-,SV Straelen,2014
Marian Gbur,GK,31,-,SV Straelen,2015
Thorben Gbur,GK,28,-,SV Straelen,2015
Robin Schmidt,GK,25,-,SV Straelen,2015
Marcel Siepmann,GK,40,-,SV Straelen,2015
Joshua Holtschoppen,CB,19,-,SV Straelen,2015
Philipp Cox,CB,21,-,SV Straelen,2015
Philipp Boddenberg,CB,19,-,SV Straelen,2015
Dennis Lüfkens,CB,33,-,SV Straelen,2015
Daniel Lukaschek,CB,23,-,SV Straelen,2015
Christian Schmitz,CB,19,-,SV Straelen,2015
Marcel Schütze,RB,27,-,SV Straelen,2015
