name,position,age,value,team,season
André Friedrichs,GK,43,-,SV Todesfelde,2014
Tjark Reimers,GK,21,-,SV Todesfelde,2014
Nico Jeschke,GK,22,-,SV Todesfelde,2014
Joshua du Preez,GK,22,-,SV Todesfelde,2014
Timo Holst,GK,30,-,SV Todesfelde,2014
Lennart Hein,CB,20,-,SV Todesfelde,2014
Lennard Koth-Rosbach,CB,23,-,SV Todesfelde,2014
Daniel Beyer,CB,23,-,SV Todesfelde,2014
Dominik Lembke,CB,30,-,SV Todesfelde,2014
Felix Daniel,LB,24,-,SV Todesfelde,2014
Felix Ferk,LB,19,-,SV Todesfelde,2014
Florian Petzold,RB,21,-,SV Todesfelde,2014
Sven Haldau,RB,29,-,SV Todesfelde,2014
Tahir Yavuz,CDM,32,-,SV Todesfelde,2014
Enzo Testa,CDM,26,-,SV Todesfelde,2014
Jorrit Bernoth,CDM,23,-,SV Todesfelde,2014
Daniel Schumacher,CDM,29,-,SV Todesfelde,2014
Sören Gelbrecht,CDM,25,-,SV Todesfelde,2014
Victor Fernandez,Midfielder,20,-,SV Todesfelde,2014
Martin Fröhlich,CDM,26,-,SV Todesfelde,2014
Luca Sixtus,CM,20,-,SV Todesfelde,2014
Bennet Möller,CM,19,-,SV Todesfelde,2014
Thomas Piper,RM,23,-,SV Todesfelde,2014
Maurice Uhlenbrock,RM,28,-,SV Todesfelde,2014
Sebastian Bruhn,CAM,23,-,SV Todesfelde,2014
Oliver Zebold,RW,29,-,SV Todesfelde,2014
René Lübcke,ST,30,-,SV Todesfelde,2014
Dennis Studt,ST,22,-,SV Todesfelde,2014
Morten Liebert,ST,22,-,SV Todesfelde,2014
Maximilian Kokot,ST,19,-,SV Todesfelde,2014
Kevin Schramm,ST,19,-,SV Todesfelde,2014
André Friedrichs,GK,44,-,SV Todesfelde,2015
Marc-Aaron Kassler,GK,21,-,SV Todesfelde,2015
Torben Krogmann,GK,21,-,SV Todesfelde,2015
Lukas Benner,GK,19,-,SV Todesfelde,2015
Danny Schramm,GK,27,-,SV Todesfelde,2015
Julian Holz,CB,22,-,SV Todesfelde,2015
David Senghore,CB,25,-,SV Todesfelde,2015
Dominik Lembke,CB,31,-,SV Todesfelde,2015
Lennard Koth-Rosbach,CB,24,-,SV Todesfelde,2015
Daniel Beyer,CB,24,-,SV Todesfelde,2015
Felix Daniel,LB,25,-,SV Todesfelde,2015
Felix Ferk,LB,20,-,SV Todesfelde,2015
Florian Petzold,RB,22,-,SV Todesfelde,2015
Yannick Chaumont,RB,20,-,SV Todesfelde,2015
Daniel Schumacher,CDM,30,-,SV Todesfelde,2015
Martin Fröhlich,CDM,27,-,SV Todesfelde,2015
Sören Gelbrecht,CDM,26,-,SV Todesfelde,2015
Dickson Dabla,CDM,21,-,SV Todesfelde,2015
Luca Sixtus,CM,21,-,SV Todesfelde,2015
Bennet Möller,CM,20,-,SV Todesfelde,2015
Thomas Piper,RM,24,-,SV Todesfelde,2015
Diego Gomez Abal,CAM,29,-,SV Todesfelde,2015
Sebastian Bruhn,CAM,24,-,SV Todesfelde,2015
Issam Khemiri,RW,24,-,SV Todesfelde,2015
Oliver Zebold,RW,30,-,SV Todesfelde,2015
René Lübcke,ST,31,-,SV Todesfelde,2015
Kevin Schramm,ST,20,-,SV Todesfelde,2015
Dennis Studt,ST,23,-,SV Todesfelde,2015
Morten Liebert,ST,23,-,SV Todesfelde,2015
Philipp Möller,ST,24,-,SV Todesfelde,2015
Lukas Benner,GK,20,25 Tsd. €,SV Todesfelde,2016
André Friedrichs,GK,45,-,SV Todesfelde,2016
René Melzer,GK,28,-,SV Todesfelde,2016
Fabian Landvoigt,GK,23,-,SV Todesfelde,2016
Torben Krogmann,GK,22,-,SV Todesfelde,2016
Tim-Marvin Meyer,GK,-,-,SV Todesfelde,2016
Danny Schramm,GK,28,-,SV Todesfelde,2016
Kai-Fabian Schulz,CB,27,-,SV Todesfelde,2016
Dominik Lembke,CB,32,-,SV Todesfelde,2016
Lennard Koth-Rosbach,CB,25,-,SV Todesfelde,2016
Daniel Beyer,CB,25,-,SV Todesfelde,2016
Felix Daniel,LB,26,-,SV Todesfelde,2016
Felix Ferk,LB,21,-,SV Todesfelde,2016
Florian Petzold,RB,23,-,SV Todesfelde,2016
Necati Agdan,RB,19,-,SV Todesfelde,2016
Yannick Chaumont,RB,21,-,SV Todesfelde,2016
Sönke Koth,Midfielder,-,-,SV Todesfelde,2016
Niklas Stehnck,CDM,19,-,SV Todesfelde,2016
Martin Fröhlich,CDM,28,-,SV Todesfelde,2016
Sören Gelbrecht,CDM,27,-,SV Todesfelde,2016
Bennet Möller,CM,21,-,SV Todesfelde,2016
Luca Sixtus,CM,22,-,SV Todesfelde,2016
Emanuel Bento,CAM,23,-,SV Todesfelde,2016
Hüseyin Bingöl,CAM,19,-,SV Todesfelde,2016
Sebastian Bruhn,CAM,25,-,SV Todesfelde,2016
Oliver Zebold,RW,31,-,SV Todesfelde,2016
Rafael Krause,ST,19,-,SV Todesfelde,2016
Dennis Studt,ST,24,-,SV Todesfelde,2016
Morten Liebert,ST,24,-,SV Todesfelde,2016
Christian Jaacks,ST,26,-,SV Todesfelde,2016
Philipp Möller,ST,25,-,SV Todesfelde,2016
Kevin Schramm,ST,21,-,SV Todesfelde,2016
Fabian Landvoigt,GK,24,-,SV Todesfelde,2017
Matthies Meyer,GK,19,-,SV Todesfelde,2017
Danny Schramm,GK,29,-,SV Todesfelde,2017
Jannik Broers,CB,25,-,SV Todesfelde,2017
Kai-Fabian Schulz,CB,28,-,SV Todesfelde,2017
Lennard Koth-Rosbach,CB,26,-,SV Todesfelde,2017
Daniel Beyer,CB,26,-,SV Todesfelde,2017
Cedric Szymczak,LB,20,-,SV Todesfelde,2017
Yannick Chaumont,RB,22,-,SV Todesfelde,2017
Kolja Bröker,CDM,21,-,SV Todesfelde,2017
Rico Grotherr,Midfielder,27,-,SV Todesfelde,2017
Sören Flemmer,Midfielder,23,-,SV Todesfelde,2017
Lasse Koth,CDM,19,-,SV Todesfelde,2017
Niklas Stehnck,CDM,20,-,SV Todesfelde,2017
Jan-Ole Urbanski,CDM,20,-,SV Todesfelde,2017
Sören Gelbrecht,CDM,28,-,SV Todesfelde,2017
Bennet Möller,CM,22,-,SV Todesfelde,2017
Luca Sixtus,CM,23,-,SV Todesfelde,2017
Eliakim Kukanda,LM,19,-,SV Todesfelde,2017
Emanuel Bento,CAM,24,-,SV Todesfelde,2017
Marwin Miljic,CAM,20,-,SV Todesfelde,2017
Sebastian Bruhn,CAM,26,-,SV Todesfelde,2017
Joscha Pardemann,RW,22,-,SV Todesfelde,2017
Oliver Zebold,RW,32,-,SV Todesfelde,2017
Rafael Krause,ST,20,-,SV Todesfelde,2017
Dennis Studt,ST,25,-,SV Todesfelde,2017
Morten Liebert,ST,25,-,SV Todesfelde,2017
Janick Loose,ST,20,-,SV Todesfelde,2017
Christian Jaacks,ST,27,-,SV Todesfelde,2017
Philipp Möller,ST,26,-,SV Todesfelde,2017
Kevin Schramm,ST,22,-,SV Todesfelde,2017
André Friedrichs,GK,47,-,SV Todesfelde,2018
Lukas Benner,GK,22,-,SV Todesfelde,2018
Matthies Meyer,GK,20,-,SV Todesfelde,2018
Fabian Landvoigt,GK,25,-,SV Todesfelde,2018
Kai-Fabian Schulz,CB,29,-,SV Todesfelde,2018
Johannes Willebrand,CB,21,-,SV Todesfelde,2018
Lennard Koth-Rosbach,CB,27,-,SV Todesfelde,2018
Daniel Beyer,CB,27,-,SV Todesfelde,2018
Cedric Szymczak,LB,21,-,SV Todesfelde,2018
Florian Petzold,RB,25,-,SV Todesfelde,2018
Yannick Chaumont,RB,23,-,SV Todesfelde,2018
Josef Jueidi,CDM,20,-,SV Todesfelde,2018
Niklas Stehnck,CDM,21,-,SV Todesfelde,2018
Jan-Ole Urbanski,CDM,21,-,SV Todesfelde,2018
Sören Gelbrecht,CDM,29,-,SV Todesfelde,2018
Luca Sixtus,CM,24,-,SV Todesfelde,2018
Eliakim Kukanda,LM,20,-,SV Todesfelde,2018
Emanuel Bento,CAM,25,-,SV Todesfelde,2018
Sebastian Bruhn,CAM,27,-,SV Todesfelde,2018
