name,position,age,value,team,season
Florian Wernet,GK,-,-,SV Waldkirch,2014
Lukas Lindl,GK,28,-,SV Waldkirch,2014
Andreas Stengel,GK,22,-,SV Waldkirch,2014
Normen Armbruster,CB,20,-,SV Waldkirch,2014
Thomas Eisenmann,CB,24,-,SV Waldkirch,2014
Patrick Beck,CB,30,-,SV Waldkirch,2014
Markus Müller,CB,20,-,SV Waldkirch,2014
Benedikt Dufner,CB,29,-,SV Waldkirch,2014
Raphael Klein,CB,24,-,SV Waldkirch,2014
Fabian Nopper,CB,25,-,SV Waldkirch,2014
Joel Schützler,Midfielder,27,-,SV Waldkirch,2014
Benny Fischer,Midfielder,-,-,SV Waldkirch,2014
Nico Öschger,Midfielder,21,-,SV Waldkirch,2014
Simon Becherer,Midfielder,25,-,SV Waldkirch,2014
Dennis Kaltenbach,Midfielder,21,-,SV Waldkirch,2014
Timmy Pfeiffer,Midfielder,26,-,SV Waldkirch,2014
Michael Tischer,Midfielder,21,-,SV Waldkirch,2014
Elias Fritz,Midfielder,25,-,SV Waldkirch,2014
Daniele Schützler,Midfielder,25,-,SV Waldkirch,2014
Jefferson Barbosa,Midfielder,32,-,SV Waldkirch,2014
Marcel Klüber,RW,24,-,SV Waldkirch,2014
Benjamin Pfahler,ST,31,-,SV Waldkirch,2014
Josef Tohmaz,ST,22,-,SV Waldkirch,2014
Ridje Sprich,ST,22,-,SV Waldkirch,2014
Gildas Asongwe,ST,23,-,SV Waldkirch,2014
Florian Wernet,GK,-,-,SV Waldkirch,2015
David Klätte,GK,19,-,SV Waldkirch,2015
Lukas Lindl,GK,29,-,SV Waldkirch,2015
Andreas Stengel,GK,23,-,SV Waldkirch,2015
Josip Andris,CB,19,-,SV Waldkirch,2015
Patrick Beck,CB,31,-,SV Waldkirch,2015
Jonas Cybulla,CB,23,-,SV Waldkirch,2015
Markus Müller,CB,21,-,SV Waldkirch,2015
Christian Kranich,CB,22,-,SV Waldkirch,2015
Benedikt Dufner,CB,30,-,SV Waldkirch,2015
Raphael Klein,CB,25,-,SV Waldkirch,2015
Simon Schultis,CB,19,-,SV Waldkirch,2015
Yannick Lawson,CB,20,-,SV Waldkirch,2015
Joel Schützler,Midfielder,28,-,SV Waldkirch,2015
Dennis Kaltenbach,Midfielder,22,-,SV Waldkirch,2015
Dominik Frassica,Midfielder,18,-,SV Waldkirch,2015
Mario Schmidt,Midfielder,-,-,SV Waldkirch,2015
Timo Müller,Midfielder,18,-,SV Waldkirch,2015
Manuel Dick,Midfielder,20,-,SV Waldkirch,2015
Michael Tischer,Midfielder,22,-,SV Waldkirch,2015
Kristian Disch,Midfielder,19,-,SV Waldkirch,2015
Elias Fritz,Midfielder,26,-,SV Waldkirch,2015
Djavid Karimi,Midfielder,19,-,SV Waldkirch,2015
Daniele Schützler,Midfielder,26,-,SV Waldkirch,2015
Jefferson Barbosa,Midfielder,33,-,SV Waldkirch,2015
Mario Kaltenmark,CM,21,-,SV Waldkirch,2015
Marcel Halfmann,LW,27,-,SV Waldkirch,2015
Marcel Klüber,RW,25,-,SV Waldkirch,2015
Benjamin Pfahler,ST,32,-,SV Waldkirch,2015
Cegreguyin Adanur,ST,22,-,SV Waldkirch,2015
Maxime Barudio,ST,21,-,SV Waldkirch,2015
Gildas Asongwe,ST,24,-,SV Waldkirch,2015
Jetmir Qorraj,ST,21,-,SV Waldkirch,2015
