name,position,age,value,team,season
Markus Kolke,GK,24,275 Tsd. €,SV Wehen Wiesbaden,2014
Florian Fromlowitz,GK,28,125 Tsd. €,SV Wehen Wiesbaden,2014
Niklas Reichel,GK,19,50 Tsd. €,SV Wehen Wiesbaden,2014
Raphael Laux,GK,24,50 Tsd. €,SV Wehen Wiesbaden,2014
Julian Grupp,CB,23,200 Tsd. €,SV Wehen Wiesbaden,2014
Thomas Geyer,CB,24,350 Tsd. €,SV Wehen Wiesbaden,2014
Jonas Acquistapace,CB,26,350 Tsd. €,SV Wehen Wiesbaden,2014
Nico Herzig,CB,31,300 Tsd. €,SV Wehen Wiesbaden,2014
Robert Müller,CB,28,300 Tsd. €,SV Wehen Wiesbaden,2014
Michael Wiemann,CB,28,300 Tsd. €,SV Wehen Wiesbaden,2014
Alexander Nandzik,LB,22,175 Tsd. €,SV Wehen Wiesbaden,2014
Maximilian Ahlschwede,RB,25,200 Tsd. €,SV Wehen Wiesbaden,2014
Joshua Iten,RB,20,-,SV Wehen Wiesbaden,2014
Patrick Funk,CDM,25,400 Tsd. €,SV Wehen Wiesbaden,2014
Sebastian Mrowca,CDM,21,325 Tsd. €,SV Wehen Wiesbaden,2014
Jonatan Kotzke,CDM,25,300 Tsd. €,SV Wehen Wiesbaden,2014
Daniel Wein,CDM,21,250 Tsd. €,SV Wehen Wiesbaden,2014
Kevin Schindler,CDM,27,250 Tsd. €,SV Wehen Wiesbaden,2014
David Blacha,CM,24,375 Tsd. €,SV Wehen Wiesbaden,2014
Alexander Riemann,CM,23,350 Tsd. €,SV Wehen Wiesbaden,2014
Nils-Ole Book,CM,29,300 Tsd. €,SV Wehen Wiesbaden,2014
Niklas Zeller,CM,20,50 Tsd. €,SV Wehen Wiesbaden,2014
Tobias Jänicke,RM,26,400 Tsd. €,SV Wehen Wiesbaden,2014
Alf Mintzel,LM,33,200 Tsd. €,SV Wehen Wiesbaden,2014
José-Pierre Vunguidica,LW,25,450 Tsd. €,SV Wehen Wiesbaden,2014
Marius Kleinsorge,RW,19,150 Tsd. €,SV Wehen Wiesbaden,2014
Soufian Benyamina,ST,25,300 Tsd. €,SV Wehen Wiesbaden,2014
Luca Schnellbacher,ST,21,250 Tsd. €,SV Wehen Wiesbaden,2014
Marco Königs,ST,25,200 Tsd. €,SV Wehen Wiesbaden,2014
Markus Kolke,GK,25,300 Tsd. €,SV Wehen Wiesbaden,2015
Maximilian Reule,GK,22,125 Tsd. €,SV Wehen Wiesbaden,2015
Niklas Reichel,GK,20,50 Tsd. €,SV Wehen Wiesbaden,2015
Kevin Pezzoni,CB,27,375 Tsd. €,SV Wehen Wiesbaden,2015
Thomas Geyer,CB,25,350 Tsd. €,SV Wehen Wiesbaden,2015
Jonas Acquistapace,CB,27,350 Tsd. €,SV Wehen Wiesbaden,2015
Niklas Dams,CB,26,325 Tsd. €,SV Wehen Wiesbaden,2015
Steven Ruprecht,CB,29,250 Tsd. €,SV Wehen Wiesbaden,2015
Fabian Franke,CB,27,225 Tsd. €,SV Wehen Wiesbaden,2015
Michael Vitzthum,CB,24,200 Tsd. €,SV Wehen Wiesbaden,2015
Patrick Funk,CDM,26,300 Tsd. €,SV Wehen Wiesbaden,2015
Sebastian Mrowca,CDM,22,300 Tsd. €,SV Wehen Wiesbaden,2015
Daniel Wein,CDM,22,250 Tsd. €,SV Wehen Wiesbaden,2015
Kevin Schindler,CDM,28,250 Tsd. €,SV Wehen Wiesbaden,2015
Sven Mende,CDM,22,200 Tsd. €,SV Wehen Wiesbaden,2015
Perric Afari,CDM,18,50 Tsd. €,SV Wehen Wiesbaden,2015
David Blacha,CM,25,300 Tsd. €,SV Wehen Wiesbaden,2015
Nils-Ole Book,CM,30,275 Tsd. €,SV Wehen Wiesbaden,2015
Marc Lorenz,LM,27,300 Tsd. €,SV Wehen Wiesbaden,2015
Alf Mintzel,LM,34,150 Tsd. €,SV Wehen Wiesbaden,2015
Timm Golley,CAM,25,300 Tsd. €,SV Wehen Wiesbaden,2015
Jaroslaw Lindner,LW,28,125 Tsd. €,SV Wehen Wiesbaden,2015
Marius Kleinsorge,RW,20,150 Tsd. €,SV Wehen Wiesbaden,2015
Torsten Oehrl,ST,30,400 Tsd. €,SV Wehen Wiesbaden,2015
Luca Schnellbacher,ST,22,325 Tsd. €,SV Wehen Wiesbaden,2015
Saër Sène,ST,29,250 Tsd. €,SV Wehen Wiesbaden,2015
Soufian Benyamina,ST,26,250 Tsd. €,SV Wehen Wiesbaden,2015
