name,position,age,value,team,season
Raphael Wolf,GK,27,"2,00 Mio. €",SV Werder Bremen,2014
Koen Casteels,GK,23,"1,50 Mio. €",SV Werder Bremen,2014
Richard Strebinger,GK,22,200 Tsd. €,SV Werder Bremen,2014
Raif Husic,GK,19,200 Tsd. €,SV Werder Bremen,2014
Michael Zetterer,GK,19,150 Tsd. €,SV Werder Bremen,2014
Alejandro Gálvez,CB,26,"3,50 Mio. €",SV Werder Bremen,2014
Santiago García,CB,26,"3,00 Mio. €",SV Werder Bremen,2014
Jannik Vestergaard,CB,22,"3,00 Mio. €",SV Werder Bremen,2014
Sebastian Prödl,CB,28,"3,00 Mio. €",SV Werder Bremen,2014
Luca Caldirola,CB,24,"2,00 Mio. €",SV Werder Bremen,2014
Assani Lukimya,CB,29,"1,25 Mio. €",SV Werder Bremen,2014
Oliver Hüsing,CB,22,250 Tsd. €,SV Werder Bremen,2014
Janek Sternberg,LB,22,500 Tsd. €,SV Werder Bremen,2014
Theodor Gebre Selassie,RB,28,"2,50 Mio. €",SV Werder Bremen,2014
Clemens Fritz,RB,34,750 Tsd. €,SV Werder Bremen,2014
Marnon Busch,RB,20,500 Tsd. €,SV Werder Bremen,2014
Luca Zander,RB,19,200 Tsd. €,SV Werder Bremen,2014
Philipp Bargfrede,CDM,26,"1,75 Mio. €",SV Werder Bremen,2014
Lukas Fröde,CDM,20,125 Tsd. €,SV Werder Bremen,2014
Zlatko Junuzovic,CM,27,"7,00 Mio. €",SV Werder Bremen,2014
Felix Kroos,CM,24,"2,00 Mio. €",SV Werder Bremen,2014
Cédric Makiadi,CM,31,"1,00 Mio. €",SV Werder Bremen,2014
Maximilian Eggestein,CM,18,250 Tsd. €,SV Werder Bremen,2014
Julian von Haacke,CM,21,200 Tsd. €,SV Werder Bremen,2014
Ludovic Obraniak,CAM,30,"2,00 Mio. €",SV Werder Bremen,2014
Levent Ayçiçek,CAM,21,"1,00 Mio. €",SV Werder Bremen,2014
Martin Kobylanski,CAM,21,600 Tsd. €,SV Werder Bremen,2014
Özkan Yıldırım,CAM,22,600 Tsd. €,SV Werder Bremen,2014
Eljero Elia,LW,28,"3,50 Mio. €",SV Werder Bremen,2014
Levin Öztunali,LW,19,"2,50 Mio. €",SV Werder Bremen,2014
Melvyn Lorenzen,LW,20,500 Tsd. €,SV Werder Bremen,2014
Izet Hajrovic,RW,23,"3,00 Mio. €",SV Werder Bremen,2014
Fin Bartels,RW,28,"2,75 Mio. €",SV Werder Bremen,2014
Franco Di Santo,ST,26,"7,50 Mio. €",SV Werder Bremen,2014
Davie Selke,ST,20,"5,00 Mio. €",SV Werder Bremen,2014
Nils Petersen,ST,26,"1,75 Mio. €",SV Werder Bremen,2014
Felix Wiedwald,GK,26,"2,50 Mio. €",SV Werder Bremen,2015
Raphael Wolf,GK,28,750 Tsd. €,SV Werder Bremen,2015
Gerhard Tremmel,GK,37,500 Tsd. €,SV Werder Bremen,2015
Michael Zetterer,GK,20,300 Tsd. €,SV Werder Bremen,2015
Eric Oelschlägel,GK,20,200 Tsd. €,SV Werder Bremen,2015
Jannik Vestergaard,CB,23,"7,00 Mio. €",SV Werder Bremen,2015
Papy Djilobodji,CB,27,"3,50 Mio. €",SV Werder Bremen,2015
Alejandro Gálvez,CB,27,"3,50 Mio. €",SV Werder Bremen,2015
Santiago García,CB,27,"3,00 Mio. €",SV Werder Bremen,2015
Assani Lukimya,CB,30,800 Tsd. €,SV Werder Bremen,2015
Milos Veljkovic,CB,20,500 Tsd. €,SV Werder Bremen,2015
Oliver Hüsing,CB,23,350 Tsd. €,SV Werder Bremen,2015
Mateo Pavlovic,CB,26,250 Tsd. €,SV Werder Bremen,2015
Ulisses Garcia,LB,20,"1,00 Mio. €",SV Werder Bremen,2015
