name,position,age,value,team,season
Andreas Sponsel,GK,29,100 Tsd. €,SpVgg Bayreuth,2014
Daniel Freiberger,GK,26,25 Tsd. €,SpVgg Bayreuth,2014
Erik Arkenberg,GK,24,25 Tsd. €,SpVgg Bayreuth,2014
Tobias Döcke,GK,24,-,SpVgg Bayreuth,2014
Michele Rinchiuso,CB,29,50 Tsd. €,SpVgg Bayreuth,2014
Mario Zitzmann,CB,24,50 Tsd. €,SpVgg Bayreuth,2014
Florian Ascherl,CB,33,50 Tsd. €,SpVgg Bayreuth,2014
Philipp Hannemann,CB,23,25 Tsd. €,SpVgg Bayreuth,2014
Miroljub Zivkovic,CB,21,25 Tsd. €,SpVgg Bayreuth,2014
Daniel Gareis,CB,29,-,SpVgg Bayreuth,2014
Brian Gallo,LB,20,50 Tsd. €,SpVgg Bayreuth,2014
Chris Wolf,RB,24,125 Tsd. €,SpVgg Bayreuth,2014
Bastian Horter,RB,22,25 Tsd. €,SpVgg Bayreuth,2014
Alexander Schreckinger,CDM,30,75 Tsd. €,SpVgg Bayreuth,2014
Matthias Heckenberger,CM,32,50 Tsd. €,SpVgg Bayreuth,2014
Kristian Böhnlein,CM,25,50 Tsd. €,SpVgg Bayreuth,2014
Michael Eckert,CM,25,25 Tsd. €,SpVgg Bayreuth,2014
Mikel Seiter,CM,18,-,SpVgg Bayreuth,2014
Felix Strößner,RM,18,-,SpVgg Bayreuth,2014
Marius Strangl,LM,24,125 Tsd. €,SpVgg Bayreuth,2014
Eduard Root,LM,23,50 Tsd. €,SpVgg Bayreuth,2014
Mino Kayser,LM,23,50 Tsd. €,SpVgg Bayreuth,2014
Simon Ruß,LM,20,25 Tsd. €,SpVgg Bayreuth,2014
Dominik Stolz,CAM,25,100 Tsd. €,SpVgg Bayreuth,2014
Timothy Nicolaus,CAM,25,25 Tsd. €,SpVgg Bayreuth,2014
Manuel Hiemer,CAM,30,-,SpVgg Bayreuth,2014
Stefan Kolb,ST,24,100 Tsd. €,SpVgg Bayreuth,2014
Tobias Ulbricht,ST,30,50 Tsd. €,SpVgg Bayreuth,2014
Perparim Gashi,ST,32,-,SpVgg Bayreuth,2014
Andreas Sponsel,GK,30,100 Tsd. €,SpVgg Bayreuth,2015
Daniel Freiberger,GK,27,25 Tsd. €,SpVgg Bayreuth,2015
Erik Arkenberg,GK,25,25 Tsd. €,SpVgg Bayreuth,2015
Michael Hofmann,GK,43,-,SpVgg Bayreuth,2015
Florian Veigl,GK,23,-,SpVgg Bayreuth,2015
Julian Pötzinger,CB,20,75 Tsd. €,SpVgg Bayreuth,2015
Florian Ascherl,CB,34,75 Tsd. €,SpVgg Bayreuth,2015
Daniel Gareis,CB,30,75 Tsd. €,SpVgg Bayreuth,2015
Mario Zitzmann,CB,25,50 Tsd. €,SpVgg Bayreuth,2015
Philipp Hannemann,CB,24,25 Tsd. €,SpVgg Bayreuth,2015
Florian Hoffmann,CB,20,25 Tsd. €,SpVgg Bayreuth,2015
Steffen Jainta,LB,23,75 Tsd. €,SpVgg Bayreuth,2015
Chris Wolf,RB,25,125 Tsd. €,SpVgg Bayreuth,2015
Bastian Horter,RB,23,50 Tsd. €,SpVgg Bayreuth,2015
Dominik Schmitt,CDM,24,75 Tsd. €,SpVgg Bayreuth,2015
Kristian Böhnlein,CM,26,75 Tsd. €,SpVgg Bayreuth,2015
Michael Eckert,CM,26,50 Tsd. €,SpVgg Bayreuth,2015
