name,position,age,value,team,season
Wolfgang Hesl,GK,29,"1,00 Mio. €",SpVgg Greuther Fürth,2014
Mark Flekken,GK,22,200 Tsd. €,SpVgg Greuther Fürth,2014
Tom Mickel,GK,26,200 Tsd. €,SpVgg Greuther Fürth,2014
Miro Varvodic,GK,26,150 Tsd. €,SpVgg Greuther Fürth,2014
Benedikt Röcker,CB,25,850 Tsd. €,SpVgg Greuther Fürth,2014
Marco Caligiuri,CB,31,800 Tsd. €,SpVgg Greuther Fürth,2014
Zsolt Korcsmár,CB,26,750 Tsd. €,SpVgg Greuther Fürth,2014
Stefan Thesker,CB,24,500 Tsd. €,SpVgg Greuther Fürth,2014
Florian Mohr,CB,30,500 Tsd. €,SpVgg Greuther Fürth,2014
Malcolm Cacutalua,CB,20,450 Tsd. €,SpVgg Greuther Fürth,2014
Thomas Kleine,CB,37,-,SpVgg Greuther Fürth,2014
Abdul Rahman Baba,LB,20,"5,00 Mio. €",SpVgg Greuther Fürth,2014
Guilherme,LB,25,"1,10 Mio. €",SpVgg Greuther Fürth,2014
Niko Gießelmann,LB,23,"1,00 Mio. €",SpVgg Greuther Fürth,2014
Ronny Philp,RB,26,400 Tsd. €,SpVgg Greuther Fürth,2014
Stephan Fürstner,CDM,27,"1,20 Mio. €",SpVgg Greuther Fürth,2014
Goran Sukalo,CDM,33,600 Tsd. €,SpVgg Greuther Fürth,2014
Dwayn Holter,CDM,20,200 Tsd. €,SpVgg Greuther Fürth,2014
Marco Rapp,CDM,24,75 Tsd. €,SpVgg Greuther Fürth,2014
Stephan Schröck,LM,28,800 Tsd. €,SpVgg Greuther Fürth,2014
George Davies,LM,18,175 Tsd. €,SpVgg Greuther Fürth,2014
Alexandros Kartalis,LM,20,100 Tsd. €,SpVgg Greuther Fürth,2014
Robert Zulj,CAM,23,"1,00 Mio. €",SpVgg Greuther Fürth,2014
Marco Stiepermann,CAM,24,"1,00 Mio. €",SpVgg Greuther Fürth,2014
Tom Weilandt,CAM,23,800 Tsd. €,SpVgg Greuther Fürth,2014
Thomas Pledl,CAM,21,800 Tsd. €,SpVgg Greuther Fürth,2014
Florian Trinks,CAM,23,700 Tsd. €,SpVgg Greuther Fürth,2014
Johannes Wurtz,CAM,23,600 Tsd. €,SpVgg Greuther Fürth,2014
Zhi Gin Lam,CAM,24,600 Tsd. €,SpVgg Greuther Fürth,2014
Muhammed Kayaroglu,CAM,19,100 Tsd. €,SpVgg Greuther Fürth,2014
Zlatko Tripic,LW,22,600 Tsd. €,SpVgg Greuther Fürth,2014
Marco Rojas,RW,23,"1,00 Mio. €",SpVgg Greuther Fürth,2014
Orkan Çınar,RW,19,150 Tsd. €,SpVgg Greuther Fürth,2014
Tim Bodenröder,Second Striker,19,-,SpVgg Greuther Fürth,2014
Ilir Azemi,ST,23,"1,50 Mio. €",SpVgg Greuther Fürth,2014
Kacper Przybylko,ST,22,800 Tsd. €,SpVgg Greuther Fürth,2014
Sebastian Freis,ST,30,600 Tsd. €,SpVgg Greuther Fürth,2014
Ognjen Mudrinski,ST,23,350 Tsd. €,SpVgg Greuther Fürth,2014
Jann George,ST,22,150 Tsd. €,SpVgg Greuther Fürth,2014
Stefan Maderer,ST,18,75 Tsd. €,SpVgg Greuther Fürth,2014
Sebastian Mielitz,GK,26,650 Tsd. €,SpVgg Greuther Fürth,2015
Leopold Zingerle,GK,22,200 Tsd. €,SpVgg Greuther Fürth,2015
Mark Flekken,GK,23,200 Tsd. €,SpVgg Greuther Fürth,2015
Bastian Lerch,GK,20,100 Tsd. €,SpVgg Greuther Fürth,2015
Marcel Franke,CB,23,800 Tsd. €,SpVgg Greuther Fürth,2015
Benedikt Röcker,CB,26,600 Tsd. €,SpVgg Greuther Fürth,2015
Marco Caligiuri,CB,32,600 Tsd. €,SpVgg Greuther Fürth,2015
Stefan Thesker,CB,25,300 Tsd. €,SpVgg Greuther Fürth,2015
Niko Gießelmann,LB,24,900 Tsd. €,SpVgg Greuther Fürth,2015
Ronny Marcos,LB,22,450 Tsd. €,SpVgg Greuther Fürth,2015
Dominik Schad,RB,19,100 Tsd. €,SpVgg Greuther Fürth,2015
Jürgen Gjasula,CDM,30,800 Tsd. €,SpVgg Greuther Fürth,2015
Andreas Hofmann,CDM,30,500 Tsd. €,SpVgg Greuther Fürth,2015
Maurice Hirsch,CDM,23,400 Tsd. €,SpVgg Greuther Fürth,2015
Goran Sukalo,CDM,34,350 Tsd. €,SpVgg Greuther Fürth,2015
Tom Trybull,CDM,23,200 Tsd. €,SpVgg Greuther Fürth,2015
Nicolai Rapp,CDM,19,150 Tsd. €,SpVgg Greuther Fürth,2015
Benedikt Kirsch,CM,20,75 Tsd. €,SpVgg Greuther Fürth,2015
Sebastian Heidinger,RM,30,250 Tsd. €,SpVgg Greuther Fürth,2015
Stephan Schröck,LM,29,700 Tsd. €,SpVgg Greuther Fürth,2015
George Davies,LM,19,175 Tsd. €,SpVgg Greuther Fürth,2015
Marco Stiepermann,CAM,25,850 Tsd. €,SpVgg Greuther Fürth,2015
Robert Zulj,CAM,24,800 Tsd. €,SpVgg Greuther Fürth,2015
Tom Weilandt,CAM,24,700 Tsd. €,SpVgg Greuther Fürth,2015
Johannes Wurtz,CAM,24,450 Tsd. €,SpVgg Greuther Fürth,2015
Zhi Gin Lam,CAM,25,450 Tsd. €,SpVgg Greuther Fürth,2015
Florian Trinks,CAM,24,250 Tsd. €,SpVgg Greuther Fürth,2015
Roberto Rodriguez,LW,25,500 Tsd. €,SpVgg Greuther Fürth,2015
Zlatko Tripic,LW,23,500 Tsd. €,SpVgg Greuther Fürth,2015
Tim Bodenröder,Second Striker,20,100 Tsd. €,SpVgg Greuther Fürth,2015
Veton Berisha,ST,22,800 Tsd. €,SpVgg Greuther Fürth,2015
Ante Vukusic,ST,25,700 Tsd. €,SpVgg Greuther Fürth,2015
Sebastian Freis,ST,31,500 Tsd. €,SpVgg Greuther Fürth,2015
Domi Kumbela,ST,32,450 Tsd. €,SpVgg Greuther Fürth,2015
