name,position,age,value,team,season
Michael Zetterer,GK,19,150 Tsd. €,SpVgg Unterhaching,2014
Stefan Marinovic,GK,23,150 Tsd. €,SpVgg Unterhaching,2014
Felix Ruml,GK,22,100 Tsd. €,SpVgg Unterhaching,2014
Yannik Oettl,GK,18,-,SpVgg Unterhaching,2014
Mario Erb,CB,25,350 Tsd. €,SpVgg Unterhaching,2014
Jan Koch,CB,19,250 Tsd. €,SpVgg Unterhaching,2014
Jonas Hummels,CB,24,150 Tsd. €,SpVgg Unterhaching,2014
Sascha Herröder,CB,27,150 Tsd. €,SpVgg Unterhaching,2014
Josef Welzmüller,CB,25,125 Tsd. €,SpVgg Unterhaching,2014
Andreas Volk,CB,18,-,SpVgg Unterhaching,2014
Marco Rosenzweig,CB,19,-,SpVgg Unterhaching,2014
Stephan Gnadl,CB,20,-,SpVgg Unterhaching,2014
Benjamin Schwarz,LB,28,300 Tsd. €,SpVgg Unterhaching,2014
Thomas Hagn,LB,20,250 Tsd. €,SpVgg Unterhaching,2014
Fabian Götze,LB,25,225 Tsd. €,SpVgg Unterhaching,2014
Markus Schwabl,RB,24,250 Tsd. €,SpVgg Unterhaching,2014
Florian Bichler,RB,23,150 Tsd. €,SpVgg Unterhaching,2014
Danilo Dittrich,CDM,20,250 Tsd. €,SpVgg Unterhaching,2014
Yannic Thiel,CDM,25,225 Tsd. €,SpVgg Unterhaching,2014
Stefan Haas,CDM,21,100 Tsd. €,SpVgg Unterhaching,2014
Damian Gaska,CDM,18,75 Tsd. €,SpVgg Unterhaching,2014
Eric Lickert,CDM,19,50 Tsd. €,SpVgg Unterhaching,2014
Lucas Hufnagel,CM,21,225 Tsd. €,SpVgg Unterhaching,2014
Simon Kranitz,CM,19,150 Tsd. €,SpVgg Unterhaching,2014
Tobias Killer,CM,21,75 Tsd. €,SpVgg Unterhaching,2014
Andreas Markmüller,CM,19,50 Tsd. €,SpVgg Unterhaching,2014
Alon Abelski,CAM,26,275 Tsd. €,SpVgg Unterhaching,2014
Sascha Bigalke,CAM,25,250 Tsd. €,SpVgg Unterhaching,2014
Kenny-Prince Redondo,LW,20,200 Tsd. €,SpVgg Unterhaching,2014
Timo Wehrle,LW,19,50 Tsd. €,SpVgg Unterhaching,2014
Dominik Widemann,RW,18,225 Tsd. €,SpVgg Unterhaching,2014
Michael Krabler,RW,18,-,SpVgg Unterhaching,2014
Andreas Voglsammer,ST,23,400 Tsd. €,SpVgg Unterhaching,2014
Pascal Köpke,ST,19,350 Tsd. €,SpVgg Unterhaching,2014
Marius Duhnke,ST,21,150 Tsd. €,SpVgg Unterhaching,2014
Jimmy Marton,ST,19,125 Tsd. €,SpVgg Unterhaching,2014
Simon Ollert,ST,18,75 Tsd. €,SpVgg Unterhaching,2014
Stefan Marinovic,GK,24,150 Tsd. €,SpVgg Unterhaching,2015
Sebastian Wolf,GK,23,50 Tsd. €,SpVgg Unterhaching,2015
