name,position,age,value,team,season
Benedikt Fernandez,GK,30,200 Tsd. €,Sportfreunde Lotte,2014
Yannik Dauth,GK,22,75 Tsd. €,Sportfreunde Lotte,2014
Fabian Otte,GK,24,-,Sportfreunde Lotte,2014
Gerrit Nauber,CB,23,200 Tsd. €,Sportfreunde Lotte,2014
Mark Zeh,CB,31,125 Tsd. €,Sportfreunde Lotte,2014
Tobias Holm,CB,26,75 Tsd. €,Sportfreunde Lotte,2014
Matthias Rahn,CB,25,75 Tsd. €,Sportfreunde Lotte,2014
Moritz Heyer,CB,20,50 Tsd. €,Sportfreunde Lotte,2014
Jeron Al-Hazaimeh,LB,23,150 Tsd. €,Sportfreunde Lotte,2014
Marco Hansmann,LB,27,125 Tsd. €,Sportfreunde Lotte,2014
Alexander Langlitz,RB,24,125 Tsd. €,Sportfreunde Lotte,2014
Tim Wendel-Eichholz,CDM,26,150 Tsd. €,Sportfreunde Lotte,2014
Tim Gorschlüter,CDM,31,125 Tsd. €,Sportfreunde Lotte,2014
Sandro Heskamp,CDM,21,25 Tsd. €,Sportfreunde Lotte,2014
Kevin Rodrigues-Pires,CM,23,100 Tsd. €,Sportfreunde Lotte,2014
Dennis Brock,CM,20,50 Tsd. €,Sportfreunde Lotte,2014
Henning Grieneisen,LM,30,100 Tsd. €,Sportfreunde Lotte,2014
Steven Bentka,LM,21,50 Tsd. €,Sportfreunde Lotte,2014
Pascal Schmidt,CAM,23,75 Tsd. €,Sportfreunde Lotte,2014
Deniz Cicek,CAM,22,50 Tsd. €,Sportfreunde Lotte,2014
Stipe Batarilo,LW,21,50 Tsd. €,Sportfreunde Lotte,2014
Dominic Schmidt,LW,20,25 Tsd. €,Sportfreunde Lotte,2014
Nico Granatowski,RW,24,100 Tsd. €,Sportfreunde Lotte,2014
Philip Semlits,RW,24,75 Tsd. €,Sportfreunde Lotte,2014
Bernd Rosinger,ST,25,150 Tsd. €,Sportfreunde Lotte,2014
Jesse Weißenfels,ST,23,125 Tsd. €,Sportfreunde Lotte,2014
Mazan Moslehe,ST,25,75 Tsd. €,Sportfreunde Lotte,2014
Benedikt Koep,ST,27,75 Tsd. €,Sportfreunde Lotte,2014
Benedikt Fernandez,GK,31,200 Tsd. €,Sportfreunde Lotte,2015
Dominik Bergdorf,GK,23,75 Tsd. €,Sportfreunde Lotte,2015
Ramón Heinze,GK,21,25 Tsd. €,Sportfreunde Lotte,2015
Bastian Görrissen,GK,32,-,Sportfreunde Lotte,2015
Gerrit Nauber,CB,24,200 Tsd. €,Sportfreunde Lotte,2015
Matthias Rahn,CB,26,150 Tsd. €,Sportfreunde Lotte,2015
Moritz Heyer,CB,21,75 Tsd. €,Sportfreunde Lotte,2015
Jeron Al-Hazaimeh,LB,24,175 Tsd. €,Sportfreunde Lotte,2015
Felix Frank,LB,24,75 Tsd. €,Sportfreunde Lotte,2015
Daniel Latkowski,LB,24,75 Tsd. €,Sportfreunde Lotte,2015
Alexander Langlitz,RB,25,150 Tsd. €,Sportfreunde Lotte,2015
Nico Neidhart,RB,21,75 Tsd. €,Sportfreunde Lotte,2015
Tim Wendel-Eichholz,CDM,27,175 Tsd. €,Sportfreunde Lotte,2015
Tim Gorschlüter,CDM,32,100 Tsd. €,Sportfreunde Lotte,2015
Felix Sydikum,Midfielder,21,-,Sportfreunde Lotte,2015
André Dej,CM,24,150 Tsd. €,Sportfreunde Lotte,2015
Kevin Rodrigues-Pires,CM,24,150 Tsd. €,Sportfreunde Lotte,2015
Dennis Brock,CM,21,50 Tsd. €,Sportfreunde Lotte,2015
Benjamin Siegert,RM,34,100 Tsd. €,Sportfreunde Lotte,2015
Alexander Hettich,CAM,28,150 Tsd. €,Sportfreunde Lotte,2015
Luka Tankulic,CAM,25,100 Tsd. €,Sportfreunde Lotte,2015
Pascal Schmidt,CAM,24,-,Sportfreunde Lotte,2015
Semih Daglar,LW,23,75 Tsd. €,Sportfreunde Lotte,2015
Kevin Freiberger,RW,27,150 Tsd. €,Sportfreunde Lotte,2015
Nico Granatowski,RW,25,75 Tsd. €,Sportfreunde Lotte,2015
Bernd Rosinger,ST,26,150 Tsd. €,Sportfreunde Lotte,2015
Benedikt Fernandez,GK,32,200 Tsd. €,Sportfreunde Lotte,2016
Yannick Zummack,GK,21,100 Tsd. €,Sportfreunde Lotte,2016
David Buchholz,GK,32,50 Tsd. €,Sportfreunde Lotte,2016
Gerrit Nauber,CB,25,400 Tsd. €,Sportfreunde Lotte,2016
Moritz Heyer,CB,22,250 Tsd. €,Sportfreunde Lotte,2016
Matthias Rahn,CB,27,225 Tsd. €,Sportfreunde Lotte,2016
Tobias Haitz,CB,25,125 Tsd. €,Sportfreunde Lotte,2016
Phillipp Steinhart,LB,24,225 Tsd. €,Sportfreunde Lotte,2016
Nico Neidhart,RB,22,250 Tsd. €,Sportfreunde Lotte,2016
Alexander Langlitz,RB,26,225 Tsd. €,Sportfreunde Lotte,2016
Dennis Engel,RB,21,75 Tsd. €,Sportfreunde Lotte,2016
Tim Wendel-Eichholz,CDM,28,225 Tsd. €,Sportfreunde Lotte,2016
Marcel Kaffenberger,CDM,23,125 Tsd. €,Sportfreunde Lotte,2016
Tim Gorschlüter,CDM,33,100 Tsd. €,Sportfreunde Lotte,2016
André Dej,CM,25,350 Tsd. €,Sportfreunde Lotte,2016
Kevin Rodrigues-Pires,CM,25,275 Tsd. €,Sportfreunde Lotte,2016
Dennis Brock,CM,22,125 Tsd. €,Sportfreunde Lotte,2016
Luka Tankulic,CAM,26,150 Tsd. €,Sportfreunde Lotte,2016
Alexander Hettich,CAM,29,75 Tsd. €,Sportfreunde Lotte,2016
Jaroslaw Lindner,LW,29,200 Tsd. €,Sportfreunde Lotte,2016
Patrick Schikowski,LW,25,100 Tsd. €,Sportfreunde Lotte,2016
Semih Daglar,LW,24,-,Sportfreunde Lotte,2016
Kevin Freiberger,RW,28,250 Tsd. €,Sportfreunde Lotte,2016
Nico Granatowski,RW,26,150 Tsd. €,Sportfreunde Lotte,2016
Saliou Sané,ST,24,200 Tsd. €,Sportfreunde Lotte,2016
Bernd Rosinger,ST,27,200 Tsd. €,Sportfreunde Lotte,2016
Benedikt Fernandez,GK,33,150 Tsd. €,Sportfreunde Lotte,2017
David Buchholz,GK,33,75 Tsd. €,Sportfreunde Lotte,2017
Yannick Zummack,GK,22,50 Tsd. €,Sportfreunde Lotte,2017
Moritz Heyer,CB,23,300 Tsd. €,Sportfreunde Lotte,2017
Adam Straith,CB,27,300 Tsd. €,Sportfreunde Lotte,2017
Jonas Acquistapace,CB,29,250 Tsd. €,Sportfreunde Lotte,2017
Maximilian Rossmann,CB,23,225 Tsd. €,Sportfreunde Lotte,2017
Matthias Rahn,CB,28,200 Tsd. €,Sportfreunde Lotte,2017
Michael Hohnstedt,CB,30,125 Tsd. €,Sportfreunde Lotte,2017
Tobias Haitz,CB,26,75 Tsd. €,Sportfreunde Lotte,2017
Nico Neidhart,RB,23,250 Tsd. €,Sportfreunde Lotte,2017
Michael Schulze,RB,29,200 Tsd. €,Sportfreunde Lotte,2017
Alexander Langlitz,RB,27,200 Tsd. €,Sportfreunde Lotte,2017
Tim Wendel-Eichholz,CDM,29,200 Tsd. €,Sportfreunde Lotte,2017
Joshua Putze,CDM,23,200 Tsd. €,Sportfreunde Lotte,2017
Tim Gorschlüter,CDM,34,50 Tsd. €,Sportfreunde Lotte,2017
Zidane Atalan,CDM,19,50 Tsd. €,Sportfreunde Lotte,2017
André Dej,CM,26,350 Tsd. €,Sportfreunde Lotte,2017
Kevin Rodrigues-Pires,CM,26,250 Tsd. €,Sportfreunde Lotte,2017
Marco Hober,CM,22,125 Tsd. €,Sportfreunde Lotte,2017
Dennis Brock,CM,23,75 Tsd. €,Sportfreunde Lotte,2017
Maximilian Oesterhelweg,CAM,27,275 Tsd. €,Sportfreunde Lotte,2017
Marcus Piossek,CAM,28,250 Tsd. €,Sportfreunde Lotte,2017
Luka Tankulic,CAM,27,225 Tsd. €,Sportfreunde Lotte,2017
Jaroslaw Lindner,LW,30,200 Tsd. €,Sportfreunde Lotte,2017
Kevin Freiberger,RW,29,200 Tsd. €,Sportfreunde Lotte,2017
Hamadi Al-Ghaddioui,ST,27,350 Tsd. €,Sportfreunde Lotte,2017
Bernd Rosinger,ST,28,150 Tsd. €,Sportfreunde Lotte,2017
Max Wegner,ST,29,150 Tsd. €,Sportfreunde Lotte,2017
Mats Facklam,ST,21,100 Tsd. €,Sportfreunde Lotte,2017
Steve Kroll,GK,22,200 Tsd. €,Sportfreunde Lotte,2018
Tobias Trautner,GK,24,75 Tsd. €,Sportfreunde Lotte,2018
Norman Quindt,GK,22,75 Tsd. €,Sportfreunde Lotte,2018
Adam Straith,CB,28,300 Tsd. €,Sportfreunde Lotte,2018
