name,position,age,value,team,season
Dominik Poremba,GK,28,100 Tsd. €,Sportfreunde Siegen,2014
Daniel Duschner,GK,20,25 Tsd. €,Sportfreunde Siegen,2014
Christoph Thies,GK,18,25 Tsd. €,Sportfreunde Siegen,2014
Lukas Freidhof,GK,19,-,Sportfreunde Siegen,2014
Mark Zeh,CB,31,125 Tsd. €,Sportfreunde Siegen,2014
Christopher Schadeberg,CB,24,75 Tsd. €,Sportfreunde Siegen,2014
Ricardo Retterath,CB,23,75 Tsd. €,Sportfreunde Siegen,2014
Til Bauman,CB,20,50 Tsd. €,Sportfreunde Siegen,2014
Charlie Butte,CB,23,25 Tsd. €,Sportfreunde Siegen,2014
Philipp Frisch,LB,23,50 Tsd. €,Sportfreunde Siegen,2014
Walid Sekkour,LB,21,25 Tsd. €,Sportfreunde Siegen,2014
Serkan Dalman,RB,28,125 Tsd. €,Sportfreunde Siegen,2014
Evangelos Papaefthymiou,RB,24,25 Tsd. €,Sportfreunde Siegen,2014
Ryo Kato,RB,23,25 Tsd. €,Sportfreunde Siegen,2014
Abdullah Keseroglu,CDM,27,75 Tsd. €,Sportfreunde Siegen,2014
Yannick Geisler,CDM,20,75 Tsd. €,Sportfreunde Siegen,2014
Mirson Volina,CM,25,100 Tsd. €,Sportfreunde Siegen,2014
Daniel Micunovic,CM,20,25 Tsd. €,Sportfreunde Siegen,2014
Manuel Glowacz,RM,27,75 Tsd. €,Sportfreunde Siegen,2014
Haluk Arslan,LM,20,25 Tsd. €,Sportfreunde Siegen,2014
Sven König,LM,19,25 Tsd. €,Sportfreunde Siegen,2014
Ali Ibrahimaj,CAM,23,100 Tsd. €,Sportfreunde Siegen,2014
Konstantin Möllering,CAM,25,75 Tsd. €,Sportfreunde Siegen,2014
Mathias Hartwig,CAM,21,50 Tsd. €,Sportfreunde Siegen,2014
Marvin Helm,LW,20,-,Sportfreunde Siegen,2014
Malte Nieweler,Second Striker,21,50 Tsd. €,Sportfreunde Siegen,2014
Markus Hayer,ST,29,75 Tsd. €,Sportfreunde Siegen,2014
Zouhair Bouadoud,ST,28,75 Tsd. €,Sportfreunde Siegen,2014
Julian Quaas,ST,21,25 Tsd. €,Sportfreunde Siegen,2014
Ardian Kameraj,ST,22,25 Tsd. €,Sportfreunde Siegen,2014
Dominik Poremba,GK,29,-,Sportfreunde Siegen,2015
Daniel Duschner,GK,21,-,Sportfreunde Siegen,2015
Christoph Thies,GK,19,-,Sportfreunde Siegen,2015
Lasse Strotmann,CB,20,-,Sportfreunde Siegen,2015
Marco Komenda,CB,19,100 Tsd. €,Sportfreunde Siegen,2015
Til Bauman,CB,21,-,Sportfreunde Siegen,2015
Mark Zeh,CB,32,-,Sportfreunde Siegen,2015
Marco Rente,CB,19,-,Sportfreunde Siegen,2015
Markus Haberkorn,CB,20,-,Sportfreunde Siegen,2015
Philipp Frisch,LB,24,-,Sportfreunde Siegen,2015
Amir Tahiri,LB,22,-,Sportfreunde Siegen,2015
Marco Beier,RB,21,-,Sportfreunde Siegen,2015
