name,position,age,value,team,season
Korbinian Müller,GK,24,250 Tsd. €,Stuttgarter Kickers,2014
Mark-Patrick Redl,GK,22,150 Tsd. €,Stuttgarter Kickers,2014
Tobias Trautner,GK,20,50 Tsd. €,Stuttgarter Kickers,2014
Sandrino Braun-Schumacher,CB,26,325 Tsd. €,Stuttgarter Kickers,2014
Marc Stein,CB,29,300 Tsd. €,Stuttgarter Kickers,2014
Hendrik Starostzik,CB,24,200 Tsd. €,Stuttgarter Kickers,2014
Maximilian Hoffmann,CB,22,50 Tsd. €,Stuttgarter Kickers,2014
Fabian Baumgärtel,LB,25,300 Tsd. €,Stuttgarter Kickers,2014
Athanasios Raptis,LB,20,-,Stuttgarter Kickers,2014
Fabio Leutenecker,RB,25,325 Tsd. €,Stuttgarter Kickers,2014
Fabian Gerster,RB,28,200 Tsd. €,Stuttgarter Kickers,2014
Royal-Dominique Fennell,CDM,26,250 Tsd. €,Stuttgarter Kickers,2014
Marco Gaiser,CDM,22,150 Tsd. €,Stuttgarter Kickers,2014
Vincenzo Marchese,CM,32,200 Tsd. €,Stuttgarter Kickers,2014
Bentley Baxter Bahn,CM,22,175 Tsd. €,Stuttgarter Kickers,2014
Daniel Kaiser,CM,24,100 Tsd. €,Stuttgarter Kickers,2014
Besar Halimi,CAM,20,500 Tsd. €,Stuttgarter Kickers,2014
Gerrit Müller,CAM,31,200 Tsd. €,Stuttgarter Kickers,2014
Umberto Tedesco,CAM,23,100 Tsd. €,Stuttgarter Kickers,2014
Marco Calamita,LW,32,150 Tsd. €,Stuttgarter Kickers,2014
Andreas Ivan,LW,20,125 Tsd. €,Stuttgarter Kickers,2014
Randy Edwini-Bonsu,RW,25,250 Tsd. €,Stuttgarter Kickers,2014
Lhadji Badiane,RW,28,200 Tsd. €,Stuttgarter Kickers,2014
Amar Cekic,RW,22,50 Tsd. €,Stuttgarter Kickers,2014
Daniel Lang,Second Striker,23,-,Stuttgarter Kickers,2014
Elia Soriano,ST,26,375 Tsd. €,Stuttgarter Kickers,2014
Manuel Fischer,ST,25,200 Tsd. €,Stuttgarter Kickers,2014
