name,position,age,value,team,season
Oliver Baumann,GK,25,"8,00 Mio. €",TSG 1899 Hoffenheim,2014
Jens Grahl,GK,26,750 Tsd. €,TSG 1899 Hoffenheim,2014
Marvin Schwäbe,GK,20,200 Tsd. €,TSG 1899 Hoffenheim,2014
Alexander Stolz,GK,31,100 Tsd. €,TSG 1899 Hoffenheim,2014
Niklas Süle,CB,19,"5,50 Mio. €",TSG 1899 Hoffenheim,2014
Ermin Bicakcic,CB,25,"3,50 Mio. €",TSG 1899 Hoffenheim,2014
Jannik Vestergaard,CB,22,"3,00 Mio. €",TSG 1899 Hoffenheim,2014
David Abraham,CB,28,"2,00 Mio. €",TSG 1899 Hoffenheim,2014
Kevin Akpoguma,CB,20,600 Tsd. €,TSG 1899 Hoffenheim,2014
Jin-su Kim,LB,23,"2,50 Mio. €",TSG 1899 Hoffenheim,2014
Andreas Beck,RB,28,"4,00 Mio. €",TSG 1899 Hoffenheim,2014
Jeremy Toljan,RB,20,800 Tsd. €,TSG 1899 Hoffenheim,2014
Pirmin Schwegler,CDM,28,"5,50 Mio. €",TSG 1899 Hoffenheim,2014
Sebastian Rudy,CDM,25,"5,00 Mio. €",TSG 1899 Hoffenheim,2014
Eugen Polanski,CDM,29,"4,50 Mio. €",TSG 1899 Hoffenheim,2014
Tobias Strobl,CDM,25,"3,00 Mio. €",TSG 1899 Hoffenheim,2014
Nicolai Rapp,CDM,18,150 Tsd. €,TSG 1899 Hoffenheim,2014
Sejad Salihovic,CM,30,"3,50 Mio. €",TSG 1899 Hoffenheim,2014
Janik Haberer,CM,21,500 Tsd. €,TSG 1899 Hoffenheim,2014
Nadiem Amiri,CM,18,350 Tsd. €,TSG 1899 Hoffenheim,2014
Grischa Prömel,CM,20,75 Tsd. €,TSG 1899 Hoffenheim,2014
Steven Zuber,CAM,23,"3,00 Mio. €",TSG 1899 Hoffenheim,2014
Jiloan Hamad,CAM,24,"1,00 Mio. €",TSG 1899 Hoffenheim,2014
Kai Herdling,LW,31,750 Tsd. €,TSG 1899 Hoffenheim,2014
Roberto Firmino,ST,23,"25,00 Mio. €",TSG 1899 Hoffenheim,2014
Kevin Volland,ST,22,"20,00 Mio. €",TSG 1899 Hoffenheim,2014
Ádám Szalai,ST,27,"6,00 Mio. €",TSG 1899 Hoffenheim,2014
Anthony Modeste,ST,27,"5,50 Mio. €",TSG 1899 Hoffenheim,2014
Tarik Elyounoussi,ST,27,"4,50 Mio. €",TSG 1899 Hoffenheim,2014
Sven Schipplock,ST,26,"2,50 Mio. €",TSG 1899 Hoffenheim,2014
Oliver Baumann,GK,26,"5,50 Mio. €",TSG 1899 Hoffenheim,2015
Jens Grahl,GK,27,750 Tsd. €,TSG 1899 Hoffenheim,2015
Alexander Stolz,GK,32,100 Tsd. €,TSG 1899 Hoffenheim,2015
Niklas Süle,CB,20,"10,00 Mio. €",TSG 1899 Hoffenheim,2015
Fabian Schär,CB,24,"4,00 Mio. €",TSG 1899 Hoffenheim,2015
Ermin Bicakcic,CB,26,"3,00 Mio. €",TSG 1899 Hoffenheim,2015
Benedikt Gimber,CB,19,250 Tsd. €,TSG 1899 Hoffenheim,2015
Jin-su Kim,LB,24,"2,00 Mio. €",TSG 1899 Hoffenheim,2015
Pavel Kaderabek,RB,24,"3,50 Mio. €",TSG 1899 Hoffenheim,2015
Jeremy Toljan,RB,21,"1,50 Mio. €",TSG 1899 Hoffenheim,2015
Sebastian Rudy,CDM,26,"4,00 Mio. €",TSG 1899 Hoffenheim,2015
Eugen Polanski,CDM,30,"3,50 Mio. €",TSG 1899 Hoffenheim,2015
Pirmin Schwegler,CDM,29,"3,00 Mio. €",TSG 1899 Hoffenheim,2015
Tobias Strobl,CDM,26,"2,00 Mio. €",TSG 1899 Hoffenheim,2015
Nadiem Amiri,CM,19,"1,50 Mio. €",TSG 1899 Hoffenheim,2015
Joelinton,CM,19,"1,25 Mio. €",TSG 1899 Hoffenheim,2015
Russell Canouse,CM,21,75 Tsd. €,TSG 1899 Hoffenheim,2015
Jonathan Schmid,RM,26,"3,50 Mio. €",TSG 1899 Hoffenheim,2015
Andrej Kramaric,CAM,25,"7,50 Mio. €",TSG 1899 Hoffenheim,2015
Steven Zuber,CAM,24,"2,00 Mio. €",TSG 1899 Hoffenheim,2015
Jiloan Hamad,CAM,25,750 Tsd. €,TSG 1899 Hoffenheim,2015
Philipp Ochs,LW,19,750 Tsd. €,TSG 1899 Hoffenheim,2015
Kai Herdling,LW,32,400 Tsd. €,TSG 1899 Hoffenheim,2015
Baris Atik,LW,21,125 Tsd. €,TSG 1899 Hoffenheim,2015
Kevin Volland,ST,23,"17,00 Mio. €",TSG 1899 Hoffenheim,2015
Eduardo Vargas,ST,26,"5,50 Mio. €",TSG 1899 Hoffenheim,2015
Tarik Elyounoussi,ST,28,"2,00 Mio. €",TSG 1899 Hoffenheim,2015
Mark Uth,ST,24,"2,00 Mio. €",TSG 1899 Hoffenheim,2015
Ádám Szalai,ST,28,"1,50 Mio. €",TSG 1899 Hoffenheim,2015
Kevin Kuranyi,ST,34,"1,25 Mio. €",TSG 1899 Hoffenheim,2015
Oliver Baumann,GK,27,"7,00 Mio. €",TSG 1899 Hoffenheim,2016
Gregor Kobel,GK,19,400 Tsd. €,TSG 1899 Hoffenheim,2016
Alexander Stolz,GK,33,100 Tsd. €,TSG 1899 Hoffenheim,2016
Niklas Süle,CB,21,"25,00 Mio. €",TSG 1899 Hoffenheim,2016
