name,position,age,value,team,season
Kevin Kraus,GK,25,-,TSG Balingen,2014
Julian Hauser,GK,25,-,TSG Balingen,2014
Marcel Binanzer,GK,23,-,TSG Balingen,2014
Oliver Grathwol,CB,20,-,TSG Balingen,2014
Andrej Schlecht,CB,20,-,TSG Balingen,2014
Pirmin Glück,CB,22,-,TSG Balingen,2014
Marius Oberle,CB,20,-,TSG Balingen,2014
Fabian Fecker,CB,25,-,TSG Balingen,2014
Kai Mundt,CB,22,-,TSG Balingen,2014
Manuel Pflumm,CB,29,-,TSG Balingen,2014
Adrian Müller,LB,19,-,TSG Balingen,2014
Fabian Kurth,RB,25,-,TSG Balingen,2014
Sascha Eisele,RB,20,-,TSG Balingen,2014
Olcay Akkaya,CDM,22,-,TSG Balingen,2014
Domenico Mosca,Midfielder,20,-,TSG Balingen,2014
Jörg Schreyeck,CM,30,-,TSG Balingen,2014
Lukas Foelsch,CM,27,-,TSG Balingen,2014
Kevin Keller,RM,23,-,TSG Balingen,2014
Marc Wissmann,RM,24,-,TSG Balingen,2014
Jacob Ammann,LM,23,-,TSG Balingen,2014
Jan Dehner,LM,26,-,TSG Balingen,2014
Clayton Jonathan Zwetsch,CAM,29,-,TSG Balingen,2014
Ismail Oguz,CAM,21,-,TSG Balingen,2014
Nils Schuon,CAM,23,-,TSG Balingen,2014
Kaan Akkaya,CAM,20,-,TSG Balingen,2014
Jonas Wiest,LW,23,-,TSG Balingen,2014
Jona Krauß,LW,20,-,TSG Balingen,2014
Felice Di Lucia,RW,32,-,TSG Balingen,2014
Tonny Madegwa,RW,34,-,TSG Balingen,2014
Marc Pettenkofer,RW,21,-,TSG Balingen,2014
Tim Wissmann,ST,22,-,TSG Balingen,2014
Turan Sahin,ST,31,-,TSG Balingen,2014
Andreas Kohle,ST,25,-,TSG Balingen,2014
Tobias Schatz,ST,20,-,TSG Balingen,2014
Jan Ferdinand,ST,18,-,TSG Balingen,2014
Julian Hauser,GK,26,-,TSG Balingen,2015
Marcel Binanzer,GK,24,-,TSG Balingen,2015
Oliver Grathwol,CB,21,-,TSG Balingen,2015
Francisco Ugarte,CB,29,-,TSG Balingen,2015
Fabian Fecker,CB,26,-,TSG Balingen,2015
Kai Mundt,CB,23,-,TSG Balingen,2015
Manuel Pflumm,CB,30,-,TSG Balingen,2015
Matthias Schmitz,CB,22,-,TSG Balingen,2015
Adrian Müller,LB,20,-,TSG Balingen,2015
Fabian Kurth,RB,26,-,TSG Balingen,2015
Sascha Eisele,RB,21,-,TSG Balingen,2015
Niklas Schäuffele,Midfielder,19,-,TSG Balingen,2015
Domenico Mosca,Midfielder,21,-,TSG Balingen,2015
Kenyan Price,Midfielder,19,-,TSG Balingen,2015
Jörg Schreyeck,CM,31,-,TSG Balingen,2015
Lukas Foelsch,CM,28,-,TSG Balingen,2015
Kevin Keller,RM,24,-,TSG Balingen,2015
Marc Wissmann,RM,25,-,TSG Balingen,2015
Henry Seeger,RM,18,-,TSG Balingen,2015
Nicolás Gil Rodríguez,RM,20,-,TSG Balingen,2015
Jan Dehner,LM,27,-,TSG Balingen,2015
Kaan Akkaya,CAM,21,-,TSG Balingen,2015
Nils Schuon,CAM,24,-,TSG Balingen,2015
Felice Di Lucia,RW,33,-,TSG Balingen,2015
Marc Pettenkofer,RW,22,-,TSG Balingen,2015
Tim Wissmann,ST,23,-,TSG Balingen,2015
Turan Sahin,ST,32,-,TSG Balingen,2015
Stefan Vogler,ST,25,-,TSG Balingen,2015
Onesi Kuengienda,ST,23,-,TSG Balingen,2015
Tobias Schatz,ST,21,-,TSG Balingen,2015
Julian Hauser,GK,27,-,TSG Balingen,2016
Daniel Mau,GK,22,-,TSG Balingen,2016
Michael Grom,GK,19,-,TSG Balingen,2016
Max Steinhilber,GK,18,-,TSG Balingen,2016
Marcel Binanzer,GK,25,-,TSG Balingen,2016
Oliver Grathwol,CB,22,-,TSG Balingen,2016
Fabian Fecker,CB,27,-,TSG Balingen,2016
Kai Mundt,CB,24,-,TSG Balingen,2016
Jonas Lang,CB,21,-,TSG Balingen,2016
Carlos Konz,CB,20,-,TSG Balingen,2016
Manuel Pflumm,CB,31,-,TSG Balingen,2016
