name,position,age,value,team,season
Daniel Bittner,GK,24,125 Tsd. €,TSG Neustrelitz,2014
Daniel Strähle,GK,24,50 Tsd. €,TSG Neustrelitz,2014
Kevin Nethe,GK,36,-,TSG Neustrelitz,2014
Philip Müller,GK,18,-,TSG Neustrelitz,2014
Thomas Franke,CB,27,150 Tsd. €,TSG Neustrelitz,2014
Steve Müller,CB,30,100 Tsd. €,TSG Neustrelitz,2014
Amando Aust,CB,25,75 Tsd. €,TSG Neustrelitz,2014
Soheyl Alipour-Rafi,CB,21,50 Tsd. €,TSG Neustrelitz,2014
Matthias Zeugner,CB,21,50 Tsd. €,TSG Neustrelitz,2014
Taku Ishihara,LB,26,150 Tsd. €,TSG Neustrelitz,2014
Ingo Wunderlich,RB,29,75 Tsd. €,TSG Neustrelitz,2014
Florian Rutter,RB,24,-,TSG Neustrelitz,2014
Philip Malinowski,CDM,23,100 Tsd. €,TSG Neustrelitz,2014
Kevin Weidlich,CDM,25,75 Tsd. €,TSG Neustrelitz,2014
Fabio Viteritti,CDM,22,75 Tsd. €,TSG Neustrelitz,2014
Nikola Trkulja,CDM,24,75 Tsd. €,TSG Neustrelitz,2014
Dennis Ahrndt,Midfielder,19,-,TSG Neustrelitz,2014
Tino Schmunck,RM,24,50 Tsd. €,TSG Neustrelitz,2014
Nick Stövesand,RM,19,25 Tsd. €,TSG Neustrelitz,2014
René Pütt,LM,24,75 Tsd. €,TSG Neustrelitz,2014
Kerem Behnke,CAM,21,25 Tsd. €,TSG Neustrelitz,2014
Nesar Daudi,CAM,22,-,TSG Neustrelitz,2014
Devann Yao,LW,25,100 Tsd. €,TSG Neustrelitz,2014
Mattia Trianni,LW,22,50 Tsd. €,TSG Neustrelitz,2014
Ben Zolinski,RW,23,75 Tsd. €,TSG Neustrelitz,2014
Eser Kazak,RW,24,-,TSG Neustrelitz,2014
Marcel von Walsleben-Schied,Second Striker,31,100 Tsd. €,TSG Neustrelitz,2014
Mame Diouf,ST,24,100 Tsd. €,TSG Neustrelitz,2014
Sargis Adamyan,ST,22,75 Tsd. €,TSG Neustrelitz,2014
Nikola Vujicic,ST,23,50 Tsd. €,TSG Neustrelitz,2014
Normen Richter,ST,32,-,TSG Neustrelitz,2014
Dominik Boettcher,ST,20,-,TSG Neustrelitz,2014
Steven Braunsdorf,GK,24,100 Tsd. €,TSG Neustrelitz,2015
Daniel Bittner,GK,25,50 Tsd. €,TSG Neustrelitz,2015
Christopher Hanf,GK,21,25 Tsd. €,TSG Neustrelitz,2015
Maurice Fiolka,CB,24,25 Tsd. €,TSG Neustrelitz,2015
Steve Müller,CB,31,125 Tsd. €,TSG Neustrelitz,2015
Lucas Albrecht,CB,25,100 Tsd. €,TSG Neustrelitz,2015
Saheed Mustapha,CB,21,75 Tsd. €,TSG Neustrelitz,2015
Tim Lampert,CB,20,50 Tsd. €,TSG Neustrelitz,2015
Matthias Zeugner,CB,22,50 Tsd. €,TSG Neustrelitz,2015
Charbel Chougourou,CB,21,-,TSG Neustrelitz,2015
Pascal Podgorny,CB,19,-,TSG Neustrelitz,2015
Maurice Eusterfeldhaus,LB,23,50 Tsd. €,TSG Neustrelitz,2015
Fabio Viteritti,CDM,23,125 Tsd. €,TSG Neustrelitz,2015
Nikola Trkulja,CDM,25,75 Tsd. €,TSG Neustrelitz,2015
Michael Denz,CDM,22,75 Tsd. €,TSG Neustrelitz,2015
Philip Schulz,CDM,23,75 Tsd. €,TSG Neustrelitz,2015
Taşkın İlter,CDM,21,50 Tsd. €,TSG Neustrelitz,2015
Dennis Ahrndt,Midfielder,20,-,TSG Neustrelitz,2015
Tino Schmunck,RM,25,75 Tsd. €,TSG Neustrelitz,2015
René Pütt,LM,25,100 Tsd. €,TSG Neustrelitz,2015
Kerem Behnke,CAM,22,100 Tsd. €,TSG Neustrelitz,2015
Manuel Hoffmann,CAM,23,75 Tsd. €,TSG Neustrelitz,2015
Ben Zolinski,RW,24,100 Tsd. €,TSG Neustrelitz,2015
Nils Gottschick,RW,22,75 Tsd. €,TSG Neustrelitz,2015
Marcel von Walsleben-Schied,Second Striker,32,75 Tsd. €,TSG Neustrelitz,2015
Sargis Adamyan,ST,23,100 Tsd. €,TSG Neustrelitz,2015
Djibril N'Diaye,ST,26,100 Tsd. €,TSG Neustrelitz,2015
Yves Brinkmann,ST,23,75 Tsd. €,TSG Neustrelitz,2015
Danny Radke,ST,22,50 Tsd. €,TSG Neustrelitz,2015
Daniel Franziskus,ST,24,50 Tsd. €,TSG Neustrelitz,2015
Felix Junghan,GK,23,75 Tsd. €,TSG Neustrelitz,2016
