name,position,age,value,team,season
Stefan Ortega,GK,22,700 Tsd. €,TSV 1860 München,2014
Vitus Eicher,GK,24,300 Tsd. €,TSV 1860 München,2014
Gábor Király,GK,39,250 Tsd. €,TSV 1860 München,2014
Michael Netolitzky,GK,21,100 Tsd. €,TSV 1860 München,2014
Christopher Schindler,CB,25,900 Tsd. €,TSV 1860 München,2014
Gary Kagelmacher,CB,27,800 Tsd. €,TSV 1860 München,2014
Martin Angha,CB,21,700 Tsd. €,TSV 1860 München,2014
Guillermo Vallori,CB,33,500 Tsd. €,TSV 1860 München,2014
Maximilian Wittek,LB,19,700 Tsd. €,TSV 1860 München,2014
Jannik Bandowski,LB,21,400 Tsd. €,TSV 1860 München,2014
Sebastian Hertner,LB,24,300 Tsd. €,TSV 1860 München,2014
Grzegorz Wojtkowiak,RB,31,450 Tsd. €,TSV 1860 München,2014
Markus Steinhöfer,RB,29,400 Tsd. €,TSV 1860 München,2014
Marius Wolf,RB,20,400 Tsd. €,TSV 1860 München,2014
Markus Schwabl,RB,24,250 Tsd. €,TSV 1860 München,2014
Moritz Volz,RB,32,250 Tsd. €,TSV 1860 München,2014
Julian Weigl,CDM,19,900 Tsd. €,TSV 1860 München,2014
Ilie Sánchez,CDM,24,800 Tsd. €,TSV 1860 München,2014
Yannick Stark,CDM,24,700 Tsd. €,TSV 1860 München,2014
Kai Bülow,CDM,29,600 Tsd. €,TSV 1860 München,2014
Dominik Stahl,CDM,26,600 Tsd. €,TSV 1860 München,2014
Anthony Annan,CDM,28,600 Tsd. €,TSV 1860 München,2014
Vladimir Kovac,CDM,24,50 Tsd. €,TSV 1860 München,2014
Edu Bedia,CM,26,700 Tsd. €,TSV 1860 München,2014
Daniel Adlung,CAM,27,900 Tsd. €,TSV 1860 München,2014
Korbinian Vollmann,CAM,21,400 Tsd. €,TSV 1860 München,2014
Daylon Claasen,CAM,25,300 Tsd. €,TSV 1860 München,2014
Valdet Rama,LW,27,800 Tsd. €,TSV 1860 München,2014
Krisztián Simon,RW,24,500 Tsd. €,TSV 1860 München,2014
Marin Tomasov,RW,27,300 Tsd. €,TSV 1860 München,2014
Leonardo,Second Striker,32,500 Tsd. €,TSV 1860 München,2014
Rubin Okotie,ST,28,"1,70 Mio. €",TSV 1860 München,2014
Rodri Ríos,ST,25,"1,00 Mio. €",TSV 1860 München,2014
Bobby Wood,ST,22,450 Tsd. €,TSV 1860 München,2014
Stephan Hain,ST,26,300 Tsd. €,TSV 1860 München,2014
Fejsal Mulic,ST,20,200 Tsd. €,TSV 1860 München,2014
Vitus Eicher,GK,25,500 Tsd. €,TSV 1860 München,2015
Stefan Ortega,GK,23,400 Tsd. €,TSV 1860 München,2015
Michael Netolitzky,GK,22,100 Tsd. €,TSV 1860 München,2015
Christopher Schindler,CB,26,900 Tsd. €,TSV 1860 München,2015
Gary Kagelmacher,CB,28,800 Tsd. €,TSV 1860 München,2015
Milos Degenek,CB,22,600 Tsd. €,TSV 1860 München,2015
Jan Mauersberger,CB,31,500 Tsd. €,TSV 1860 München,2015
Rodnei,CB,30,400 Tsd. €,TSV 1860 München,2015
Sertan Yiğenoğlu,CB,21,300 Tsd. €,TSV 1860 München,2015
Guillermo Vallori,CB,34,200 Tsd. €,TSV 1860 München,2015
