name,position,age,value,team,season
Alexander Meyer,GK,24,150 Tsd. €,TSV Havelse,2014
Alexander Dlugaiczyk,GK,32,25 Tsd. €,TSV Havelse,2014
Benjamin Halstenberg,CB,29,100 Tsd. €,TSV Havelse,2014
Pascal Gos,CB,23,100 Tsd. €,TSV Havelse,2014
Deniz Tayar,CB,31,100 Tsd. €,TSV Havelse,2014
Kevin Kalinowski,CB,21,75 Tsd. €,TSV Havelse,2014
Yanik Strunkey,CB,27,75 Tsd. €,TSV Havelse,2014
Patrick Jöcks,CB,23,50 Tsd. €,TSV Havelse,2014
Noah Plume,CB,18,25 Tsd. €,TSV Havelse,2014
Gianluca Ziegler,CB,19,25 Tsd. €,TSV Havelse,2014
Fabian Wenzel,LB,18,25 Tsd. €,TSV Havelse,2014
Daniel Degner,RB,25,100 Tsd. €,TSV Havelse,2014
Denis Kina,RB,22,75 Tsd. €,TSV Havelse,2014
Florian Bertalan,RB,30,-,TSV Havelse,2014
Daniel Hintzke,CDM,28,125 Tsd. €,TSV Havelse,2014
Patrick Rogalski,CDM,20,-,TSV Havelse,2014
Mitchell Jordan,CM,20,25 Tsd. €,TSV Havelse,2014
Martin Zakrzewski,CM,24,-,TSV Havelse,2014
Björn Engemann,RM,20,25 Tsd. €,TSV Havelse,2014
Erhan Yilmaz,CAM,20,100 Tsd. €,TSV Havelse,2014
Denis Wolf,CAM,32,75 Tsd. €,TSV Havelse,2014
Daniel-Kofi Kyereh,CAM,19,25 Tsd. €,TSV Havelse,2014
Maurice Maletzki,LW,23,100 Tsd. €,TSV Havelse,2014
Hilal El-Helwe,ST,20,100 Tsd. €,TSV Havelse,2014
Christian Knappmann,ST,34,75 Tsd. €,TSV Havelse,2014
Tim Scheffler,ST,23,75 Tsd. €,TSV Havelse,2014
Marvin Ibekwe,ST,23,75 Tsd. €,TSV Havelse,2014
Deniz Undav,ST,18,25 Tsd. €,TSV Havelse,2014
Jovan Grozdanic,ST,21,25 Tsd. €,TSV Havelse,2014
Adem Lukac,ST,20,-,TSV Havelse,2014
Alexander Meyer,GK,25,175 Tsd. €,TSV Havelse,2015
Alexander Dlugaiczyk,GK,33,25 Tsd. €,TSV Havelse,2015
Andreas Mikroulis,GK,19,25 Tsd. €,TSV Havelse,2015
Deniz Tayar,CB,32,100 Tsd. €,TSV Havelse,2015
Tobias Holm,CB,27,100 Tsd. €,TSV Havelse,2015
Niklas Kiene,CB,24,75 Tsd. €,TSV Havelse,2015
Yanik Strunkey,CB,28,75 Tsd. €,TSV Havelse,2015
Noah Plume,CB,19,75 Tsd. €,TSV Havelse,2015
Tobias Fölster,CB,22,50 Tsd. €,TSV Havelse,2015
Marcel Kohn,CB,21,50 Tsd. €,TSV Havelse,2015
Gianluca Ziegler,CB,20,25 Tsd. €,TSV Havelse,2015
Bastian Stech,CB,19,-,TSV Havelse,2015
Marco Hansmann,LB,28,125 Tsd. €,TSV Havelse,2015
Fabian Wenzel,LB,19,50 Tsd. €,TSV Havelse,2015
Rafael Hotes,LB,19,-,TSV Havelse,2015
Denis Kina,RB,23,125 Tsd. €,TSV Havelse,2015
Daniel Degner,RB,26,50 Tsd. €,TSV Havelse,2015
Marcel Ottenbreit,RB,19,-,TSV Havelse,2015
Daniel Hintzke,CDM,29,150 Tsd. €,TSV Havelse,2015
Sirk Kisch,CDM,20,25 Tsd. €,TSV Havelse,2015
Christopher Stern,CDM,23,-,TSV Havelse,2015
Mitchell Jordan,CM,21,-,TSV Havelse,2015
Philipp Rusteberg,RM,22,50 Tsd. €,TSV Havelse,2015
Yasin Scharf,RM,19,-,TSV Havelse,2015
Kriseld Doko,LM,20,25 Tsd. €,TSV Havelse,2015
Denis Wolf,CAM,33,100 Tsd. €,TSV Havelse,2015
Deniz Cicek,CAM,23,75 Tsd. €,TSV Havelse,2015
Daniel-Kofi Kyereh,CAM,20,25 Tsd. €,TSV Havelse,2015
Philipp Rockahr,LW,27,75 Tsd. €,TSV Havelse,2015
Torben Deppe,LW,29,50 Tsd. €,TSV Havelse,2015
Deniz Undav,ST,19,75 Tsd. €,TSV Havelse,2015
George Kelbel,ST,23,75 Tsd. €,TSV Havelse,2015
Milislav Popovic,ST,19,50 Tsd. €,TSV Havelse,2015
Morten Jensen,GK,29,75 Tsd. €,TSV Havelse,2016
Alexander Dlugaiczyk,GK,34,25 Tsd. €,TSV Havelse,2016
Sascha Quast,GK,19,-,TSV Havelse,2016
Noah Plume,CB,20,125 Tsd. €,TSV Havelse,2016
Tobias Holm,CB,28,100 Tsd. €,TSV Havelse,2016
Deniz Tayar,CB,33,75 Tsd. €,TSV Havelse,2016
Tobias Fölster,CB,23,75 Tsd. €,TSV Havelse,2016
Marcel Kohn,CB,22,50 Tsd. €,TSV Havelse,2016
Jonas Sonnenberg,CB,24,25 Tsd. €,TSV Havelse,2016
Niklas Tasky,CB,26,25 Tsd. €,TSV Havelse,2016
Fernando Lopez-Hasegawa,CB,18,-,TSV Havelse,2016
Jake Wilton,CB,18,-,TSV Havelse,2016
Oliver-Otto Pfeuffer,CB,19,-,TSV Havelse,2016
Fabian Wenzel,LB,20,50 Tsd. €,TSV Havelse,2016
Rafael Hotes,LB,20,25 Tsd. €,TSV Havelse,2016
Marco Menneking,LB,30,-,TSV Havelse,2016
Denis Kina,RB,24,125 Tsd. €,TSV Havelse,2016
Daniel Degner,RB,27,75 Tsd. €,TSV Havelse,2016
Andrey Startsev,CDM,23,125 Tsd. €,TSV Havelse,2016
Cetin Erbek,CDM,25,75 Tsd. €,TSV Havelse,2016
Tom Christian Merkens,CM,27,50 Tsd. €,TSV Havelse,2016
René Legien,CM,25,-,TSV Havelse,2016
Marcel Goslar,RM,28,-,TSV Havelse,2016
Luis Prior Bautista,RM,18,-,TSV Havelse,2016
Deniz Cicek,CAM,24,125 Tsd. €,TSV Havelse,2016
Christoph Rischker,CAM,28,100 Tsd. €,TSV Havelse,2016
Daniel-Kofi Kyereh,CAM,21,50 Tsd. €,TSV Havelse,2016
Boua Karim Dagnogo,CAM,18,-,TSV Havelse,2016
Torben Deppe,LW,30,50 Tsd. €,TSV Havelse,2016
Niclas Bahn,LW,20,25 Tsd. €,TSV Havelse,2016
Deniz Undav,ST,20,175 Tsd. €,TSV Havelse,2016
Marcel Kunstmann,ST,29,-,TSV Havelse,2016
Brian Klein,ST,19,-,TSV Havelse,2016
Can Gökdemir,ST,18,-,TSV Havelse,2016
Aladdin Süer,ST,18,-,TSV Havelse,2016
Morten Jensen,GK,30,75 Tsd. €,TSV Havelse,2017
Alexander Rehberg,GK,22,50 Tsd. €,TSV Havelse,2017
Oliver Lassoff,GK,46,-,TSV Havelse,2017
Francesco Rizzo,GK,19,-,TSV Havelse,2017
Pascal Paatzsch,GK,18,-,TSV Havelse,2017
Lars Holm,GK,18,-,TSV Havelse,2017
Noah Plume,CB,21,150 Tsd. €,TSV Havelse,2017
Tobias Holm,CB,29,100 Tsd. €,TSV Havelse,2017
Jonas Sonnenberg,CB,25,75 Tsd. €,TSV Havelse,2017
Tobias Fölster,CB,24,75 Tsd. €,TSV Havelse,2017
Niklas Tasky,CB,27,75 Tsd. €,TSV Havelse,2017
Marcel Kohn,CB,23,-,TSV Havelse,2017
Fabian Wenzel,LB,21,50 Tsd. €,TSV Havelse,2017
Rafael Hotes,LB,21,25 Tsd. €,TSV Havelse,2017
Daniel Degner,RB,28,50 Tsd. €,TSV Havelse,2017
Max Radowski,RB,20,25 Tsd. €,TSV Havelse,2017
Melvin Meyer,RB,20,25 Tsd. €,TSV Havelse,2017
Tim-Alexander Meier,CDM,19,25 Tsd. €,TSV Havelse,2017
Tim Stiller,CDM,18,-,TSV Havelse,2017
Can Tuna,CM,23,100 Tsd. €,TSV Havelse,2017
Tom Christian Merkens,CM,28,100 Tsd. €,TSV Havelse,2017
Daniel-Kofi Kyereh,CAM,22,150 Tsd. €,TSV Havelse,2017
Christoph Rischker,CAM,29,100 Tsd. €,TSV Havelse,2017
Yannik Jaeschke,CAM,24,75 Tsd. €,TSV Havelse,2017
