name,position,age,value,team,season
Marco Günther,GK,22,-,TSV Schott Mainz,2014
Patrick Manthe,GK,21,-,TSV Schott Mainz,2014
Alexander Motz,GK,18,-,TSV Schott Mainz,2014
Sebastian Kühn,CB,19,-,TSV Schott Mainz,2014
Nenad Simic,CB,31,-,TSV Schott Mainz,2014
Daniel Braun,CB,19,-,TSV Schott Mainz,2014
Serdal Günes,CB,22,-,TSV Schott Mainz,2014
Konstantin Gänz,CB,20,-,TSV Schott Mainz,2014
Marco Senftleben,CB,23,-,TSV Schott Mainz,2014
Janic Vogler,LB,21,-,TSV Schott Mainz,2014
Nicklas Schlosser,LB,21,-,TSV Schott Mainz,2014
Pascal Hertlein,CDM,32,-,TSV Schott Mainz,2014
Gianluca Mamone,Midfielder,19,-,TSV Schott Mainz,2014
Vincenzo Bilotta,CDM,19,-,TSV Schott Mainz,2014
Leon Porsch,Midfielder,21,-,TSV Schott Mainz,2014
Jared Lidy,Midfielder,21,-,TSV Schott Mainz,2014
Jurij Gros,RM,27,-,TSV Schott Mainz,2014
Markus Kreuz,LM,38,-,TSV Schott Mainz,2014
Preston Zimmerman,LM,26,-,TSV Schott Mainz,2014
Andrey Ribeiro,LW,21,-,TSV Schott Mainz,2014
Marcel Heeg,RW,23,-,TSV Schott Mainz,2014
Edis Sinanovic,RW,19,-,TSV Schott Mainz,2014
Patrick Huth,RW,19,-,TSV Schott Mainz,2014
Srdjan Baljak,Second Striker,36,-,TSV Schott Mainz,2014
Can Cemil Özer,ST,25,-,TSV Schott Mainz,2014
Alperen Genc,ST,19,-,TSV Schott Mainz,2014
Nils Fischer,ST,19,-,TSV Schott Mainz,2014
Gerit Wintermeyer,ST,17,-,TSV Schott Mainz,2014
Lukas Danielewski,ST,21,-,TSV Schott Mainz,2014
Felix Zaucker,ST,23,-,TSV Schott Mainz,2014
David Staegemann,GK,19,-,TSV Schott Mainz,2015
Tim Burghold,GK,18,-,TSV Schott Mainz,2015
Marcel Scheen,GK,21,-,TSV Schott Mainz,2015
Patrick Manthe,GK,22,-,TSV Schott Mainz,2015
Alexander Motz,GK,19,-,TSV Schott Mainz,2015
Sebastian Kühn,CB,20,-,TSV Schott Mainz,2015
Murat Doymuş,CB,30,75 Tsd. €,TSV Schott Mainz,2015
Manuel Schneider,CB,25,50 Tsd. €,TSV Schott Mainz,2015
Nenad Simic,CB,32,-,TSV Schott Mainz,2015
Yannick Rinker,CB,23,-,TSV Schott Mainz,2015
Marcel Krabler,CB,19,-,TSV Schott Mainz,2015
Konstantin Gänz,CB,21,-,TSV Schott Mainz,2015
Serdal Günes,CB,23,-,TSV Schott Mainz,2015
Marco Senftleben,CB,24,-,TSV Schott Mainz,2015
Janic Vogler,LB,22,-,TSV Schott Mainz,2015
Nicklas Schlosser,LB,22,-,TSV Schott Mainz,2015
Silas Schwarz,RB,18,-,TSV Schott Mainz,2015
Vincenzo Bilotta,CDM,20,-,TSV Schott Mainz,2015
Gianluca Mamone,Midfielder,20,-,TSV Schott Mainz,2015
Masashi Sakai,CM,23,-,TSV Schott Mainz,2015
Preston Zimmerman,LM,27,-,TSV Schott Mainz,2015
Igor Heizmann,LM,22,-,TSV Schott Mainz,2015
Ilias Soultani,CAM,20,-,TSV Schott Mainz,2015
Andrey Ribeiro,LW,22,-,TSV Schott Mainz,2015
Marcel Heeg,RW,24,-,TSV Schott Mainz,2015
Patrick Huth,RW,20,-,TSV Schott Mainz,2015
Edis Sinanovic,RW,20,-,TSV Schott Mainz,2015
Srdjan Baljak,Second Striker,37,-,TSV Schott Mainz,2015
Can Cemil Özer,ST,26,-,TSV Schott Mainz,2015
Felix Zaucker,ST,24,-,TSV Schott Mainz,2015
Alperen Genc,ST,20,-,TSV Schott Mainz,2015
Nils Fischer,ST,20,-,TSV Schott Mainz,2015
Igor Luketic,GK,31,-,TSV Schott Mainz,2016
David Staegemann,GK,20,-,TSV Schott Mainz,2016
Alexander Motz,GK,20,-,TSV Schott Mainz,2016
Sebastian Kühn,CB,21,-,TSV Schott Mainz,2016
Jan Just,CB,20,-,TSV Schott Mainz,2016
Nenad Simic,CB,33,-,TSV Schott Mainz,2016
Jonas Raltschitsch,CB,24,-,TSV Schott Mainz,2016
Manuel Schneider,CB,26,-,TSV Schott Mainz,2016
Marcel Krabler,CB,20,-,TSV Schott Mainz,2016
Serdal Günes,CB,24,-,TSV Schott Mainz,2016
Marco Senftleben,CB,25,-,TSV Schott Mainz,2016
Omar Njie,LB,21,-,TSV Schott Mainz,2016
Nicklas Schlosser,LB,23,-,TSV Schott Mainz,2016
Joshua Iten,RB,22,-,TSV Schott Mainz,2016
Silas Schwarz,RB,19,-,TSV Schott Mainz,2016
Daniel Wolf,Midfielder,23,-,TSV Schott Mainz,2016
Ruben Zimmer,Midfielder,21,-,TSV Schott Mainz,2016
Gianluca Mamone,Midfielder,21,-,TSV Schott Mainz,2016
Itai Palachi,CM,19,-,TSV Schott Mainz,2016
Masashi Sakai,CM,24,-,TSV Schott Mainz,2016
Igor Heizmann,LM,23,-,TSV Schott Mainz,2016
Ruben Monteiro-Carvalho,CAM,19,-,TSV Schott Mainz,2016
Necmi Gür,CAM,22,-,TSV Schott Mainz,2016
Ilias Soultani,CAM,21,-,TSV Schott Mainz,2016
Mohammed Tahiri,RW,22,-,TSV Schott Mainz,2016
Edis Sinanovic,RW,21,-,TSV Schott Mainz,2016
Srdjan Baljak,Second Striker,38,-,TSV Schott Mainz,2016
Nils Fischer,ST,21,-,TSV Schott Mainz,2016
Janek Ripplinger,ST,26,-,TSV Schott Mainz,2016
Gerit Wintermeyer,ST,19,-,TSV Schott Mainz,2016
Khaled Abou Daya,ST,19,-,TSV Schott Mainz,2016
György Székely,GK,23,100 Tsd. €,TSV Schott Mainz,2017
