name,position,age,value,team,season
Sebastian Vogl,GK,23,-,TSV Steinbach,2014
Sven Eckhardt,GK,39,-,TSV Steinbach,2014
Lars Benner,GK,19,-,TSV Steinbach,2014
Maximilian Pauli,GK,25,-,TSV Steinbach,2014
Daniel Bogusz,CB,40,-,TSV Steinbach,2014
Jan-Philipp Gelber,CB,24,-,TSV Steinbach,2014
Masih Saighani,CB,28,-,TSV Steinbach,2014
Sven Waldschmidt,CB,24,-,TSV Steinbach,2014
Tim Acker,CB,22,-,TSV Steinbach,2014
Arthur Tomas,LB,21,-,TSV Steinbach,2014
Marcel Georg,RB,24,-,TSV Steinbach,2014
Andreas Proske,RB,29,-,TSV Steinbach,2014
Paul Wadolowski,RB,26,-,TSV Steinbach,2014
Marco Maser,CDM,35,-,TSV Steinbach,2014
Alexander Baldus,CDM,28,-,TSV Steinbach,2014
Dennis Schmidt,RM,23,-,TSV Steinbach,2014
Daniel Waldrich,RM,25,-,TSV Steinbach,2014
Hüsni Tahiri,LM,32,-,TSV Steinbach,2014
Daniel Wadolowski,LM,23,-,TSV Steinbach,2014
Sven Baldus,CAM,28,-,TSV Steinbach,2014
Johannes Burk,CAM,27,-,TSV Steinbach,2014
Atilla Selcuk,CAM,19,-,TSV Steinbach,2014
Pierre Bellinghausen,CAM,27,-,TSV Steinbach,2014
Keigo Matsuda,ST,22,-,TSV Steinbach,2014
Patrick Diehl,ST,26,-,TSV Steinbach,2014
Sebastian Schneider,ST,26,-,TSV Steinbach,2014
Frederic Löhe,GK,27,150 Tsd. €,TSV Steinbach,2015
Sebastian Vogl,GK,24,75 Tsd. €,TSV Steinbach,2015
Julian Bibleka,GK,20,25 Tsd. €,TSV Steinbach,2015
Maximilian Pauli,GK,26,-,TSV Steinbach,2015
Lars Benner,GK,20,-,TSV Steinbach,2015
Jure Colak,CB,26,100 Tsd. €,TSV Steinbach,2015
Sven Waldschmidt,CB,25,75 Tsd. €,TSV Steinbach,2015
Christopher Schadeberg,CB,25,75 Tsd. €,TSV Steinbach,2015
