name,position,age,value,team,season
Olaf Gössel,GK,49,-,TuS Dassendorf,2014
Stanislaw Lenz,GK,28,-,TuS Dassendorf,2014
Christian Gruhne,GK,24,-,TuS Dassendorf,2014
André Ladendorf,CB,26,-,TuS Dassendorf,2014
Seyhmus Atug,CB,22,-,TuS Dassendorf,2014
Marcel Lenz (Stadel),CB,28,-,TuS Dassendorf,2014
Luca Tremiño,CB,20,-,TuS Dassendorf,2014
Ronny Buchholz,CB,25,-,TuS Dassendorf,2014
Alexander Bogunovic,CB,27,-,TuS Dassendorf,2014
Adam Hamdan,CB,26,-,TuS Dassendorf,2014
Stefan Murrins,LB,29,-,TuS Dassendorf,2014
Andreas Goldgraebe,RB,27,-,TuS Dassendorf,2014
Joe Warmbier,RB,23,-,TuS Dassendorf,2014
Tristan Koops,RB,22,-,TuS Dassendorf,2014
Carlos Gomes,CDM,27,-,TuS Dassendorf,2014
Henrik Dettmann,CDM,25,-,TuS Dassendorf,2014
Onur Saglam,CDM,22,-,TuS Dassendorf,2014
Jan Schönteich,Midfielder,47,-,TuS Dassendorf,2014
Dennis Tornieporth,CAM,32,-,TuS Dassendorf,2014
Ruven Scharnberg,CAM,18,-,TuS Dassendorf,2014
Sven Möller,CAM,24,-,TuS Dassendorf,2014
Beytullah Atug,CAM,24,-,TuS Dassendorf,2014
Muri Adewunmi,RW,32,-,TuS Dassendorf,2014
Eric Agyemang,ST,35,-,TuS Dassendorf,2014
Kristof Kurczynski,ST,25,-,TuS Dassendorf,2014
Ilias Shir,ST,25,-,TuS Dassendorf,2014
Tobias Kehr,ST,24,-,TuS Dassendorf,2014
Olaf Gössel,GK,50,-,TuS Dassendorf,2015
Leo Hebbeler,GK,18,-,TuS Dassendorf,2015
Stanislaw Lenz,GK,29,-,TuS Dassendorf,2015
Christian Gruhne,GK,25,-,TuS Dassendorf,2015
Lennart Suryan,CB,19,-,TuS Dassendorf,2015
Seyhmus Atug,CB,23,-,TuS Dassendorf,2015
Amando Aust,CB,26,-,TuS Dassendorf,2015
Sascha Steinfeldt,CB,25,-,TuS Dassendorf,2015
André Ladendorf,CB,27,-,TuS Dassendorf,2015
Alexander Bogunovic,CB,28,-,TuS Dassendorf,2015
Adam Hamdan,CB,27,-,TuS Dassendorf,2015
Mark Brudler,CB,20,-,TuS Dassendorf,2015
Stefan Murrins,LB,30,-,TuS Dassendorf,2015
Joe Warmbier,RB,24,-,TuS Dassendorf,2015
