name,position,age,value,team,season
Florian Hammel,GK,25,-,TuS Erndtebrück,2014
Mateusz Babieczko,GK,24,-,TuS Erndtebrück,2014
Marcel Eichler,GK,-,-,TuS Erndtebrück,2014
Timo Bäcker,GK,32,-,TuS Erndtebrück,2014
Jannik von der Heiden,GK,25,-,TuS Erndtebrück,2014
Leo Ribeiro,CB,26,-,TuS Erndtebrück,2014
Karim Bouasker,CB,25,-,TuS Erndtebrück,2014
Ivan Ostojic,CB,20,-,TuS Erndtebrück,2014
Sebastian Wasem,CB,25,-,TuS Erndtebrück,2014
Patrik Flender,CB,24,-,TuS Erndtebrück,2014
Fatih Tuysuz,RB,26,-,TuS Erndtebrück,2014
Waldemar Schattner,CDM,26,-,TuS Erndtebrück,2014
Luis Stephan,CDM,18,-,TuS Erndtebrück,2014
Manuel Müther,Midfielder,26,-,TuS Erndtebrück,2014
Anil Berber,Midfielder,24,-,TuS Erndtebrück,2014
Thomas Bednorz,CDM,28,-,TuS Erndtebrück,2014
Thomas Ziegler,CDM,24,-,TuS Erndtebrück,2014
Ryo Kaminishi,CDM,26,-,TuS Erndtebrück,2014
Anis Saidi,CDM,27,-,TuS Erndtebrück,2014
Özgür Öncü,CM,22,-,TuS Erndtebrück,2014
Narciso Lubaca,CAM,26,-,TuS Erndtebrück,2014
Christian Runkel,LW,25,-,TuS Erndtebrück,2014
Jan-Patrick Kadiata,LW,25,-,TuS Erndtebrück,2014
André Schilamow,RW,26,-,TuS Erndtebrück,2014
Tokio Nakai,Second Striker,34,-,TuS Erndtebrück,2014
Markus Waldrich,ST,30,-,TuS Erndtebrück,2014
Philipp Böhmer,ST,27,-,TuS Erndtebrück,2014
Laurenz Wassinger,ST,24,-,TuS Erndtebrück,2014
Benjamin Thorbeck,ST,27,-,TuS Erndtebrück,2014
Timo Bäcker,GK,33,75 Tsd. €,TuS Erndtebrück,2015
Jannik von der Heiden,GK,26,25 Tsd. €,TuS Erndtebrück,2015
Paul Schünemann,GK,21,25 Tsd. €,TuS Erndtebrück,2015
Tom Robin Röcher,GK,20,-,TuS Erndtebrück,2015
Leo Ribeiro,CB,27,75 Tsd. €,TuS Erndtebrück,2015
Ahmet Saglam,CB,29,100 Tsd. €,TuS Erndtebrück,2015
Marius Kröner,CB,26,50 Tsd. €,TuS Erndtebrück,2015
Noel Below,CB,22,50 Tsd. €,TuS Erndtebrück,2015
Yuki Miyazawa,LB,25,75 Tsd. €,TuS Erndtebrück,2015
Fatih Tuysuz,RB,27,75 Tsd. €,TuS Erndtebrück,2015
Sven Engelke,RB,22,-,TuS Erndtebrück,2015
Marcel Andrijanic,CDM,23,75 Tsd. €,TuS Erndtebrück,2015
Thomas Ziegler,CDM,25,50 Tsd. €,TuS Erndtebrück,2015
Ryo Kaminishi,CDM,27,50 Tsd. €,TuS Erndtebrück,2015
Luigi Campagna,CDM,26,50 Tsd. €,TuS Erndtebrück,2015
Luis Stephan,CDM,19,25 Tsd. €,TuS Erndtebrück,2015
Anis Saidi,CDM,28,-,TuS Erndtebrück,2015
Marcel Becker,CDM,20,-,TuS Erndtebrück,2015
Tim Treude,CM,26,100 Tsd. €,TuS Erndtebrück,2015
Paulo Jorge,CM,23,100 Tsd. €,TuS Erndtebrück,2015
Leon Hammel,CM,20,100 Tsd. €,TuS Erndtebrück,2015
Özgür Öncü,CM,23,-,TuS Erndtebrück,2015
Daniel Schaal,LM,22,50 Tsd. €,TuS Erndtebrück,2015
Narciso Lubaca,CAM,27,50 Tsd. €,TuS Erndtebrück,2015
Yannik Jaeschke,CAM,22,25 Tsd. €,TuS Erndtebrück,2015
Ridvan Balci,LW,22,75 Tsd. €,TuS Erndtebrück,2015
Jan-Patrick Kadiata,LW,26,50 Tsd. €,TuS Erndtebrück,2015
Karoj Sindi,RW,26,-,TuS Erndtebrück,2015
Tokio Nakai,Second Striker,35,-,TuS Erndtebrück,2015
Laurenz Wassinger,ST,25,100 Tsd. €,TuS Erndtebrück,2015
Robin Schmidt,ST,23,75 Tsd. €,TuS Erndtebrück,2015
Philipp Böhmer,ST,28,50 Tsd. €,TuS Erndtebrück,2015
Edinho Júnior,ST,22,50 Tsd. €,TuS Erndtebrück,2015
Markus Waldrich,ST,31,-,TuS Erndtebrück,2015
Timo Bäcker,GK,34,-,TuS Erndtebrück,2016
Paul Schünemann,GK,22,-,TuS Erndtebrück,2016
Tom Robin Röcher,GK,21,-,TuS Erndtebrück,2016
Leo Ribeiro,CB,28,-,TuS Erndtebrück,2016
Noel Below,CB,23,-,TuS Erndtebrück,2016
Aldin Kljajic,CB,26,-,TuS Erndtebrück,2016
Ahmet Saglam,CB,30,-,TuS Erndtebrück,2016
Yuki Miyazawa,LB,26,-,TuS Erndtebrück,2016
Nino Saka,RB,24,-,TuS Erndtebrück,2016
Fatih Tuysuz,RB,28,-,TuS Erndtebrück,2016
Mirhad Mehanovic,RB,25,-,TuS Erndtebrück,2016
Luigi Campagna,CDM,27,50 Tsd. €,TuS Erndtebrück,2016
Xhuljo Tabaku,CDM,22,-,TuS Erndtebrück,2016
Marcel Andrijanic,CDM,24,-,TuS Erndtebrück,2016
Marcel Becker,CDM,21,-,TuS Erndtebrück,2016
Kenta Tamura,Midfielder,25,-,TuS Erndtebrück,2016
Shogo Iwamoto,Midfielder,26,-,TuS Erndtebrück,2016
Paulo Jorge,CM,24,50 Tsd. €,TuS Erndtebrück,2016
Tim Treude,CM,27,-,TuS Erndtebrück,2016
Yannik Jaeschke,CAM,23,-,TuS Erndtebrück,2016
Nermin Ibrahimovic,ST,27,-,TuS Erndtebrück,2016
Philipp Böhmer,ST,29,-,TuS Erndtebrück,2016
Edinho Júnior,ST,23,-,TuS Erndtebrück,2016
Jacub Przybylko,ST,24,-,TuS Erndtebrück,2016
Hedon Selishta,ST,24,-,TuS Erndtebrück,2016
Niklas Jakusch,GK,28,100 Tsd. €,TuS Erndtebrück,2017
Samuel Aubele,GK,24,75 Tsd. €,TuS Erndtebrück,2017
Timo Bäcker,GK,35,50 Tsd. €,TuS Erndtebrück,2017
Paul Schünemann,GK,23,25 Tsd. €,TuS Erndtebrück,2017
Alexandros Tanidis,CB,26,75 Tsd. €,TuS Erndtebrück,2017
Mehmedalija Covic,CB,32,75 Tsd. €,TuS Erndtebrück,2017
Marco Rente,CB,21,75 Tsd. €,TuS Erndtebrück,2017
Gunnar Niemann,CB,22,50 Tsd. €,TuS Erndtebrück,2017
Admir Terzic,CB,25,25 Tsd. €,TuS Erndtebrück,2017
Till Hilchenbach,CB,22,-,TuS Erndtebrück,2017
