name,position,age,value,team,season
Fabrice Vollborn,GK,22,100 Tsd. €,TuS Koblenz,2014
Igor Luketic,GK,29,25 Tsd. €,TuS Koblenz,2014
Darius Motazed,GK,25,25 Tsd. €,TuS Koblenz,2014
Kadir Yalcin,GK,23,-,TuS Koblenz,2014
Oliver Laux,CB,25,200 Tsd. €,TuS Koblenz,2014
Michael Stahl,CB,27,100 Tsd. €,TuS Koblenz,2014
André Marx,CB,25,100 Tsd. €,TuS Koblenz,2014
Daniel Reith,CB,27,75 Tsd. €,TuS Koblenz,2014
Felix Lietz,CB,25,75 Tsd. €,TuS Koblenz,2014
Marcus Fritsch,CB,20,50 Tsd. €,TuS Koblenz,2014
Sven Wurm,CB,20,50 Tsd. €,TuS Koblenz,2014
Admir Softic,CB,29,50 Tsd. €,TuS Koblenz,2014
José-Junior Matuwila,CB,23,25 Tsd. €,TuS Koblenz,2014
Dominik Schmidt,CB,23,25 Tsd. €,TuS Koblenz,2014
Luca Wolf,CB,20,-,TuS Koblenz,2014
Samir Benamar,LB,22,50 Tsd. €,TuS Koblenz,2014
Masahiro Oshima,LB,25,-,TuS Koblenz,2014
Stefan Hickl,RB,27,75 Tsd. €,TuS Koblenz,2014
Giuliano Masala,RB,21,25 Tsd. €,TuS Koblenz,2014
Eldin Hadzic,CDM,22,75 Tsd. €,TuS Koblenz,2014
Danko Boskovic,CDM,33,75 Tsd. €,TuS Koblenz,2014
Akiyoshi Saito,CDM,27,50 Tsd. €,TuS Koblenz,2014
Dustin Ernst,Midfielder,23,50 Tsd. €,TuS Koblenz,2014
Johannes Göderz,CM,26,50 Tsd. €,TuS Koblenz,2014
Joshua Marx,RM,22,25 Tsd. €,TuS Koblenz,2014
Kerim Arslan,LM,28,50 Tsd. €,TuS Koblenz,2014
Tobias Jakobs,LM,22,-,TuS Koblenz,2014
Anel Dzaka,CAM,34,100 Tsd. €,TuS Koblenz,2014
Julius Duchscherer,CAM,21,75 Tsd. €,TuS Koblenz,2014
Kevin Steuke,LW,22,75 Tsd. €,TuS Koblenz,2014
Angelo Hauk,RW,30,100 Tsd. €,TuS Koblenz,2014
Marco Quotschalla,ST,26,150 Tsd. €,TuS Koblenz,2014
Fabian Montabell,ST,30,75 Tsd. €,TuS Koblenz,2014
Bence Szenes,ST,21,50 Tsd. €,TuS Koblenz,2014
Besnik Rustemaj,ST,21,50 Tsd. €,TuS Koblenz,2014
Christian Luitz,ST,20,50 Tsd. €,TuS Koblenz,2014
Carlos Penan,ST,25,25 Tsd. €,TuS Koblenz,2014
