name,position,age,value,team,season
Nikolas Mahn,GK,26,-,TuS Makkabi Berlin,2014
Timo Kopmann,GK,24,-,TuS Makkabi Berlin,2014
Nils-Peter Otto,CB,34,-,TuS Makkabi Berlin,2014
Tomislav Dakic,CB,28,-,TuS Makkabi Berlin,2014
Simon Bromberg,CB,-,-,TuS Makkabi Berlin,2014
Tobias Wohlgemuth,CB,-,-,TuS Makkabi Berlin,2014
Ilya Privalov,RB,28,-,TuS Makkabi Berlin,2014
Kuba-Siala Vulu,Midfielder,22,-,TuS Makkabi Berlin,2014
Dario Greiser,Midfielder,23,-,TuS Makkabi Berlin,2014
Dario Hammond,Midfielder,24,-,TuS Makkabi Berlin,2014
Andreas Heyse,CM,32,-,TuS Makkabi Berlin,2014
Florian Kunze,CM,22,-,TuS Makkabi Berlin,2014
Aris Kukanda,RM,24,-,TuS Makkabi Berlin,2014
Onay Tokgöz,CAM,24,-,TuS Makkabi Berlin,2014
Robin Tolbert,ST,25,-,TuS Makkabi Berlin,2014
Jhony,ST,24,-,TuS Makkabi Berlin,2014
El-Amin Elsaadawi,ST,19,-,TuS Makkabi Berlin,2014
Sebastian Hein,GK,28,-,TuS Makkabi Berlin,2015
Mario Gemeinhardt,GK,24,-,TuS Makkabi Berlin,2015
Malte Hartmann,GK,23,-,TuS Makkabi Berlin,2015
Timon Dreher,GK,22,-,TuS Makkabi Berlin,2015
Fabian Eberle,GK,26,-,TuS Makkabi Berlin,2015
Liron Liwschiz,GK,-,-,TuS Makkabi Berlin,2015
Nils-Peter Otto,CB,35,-,TuS Makkabi Berlin,2015
David De Camp,CB,21,-,TuS Makkabi Berlin,2015
Tomislav Dakic,CB,29,-,TuS Makkabi Berlin,2015
Rodnei Wilson,CB,31,-,TuS Makkabi Berlin,2015
Timo Brinkmann,CB,23,-,TuS Makkabi Berlin,2015
Dennis Rose,CB,23,-,TuS Makkabi Berlin,2015
Yannik Hartmann,CB,24,-,TuS Makkabi Berlin,2015
Ilya Privalov,RB,29,-,TuS Makkabi Berlin,2015
Doron Bruck,CDM,21,100 Tsd. €,TuS Makkabi Berlin,2015
Sören Heinze,Midfielder,-,-,TuS Makkabi Berlin,2015
Tobias Ehm,Midfielder,27,-,TuS Makkabi Berlin,2015
Dario Greiser,Midfielder,24,-,TuS Makkabi Berlin,2015
Keven Schmidt,Midfielder,-,-,TuS Makkabi Berlin,2015
Christoph Borngräber,Midfielder,-,-,TuS Makkabi Berlin,2015
Andreas Heyse,CM,33,-,TuS Makkabi Berlin,2015
Florian Kunze,CM,23,-,TuS Makkabi Berlin,2015
Aris Kukanda,RM,25,-,TuS Makkabi Berlin,2015
Onay Tokgöz,CAM,25,-,TuS Makkabi Berlin,2015
Caglar Halici,Second Striker,26,-,TuS Makkabi Berlin,2015
Robin Tolbert,ST,26,-,TuS Makkabi Berlin,2015
Talal Hamo,ST,23,-,TuS Makkabi Berlin,2015
Higinio May Mecha,ST,26,-,TuS Makkabi Berlin,2015
Clemens Bösinger,ST,-,-,TuS Makkabi Berlin,2015
Idriss Valaire Tepon Fonou,GK,26,-,TuS Makkabi Berlin,2016
Malte Hartmann,GK,24,-,TuS Makkabi Berlin,2016
Liron Liwschiz,GK,-,-,TuS Makkabi Berlin,2016
Mario Gemeinhardt,GK,25,-,TuS Makkabi Berlin,2016
Shinji Oba,CB,26,-,TuS Makkabi Berlin,2016
Steven Dei-Kwarteng,CB,30,-,TuS Makkabi Berlin,2016
Călin Muntean,CB,28,-,TuS Makkabi Berlin,2016
Rodnei Wilson,CB,32,-,TuS Makkabi Berlin,2016
Tomislav Dakic,CB,30,-,TuS Makkabi Berlin,2016
David De Camp,CB,22,-,TuS Makkabi Berlin,2016
Sladjan Starcevic,CB,33,-,TuS Makkabi Berlin,2016
Dennis Rose,CB,24,-,TuS Makkabi Berlin,2016
Alexandru Chiciuc,LB,28,-,TuS Makkabi Berlin,2016
Jordi Masie-Nsang,RB,22,-,TuS Makkabi Berlin,2016
Ilya Privalov,RB,30,-,TuS Makkabi Berlin,2016
Kuba-Siala Vulu,Midfielder,24,-,TuS Makkabi Berlin,2016
Frank Emeric Leumassi,Midfielder,27,-,TuS Makkabi Berlin,2016
Magomedmurad Idrisov,Midfielder,-,-,TuS Makkabi Berlin,2016
Dario Hammond,Midfielder,26,-,TuS Makkabi Berlin,2016
Orest Seminovici,Midfielder,-,-,TuS Makkabi Berlin,2016
Dario Greiser,Midfielder,25,-,TuS Makkabi Berlin,2016
Sören Heinze,Midfielder,-,-,TuS Makkabi Berlin,2016
Guillermo Padilla,Midfielder,23,-,TuS Makkabi Berlin,2016
Aris Kukanda,RM,26,-,TuS Makkabi Berlin,2016
Kenta Sato,RM,25,-,TuS Makkabi Berlin,2016
Enver Akis,CAM,27,-,TuS Makkabi Berlin,2016
Onay Tokgöz,CAM,26,-,TuS Makkabi Berlin,2016
Anton Griethe,CAM,23,-,TuS Makkabi Berlin,2016
Vasile Soltan,RW,24,-,TuS Makkabi Berlin,2016
Jhony,ST,26,-,TuS Makkabi Berlin,2016
Talal Hamo,ST,24,-,TuS Makkabi Berlin,2016
Higinio May Mecha,ST,27,-,TuS Makkabi Berlin,2016
Pavel Galac,GK,22,25 Tsd. €,TuS Makkabi Berlin,2017
Liron Liwschiz,GK,-,-,TuS Makkabi Berlin,2017
Alexander Mihailo Hilscher,GK,23,-,TuS Makkabi Berlin,2017
Justin Maple,GK,-,-,TuS Makkabi Berlin,2017
Mario Gemeinhardt,GK,26,-,TuS Makkabi Berlin,2017
Nils-Peter Otto,CB,37,-,TuS Makkabi Berlin,2017
Ismael Marquez Carrero,CB,23,-,TuS Makkabi Berlin,2017
Călin Muntean,CB,29,-,TuS Makkabi Berlin,2017
Timo Brinkmann,CB,25,-,TuS Makkabi Berlin,2017
Tomislav Dakic,CB,31,-,TuS Makkabi Berlin,2017
David Rosner,CB,21,-,TuS Makkabi Berlin,2017
Papa Alpha Diallo Diop,CB,30,-,TuS Makkabi Berlin,2017
Alexandru Chiciuc,LB,29,-,TuS Makkabi Berlin,2017
Juan Casallas,LB,-,-,TuS Makkabi Berlin,2017
Ilya Privalov,RB,31,-,TuS Makkabi Berlin,2017
Doron Bruck,CDM,23,-,TuS Makkabi Berlin,2017
Odong Obem,Midfielder,28,-,TuS Makkabi Berlin,2017
Hassan Ochidi,Midfielder,28,-,TuS Makkabi Berlin,2017
Frank Emeric Leumassi,Midfielder,28,-,TuS Makkabi Berlin,2017
Magomedmurad Idrisov,Midfielder,-,-,TuS Makkabi Berlin,2017
Ahmed Alzekrat,Midfielder,23,-,TuS Makkabi Berlin,2017
Ibrahim Ouattara,CDM,22,-,TuS Makkabi Berlin,2017
Djamel Berrahma,Midfielder,28,-,TuS Makkabi Berlin,2017
Andrés Uggi Burknason,Midfielder,21,-,TuS Makkabi Berlin,2017
Jorge Sierra,Midfielder,20,-,TuS Makkabi Berlin,2017
Juan Jose Acosta Morales,Midfielder,-,-,TuS Makkabi Berlin,2017
Sören Heinze,Midfielder,-,-,TuS Makkabi Berlin,2017
Guillermo Padilla,Midfielder,24,-,TuS Makkabi Berlin,2017
Aris Kukanda,RM,27,-,TuS Makkabi Berlin,2017
Maxim Matusczyk,LM,22,-,TuS Makkabi Berlin,2017
Enver Akis,CAM,28,-,TuS Makkabi Berlin,2017
Anton Griethe,CAM,24,-,TuS Makkabi Berlin,2017
Vasile Soltan,RW,25,-,TuS Makkabi Berlin,2017
Godbless Igbinigie,RW,20,-,TuS Makkabi Berlin,2017
Mosunmola Tunji Alade,Second Striker,22,50 Tsd. €,TuS Makkabi Berlin,2017
Roman Muntean,ST,27,-,TuS Makkabi Berlin,2017
Adnan Abo Ayash,ST,24,-,TuS Makkabi Berlin,2017
Onur-Kaan Abay,ST,-,-,TuS Makkabi Berlin,2017
Pascal Biele,ST,-,-,TuS Makkabi Berlin,2017
Pavel Galac,GK,23,-,TuS Makkabi Berlin,2018
Idriss Valaire Tepon Fonou,GK,28,-,TuS Makkabi Berlin,2018
