name,position,age,value,team,season
Maik Hagemann,GK,34,-,USC Paloma Hamburg,2014
Sebastian Voß,GK,32,-,USC Paloma Hamburg,2014
Yannick Jonas,GK,23,-,USC Paloma Hamburg,2014
Alexander Graf,CB,23,-,USC Paloma Hamburg,2014
Frithjof Kramer,CB,28,-,USC Paloma Hamburg,2014
Hauke Brückner,CB,35,-,USC Paloma Hamburg,2014
Sven Drews,CB,32,-,USC Paloma Hamburg,2014
Kevin Blume,CB,23,-,USC Paloma Hamburg,2014
Henrik Petersen,CB,24,-,USC Paloma Hamburg,2014
Jannik Dreyer,CB,25,-,USC Paloma Hamburg,2014
André Lohfeldt,LB,25,-,USC Paloma Hamburg,2014
Carlos Gomes,CDM,27,-,USC Paloma Hamburg,2014
Tore Gersch,CDM,30,-,USC Paloma Hamburg,2014
Serafin Sivcak,Midfielder,25,-,USC Paloma Hamburg,2014
Florian Mohr,CDM,22,-,USC Paloma Hamburg,2014
Timo Adomat,CDM,27,-,USC Paloma Hamburg,2014
Richard Grönsel,Midfielder,23,-,USC Paloma Hamburg,2014
Max Krause,CDM,25,-,USC Paloma Hamburg,2014
Goran Petrekovic-Loncar,CM,21,-,USC Paloma Hamburg,2014
Christoph Finke,CM,26,-,USC Paloma Hamburg,2014
Kevin Franz,LM,28,-,USC Paloma Hamburg,2014
Emmanuel Kwakye,LW,18,-,USC Paloma Hamburg,2014
Madjid Albry,RW,24,-,USC Paloma Hamburg,2014
Benedict Kummerfeldt,RW,25,-,USC Paloma Hamburg,2014
Denny Schiemann,RW,26,-,USC Paloma Hamburg,2014
Rihards Depers,RW,22,-,USC Paloma Hamburg,2014
Visar Galica,ST,31,-,USC Paloma Hamburg,2014
Olufemi Smith,ST,36,-,USC Paloma Hamburg,2014
Mladen Tunjic,ST,29,-,USC Paloma Hamburg,2014
Ahmed Osmanov,ST,22,-,USC Paloma Hamburg,2014
Rodrigo Lemos,ST,22,-,USC Paloma Hamburg,2014
Torben Hindersmann,ST,25,-,USC Paloma Hamburg,2014
Maik Hagemann,GK,35,-,USC Paloma Hamburg,2015
Sebastian Voß,GK,33,-,USC Paloma Hamburg,2015
Timo Clausen,GK,-,-,USC Paloma Hamburg,2015
Yannick Jonas,GK,24,-,USC Paloma Hamburg,2015
Danny Hilbert,CB,22,-,USC Paloma Hamburg,2015
Frithjof Kramer,CB,29,-,USC Paloma Hamburg,2015
Hauke Brückner,CB,36,-,USC Paloma Hamburg,2015
Torsten Hartung,CB,28,-,USC Paloma Hamburg,2015
Jannik Dreyer,CB,26,-,USC Paloma Hamburg,2015
Phillip Seib,CB,24,-,USC Paloma Hamburg,2015
Noah Kamé,CB,19,-,USC Paloma Hamburg,2015
Dejan Sekac,LB,20,-,USC Paloma Hamburg,2015
Miguel Gimeno,LB,21,-,USC Paloma Hamburg,2015
Nikolas Couybes,LB,25,-,USC Paloma Hamburg,2015
Elhadji Ondo,RB,23,-,USC Paloma Hamburg,2015
Carlos Gomes,CDM,28,-,USC Paloma Hamburg,2015
Arnold Hoeling,CDM,20,-,USC Paloma Hamburg,2015
Max Krause,CDM,26,-,USC Paloma Hamburg,2015
Sebastian Bester,CDM,21,-,USC Paloma Hamburg,2015
Christoph Finke,CM,27,-,USC Paloma Hamburg,2015
Goran Petrekovic-Loncar,CM,22,-,USC Paloma Hamburg,2015
Florim Osmani,CM,27,-,USC Paloma Hamburg,2015
Kevin Franz,LM,29,-,USC Paloma Hamburg,2015
Quinton Washington,LM,21,-,USC Paloma Hamburg,2015
Edvin Isic,LM,20,-,USC Paloma Hamburg,2015
