name,position,age,value,team,season
Jonas Toboll,GK,28,100 Tsd. €,VfB Lübeck,2014
Briant Alberti,GK,22,50 Tsd. €,VfB Lübeck,2014
Eric Schlomm,GK,23,25 Tsd. €,VfB Lübeck,2014
Kennet Kostmann,GK,19,-,VfB Lübeck,2014
Moritz Marheineke,CB,30,125 Tsd. €,VfB Lübeck,2014
Dennis Wehrendt,CB,28,75 Tsd. €,VfB Lübeck,2014
Sascha Steinfeldt,CB,24,50 Tsd. €,VfB Lübeck,2014
Marcel Dümmel,CB,20,25 Tsd. €,VfB Lübeck,2014
Ricardo Radina,CB,19,25 Tsd. €,VfB Lübeck,2014
Derek Cornelius,CB,17,25 Tsd. €,VfB Lübeck,2014
André Ladendorf,CB,26,-,VfB Lübeck,2014
Christian Rave,CB,26,-,VfB Lübeck,2014
Marvin Thiel,LB,20,50 Tsd. €,VfB Lübeck,2014
Jan-André Sievers,RB,27,150 Tsd. €,VfB Lübeck,2014
Patrick Bohnsack,RB,21,50 Tsd. €,VfB Lübeck,2014
Kevin Wölk,CDM,30,100 Tsd. €,VfB Lübeck,2014
Sven Theißen,CDM,26,75 Tsd. €,VfB Lübeck,2014
Aleksandar Nogovic,CDM,22,75 Tsd. €,VfB Lübeck,2014
Dennis Voß,CDM,23,75 Tsd. €,VfB Lübeck,2014
Marcello Meyer,CDM,24,75 Tsd. €,VfB Lübeck,2014
Nils Kjär,CDM,29,50 Tsd. €,VfB Lübeck,2014
Tomek Pauer,CDM,21,50 Tsd. €,VfB Lübeck,2014
Hayri Akcasu,CDM,24,25 Tsd. €,VfB Lübeck,2014
Enes Dagli,CDM,18,-,VfB Lübeck,2014
Finn Thomas,RM,27,75 Tsd. €,VfB Lübeck,2014
Lukas Knechtel,LM,20,75 Tsd. €,VfB Lübeck,2014
Kubilay Büyükdemir,CAM,17,-,VfB Lübeck,2014
Maurice Maletzki,LW,23,100 Tsd. €,VfB Lübeck,2014
Andre Senger,LW,26,100 Tsd. €,VfB Lübeck,2014
