name,position,age,value,team,season
Sven Ulreich,GK,26,"4,50 Mio. €",VfB Stuttgart,2014
Thorsten Kirschbaum,GK,28,"1,00 Mio. €",VfB Stuttgart,2014
Odysseas Vlachodimos,GK,21,450 Tsd. €,VfB Stuttgart,2014
Antonio Rüdiger,CB,22,"10,00 Mio. €",VfB Stuttgart,2014
Daniel Schwaab,CB,26,"3,00 Mio. €",VfB Stuttgart,2014
Georg Niedermeier,CB,29,"2,00 Mio. €",VfB Stuttgart,2014
Timo Baumgartl,CB,19,"1,20 Mio. €",VfB Stuttgart,2014
Karim Haggui,CB,31,800 Tsd. €,VfB Stuttgart,2014
Robin Yalçın,CB,21,350 Tsd. €,VfB Stuttgart,2014
Adam Hlousek,LB,26,"1,50 Mio. €",VfB Stuttgart,2014
Konstantin Rausch,LB,25,"1,50 Mio. €",VfB Stuttgart,2014
Tim Leibold,LB,21,400 Tsd. €,VfB Stuttgart,2014
Gotoku Sakai,RB,24,"3,00 Mio. €",VfB Stuttgart,2014
Florian Klein,RB,28,"1,50 Mio. €",VfB Stuttgart,2014
Carlos Gruezo,CDM,20,"3,50 Mio. €",VfB Stuttgart,2014
Oriol Romeu,CDM,23,"3,50 Mio. €",VfB Stuttgart,2014
Geoffroy Serey Dié,CDM,30,"2,00 Mio. €",VfB Stuttgart,2014
Christian Gentner,CM,29,"4,50 Mio. €",VfB Stuttgart,2014
Moritz Leitner,CM,22,"3,50 Mio. €",VfB Stuttgart,2014
Marvin Wanitzek,CM,22,300 Tsd. €,VfB Stuttgart,2014
Filip Kostić,LM,22,"5,50 Mio. €",VfB Stuttgart,2014
Alexandru Maxim,CAM,24,"6,00 Mio. €",VfB Stuttgart,2014
Daniel Didavi,CAM,25,"1,50 Mio. €",VfB Stuttgart,2014
Sercan Sararer,CAM,25,750 Tsd. €,VfB Stuttgart,2014
Timo Werner,LW,19,"12,00 Mio. €",VfB Stuttgart,2014
Martin Harnik,RW,28,"5,00 Mio. €",VfB Stuttgart,2014
Vedad Ibisevic,ST,30,"3,50 Mio. €",VfB Stuttgart,2014
Daniel Ginczek,ST,24,"2,50 Mio. €",VfB Stuttgart,2014
Mohammed Abdellaoue,ST,29,"1,50 Mio. €",VfB Stuttgart,2014
Jerome Kiesewetter,ST,22,200 Tsd. €,VfB Stuttgart,2014
Przemyslaw Tyton,GK,29,"2,50 Mio. €",VfB Stuttgart,2015
Mitchell Langerak,GK,27,"2,00 Mio. €",VfB Stuttgart,2015
Odysseas Vlachodimos,GK,22,450 Tsd. €,VfB Stuttgart,2015
Benjamin Uphoff,GK,22,250 Tsd. €,VfB Stuttgart,2015
Timo Baumgartl,CB,20,"3,50 Mio. €",VfB Stuttgart,2015
Toni Sunjic,CB,27,"2,50 Mio. €",VfB Stuttgart,2015
Federico Barba,CB,22,"1,80 Mio. €",VfB Stuttgart,2015
Daniel Schwaab,CB,27,"1,50 Mio. €",VfB Stuttgart,2015
Georg Niedermeier,CB,30,"1,50 Mio. €",VfB Stuttgart,2015
Stephen Sama,CB,23,350 Tsd. €,VfB Stuttgart,2015
Emiliano Insúa,LB,27,"4,00 Mio. €",VfB Stuttgart,2015
Adam Hlousek,LB,27,"1,00 Mio. €",VfB Stuttgart,2015
Philip Heise,LB,25,800 Tsd. €,VfB Stuttgart,2015
Kevin Großkreutz,RB,27,"2,50 Mio. €",VfB Stuttgart,2015
Florian Klein,RB,29,"1,50 Mio. €",VfB Stuttgart,2015
Geoffroy Serey Dié,CDM,31,"2,00 Mio. €",VfB Stuttgart,2015
Carlos Gruezo,CDM,21,"1,25 Mio. €",VfB Stuttgart,2015
Matthias Zimmermann,CDM,24,275 Tsd. €,VfB Stuttgart,2015
Mart Ristl,CDM,19,200 Tsd. €,VfB Stuttgart,2015
Lukas Rupp,CM,25,"4,00 Mio. €",VfB Stuttgart,2015
Christian Gentner,CM,30,"3,50 Mio. €",VfB Stuttgart,2015
Marvin Wanitzek,CM,23,400 Tsd. €,VfB Stuttgart,2015
Filip Kostić,LM,23,"10,00 Mio. €",VfB Stuttgart,2015
Daniel Didavi,CAM,26,"7,00 Mio. €",VfB Stuttgart,2015
Alexandru Maxim,CAM,25,"4,00 Mio. €",VfB Stuttgart,2015
Kevin Stöger,CAM,22,900 Tsd. €,VfB Stuttgart,2015
Arianit Ferati,CAM,18,600 Tsd. €,VfB Stuttgart,2015
Boris Tashchy,CAM,22,400 Tsd. €,VfB Stuttgart,2015
Timo Werner,LW,20,"8,00 Mio. €",VfB Stuttgart,2015
Robbie Kruse,LW,27,"1,00 Mio. €",VfB Stuttgart,2015
Martin Harnik,RW,29,"2,50 Mio. €",VfB Stuttgart,2015
Artem Kravets,ST,27,"4,00 Mio. €",VfB Stuttgart,2015
Daniel Ginczek,ST,25,"4,00 Mio. €",VfB Stuttgart,2015
Jan Kliment,ST,22,"1,00 Mio. €",VfB Stuttgart,2015
Mitchell Langerak,GK,28,"1,50 Mio. €",VfB Stuttgart,2016
Jens Grahl,GK,28,300 Tsd. €,VfB Stuttgart,2016
Benjamin Uphoff,GK,23,200 Tsd. €,VfB Stuttgart,2016
Timo Baumgartl,CB,21,"4,00 Mio. €",VfB Stuttgart,2016
Benjamin Pavard,CB,21,"3,50 Mio. €",VfB Stuttgart,2016
Jérôme Onguéné,CB,19,"2,00 Mio. €",VfB Stuttgart,2016
Marcin Kaminski,CB,25,"1,50 Mio. €",VfB Stuttgart,2016
Toni Sunjic,CB,28,700 Tsd. €,VfB Stuttgart,2016
Stephen Sama,CB,24,200 Tsd. €,VfB Stuttgart,2016
Emiliano Insúa,LB,28,"3,50 Mio. €",VfB Stuttgart,2016
Philip Heise,LB,26,850 Tsd. €,VfB Stuttgart,2016
Jean Zimmer,RB,23,"1,25 Mio. €",VfB Stuttgart,2016
Kevin Großkreutz,RB,28,"1,00 Mio. €",VfB Stuttgart,2016
Florian Klein,RB,30,800 Tsd. €,VfB Stuttgart,2016
Ebenezer Ofori,CDM,21,"1,75 Mio. €",VfB Stuttgart,2016
Matthias Zimmermann,CDM,25,"1,00 Mio. €",VfB Stuttgart,2016
Hajime Hosogai,CDM,31,600 Tsd. €,VfB Stuttgart,2016
Nunoo Sarpei,CDM,18,100 Tsd. €,VfB Stuttgart,2016
Christian Gentner,CM,31,"2,00 Mio. €",VfB Stuttgart,2016
Anto Grgic,CM,20,"1,75 Mio. €",VfB Stuttgart,2016
Berkay Özcan,CM,19,"1,00 Mio. €",VfB Stuttgart,2016
Julian Green,CM,22,700 Tsd. €,VfB Stuttgart,2016
Alexandru Maxim,CAM,26,"2,50 Mio. €",VfB Stuttgart,2016
Boris Tashchy,CAM,23,400 Tsd. €,VfB Stuttgart,2016
Joel Soñora,CAM,20,150 Tsd. €,VfB Stuttgart,2016
Carlos Mané,LW,23,"4,50 Mio. €",VfB Stuttgart,2016
Josip Brekalo,LW,19,"3,00 Mio. €",VfB Stuttgart,2016
Tobias Werner,LW,31,750 Tsd. €,VfB Stuttgart,2016
Takuma Asano,RW,22,"2,50 Mio. €",VfB Stuttgart,2016
Simon Terodde,ST,29,"4,00 Mio. €",VfB Stuttgart,2016
Daniel Ginczek,ST,26,"2,50 Mio. €",VfB Stuttgart,2016
Jan Kliment,ST,23,400 Tsd. €,VfB Stuttgart,2016
Ron-Robert Zieler,GK,29,"7,00 Mio. €",VfB Stuttgart,2017
Mitchell Langerak,GK,29,"1,00 Mio. €",VfB Stuttgart,2017
Alexander Meyer,GK,27,400 Tsd. €,VfB Stuttgart,2017
Jens Grahl,GK,29,250 Tsd. €,VfB Stuttgart,2017
Benjamin Pavard,CB,22,"30,00 Mio. €",VfB Stuttgart,2017
Timo Baumgartl,CB,22,"12,00 Mio. €",VfB Stuttgart,2017
Holger Badstuber,CB,29,"5,00 Mio. €",VfB Stuttgart,2017
Marcin Kaminski,CB,26,"2,50 Mio. €",VfB Stuttgart,2017
Emiliano Insúa,LB,29,"5,00 Mio. €",VfB Stuttgart,2017
Dennis Aogo,LB,31,"1,50 Mio. €",VfB Stuttgart,2017
Aílton,LB,23,"1,50 Mio. €",VfB Stuttgart,2017
Andreas Beck,RB,31,"3,00 Mio. €",VfB Stuttgart,2017
Orel Mangala,CDM,20,"1,80 Mio. €",VfB Stuttgart,2017
Ebenezer Ofori,CDM,22,"1,00 Mio. €",VfB Stuttgart,2017
Matthias Zimmermann,CDM,26,"1,00 Mio. €",VfB Stuttgart,2017
Alexander Groiß,CDM,19,125 Tsd. €,VfB Stuttgart,2017
Santiago Ascacíbar,CM,21,"18,00 Mio. €",VfB Stuttgart,2017
Berkay Özcan,CM,20,"2,50 Mio. €",VfB Stuttgart,2017
Christian Gentner,CM,32,"2,00 Mio. €",VfB Stuttgart,2017
Anto Grgic,CM,21,"1,50 Mio. €",VfB Stuttgart,2017
Julian Green,CM,23,650 Tsd. €,VfB Stuttgart,2017
Dzenis Burnic,RM,20,500 Tsd. €,VfB Stuttgart,2017
Erik Thommy,CAM,23,"5,00 Mio. €",VfB Stuttgart,2017
Nicolas Sessa,CAM,22,200 Tsd. €,VfB Stuttgart,2017
Josip Brekalo,LW,20,"5,50 Mio. €",VfB Stuttgart,2017
Anastasios Donis,LW,21,"3,00 Mio. €",VfB Stuttgart,2017
Carlos Mané,LW,24,"3,00 Mio. €",VfB Stuttgart,2017
Jacob Bruun Larsen,LW,19,500 Tsd. €,VfB Stuttgart,2017
Chadrac Akolo,RW,23,"5,00 Mio. €",VfB Stuttgart,2017
Takuma Asano,RW,23,"2,00 Mio. €",VfB Stuttgart,2017
Mario Gómez,ST,32,"6,00 Mio. €",VfB Stuttgart,2017
Daniel Ginczek,ST,27,"3,50 Mio. €",VfB Stuttgart,2017
Simon Terodde,ST,30,"2,50 Mio. €",VfB Stuttgart,2017
Pascal Breier,ST,26,275 Tsd. €,VfB Stuttgart,2017
Ron-Robert Zieler,GK,30,"4,50 Mio. €",VfB Stuttgart,2018
Alexander Meyer,GK,28,300 Tsd. €,VfB Stuttgart,2018
Jens Grahl,GK,30,250 Tsd. €,VfB Stuttgart,2018
Benjamin Pavard,CB,23,"30,00 Mio. €",VfB Stuttgart,2018
Ozan Kabak,CB,19,"15,00 Mio. €",VfB Stuttgart,2018
Timo Baumgartl,CB,23,"9,00 Mio. €",VfB Stuttgart,2018
Marc Oliver Kempf,CB,24,"6,00 Mio. €",VfB Stuttgart,2018
Marcin Kaminski,CB,27,"3,50 Mio. €",VfB Stuttgart,2018
Holger Badstuber,CB,30,"1,50 Mio. €",VfB Stuttgart,2018
Emiliano Insúa,LB,30,"2,50 Mio. €",VfB Stuttgart,2018
Dennis Aogo,LB,32,"1,50 Mio. €",VfB Stuttgart,2018
Aílton,LB,24,"1,00 Mio. €",VfB Stuttgart,2018
Pablo Maffeo,RB,21,"4,50 Mio. €",VfB Stuttgart,2018
Andreas Beck,RB,32,"1,50 Mio. €",VfB Stuttgart,2018
Antonis Aidonis,RB,18,500 Tsd. €,VfB Stuttgart,2018
Orel Mangala,CDM,21,"5,50 Mio. €",VfB Stuttgart,2018
Nunoo Sarpei,CDM,20,300 Tsd. €,VfB Stuttgart,2018
Santiago Ascacíbar,CM,22,"12,00 Mio. €",VfB Stuttgart,2018
Berkay Özcan,CM,21,"2,50 Mio. €",VfB Stuttgart,2018
Gonzalo Castro,CM,32,"2,50 Mio. €",VfB Stuttgart,2018
Anto Grgic,CM,22,"2,25 Mio. €",VfB Stuttgart,2018
Christian Gentner,CM,33,"1,50 Mio. €",VfB Stuttgart,2018
David Kopacz,RM,20,350 Tsd. €,VfB Stuttgart,2018
Borna Sosa,LM,21,"4,00 Mio. €",VfB Stuttgart,2018
Roberto Massimo,LM,18,"1,50 Mio. €",VfB Stuttgart,2018
Steven Zuber,CAM,27,"7,00 Mio. €",VfB Stuttgart,2018
Daniel Didavi,CAM,29,"4,00 Mio. €",VfB Stuttgart,2018
Erik Thommy,CAM,24,"3,00 Mio. €",VfB Stuttgart,2018
Anastasios Donis,LW,22,"4,00 Mio. €",VfB Stuttgart,2018
Nico González,RW,21,"6,50 Mio. €",VfB Stuttgart,2018
Chadrac Akolo,RW,24,"2,00 Mio. €",VfB Stuttgart,2018
Leon Dajaku,Second Striker,18,300 Tsd. €,VfB Stuttgart,2018
Mario Gómez,ST,33,"2,00 Mio. €",VfB Stuttgart,2018
