name,position,age,value,team,season
Andreas Luthe,GK,28,600 Tsd. €,VfL Bochum,2014
Michael Esser,GK,27,450 Tsd. €,VfL Bochum,2014
Felix Dornebusch,GK,20,100 Tsd. €,VfL Bochum,2014
Jan Simunek,CB,28,700 Tsd. €,VfL Bochum,2014
Patrick Fabian,CB,27,600 Tsd. €,VfL Bochum,2014
Malcolm Cacutalua,CB,20,450 Tsd. €,VfL Bochum,2014
Felix Bastians,CB,27,400 Tsd. €,VfL Bochum,2014
Heiko Butscher,CB,34,200 Tsd. €,VfL Bochum,2014
Gazi Siala,CB,20,100 Tsd. €,VfL Bochum,2014
Timo Perthel,LB,26,900 Tsd. €,VfL Bochum,2014
Nicolas Abdat,LB,18,100 Tsd. €,VfL Bochum,2014
Michaël Maria,LB,20,25 Tsd. €,VfL Bochum,2014
Stefano Celozzi,RB,26,700 Tsd. €,VfL Bochum,2014
Yusuke Tasaka,RB,29,650 Tsd. €,VfL Bochum,2014
Onur Bulut,RB,21,400 Tsd. €,VfL Bochum,2014
Jan Gyamerah,RB,20,150 Tsd. €,VfL Bochum,2014
Anthony Losilla,CDM,29,750 Tsd. €,VfL Bochum,2014
Fabian Holthaus,CDM,20,400 Tsd. €,VfL Bochum,2014
Adnan Zahirovic,CDM,25,350 Tsd. €,VfL Bochum,2014
Danny Latza,CM,25,900 Tsd. €,VfL Bochum,2014
Thomas Eisfeld,CM,22,750 Tsd. €,VfL Bochum,2014
Tobias Weis,CM,29,550 Tsd. €,VfL Bochum,2014
Henrik Gulden,CM,19,200 Tsd. €,VfL Bochum,2014
Julian Stock,RM,19,100 Tsd. €,VfL Bochum,2014
Selim Gündüz,LW,21,400 Tsd. €,VfL Bochum,2014
Piotr Cwielong,LW,29,250 Tsd. €,VfL Bochum,2014
Ridvan Balci,LW,21,75 Tsd. €,VfL Bochum,2014
Marco Terrazzino,Second Striker,24,600 Tsd. €,VfL Bochum,2014
Stanislav Sestak,ST,32,"1,00 Mio. €",VfL Bochum,2014
Simon Terodde,ST,27,"1,00 Mio. €",VfL Bochum,2014
Michael Gregoritsch,ST,21,600 Tsd. €,VfL Bochum,2014
Mikael Forssell,ST,34,350 Tsd. €,VfL Bochum,2014
Joel Reinholz,ST,21,100 Tsd. €,VfL Bochum,2014
Manuel Riemann,GK,27,800 Tsd. €,VfL Bochum,2015
Andreas Luthe,GK,29,500 Tsd. €,VfL Bochum,2015
Felix Dornebusch,GK,21,100 Tsd. €,VfL Bochum,2015
Felix Bastians,CB,28,"1,00 Mio. €",VfL Bochum,2015
Patrick Fabian,CB,28,700 Tsd. €,VfL Bochum,2015
Malcolm Cacutalua,CB,21,400 Tsd. €,VfL Bochum,2015
Jan Simunek,CB,29,400 Tsd. €,VfL Bochum,2015
Timo Perthel,LB,27,900 Tsd. €,VfL Bochum,2015
