name,position,age,value,team,season
Jannik Zohrabian,GK,21,-,VfL Oldenburg,2014
Nils Reinke,GK,27,-,VfL Oldenburg,2014
Arne Reinke,GK,-,-,VfL Oldenburg,2014
Niklas Kuschkowitz,GK,19,-,VfL Oldenburg,2014
Carsten Hackstette,GK,18,-,VfL Oldenburg,2014
Felix Bohe,GK,20,-,VfL Oldenburg,2014
Thorben Engelbart,GK,25,-,VfL Oldenburg,2014
Erik Baumann,CB,22,-,VfL Oldenburg,2014
Kevin Rönpage,CB,-,-,VfL Oldenburg,2014
Arne Lüerssen,CB,23,-,VfL Oldenburg,2014
Stephan Blödorn,CB,25,-,VfL Oldenburg,2014
Nils Frenzel,CB,25,-,VfL Oldenburg,2014
Philip Nauermann,CB,21,-,VfL Oldenburg,2014
Dennis Mooy,LB,24,-,VfL Oldenburg,2014
Jannes Hillerns,LB,20,-,VfL Oldenburg,2014
Julian Kersting,LB,20,-,VfL Oldenburg,2014
Simon Brüning,CDM,27,-,VfL Oldenburg,2014
Tilman Bischoff,Midfielder,20,-,VfL Oldenburg,2014
Jonas Siegert,CDM,21,-,VfL Oldenburg,2014
Renke Pflug,RM,28,-,VfL Oldenburg,2014
Lucas Janßen,LM,19,-,VfL Oldenburg,2014
Patrick Lizius,CAM,21,-,VfL Oldenburg,2014
Maximilian Klatte,CAM,27,-,VfL Oldenburg,2014
Steven Müller-Rautenberg,RW,22,-,VfL Oldenburg,2014
Nermin Becovic,ST,24,-,VfL Oldenburg,2014
Thore Sikken,ST,19,-,VfL Oldenburg,2014
André Jädtke,ST,27,-,VfL Oldenburg,2014
Kai Schröder,ST,25,-,VfL Oldenburg,2014
Maik Nirwing,ST,22,-,VfL Oldenburg,2014
Tobias Heuer,ST,19,-,VfL Oldenburg,2014
Jannik Zohrabian,GK,22,-,VfL Oldenburg,2015
Sorosh Nassiri,GK,37,-,VfL Oldenburg,2015
Felix Bohe,GK,21,-,VfL Oldenburg,2015
Marius Harenberg,CB,22,-,VfL Oldenburg,2015
Arne Lüerssen,CB,24,-,VfL Oldenburg,2015
Key Riebau,CB,26,-,VfL Oldenburg,2015
Nils Frenzel,CB,26,-,VfL Oldenburg,2015
Philip Nauermann,CB,22,-,VfL Oldenburg,2015
Julian Kersting,LB,21,-,VfL Oldenburg,2015
Jannes Hillerns,LB,21,-,VfL Oldenburg,2015
