name,position,age,value,team,season
Daniel Heuer Fernandes,GK,22,450 Tsd. €,VfL Osnabrück,2014
Frank Lehmann,GK,26,150 Tsd. €,VfL Osnabrück,2014
Bernd Lichtenstein,GK,23,-,VfL Osnabrück,2014
David Pisot,CB,27,375 Tsd. €,VfL Osnabrück,2014
Michael Hohnstedt,CB,27,300 Tsd. €,VfL Osnabrück,2014
Tobias Willers,CB,28,300 Tsd. €,VfL Osnabrück,2014
Davide Grassi,CB,29,175 Tsd. €,VfL Osnabrück,2014
Nicolas Eiter,CB,19,50 Tsd. €,VfL Osnabrück,2014
Alexander Wulf,LB,28,350 Tsd. €,VfL Osnabrück,2014
Kim Falkenberg,RB,27,150 Tsd. €,VfL Osnabrück,2014
Paul Thomik,RB,30,100 Tsd. €,VfL Osnabrück,2014
Nicolas Feldhahn,CDM,28,400 Tsd. €,VfL Osnabrück,2014
Christian Groß,CDM,26,275 Tsd. €,VfL Osnabrück,2014
Andreas Glockner,CDM,27,200 Tsd. €,VfL Osnabrück,2014
Sofien Chahed,CDM,25,175 Tsd. €,VfL Osnabrück,2014
Finn-Tarik Bode,CDM,18,-,VfL Osnabrück,2014
Simon Tüting,CM,28,400 Tsd. €,VfL Osnabrück,2014
Tom Christian Merkens,CM,25,150 Tsd. €,VfL Osnabrück,2014
Maximilian Wagener,CM,20,100 Tsd. €,VfL Osnabrück,2014
Stephan Thee,RM,26,300 Tsd. €,VfL Osnabrück,2014
Marcel Kandziora,LM,25,300 Tsd. €,VfL Osnabrück,2014
Milad Salem,CAM,27,275 Tsd. €,VfL Osnabrück,2014
Massimo Ornatelli,CAM,29,250 Tsd. €,VfL Osnabrück,2014
Maik Odenthal,CAM,22,100 Tsd. €,VfL Osnabrück,2014
Leon Neldner,CAM,19,50 Tsd. €,VfL Osnabrück,2014
Kevin Freiberger,RW,26,125 Tsd. €,VfL Osnabrück,2014
Stanislav Ilyuchenko,ST,24,350 Tsd. €,VfL Osnabrück,2014
Addy-Waku Menga,ST,31,275 Tsd. €,VfL Osnabrück,2014
